Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:06:57.266656 True [   89540.108814] 0003 0035 000002cc
2022-03-10 16:06:57.282415 True [   89540.125058] 0003 0035 000002cc
2022-03-10 16:06:57.300710 True [   89540.142575] 0003 0035 000002cc
2022-03-10 16:06:57.316088 True [   89540.159184] 0003 0035 000002cc
2022-03-10 16:06:57.339424 True [   89540.175648] 0003 0035 000002cc
2022-03-10 16:06:57.352013 True [   89540.192387] 0003 0035 000002cc
2022-03-10 16:06:59.234327 False [   89542.075673] 0003 0035 00000069
2022-03-10 16:06:59.248459 False [   89542.091418] 0003 0035 00000069
2022-03-10 16:06:59.266276 False [   89542.107619] 0003 0035 00000069
2022-03-10 16:06:59.283810 False [   89542.124410] 0003 0035 00000069
2022-03-10 16:06:59.301743 False [   89542.141445] 0003 0035 00000069
2022-03-10 16:06:59.316703 False [   89542.158403] 0003 0035 00000069
2022-03-10 16:06:59.337468 False [   89542.175339] 0003 0035 00000069
2022-03-10 16:06:59.353194 False [   89542.192764] 0003 0035 00000069
2022-03-10 16:06:59.369866 False [   89542.208919] 0003 0035 00000069
2022-03-10 16:07:04.083239 True [   89546.922583] 0003 0035 000004e5
2022-03-10 16:07:04.096862 True [   89546.937504] 0003 0035 000004e5
2022-03-10 16:07:04.114420 True [   89546.954339] 0003 0035 000004e5
2022-03-10 16:07:04.129076 True [   89546.971716] 0003 0035 000004e5
2022-03-10 16:07:04.146917 True [   89546.988289] 0003 0035 000004e5
2022-03-10 16:07:04.166082 True [   89547.006005] 0003 0035 000004e5
2022-03-10 16:07:04.180475 True [   89547.022195] 0003 0035 000004e5
2022-03-10 16:07:04.200386 True [   89547.039260] 0003 0035 000004e5
2022-03-10 16:07:05.521806 False [   89548.361512] 0003 0035 0000012a
2022-03-10 16:07:05.537682 False [   89548.378641] 0003 0035 0000012a
2022-03-10 16:07:05.554836 False [   89548.395745] 0003 0035 0000012a
2022-03-10 16:07:05.571892 False [   89548.412251] 0003 0035 0000012a
