Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.1021286018060765 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:57:35.259347 False [     531.615553] 0003 0035 00000073
2022-03-10 16:57:35.276953 False [     531.632169] 0003 0035 00000073
2022-03-10 16:57:35.293168 False [     531.648966] 0003 0035 00000073
2022-03-10 16:57:35.313774 False [     531.669109] 0003 0035 00000073
2022-03-10 16:57:35.327283 False [     531.683467] 0003 0035 00000073
2022-03-10 16:57:35.343991 False [     531.699833] 0003 0035 00000073
2022-03-10 16:57:35.360908 False [     531.716757] 0003 0035 00000073
2022-03-10 16:57:35.377567 False [     531.733930] 0003 0035 00000073
2022-03-10 16:57:35.395570 False [     531.750633] 0003 0035 00000073
2022-03-10 16:57:35.413581 False [     531.768621] 0003 0035 00000073
2022-03-10 16:57:35.432446 False [     531.784972] 0003 0035 00000073
2022-03-10 16:57:35.446451 False [     531.801536] 0003 0035 00000075
2022-03-10 16:57:35.463828 False [     531.818917] 0003 0035 00000077
2022-03-10 16:57:35.479624 False [     531.835444] 0003 0035 00000077
2022-03-10 16:57:35.497098 False [     531.853239] 0003 0035 0000007a
2022-03-10 16:57:35.513898 False [     531.869548] 0003 0035 0000007d
2022-03-10 16:57:35.534314 False [     531.887214] 0003 0035 00000080
2022-03-10 16:57:35.548216 False [     531.904084] 0003 0035 00000080
2022-03-10 16:57:35.564228 False [     531.920189] 0003 0035 00000085
2022-03-10 16:57:35.581336 False [     531.937525] 0003 0035 00000089
2022-03-10 16:57:35.598104 False [     531.954068] 0003 0035 0000008d
2022-03-10 16:57:35.616523 False [     531.971237] 0003 0035 00000091
2022-03-10 16:57:35.636251 False [     531.988423] 0003 0035 00000097
2022-03-10 16:57:35.650599 False [     532.006126] 0003 0035 0000009f
2022-03-10 16:57:35.666854 True [     532.022435] 0003 0035 000000a9
2022-03-10 16:57:35.683032 True [     532.038943] 0003 0035 000000b3
2022-03-10 16:57:35.700325 True [     532.055739] 0003 0035 000000bc
2022-03-10 16:57:35.717992 True [     532.073728] 0003 0035 000000c3
2022-03-10 16:57:35.736520 True [     532.090586] 0003 0035 000000ca
2022-03-10 16:57:35.751467 True [     532.106577] 0003 0035 000000cf
2022-03-10 16:57:35.769148 True [     532.124081] 0003 0035 000000d4
2022-03-10 16:57:35.785502 True [     532.141335] 0003 0035 000000d4
2022-03-10 16:57:35.802589 True [     532.158764] 0003 0035 000000d8
2022-03-10 16:57:35.819859 True [     532.174726] 0003 0035 000000d8
2022-03-10 16:57:35.835729 True [     532.191586] 0003 0035 000000d8
2022-03-10 16:57:35.852473 True [     532.208958] 0003 0035 000000dc
2022-03-10 16:57:35.869986 True [     532.225199] 0003 0035 000000dc
2022-03-10 16:57:35.887431 True [     532.242622] 0003 0035 000000e1
2022-03-10 16:57:35.903280 True [     532.259232] 0003 0035 000000e6
2022-03-10 16:57:35.920853 True [     532.277080] 0003 0035 000000ea
2022-03-10 16:57:35.938917 True [     532.294128] 0003 0035 000000ea
2022-03-10 16:57:35.955620 True [     532.311566] 0003 0035 000000f1
2022-03-10 16:57:35.971830 True [     532.327038] 0003 0035 000000f9
2022-03-10 16:57:35.990006 True [     532.344592] 0003 0035 00000102
2022-03-10 16:57:36.004845 True [     532.360998] 0003 0035 0000010b
2022-03-10 16:57:36.022119 True [     532.377720] 0003 0035 00000114
2022-03-10 16:57:36.038955 True [     532.394862] 0003 0035 0000011b
2022-03-10 16:57:36.055780 True [     532.411752] 0003 0035 00000121
2022-03-10 16:57:36.073215 True [     532.429170] 0003 0035 00000125
2022-03-10 16:57:36.089647 True [     532.445522] 0003 0035 00000125
2022-03-10 16:57:36.106582 True [     532.462433] 0003 0035 0000012b
2022-03-10 16:57:36.123831 True [     532.479739] 0003 0035 00000130
2022-03-10 16:57:36.140788 True [     532.496588] 0003 0035 00000130
2022-03-10 16:57:36.157742 True [     532.514108] 0003 0035 00000134
2022-03-10 16:57:36.174907 True [     532.530657] 0003 0035 00000134
2022-03-10 16:57:36.191641 True [     532.547162] 0003 0035 00000134
2022-03-10 16:57:36.208567 True [     532.564382] 0003 0035 00000137
2022-03-10 16:57:36.226446 True [     532.581972] 0003 0035 00000137
2022-03-10 16:57:36.242610 True [     532.598645] 0003 0035 00000137
2022-03-10 16:57:36.259782 True [     532.615346] 0003 0035 00000137
2022-03-10 16:57:36.277121 True [     532.632929] 0003 0035 00000137
2022-03-10 16:57:36.293098 True [     532.649302] 0003 0035 0000013a
2022-03-10 16:57:36.310247 True [     532.666425] 0003 0035 0000013a
2022-03-10 16:57:36.327350 True [     532.683235] 0003 0035 0000013a
2022-03-10 16:57:36.345133 True [     532.700416] 0003 0035 0000013c
2022-03-10 16:57:36.360629 True [     532.716722] 0003 0035 0000013c
2022-03-10 16:57:36.378573 True [     532.734627] 0003 0035 0000013c
2022-03-10 16:57:36.397229 True [     532.751633] 0003 0035 0000013f
2022-03-10 16:57:36.412722 True [     532.767488] 0003 0035 0000013f
2022-03-10 16:57:36.429642 True [     532.784747] 0003 0035 0000013f
2022-03-10 16:57:36.447132 True [     532.802406] 0003 0035 00000144
2022-03-10 16:57:36.462831 True [     532.818710] 0003 0035 0000014a
2022-03-10 16:57:36.480534 True [     532.835757] 0003 0035 00000151
2022-03-10 16:57:36.497058 True [     532.852294] 0003 0035 00000159
2022-03-10 16:57:36.513826 True [     532.869411] 0003 0035 00000160
2022-03-10 16:57:36.531606 True [     532.886913] 0003 0035 00000168
2022-03-10 16:57:36.548188 True [     532.903987] 0003 0035 0000016e
