Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.745578596409672 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:31:53.331163 False [   14249.938861] 0003 0036 0000028b
2022-03-12 15:31:53.346538 False [   14249.954302] 0003 0035 0000008f
2022-03-12 15:31:53.346538 False [   14249.954302] 0003 0036 0000028b
2022-03-12 15:31:53.363274 False [   14249.971347] 0003 0035 0000008f
2022-03-12 15:31:53.363274 False [   14249.971347] 0003 0036 0000028b
2022-03-12 15:31:53.378695 False [   14249.988667] 0003 0035 0000008f
2022-03-12 15:31:53.378695 False [   14249.988667] 0003 0036 0000028b
2022-03-12 15:31:53.396129 False [   14250.005701] 0003 0035 0000008f
2022-03-12 15:31:53.396129 False [   14250.005701] 0003 0036 0000028b
2022-03-12 15:31:53.412409 False [   14250.022001] 0003 0035 0000008f
2022-03-12 15:31:53.412409 False [   14250.022001] 0003 0036 0000028b
2022-03-12 15:31:53.430371 False [   14250.038738] 0003 0035 0000008f
2022-03-12 15:31:53.430371 False [   14250.038738] 0003 0036 0000028b
2022-03-12 15:31:53.445954 False [   14250.055517] 0003 0035 0000008f
2022-03-12 15:31:53.445954 False [   14250.055517] 0003 0036 0000028b
2022-03-12 15:31:53.463495 False [   14250.072399] 0003 0035 00000095
2022-03-12 15:31:53.463495 False [   14250.072399] 0003 0036 00000288
2022-03-12 15:31:53.482455 False [   14250.089096] 0003 0035 0000009f
2022-03-12 15:31:53.482455 False [   14250.089096] 0003 0036 00000285
2022-03-12 15:31:53.499314 False [   14250.106484] 0003 0035 000000aa
2022-03-12 15:31:53.499314 False [   14250.106484] 0003 0036 00000282
2022-03-12 15:31:53.516472 False [   14250.123254] 0003 0035 000000b5
2022-03-12 15:31:53.516472 False [   14250.123254] 0003 0036 0000027f
2022-03-12 15:31:53.531029 False [   14250.139919] 0003 0035 000000bf
2022-03-12 15:31:53.531029 False [   14250.139919] 0003 0036 0000027c
2022-03-12 15:31:53.548227 False [   14250.157560] 0003 0035 000000c8
2022-03-12 15:31:53.548227 False [   14250.157560] 0003 0036 00000278
2022-03-12 15:31:53.566152 False [   14250.174864] 0003 0035 000000d0
2022-03-12 15:31:53.566152 False [   14250.174864] 0003 0036 00000275
2022-03-12 15:31:53.582201 False [   14250.191138] 0003 0035 000000d5
2022-03-12 15:31:53.582201 False [   14250.191138] 0003 0036 00000272
2022-03-12 15:31:53.597932 False [   14250.207670] 0003 0035 000000d9
2022-03-12 15:31:53.597932 False [   14250.207670] 0003 0036 0000026f
2022-03-12 15:31:53.615543 False [   14250.224974] 0003 0035 000000dd
2022-03-12 15:31:53.615543 False [   14250.224974] 0003 0036 0000026b
2022-03-12 15:31:53.633225 False [   14250.241754] 0003 0035 000000e2
2022-03-12 15:31:53.633225 False [   14250.241754] 0003 0036 00000267
2022-03-12 15:31:53.651968 False [   14250.258663] 0003 0035 000000ea
