Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:26.599447 True [   18523.692166] 0003 0036 000001f7
2022-03-16 15:12:26.615042 True [   18523.707947] 0003 0035 000003cc
2022-03-16 15:12:26.616047 True [   18523.707947] 0003 0036 000001f7
2022-03-16 15:12:26.630111 True [   18523.723889] 0003 0035 000003cc
2022-03-16 15:12:26.630111 True [   18523.723889] 0003 0036 000001f7
2022-03-16 15:12:26.648595 True [   18523.742317] 0003 0035 000003cc
2022-03-16 15:12:26.649564 True [   18523.742317] 0003 0036 000001f7
2022-03-16 15:12:26.665016 True [   18523.758780] 0003 0035 000003cc
2022-03-16 15:12:26.666014 True [   18523.758780] 0003 0036 000001f7
2022-03-16 15:12:26.681233 True [   18523.774737] 0003 0035 000003cc
2022-03-16 15:12:26.681233 True [   18523.774737] 0003 0036 000001f7
2022-03-16 15:12:26.699275 True [   18523.792433] 0003 0035 000003cc
2022-03-16 15:12:26.699275 True [   18523.792433] 0003 0036 000001f7
2022-03-16 15:12:26.716417 True [   18523.809594] 0003 0035 000003cc
2022-03-16 15:12:26.716417 True [   18523.809594] 0003 0036 000001f7
2022-03-16 15:12:26.733322 True [   18523.826335] 0003 0035 000003cc
2022-03-16 15:12:26.733322 True [   18523.826335] 0003 0036 000001f7
2022-03-16 15:12:26.750804 True [   18523.842838] 0003 0035 000003cc
2022-03-16 15:12:26.750804 True [   18523.842838] 0003 0036 000001f7
2022-03-16 15:12:26.766726 True [   18523.860144] 0003 0035 000003cc
2022-03-16 15:12:26.766726 True [   18523.860144] 0003 0036 000001f7
2022-03-16 15:12:26.783705 True [   18523.876308] 0003 0035 000003cc
2022-03-16 15:12:26.783705 True [   18523.876308] 0003 0036 000001f7
2022-03-16 15:12:26.800912 True [   18523.893639] 0003 0035 000003cc
2022-03-16 15:12:26.800912 True [   18523.893639] 0003 0036 000001f7
2022-03-16 15:12:26.819136 True [   18523.910920] 0003 0035 000003cc
