Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.797586936569851 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:17:10.818058 False [   18807.903414] 0003 0036 000002c2
2022-03-16 15:17:10.833496 False [   18807.919414] 0003 0035 00000019
2022-03-16 15:17:10.834490 False [   18807.919414] 0003 0036 000002c2
2022-03-16 15:17:10.848874 False [   18807.935928] 0003 0035 00000019
2022-03-16 15:17:10.848874 False [   18807.935928] 0003 0036 000002c2
2022-03-16 15:17:10.867482 False [   18807.953868] 0003 0035 00000019
2022-03-16 15:17:10.867482 False [   18807.953868] 0003 0036 000002c2
2022-03-16 15:17:10.885158 False [   18807.970796] 0003 0035 00000019
2022-03-16 15:17:10.885158 False [   18807.970796] 0003 0036 000002c2
2022-03-16 15:17:10.904107 False [   18807.987198] 0003 0035 00000019
2022-03-16 15:17:10.904107 False [   18807.987198] 0003 0036 000002c2
2022-03-16 15:17:10.919538 False [   18808.003336] 0003 0035 00000019
2022-03-16 15:17:10.919538 False [   18808.003336] 0003 0036 000002c2
2022-03-16 15:17:10.934308 False [   18808.020711] 0003 0035 00000019
2022-03-16 15:17:10.937541 False [   18808.020711] 0003 0036 000002c2
2022-03-16 15:17:10.950073 False [   18808.036891] 0003 0035 00000019
2022-03-16 15:17:10.950073 False [   18808.036891] 0003 0036 000002c2
2022-03-16 15:17:10.970199 False [   18808.054691] 0003 0035 00000019
2022-03-16 15:17:10.970199 False [   18808.054691] 0003 0036 000002c2
2022-03-16 15:17:10.988154 False [   18808.072394] 0003 0035 00000019
2022-03-16 15:17:10.988154 False [   18808.072394] 0003 0036 000002c2
2022-03-16 15:17:11.002115 False [   18808.088139] 0003 0035 00000019
2022-03-16 15:17:11.002115 False [   18808.088139] 0003 0036 000002c2
2022-03-16 15:17:11.019956 False [   18808.105214] 0003 0035 00000019
2022-03-16 15:17:11.019956 False [   18808.105214] 0003 0036 000002c2
2022-03-16 15:17:11.036130 False [   18808.122990] 0003 0035 00000019
2022-03-16 15:17:11.036130 False [   18808.122990] 0003 0036 000002c2
2022-03-16 15:17:11.053102 False [   18808.140402] 0003 0035 00000019
2022-03-16 15:17:11.053102 False [   18808.140402] 0003 0036 000002c2
2022-03-16 15:17:11.070045 False [   18808.156811] 0003 0035 00000019
2022-03-16 15:17:11.070045 False [   18808.156811] 0003 0036 000002c2
2022-03-16 15:17:11.087399 False [   18808.174204] 0003 0035 00000019
2022-03-16 15:17:11.087399 False [   18808.174204] 0003 0036 000002c2
2022-03-16 15:17:11.103327 False [   18808.190549] 0003 0035 00000019
2022-03-16 15:17:11.103327 False [   18808.190549] 0003 0036 000002c2
2022-03-16 15:17:11.119771 False [   18808.206904] 0003 0035 00000019
2022-03-16 15:17:11.119771 False [   18808.206904] 0003 0036 000002c2
2022-03-16 15:17:11.136652 False [   18808.223916] 0003 0035 00000019
2022-03-16 15:17:11.136652 False [   18808.223916] 0003 0036 000002c2
2022-03-16 15:17:11.154386 False [   18808.241189] 0003 0035 00000019
2022-03-16 15:17:11.154386 False [   18808.241189] 0003 0036 000002c2
2022-03-16 15:17:11.170012 False [   18808.257434] 0003 0035 00000019
2022-03-16 15:17:11.170012 False [   18808.257434] 0003 0036 000002c2
2022-03-16 15:17:11.187965 False [   18808.274774] 0003 0035 00000019
2022-03-16 15:17:11.187965 False [   18808.274774] 0003 0036 000002c2
2022-03-16 15:17:11.204011 False [   18808.290954] 0003 0035 00000019
2022-03-16 15:17:11.204011 False [   18808.290954] 0003 0036 000002c2
2022-03-16 15:17:11.222019 False [   18808.309322] 0003 0035 00000017
2022-03-16 15:17:11.222019 False [   18808.309322] 0003 0036 000002be
2022-03-16 15:17:11.239107 False [   18808.326011] 0003 0035 00000017
2022-03-16 15:17:11.239107 False [   18808.326011] 0003 0036 000002be
2022-03-16 15:17:11.257944 False [   18808.342848] 0003 0035 00000015
2022-03-16 15:17:11.257944 False [   18808.342848] 0003 0036 000002ba
2022-03-16 15:17:11.275166 False [   18808.359303] 0003 0035 00000015
2022-03-16 15:17:11.275166 False [   18808.359303] 0003 0036 000002ba
2022-03-16 15:17:11.288346 False [   18808.375666] 0003 0035 00000015
2022-03-16 15:17:11.288346 False [   18808.375666] 0003 0036 000002ba
2022-03-16 15:17:11.305282 False [   18808.392137] 0003 0035 00000015
2022-03-16 15:17:11.305282 False [   18808.392137] 0003 0036 000002b6
2022-03-16 15:17:11.323728 False [   18808.410355] 0003 0035 00000015
2022-03-16 15:17:11.323728 False [   18808.410355] 0003 0036 000002b6
2022-03-16 15:17:11.339825 False [   18808.427066] 0003 0035 00000015
2022-03-16 15:17:11.339825 False [   18808.427066] 0003 0036 000002b6
2022-03-16 15:17:11.358170 False [   18808.444059] 0003 0035 00000015
2022-03-16 15:17:11.358170 False [   18808.444059] 0003 0036 000002b6
2022-03-16 15:17:11.372957 False [   18808.459893] 0003 0035 00000015
2022-03-16 15:17:11.372957 False [   18808.459893] 0003 0036 000002b6
2022-03-16 15:17:11.389917 False [   18808.476978] 0003 0035 00000015
2022-03-16 15:17:11.389917 False [   18808.476978] 0003 0036 000002b6
2022-03-16 15:17:11.408276 False [   18808.494579] 0003 0035 00000015
2022-03-16 15:17:11.408276 False [   18808.494579] 0003 0036 000002b6
2022-03-16 15:17:11.424062 False [   18808.511502] 0003 0035 00000015
2022-03-16 15:17:11.424062 False [   18808.511502] 0003 0036 000002b6
2022-03-16 15:17:11.441967 False [   18808.528427] 0003 0035 00000015
2022-03-16 15:17:11.442933 False [   18808.528427] 0003 0036 000002b6
2022-03-16 15:17:11.459325 False [   18808.546444] 0003 0035 00000015
2022-03-16 15:17:11.459325 False [   18808.546444] 0003 0036 000002b6
2022-03-16 15:17:11.476788 False [   18808.563162] 0003 0035 00000015
2022-03-16 15:17:11.476788 False [   18808.563162] 0003 0036 000002b6
2022-03-16 15:17:11.492716 False [   18808.579880] 0003 0035 00000015
2022-03-16 15:17:11.492716 False [   18808.579880] 0003 0036 000002b6
2022-03-16 15:17:11.509450 False [   18808.596643] 0003 0035 00000019
2022-03-16 15:17:11.509450 False [   18808.596643] 0003 0036 000002b8
2022-03-16 15:17:11.528464 False [   18808.614187] 0003 0035 00000019
2022-03-16 15:17:11.528464 False [   18808.614187] 0003 0036 000002b8
2022-03-16 15:17:11.544843 False [   18808.630921] 0003 0035 0000001e
2022-03-16 15:17:11.544843 False [   18808.630921] 0003 0036 000002ba
2022-03-16 15:17:11.563448 False [   18808.647054] 0003 0035 00000022
2022-03-16 15:17:11.563448 False [   18808.647054] 0003 0036 000002ba
2022-03-16 15:17:11.579323 False [   18808.663881] 0003 0035 00000022
2022-03-16 15:17:11.579323 False [   18808.663881] 0003 0036 000002ba
2022-03-16 15:17:11.831340 False [   18808.918916] 0003 0035 00000014
2022-03-16 15:17:11.831340 False [   18808.918916] 0003 0036 000002c5
2022-03-16 15:17:11.848932 False [   18808.936402] 0003 0035 00000014
2022-03-16 15:17:11.848932 False [   18808.936402] 0003 0036 000002c5
2022-03-16 15:17:11.865077 False [   18808.952819] 0003 0035 00000014
2022-03-16 15:17:11.865077 False [   18808.952819] 0003 0036 000002c5
2022-03-16 15:17:11.884601 False [   18808.970295] 0003 0035 00000014
2022-03-16 15:17:11.884601 False [   18808.970295] 0003 0036 000002c5
2022-03-16 15:17:11.901301 False [   18808.987250] 0003 0035 00000014
2022-03-16 15:17:11.901301 False [   18808.987250] 0003 0036 000002c5
2022-03-16 15:17:11.916648 False [   18809.003357] 0003 0035 00000014
2022-03-16 15:17:11.916648 False [   18809.003357] 0003 0036 000002c5
2022-03-16 15:17:11.933685 False [   18809.020150] 0003 0035 00000014
2022-03-16 15:17:11.934687 False [   18809.020150] 0003 0036 000002c5
2022-03-16 15:17:11.949998 False [   18809.037884] 0003 0035 00000014
2022-03-16 15:17:11.949998 False [   18809.037884] 0003 0036 000002c5
2022-03-16 15:17:11.969297 False [   18809.054816] 0003 0035 00000014
2022-03-16 15:17:11.969297 False [   18809.054816] 0003 0036 000002c5
2022-03-16 15:17:11.984352 False [   18809.071604] 0003 0035 00000014
2022-03-16 15:17:11.984352 False [   18809.071604] 0003 0036 000002c5
2022-03-16 15:17:12.000863 False [   18809.088372] 0003 0035 00000014
2022-03-16 15:17:12.001883 False [   18809.088372] 0003 0036 000002c5
2022-03-16 15:17:12.020580 False [   18809.105443] 0003 0035 00000014
2022-03-16 15:17:12.020580 False [   18809.105443] 0003 0036 000002c5
2022-03-16 15:17:12.034765 False [   18809.122194] 0003 0035 00000014
2022-03-16 15:17:12.034765 False [   18809.122194] 0003 0036 000002c5
2022-03-16 15:17:12.052226 False [   18809.139733] 0003 0035 00000014
2022-03-16 15:17:12.052226 False [   18809.139733] 0003 0036 000002c5
2022-03-16 15:17:12.068900 False [   18809.155437] 0003 0035 00000014
2022-03-16 15:17:12.068900 False [   18809.155437] 0003 0036 000002c5
2022-03-16 15:17:12.085478 False [   18809.173392] 0003 0035 00000014
2022-03-16 15:17:12.085478 False [   18809.173392] 0003 0036 000002c5
2022-03-16 15:17:12.102372 False [   18809.189946] 0003 0035 00000014
2022-03-16 15:17:12.102372 False [   18809.189946] 0003 0036 000002c5
2022-03-16 15:17:12.118952 False [   18809.206628] 0003 0035 00000014
2022-03-16 15:17:12.118952 False [   18809.206628] 0003 0036 000002c5
2022-03-16 15:17:12.136645 False [   18809.224245] 0003 0035 00000014
2022-03-16 15:17:12.137612 False [   18809.224245] 0003 0036 000002c5
2022-03-16 15:17:12.154889 False [   18809.240821] 0003 0035 00000014
2022-03-16 15:17:12.154889 False [   18809.240821] 0003 0036 000002c5
2022-03-16 15:17:12.172192 False [   18809.258200] 0003 0035 00000014
2022-03-16 15:17:12.172192 False [   18809.258200] 0003 0036 000002c5
2022-03-16 15:17:12.189874 False [   18809.274439] 0003 0035 00000014
2022-03-16 15:17:12.189874 False [   18809.274439] 0003 0036 000002c5
2022-03-16 15:17:12.205032 False [   18809.291223] 0003 0035 00000014
2022-03-16 15:17:12.205032 False [   18809.291223] 0003 0036 000002c5
2022-03-16 15:17:12.221060 False [   18809.307580] 0003 0035 00000014
2022-03-16 15:17:12.221060 False [   18809.307580] 0003 0036 000002c5
2022-03-16 15:17:12.239772 False [   18809.324485] 0003 0035 00000014
2022-03-16 15:17:12.239772 False [   18809.324485] 0003 0036 000002c5
2022-03-16 15:17:12.256784 False [   18809.341505] 0003 0035 00000014
2022-03-16 15:17:12.256784 False [   18809.341505] 0003 0036 000002c5
2022-03-16 15:17:12.272866 False [   18809.359040] 0003 0035 00000014
2022-03-16 15:17:12.272866 False [   18809.359040] 0003 0036 000002c5
2022-03-16 15:17:12.593266 False [   18809.680497] 0003 0035 0000001a
2022-03-16 15:17:12.593266 False [   18809.680497] 0003 0036 000002bf
