Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.0931176187513074 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:19:09.366412 True [   18926.451397] 0003 0036 00000102
2022-03-16 15:19:09.383036 True [   18926.467584] 0003 0035 0000037d
2022-03-16 15:19:09.383036 True [   18926.467584] 0003 0036 00000102
2022-03-16 15:19:09.403256 True [   18926.484134] 0003 0035 00000387
2022-03-16 15:19:09.403256 True [   18926.484134] 0003 0036 00000108
2022-03-16 15:19:09.419126 True [   18926.502097] 0003 0035 00000397
2022-03-16 15:19:09.419126 True [   18926.502097] 0003 0036 00000113
2022-03-16 15:19:09.433684 True [   18926.518139] 0003 0035 000003a7
2022-03-16 15:19:09.434681 True [   18926.518139] 0003 0036 00000122
2022-03-16 15:19:09.451653 True [   18926.535171] 0003 0035 000003b7
2022-03-16 15:19:09.452634 True [   18926.535171] 0003 0036 00000133
2022-03-16 15:19:09.467903 True [   18926.551693] 0003 0035 000003ca
2022-03-16 15:19:09.467903 True [   18926.551693] 0003 0036 00000145
2022-03-16 15:19:09.485248 True [   18926.568861] 0003 0035 000003e1
2022-03-16 15:19:09.485248 True [   18926.568861] 0003 0036 00000156
2022-03-16 15:19:09.505999 True [   18926.586122] 0003 0035 000003f6
2022-03-16 15:19:09.505999 True [   18926.586122] 0003 0036 00000166
2022-03-16 15:19:09.517756 True [   18926.602500] 0003 0035 00000406
2022-03-16 15:19:09.517756 True [   18926.602500] 0003 0036 00000174
2022-03-16 15:19:09.536520 True [   18926.619530] 0003 0035 00000411
2022-03-16 15:19:09.536520 True [   18926.619530] 0003 0036 0000017e
2022-03-16 15:19:09.551369 True [   18926.636818] 0003 0035 00000418
2022-03-16 15:19:09.552373 True [   18926.636818] 0003 0036 00000185
2022-03-16 15:19:09.569432 True [   18926.653564] 0003 0035 0000041c
2022-03-16 15:19:09.569432 True [   18926.653564] 0003 0036 00000189
2022-03-16 15:19:09.589237 True [   18926.670618] 0003 0035 0000041c
2022-03-16 15:19:09.590239 True [   18926.670618] 0003 0036 00000189
2022-03-16 15:19:09.606545 True [   18926.687176] 0003 0035 00000415
2022-03-16 15:19:09.607515 True [   18926.687176] 0003 0036 00000186
2022-03-16 15:19:09.622184 True [   18926.704161] 0003 0035 00000403
2022-03-16 15:19:09.622184 True [   18926.704161] 0003 0036 0000017b
2022-03-16 15:19:09.638801 True [   18926.721232] 0003 0035 000003eb
2022-03-16 15:19:09.638801 True [   18926.721232] 0003 0036 0000016a
2022-03-16 15:19:09.654619 True [   18926.738480] 0003 0035 000003cb
2022-03-16 15:19:09.654619 True [   18926.738480] 0003 0036 00000154
2022-03-16 15:19:09.671687 True [   18926.755416] 0003 0035 000003a7
2022-03-16 15:19:09.671687 True [   18926.755416] 0003 0036 0000013b
2022-03-16 15:19:09.688216 True [   18926.772611] 0003 0035 00000381
2022-03-16 15:19:09.688216 True [   18926.772611] 0003 0036 00000121
2022-03-16 15:19:09.705797 True [   18926.789500] 0003 0035 0000035b
2022-03-16 15:19:09.706808 True [   18926.789500] 0003 0036 00000109
2022-03-16 15:19:09.723753 True [   18926.806299] 0003 0035 0000033d
2022-03-16 15:19:09.723753 True [   18926.806299] 0003 0036 000000f4
2022-03-16 15:19:09.739242 True [   18926.822847] 0003 0035 00000326
2022-03-16 15:19:09.739242 True [   18926.822847] 0003 0036 000000e2
2022-03-16 15:19:09.756349 True [   18926.839708] 0003 0035 00000315
2022-03-16 15:19:09.756349 False [   18926.839708] 0003 0036 000000d4
2022-03-16 15:19:09.773048 False [   18926.857339] 0003 0035 0000030a
2022-03-16 15:19:09.773048 False [   18926.857339] 0003 0036 000000ca
2022-03-16 15:19:09.793891 False [   18926.873488] 0003 0035 00000304
2022-03-16 15:19:09.793891 False [   18926.873488] 0003 0036 000000c4
2022-03-16 15:19:09.808636 False [   18926.890782] 0003 0035 00000304
2022-03-16 15:19:09.808636 False [   18926.890782] 0003 0036 000000c4
2022-03-16 15:19:09.828046 False [   18926.908253] 0003 0035 00000304
2022-03-16 15:19:09.828046 False [   18926.908253] 0003 0036 000000c4
2022-03-16 15:19:09.843227 False [   18926.924343] 0003 0035 00000307
2022-03-16 15:19:09.843227 False [   18926.924343] 0003 0036 000000cf
2022-03-16 15:19:09.857291 False [   18926.941563] 0003 0035 00000312
2022-03-16 15:19:09.857291 True [   18926.941563] 0003 0036 000000e0
2022-03-16 15:19:09.876679 True [   18926.958438] 0003 0035 00000327
2022-03-16 15:19:09.876679 True [   18926.958438] 0003 0036 000000f6
2022-03-16 15:19:09.893530 True [   18926.975386] 0003 0035 0000033f
2022-03-16 15:19:09.893530 True [   18926.975386] 0003 0036 0000010e
2022-03-16 15:19:09.910813 True [   18926.992657] 0003 0035 0000035a
2022-03-16 15:19:09.910813 True [   18926.992657] 0003 0036 00000127
2022-03-16 15:19:09.926820 True [   18927.010120] 0003 0035 00000378
2022-03-16 15:19:09.927823 True [   18927.010120] 0003 0036 0000013f
2022-03-16 15:19:09.940668 True [   18927.025982] 0003 0035 00000395
2022-03-16 15:19:09.941618 True [   18927.025982] 0003 0036 00000156
2022-03-16 15:19:09.958387 True [   18927.042898] 0003 0035 000003ae
2022-03-16 15:19:09.958387 True [   18927.042898] 0003 0036 0000016b
2022-03-16 15:19:09.975881 True [   18927.060416] 0003 0035 000003c7
2022-03-16 15:19:09.976894 True [   18927.060416] 0003 0036 0000017d
2022-03-16 15:19:10.000403 True [   18927.077779] 0003 0035 000003e1
2022-03-16 15:19:10.000403 True [   18927.077779] 0003 0036 0000018c
