Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.5690930576673584 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:22:38.239818 False [   19135.319452] 0003 0036 0000007e
2022-03-16 15:22:38.257285 False [   19135.335040] 0003 0035 0000048a
2022-03-16 15:22:38.257285 False [   19135.335040] 0003 0036 0000007e
2022-03-16 15:22:38.274028 False [   19135.352084] 0003 0035 0000048a
2022-03-16 15:22:38.274028 False [   19135.352084] 0003 0036 0000007e
2022-03-16 15:22:38.291431 False [   19135.369153] 0003 0035 0000048a
2022-03-16 15:22:38.291431 False [   19135.369153] 0003 0036 0000007e
2022-03-16 15:22:38.306533 False [   19135.386896] 0003 0035 0000048a
2022-03-16 15:22:38.306533 False [   19135.386896] 0003 0036 0000007e
2022-03-16 15:22:38.321899 False [   19135.402495] 0003 0035 0000048a
2022-03-16 15:22:38.322891 False [   19135.402495] 0003 0036 0000007e
2022-03-16 15:22:38.338870 False [   19135.418960] 0003 0035 0000048a
2022-03-16 15:22:38.338870 False [   19135.418960] 0003 0036 0000007e
2022-03-16 15:22:38.360311 False [   19135.436435] 0003 0035 0000048a
2022-03-16 15:22:38.360311 False [   19135.436435] 0003 0036 0000007e
2022-03-16 15:22:38.373265 False [   19135.453206] 0003 0035 0000048a
2022-03-16 15:22:38.373265 False [   19135.453206] 0003 0036 0000007e
2022-03-16 15:22:39.072559 False [   19136.149558] 0003 0035 000002b8
2022-03-16 15:22:39.073570 True [   19136.149558] 0003 0036 000001bf
2022-03-16 15:22:39.085815 True [   19136.166124] 0003 0035 000002b8
2022-03-16 15:22:39.085815 True [   19136.166124] 0003 0036 000001bf
2022-03-16 15:22:39.108019 True [   19136.183033] 0003 0035 000002b8
2022-03-16 15:22:39.108019 True [   19136.183033] 0003 0036 000001bf
2022-03-16 15:22:39.122231 True [   19136.199479] 0003 0035 000002b8
2022-03-16 15:22:39.122231 True [   19136.199479] 0003 0036 000001bf
2022-03-16 15:22:39.138881 True [   19136.215469] 0003 0035 000002b8
2022-03-16 15:22:39.138881 True [   19136.215469] 0003 0036 000001bf
2022-03-16 15:22:39.152879 True [   19136.232297] 0003 0035 000002b8
2022-03-16 15:22:39.153873 True [   19136.232297] 0003 0036 000001bf
2022-03-16 15:22:39.170902 True [   19136.249013] 0003 0035 000002b8
2022-03-16 15:22:39.170902 True [   19136.249013] 0003 0036 000001bf
2022-03-16 15:22:39.185950 True [   19136.266319] 0003 0035 000002b8
2022-03-16 15:22:39.190894 True [   19136.266319] 0003 0036 000001bf
2022-03-16 15:22:39.205906 True [   19136.282878] 0003 0035 000002b8
2022-03-16 15:22:39.205906 True [   19136.282878] 0003 0036 000001bf
2022-03-16 15:22:40.039100 False [   19137.115210] 0003 0035 000004e8
2022-03-16 15:22:40.039100 False [   19137.115210] 0003 0036 000000ad
2022-03-16 15:22:40.051051 False [   19137.131345] 0003 0035 000004e8
