Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.776466884781658 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:24:28.846500 False [   19245.921482] 0003 0036 00000035
2022-03-16 15:24:28.863430 False [   19245.938105] 0003 0035 000004f1
2022-03-16 15:24:28.863430 False [   19245.938105] 0003 0036 00000035
2022-03-16 15:24:28.880398 False [   19245.954574] 0003 0035 000004f1
2022-03-16 15:24:28.880398 False [   19245.954574] 0003 0036 00000035
2022-03-16 15:24:28.897200 False [   19245.972103] 0003 0035 000004f1
2022-03-16 15:24:28.897200 False [   19245.972103] 0003 0036 00000035
2022-03-16 15:24:28.910364 False [   19245.988073] 0003 0035 000004f1
2022-03-16 15:24:28.910364 False [   19245.988073] 0003 0036 00000035
2022-03-16 15:24:29.646726 False [   19246.718361] 0003 0035 000004de
2022-03-16 15:24:29.646726 False [   19246.718361] 0003 0036 00000031
2022-03-16 15:24:29.656722 False [   19246.734684] 0003 0035 000004de
2022-03-16 15:24:29.656722 False [   19246.734684] 0003 0036 00000031
2022-03-16 15:24:29.674354 False [   19246.751206] 0003 0035 000004de
2022-03-16 15:24:29.674354 False [   19246.751206] 0003 0036 00000031
2022-03-16 15:24:29.692762 False [   19246.768128] 0003 0035 000004de
2022-03-16 15:24:29.692762 False [   19246.768128] 0003 0036 00000031
2022-03-16 15:24:29.708549 False [   19246.786090] 0003 0035 000004de
2022-03-16 15:24:29.708549 False [   19246.786090] 0003 0036 00000031
2022-03-16 15:24:29.723503 False [   19246.801553] 0003 0035 000004de
2022-03-16 15:24:29.723503 False [   19246.801553] 0003 0036 00000031
2022-03-16 15:24:29.744074 False [   19246.818985] 0003 0035 000004de
2022-03-16 15:24:29.744074 False [   19246.818985] 0003 0036 00000031
2022-03-16 15:24:29.760631 False [   19246.837112] 0003 0035 000004de
2022-03-16 15:24:29.760631 False [   19246.837112] 0003 0036 00000031
2022-03-16 15:24:29.776904 False [   19246.851617] 0003 0035 000004de
2022-03-16 15:24:29.776904 False [   19246.851617] 0003 0036 00000031
2022-03-16 15:24:30.747658 False [   19247.818154] 0003 0035 0000040c
2022-03-16 15:24:30.747658 False [   19247.818154] 0003 0036 000000ad
2022-03-16 15:24:30.758631 False [   19247.834262] 0003 0035 0000040c
2022-03-16 15:24:30.758631 False [   19247.834262] 0003 0036 000000ad
2022-03-16 15:24:30.774565 False [   19247.851245] 0003 0035 0000040c
2022-03-16 15:24:30.774565 False [   19247.851245] 0003 0036 000000ad
2022-03-16 15:24:30.791516 False [   19247.868211] 0003 0035 0000040c
2022-03-16 15:24:30.791516 False [   19247.868211] 0003 0036 000000ad
2022-03-16 15:24:30.807443 False [   19247.885353] 0003 0035 0000040c
2022-03-16 15:24:30.807443 False [   19247.885353] 0003 0036 000000ad
2022-03-16 15:24:30.824401 False [   19247.902265] 0003 0035 0000040c
