Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.5177620144684285 
    wm_size = [1200 1920] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 17:43:29.503493 False [   27586.901572] 0003 0036 000000af
2022-03-16 17:43:29.536203 False [   27586.934884] 0003 0035 00000436
2022-03-16 17:43:29.536203 False [   27586.934884] 0003 0036 000000af
2022-03-16 17:43:29.552576 False [   27586.952235] 0003 0035 00000436
2022-03-16 17:43:29.553564 False [   27586.952235] 0003 0036 000000af
2022-03-16 17:43:29.569619 False [   27586.968386] 0003 0035 00000436
2022-03-16 17:43:29.569619 False [   27586.968386] 0003 0036 000000af
2022-03-16 17:43:29.586306 False [   27586.985758] 0003 0035 00000436
2022-03-16 17:43:29.586306 False [   27586.985758] 0003 0036 000000af
2022-03-16 17:43:29.602159 False [   27587.001184] 0003 0035 00000436
2022-03-16 17:43:29.602159 False [   27587.001184] 0003 0036 000000af
2022-03-16 17:43:30.993714 False [   27588.390802] 0003 0035 000003c9
2022-03-16 17:43:30.993714 True [   27588.390802] 0003 0036 000001b5
2022-03-16 17:43:31.009196 True [   27588.407886] 0003 0035 000003c9
2022-03-16 17:43:31.010208 True [   27588.407886] 0003 0036 000001b5
2022-03-16 17:43:31.026147 True [   27588.425907] 0003 0035 000003c9
2022-03-16 17:43:31.027666 True [   27588.425907] 0003 0036 000001b5
2022-03-16 17:43:31.043124 True [   27588.442455] 0003 0035 000003c9
2022-03-16 17:43:31.043124 True [   27588.442455] 0003 0036 000001b5
2022-03-16 17:43:31.060222 True [   27588.459148] 0003 0035 000003c9
2022-03-16 17:43:31.060222 True [   27588.459148] 0003 0036 000001b5
2022-03-16 17:43:31.076429 True [   27588.475752] 0003 0035 000003c9
2022-03-16 17:43:31.076429 True [   27588.475752] 0003 0036 000001b5
2022-03-16 17:43:31.095569 True [   27588.493739] 0003 0035 000003c9
2022-03-16 17:43:31.096568 True [   27588.493739] 0003 0036 000001b5
2022-03-16 17:43:31.111347 True [   27588.509803] 0003 0035 000003c9
2022-03-16 17:43:31.111347 True [   27588.509803] 0003 0036 000001b5
2022-03-16 17:43:31.127373 True [   27588.526151] 0003 0035 000003c9
2022-03-16 17:43:31.127373 True [   27588.526151] 0003 0036 000001b5
2022-03-16 17:43:31.144131 True [   27588.542945] 0003 0035 000003c9
2022-03-16 17:43:31.144131 True [   27588.542945] 0003 0036 000001b5
2022-03-16 17:43:32.602132 True [   27590.001269] 0003 0035 00000314
2022-03-16 17:43:32.602132 True [   27590.001269] 0003 0036 000001db
2022-03-16 17:43:32.619286 True [   27590.018492] 0003 0035 00000314
2022-03-16 17:43:32.619286 True [   27590.018492] 0003 0036 000001db
2022-03-16 17:43:32.636221 True [   27590.035291] 0003 0035 00000314
2022-03-16 17:43:32.636221 True [   27590.035291] 0003 0036 000001db
2022-03-16 17:43:32.654140 True [   27590.051923] 0003 0035 00000314
2022-03-16 17:43:32.654140 True [   27590.051923] 0003 0036 000001db
2022-03-16 17:43:32.670912 True [   27590.069591] 0003 0035 00000314
2022-03-16 17:43:32.670912 True [   27590.069591] 0003 0036 000001db
2022-03-16 17:43:32.686590 True [   27590.085596] 0003 0035 00000314
2022-03-16 17:43:32.686590 True [   27590.085596] 0003 0036 000001db
2022-03-16 17:43:32.704159 True [   27590.102117] 0003 0035 00000314
2022-03-16 17:43:32.704159 True [   27590.102117] 0003 0036 000001db
2022-03-16 17:43:33.670375 False [   27591.069440] 0003 0035 000004db
2022-03-16 17:43:33.671386 False [   27591.069440] 0003 0036 00000031
2022-03-16 17:43:33.687092 False [   27591.086285] 0003 0035 000004db
2022-03-16 17:43:33.687092 False [   27591.086285] 0003 0036 00000031
2022-03-16 17:43:33.704709 False [   27591.103032] 0003 0035 000004db
2022-03-16 17:43:33.705707 False [   27591.103032] 0003 0036 00000031
2022-03-16 17:43:33.721758 False [   27591.119555] 0003 0035 000004db
2022-03-16 17:43:33.721758 False [   27591.119555] 0003 0036 00000031
2022-03-16 17:43:33.736885 False [   27591.136413] 0003 0035 000004db
2022-03-16 17:43:33.736885 False [   27591.136413] 0003 0036 00000031
2022-03-16 17:43:35.280884 False [   27592.678824] 0003 0035 00000422
2022-03-16 17:43:35.280884 False [   27592.678824] 0003 0036 000000bb
2022-03-16 17:43:35.297859 False [   27592.695835] 0003 0035 00000422
2022-03-16 17:43:35.297859 False [   27592.695835] 0003 0036 000000bb
2022-03-16 17:43:35.314832 False [   27592.713075] 0003 0035 00000422
2022-03-16 17:43:35.314832 False [   27592.713075] 0003 0036 000000bb
2022-03-16 17:43:35.330913 False [   27592.729700] 0003 0035 00000422
2022-03-16 17:43:35.330913 False [   27592.729700] 0003 0036 000000bb
2022-03-16 17:43:35.348071 False [   27592.747064] 0003 0035 00000422
2022-03-16 17:43:35.348071 False [   27592.747064] 0003 0036 000000bb
2022-03-16 17:43:35.363869 False [   27592.763279] 0003 0035 00000422
2022-03-16 17:43:35.363869 False [   27592.763279] 0003 0036 000000bb
2022-03-16 17:43:36.363265 True [   27593.763071] 0003 0035 00000314
2022-03-16 17:43:36.364273 True [   27593.763071] 0003 0036 000001bf
2022-03-16 17:43:36.382304 True [   27593.780579] 0003 0035 00000314
2022-03-16 17:43:36.382304 True [   27593.780579] 0003 0036 000001bf
2022-03-16 17:43:36.398550 True [   27593.797691] 0003 0035 00000314
2022-03-16 17:43:36.398550 True [   27593.797691] 0003 0036 000001bf
2022-03-16 17:43:36.415520 True [   27593.814719] 0003 0035 00000314
2022-03-16 17:43:36.415520 True [   27593.814719] 0003 0036 000001bf
2022-03-16 17:43:36.431327 True [   27593.830464] 0003 0035 00000314
2022-03-16 17:43:36.431327 True [   27593.830464] 0003 0036 000001bf
2022-03-16 17:43:36.448892 True [   27593.848283] 0003 0035 00000314
2022-03-16 17:43:36.448892 True [   27593.848283] 0003 0036 000001bf
2022-03-16 17:43:36.465061 True [   27593.864096] 0003 0035 00000314
2022-03-16 17:43:36.465061 True [   27593.864096] 0003 0036 000001bf
2022-03-16 17:43:37.195082 True [   27594.594118] 0003 0035 00000383
2022-03-16 17:43:37.195082 False [   27594.594118] 0003 0036 0000028c
2022-03-16 17:43:37.211381 False [   27594.610800] 0003 0035 00000383
2022-03-16 17:43:37.211968 False [   27594.610800] 0003 0036 0000028c
2022-03-16 17:43:37.228112 False [   27594.626906] 0003 0035 00000383
2022-03-16 17:43:37.228112 False [   27594.626906] 0003 0036 0000028c
2022-03-16 17:43:37.244525 False [   27594.643884] 0003 0035 00000383
2022-03-16 17:43:37.244525 False [   27594.643884] 0003 0036 0000028c
2022-03-16 17:43:37.261459 False [   27594.660930] 0003 0035 00000383
2022-03-16 17:43:37.261459 False [   27594.660930] 0003 0036 0000028c
2022-03-16 17:43:37.279335 False [   27594.677464] 0003 0035 00000383
2022-03-16 17:43:37.279335 False [   27594.677464] 0003 0036 0000028c
2022-03-16 17:43:37.837933 False [   27595.236822] 0003 0035 000003b5
2022-03-16 17:43:37.837933 False [   27595.236822] 0003 0036 00000276
2022-03-16 17:43:37.854869 False [   27595.253900] 0003 0035 000003b5
2022-03-16 17:43:37.854869 False [   27595.253900] 0003 0036 00000276
2022-03-16 17:43:37.871512 False [   27595.270901] 0003 0035 000003b5
2022-03-16 17:43:37.871512 False [   27595.270901] 0003 0036 00000276
2022-03-16 17:43:37.889382 False [   27595.287833] 0003 0035 000003b5
2022-03-16 17:43:37.889382 False [   27595.287833] 0003 0036 00000276
2022-03-16 17:43:37.906167 False [   27595.304910] 0003 0035 000003b5
2022-03-16 17:43:37.906167 False [   27595.304910] 0003 0036 00000276
2022-03-16 17:43:37.923424 False [   27595.321792] 0003 0035 000003b5
2022-03-16 17:43:37.923424 False [   27595.321792] 0003 0036 00000276
2022-03-16 17:43:37.940992 False [   27595.338832] 0003 0035 000003b5
2022-03-16 17:43:37.940992 False [   27595.338832] 0003 0036 00000276
2022-03-16 17:43:37.956295 False [   27595.355409] 0003 0035 000003b5
2022-03-16 17:43:37.956295 False [   27595.355409] 0003 0036 00000276
2022-03-16 17:43:37.973619 False [   27595.372587] 0003 0035 000003b5
2022-03-16 17:43:37.973619 False [   27595.372587] 0003 0036 00000276
2022-03-16 17:43:37.990790 False [   27595.389277] 0003 0035 000003b5
2022-03-16 17:43:37.990790 False [   27595.389277] 0003 0036 00000276
2022-03-16 17:43:38.007388 False [   27595.406546] 0003 0035 000003b5
2022-03-16 17:43:38.007388 False [   27595.406546] 0003 0036 00000276
2022-03-16 17:43:38.024550 False [   27595.423148] 0003 0035 000003b5
