Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7882221502565199 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:37:23.743983 0 [   34760.773406] 0003 0036 00000882
2022-03-16 19:37:23.782377 0 [   34760.813858] 0003 0036 00000881
2022-03-16 19:37:23.797419 0 [   34760.830511] 0003 0036 0000087f
2022-03-16 19:37:23.806818 0 [   34760.838721] 0003 0036 0000087e
2022-03-16 19:37:23.814809 0 [   34760.847182] 0003 0036 0000087c
2022-03-16 19:37:23.823377 0 [   34760.855450] 0003 0036 0000087b
2022-03-16 19:37:23.832588 0 [   34760.863809] 0003 0036 00000879
2022-03-16 19:37:23.840995 0 [   34760.872038] 0003 0036 00000878
2022-03-16 19:37:23.849384 0 [   34760.880468] 0003 0036 00000876
2022-03-16 19:37:23.857721 0 [   34760.888573] 0003 0036 00000874
2022-03-16 19:37:23.866024 0 [   34760.897125] 0003 0036 00000873
2022-03-16 19:37:23.872367 0 [   34760.905228] 0003 0036 00000871
2022-03-16 19:37:23.882372 0 [   34760.913826] 0003 0036 0000086f
2022-03-16 19:37:23.889287 0 [   34760.922227] 0003 0036 0000086d
2022-03-16 19:37:23.896635 0 [   34760.930306] 0003 0036 0000086b
2022-03-16 19:37:23.905462 0 [   34760.938475] 0003 0036 00000869
2022-03-16 19:37:23.914138 0 [   34760.946839] 0003 0036 00000867
2022-03-16 19:37:23.921309 0 [   34760.955166] 0003 0036 00000865
2022-03-16 19:37:23.930689 0 [   34760.963513] 0003 0036 00000864
2022-03-16 19:37:23.940341 0 [   34760.971723] 0003 0036 00000862
2022-03-16 19:37:23.947639 0 [   34760.980366] 0003 0036 00000861
2022-03-16 19:37:23.957169 0 [   34760.988350] 0003 0036 0000085f
2022-03-16 19:37:23.965467 0 [   34760.996773] 0003 0036 0000085e
2022-03-16 19:37:23.972354 0 [   34761.004999] 0003 0036 0000085c
2022-03-16 19:37:23.981976 0 [   34761.013822] 0003 0036 0000085a
2022-03-16 19:37:23.989964 0 [   34761.021625] 0003 0036 00000859
2022-03-16 19:37:23.999940 0 [   34761.031003] 0003 0036 00000858
2022-03-16 19:37:24.007926 0 [   34761.038370] 0003 0036 00000856
2022-03-16 19:37:24.015398 0 [   34761.046700] 0003 0036 00000854
2022-03-16 19:37:24.033417 0 [   34761.063653] 0003 0036 00000852
2022-03-16 19:37:24.042250 0 [   34761.071475] 0003 0036 00000851
2022-03-16 19:37:24.050404 0 [   34761.080116] 0003 0036 00000850
2022-03-16 19:37:24.057498 0 [   34761.088050] 0003 0036 0000084f
2022-03-16 19:37:24.068408 0 [   34761.096559] 0003 0036 0000084e
2022-03-16 19:37:24.074897 0 [   34761.104823] 0003 0036 0000084d
2022-03-16 19:37:24.081885 0 [   34761.113323] 0003 0036 0000084c
2022-03-16 19:37:24.092027 0 [   34761.121366] 0003 0036 0000084b
2022-03-16 19:37:24.106479 0 [   34761.137910] 0003 0036 0000084a
2022-03-16 19:37:24.114349 0 [   34761.146625] 0003 0036 00000848
2022-03-16 19:37:24.125369 0 [   34761.154572] 0003 0036 00000847
2022-03-16 19:37:24.140352 0 [   34761.171719] 0003 0036 00000845
2022-03-16 19:37:24.147178 0 [   34761.179888] 0003 0036 00000844
2022-03-16 19:37:24.156276 0 [   34761.187864] 0003 0036 00000843
2022-03-16 19:37:24.165068 0 [   34761.196505] 0003 0036 00000842
2022-03-16 19:37:24.173722 0 [   34761.204406] 0003 0036 00000841
2022-03-16 19:37:24.181085 0 [   34761.212876] 0003 0036 0000083f
2022-03-16 19:37:24.191501 0 [   34761.221255] 0003 0036 0000083e
2022-03-16 19:37:24.207165 0 [   34761.238098] 0003 0036 0000083d
2022-03-16 19:37:24.213154 0 [   34761.246486] 0003 0036 0000083b
2022-03-16 19:37:24.223879 0 [   34761.254529] 0003 0036 0000083a
2022-03-16 19:37:24.240343 0 [   34761.270910] 0003 0036 00000839
2022-03-16 19:37:24.248999 0 [   34761.279283] 0003 0036 00000838
2022-03-16 19:37:24.256814 0 [   34761.287522] 0003 0036 00000837
2022-03-16 19:37:24.264706 0 [   34761.296072] 0003 0036 00000836
2022-03-16 19:37:24.284047 0 [   34761.312658] 0003 0036 00000835
2022-03-16 19:37:24.322349 0 [   34761.354077] 0003 0036 00000834
2022-03-16 19:37:24.357865 0 [   34761.387288] 0003 0036 00000833
2022-03-16 19:37:24.511404 0 [   34761.545336] 0003 0036 00000832
2022-03-16 19:37:24.546277 0 [   34761.578843] 0003 0036 00000831
2022-03-16 19:37:24.613036 0 [   34761.645776] 0003 0036 00000830
2022-03-16 19:37:24.644944 0 [   34761.678788] 0003 0036 0000082f
2022-03-16 19:37:24.680134 0 [   34761.712063] 0003 0036 0000082e
2022-03-16 19:37:24.713012 0 [   34761.745122] 0003 0036 0000082d
2022-03-16 19:37:24.745258 0 [   34761.777909] 0003 0036 0000082c
2022-03-16 19:37:24.763630 0 [   34761.794691] 0003 0036 0000082a
2022-03-16 19:37:24.771608 0 [   34761.802746] 0003 0036 00000829
2022-03-16 19:37:24.780591 0 [   34761.812388] 0003 0036 00000828
2022-03-16 19:37:24.790209 0 [   34761.819841] 0003 0036 00000827
2022-03-16 19:37:24.796193 0 [   34761.827799] 0003 0036 00000826
2022-03-16 19:37:24.803311 0 [   34761.836039] 0003 0036 00000824
2022-03-16 19:37:24.811274 0 [   34761.844629] 0003 0036 00000822
2022-03-16 19:37:24.822354 0 [   34761.852695] 0003 0036 00000820
2022-03-16 19:37:24.828780 0 [   34761.861440] 0003 0036 0000081e
2022-03-16 19:37:24.838387 0 [   34761.869181] 0003 0036 0000081b
2022-03-16 19:37:24.845481 0 [   34761.877669] 0003 0036 0000081a
2022-03-16 19:37:24.854027 0 [   34761.885915] 0003 0036 00000817
2022-03-16 19:37:24.862354 0 [   34761.895044] 0003 0036 00000815
2022-03-16 19:37:24.871202 0 [   34761.902546] 0003 0036 00000812
2022-03-16 19:37:24.879762 0 [   34761.911179] 0003 0036 0000080f
2022-03-16 19:37:24.887368 0 [   34761.919288] 0003 0036 0000080d
2022-03-16 19:37:24.896491 0 [   34761.928332] 0003 0036 0000080a
2022-03-16 19:37:24.904748 0 [   34761.935758] 0003 0036 00000807
2022-03-16 19:37:24.912177 0 [   34761.944390] 0003 0036 00000804
2022-03-16 19:37:24.920248 0 [   34761.952399] 0003 0036 000007ff
2022-03-16 19:37:24.929240 0 [   34761.960789] 0003 0036 000007fb
2022-03-16 19:37:24.936209 0 [   34761.969227] 0003 0036 000007f7
2022-03-16 19:37:24.946032 0 [   34761.977406] 0003 0036 000007f3
