Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.55604959485662 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:39:16.419446 False [   34873.445103] 0003 0036 000009e5
2022-03-16 19:39:16.433411 False [   34873.461230] 0003 0035 000002cf
2022-03-16 19:39:16.434414 False [   34873.461230] 0003 0036 000009e0
2022-03-16 19:39:16.439035 False [   34873.469698] 0003 0035 000002d6
2022-03-16 19:39:16.439035 False [   34873.469698] 0003 0036 000009d4
2022-03-16 19:39:16.450073 False [   34873.477797] 0003 0035 000002de
2022-03-16 19:39:16.450073 False [   34873.477797] 0003 0036 000009c7
2022-03-16 19:39:16.455848 False [   34873.486122] 0003 0035 000002e8
2022-03-16 19:39:16.455848 False [   34873.486122] 0003 0036 000009bc
2022-03-16 19:39:16.465892 False [   34873.494307] 0003 0035 000002ee
2022-03-16 19:39:16.465892 False [   34873.494307] 0003 0036 000009b5
2022-03-16 19:39:16.472162 False [   34873.502799] 0003 0035 000002f6
2022-03-16 19:39:16.472162 False [   34873.502799] 0003 0036 000009a4
2022-03-16 19:39:16.482231 False [   34873.511008] 0003 0035 00000300
2022-03-16 19:39:16.482231 False [   34873.511008] 0003 0036 0000098f
2022-03-16 19:39:16.490013 False [   34873.519451] 0003 0035 0000030e
2022-03-16 19:39:16.490013 False [   34873.519451] 0003 0036 00000979
2022-03-16 19:39:16.497455 False [   34873.527769] 0003 0035 0000031d
2022-03-16 19:39:16.497455 False [   34873.527769] 0003 0036 0000095f
2022-03-16 19:39:16.505860 False [   34873.536052] 0003 0035 0000032a
2022-03-16 19:39:16.506839 False [   34873.536052] 0003 0036 00000946
2022-03-16 19:39:16.512869 False [   34873.544344] 0003 0035 00000338
2022-03-16 19:39:16.512869 False [   34873.544344] 0003 0036 0000092f
2022-03-16 19:39:16.521350 False [   34873.552702] 0003 0035 0000034e
2022-03-16 19:39:16.521350 False [   34873.552702] 0003 0036 00000909
2022-03-16 19:39:16.532617 False [   34873.560891] 0003 0035 00000360
2022-03-16 19:39:16.532617 False [   34873.560891] 0003 0036 000008e9
2022-03-16 19:39:16.539373 False [   34873.569363] 0003 0035 00000371
2022-03-16 19:39:16.539373 False [   34873.569363] 0003 0036 000008cc
2022-03-16 19:39:16.546167 False [   34873.577480] 0003 0035 00000380
2022-03-16 19:39:16.546167 False [   34873.577480] 0003 0036 000008ae
2022-03-16 19:39:16.554518 False [   34873.585938] 0003 0035 00000391
2022-03-16 19:39:16.554518 False [   34873.585938] 0003 0036 0000088c
2022-03-16 19:39:16.564176 False [   34873.594162] 0003 0035 0000039d
2022-03-16 19:39:16.564176 False [   34873.594162] 0003 0036 0000086e
2022-03-16 19:39:16.571017 False [   34873.602551] 0003 0035 000003ad
2022-03-16 19:39:16.571017 False [   34873.602551] 0003 0036 0000084b
2022-03-16 19:39:16.580843 False [   34873.610724] 0003 0035 000003bd
2022-03-16 19:39:16.580843 False [   34873.610724] 0003 0036 00000828
