Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.083491420835297 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:47:16.635086 False [   35353.651043] 0003 0036 000009f8
2022-03-16 19:47:16.650579 False [   35353.675019] 0003 0035 000003c3
2022-03-16 19:47:16.650579 False [   35353.675019] 0003 0036 000009f7
2022-03-16 19:47:16.660063 False [   35353.683175] 0003 0035 000003bf
2022-03-16 19:47:16.660063 False [   35353.683175] 0003 0036 000009f5
2022-03-16 19:47:16.666772 False [   35353.691610] 0003 0035 000003bb
2022-03-16 19:47:16.666772 False [   35353.691610] 0003 0036 000009f1
2022-03-16 19:47:16.678207 False [   35353.699859] 0003 0035 000003b7
2022-03-16 19:47:16.678207 False [   35353.699859] 0003 0036 000009eb
2022-03-16 19:47:16.685189 False [   35353.708231] 0003 0035 000003b2
2022-03-16 19:47:16.685189 False [   35353.708231] 0003 0036 000009dd
2022-03-16 19:47:16.694165 False [   35353.716387] 0003 0035 000003ae
2022-03-16 19:47:16.694165 False [   35353.716387] 0003 0036 000009cd
2022-03-16 19:47:16.702317 False [   35353.724876] 0003 0035 000003ab
2022-03-16 19:47:16.702317 False [   35353.724876] 0003 0036 000009c1
2022-03-16 19:47:16.712940 False [   35353.733222] 0003 0035 000003a9
2022-03-16 19:47:16.712940 False [   35353.733222] 0003 0036 000009b9
2022-03-16 19:47:16.725780 False [   35353.741540] 0003 0035 000003a7
2022-03-16 19:47:16.725780 False [   35353.741540] 0003 0036 000009a9
2022-03-16 19:47:16.729474 False [   35353.749817] 0003 0035 000003a4
2022-03-16 19:47:16.729474 False [   35353.749817] 0003 0036 00000998
2022-03-16 19:47:16.736398 False [   35353.758103] 0003 0036 0000098e
2022-03-16 19:47:16.744362 False [   35353.766372] 0003 0035 000003a3
2022-03-16 19:47:16.744362 False [   35353.766372] 0003 0036 0000097a
2022-03-16 19:47:16.752350 False [   35353.774709] 0003 0035 000003a2
2022-03-16 19:47:16.752350 False [   35353.774709] 0003 0036 00000964
2022-03-16 19:47:16.761134 False [   35353.782908] 0003 0035 000003a1
2022-03-16 19:47:16.761134 False [   35353.782908] 0003 0036 00000950
2022-03-16 19:47:16.766313 False [   35353.791371] 0003 0036 0000093a
2022-03-16 19:47:16.774501 False [   35353.799645] 0003 0036 00000924
2022-03-16 19:47:16.784339 False [   35353.807995] 0003 0036 0000090d
2022-03-16 19:47:16.793364 False [   35353.816255] 0003 0035 000003a0
2022-03-16 19:47:16.793364 False [   35353.816255] 0003 0036 000008f5
2022-03-16 19:47:16.804680 False [   35353.824654] 0003 0036 000008dc
2022-03-16 19:47:16.810608 False [   35353.832788] 0003 0036 000008c4
2022-03-16 19:47:16.817609 False [   35353.841185] 0003 0036 000008ab
2022-03-16 19:47:16.826580 False [   35353.849428] 0003 0036 00000892
2022-03-16 19:47:16.835689 False [   35353.857930] 0003 0036 0000087b
2022-03-16 19:47:16.843127 False [   35353.866085] 0003 0035 000003a1
2022-03-16 19:47:16.843127 False [   35353.866085] 0003 0036 0000085f
2022-03-16 19:47:16.851178 False [   35353.874490] 0003 0035 000003a4
2022-03-16 19:47:16.851178 False [   35353.874490] 0003 0036 00000847
2022-03-16 19:47:16.860859 False [   35353.882760] 0003 0035 000003a6
2022-03-16 19:47:16.860859 False [   35353.882760] 0003 0036 0000082d
2022-03-16 19:47:16.869316 False [   35353.891129] 0003 0035 000003a9
2022-03-16 19:47:16.869316 False [   35353.891129] 0003 0036 00000815
2022-03-16 19:47:16.877310 False [   35353.899325] 0003 0035 000003aa
2022-03-16 19:47:16.877310 False [   35353.899325] 0003 0036 000007fc
2022-03-16 19:47:16.884595 False [   35353.907781] 0003 0035 000003ad
2022-03-16 19:47:16.884595 False [   35353.907781] 0003 0036 000007e8
2022-03-16 19:47:16.893172 False [   35353.916075] 0003 0035 000003b0
2022-03-16 19:47:16.893172 False [   35353.916075] 0003 0036 000007d4
2022-03-16 19:47:16.902018 False [   35353.924516] 0003 0035 000003b2
2022-03-16 19:47:16.902018 False [   35353.924516] 0003 0036 000007b9
2022-03-16 19:47:16.911863 False [   35353.933592] 0003 0035 000003b4
2022-03-16 19:47:16.911863 False [   35353.933592] 0003 0036 000007a2
2022-03-16 19:47:16.918548 False [   35353.941046] 0003 0035 000003b6
2022-03-16 19:47:16.918548 False [   35353.941046] 0003 0036 00000788
2022-03-16 19:47:16.926225 False [   35353.949177] 0003 0035 000003b8
2022-03-16 19:47:16.926225 False [   35353.949177] 0003 0036 00000770
2022-03-16 19:47:16.938384 False [   35353.957635] 0003 0035 000003ba
2022-03-16 19:47:16.938384 False [   35353.957635] 0003 0036 00000753
2022-03-16 19:47:16.944529 False [   35353.965910] 0003 0035 000003bd
2022-03-16 19:47:16.944529 False [   35353.965910] 0003 0036 00000737
2022-03-16 19:47:16.950031 False [   35353.974243] 0003 0035 000003bf
2022-03-16 19:47:16.951043 False [   35353.974243] 0003 0036 00000718
2022-03-16 19:47:16.960446 False [   35353.982583] 0003 0035 000003c1
2022-03-16 19:47:16.960446 False [   35353.982583] 0003 0036 000006f9
2022-03-16 19:47:16.966743 False [   35353.990843] 0003 0035 000003c4
2022-03-16 19:47:16.967756 False [   35353.990843] 0003 0036 000006da
2022-03-16 19:47:16.975374 False [   35353.999066] 0003 0035 000003c5
2022-03-16 19:47:16.975374 False [   35353.999066] 0003 0036 000006b9
