Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5750715930537553 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:37:44.160125 False [  144178.085668] 0003 0036 000001bc
2022-04-02 13:37:44.283544 False [  144178.209253] 0003 0035 000000f7
2022-04-02 13:37:44.283544 False [  144178.209253] 0003 0036 000001bd
2022-04-02 13:37:44.290412 False [  144178.216351] 0003 0035 000000f9
2022-04-02 13:37:44.290412 False [  144178.216351] 0003 0036 000001bf
2022-04-02 13:37:44.298497 False [  144178.224734] 0003 0035 000000fa
2022-04-02 13:37:44.298497 False [  144178.224734] 0003 0036 000001c1
2022-04-02 13:37:44.306959 False [  144178.232869] 0003 0035 000000fd
2022-04-02 13:37:44.306959 False [  144178.232869] 0003 0036 000001c4
2022-04-02 13:37:44.316616 False [  144178.242086] 0003 0035 000000ff
2022-04-02 13:37:44.316616 False [  144178.242086] 0003 0036 000001c8
2022-04-02 13:37:44.324010 False [  144178.249623] 0003 0035 00000101
2022-04-02 13:37:44.324010 False [  144178.249623] 0003 0036 000001cb
2022-04-02 13:37:44.332762 False [  144178.257990] 0003 0035 00000103
2022-04-02 13:37:44.332762 False [  144178.257990] 0003 0036 000001d0
2022-04-02 13:37:44.340264 False [  144178.266083] 0003 0035 00000105
2022-04-02 13:37:44.340264 False [  144178.266083] 0003 0036 000001d6
2022-04-02 13:37:44.349433 False [  144178.274724] 0003 0035 00000107
2022-04-02 13:37:44.349433 False [  144178.274724] 0003 0036 000001dc
2022-04-02 13:37:44.356079 False [  144178.282746] 0003 0035 00000108
2022-04-02 13:37:44.356079 False [  144178.282746] 0003 0036 000001e3
2022-04-02 13:37:44.365197 False [  144178.291224] 0003 0035 0000010b
2022-04-02 13:37:44.366191 False [  144178.291224] 0003 0036 000001e9
2022-04-02 13:37:44.373147 False [  144178.299404] 0003 0036 000001ef
2022-04-02 13:37:44.383235 False [  144178.308105] 0003 0035 0000010d
2022-04-02 13:37:44.383235 False [  144178.308105] 0003 0036 000001f4
2022-04-02 13:37:44.390489 False [  144178.316272] 0003 0035 0000010f
2022-04-02 13:37:44.390489 False [  144178.316272] 0003 0036 000001f8
2022-04-02 13:37:44.398681 False [  144178.324437] 0003 0036 000001fb
2022-04-02 13:37:44.405937 False [  144178.332677] 0003 0035 00000111
2022-04-02 13:37:44.405937 False [  144178.332677] 0003 0036 000001ff
2022-04-02 13:37:44.414901 False [  144178.341013] 0003 0035 00000112
2022-04-02 13:37:44.414901 False [  144178.341013] 0003 0036 00000204
2022-04-02 13:37:44.422024 False [  144178.349262] 0003 0036 00000207
2022-04-02 13:37:44.431635 False [  144178.357644] 0003 0035 00000113
2022-04-02 13:37:44.431635 False [  144178.357644] 0003 0036 0000020b
2022-04-02 13:37:44.438970 False [  144178.365859] 0003 0035 00000115
2022-04-02 13:37:44.438970 False [  144178.365859] 0003 0036 0000020f
2022-04-02 13:37:44.447947 False [  144178.374692] 0003 0035 00000116
2022-04-02 13:37:44.447947 False [  144178.374692] 0003 0036 00000214
2022-04-02 13:37:44.456294 False [  144178.382976] 0003 0036 00000219
2022-04-02 13:37:44.472278 False [  144178.399155] 0003 0035 00000119
2022-04-02 13:37:44.472278 False [  144178.399155] 0003 0036 0000021f
2022-04-02 13:37:44.481415 False [  144178.407501] 0003 0035 0000011a
2022-04-02 13:37:44.481415 False [  144178.407501] 0003 0036 00000226
2022-04-02 13:37:44.489845 False [  144178.416034] 0003 0035 0000011c
2022-04-02 13:37:44.489845 False [  144178.416034] 0003 0036 0000022b
2022-04-02 13:37:44.498595 False [  144178.424573] 0003 0035 0000011d
2022-04-02 13:37:44.498595 False [  144178.424573] 0003 0036 00000230
2022-04-02 13:37:44.505940 False [  144178.432362] 0003 0035 0000011f
2022-04-02 13:37:44.505940 False [  144178.432362] 0003 0036 00000235
2022-04-02 13:37:44.515405 False [  144178.441061] 0003 0035 00000121
2022-04-02 13:37:44.515405 False [  144178.441061] 0003 0036 00000239
2022-04-02 13:37:44.521901 False [  144178.449256] 0003 0035 00000123
2022-04-02 13:37:44.521901 False [  144178.449256] 0003 0036 0000023e
2022-04-02 13:37:44.530503 False [  144178.457338] 0003 0035 00000124
2022-04-02 13:37:44.530503 False [  144178.457338] 0003 0036 00000241
2022-04-02 13:37:44.539220 False [  144178.465591] 0003 0035 00000127
2022-04-02 13:37:44.539220 False [  144178.465591] 0003 0036 00000245
2022-04-02 13:37:44.548241 False [  144178.474003] 0003 0035 00000128
2022-04-02 13:37:44.548241 False [  144178.474003] 0003 0036 00000249
2022-04-02 13:37:44.555711 False [  144178.482200] 0003 0035 0000012a
2022-04-02 13:37:44.555711 False [  144178.482200] 0003 0036 0000024b
2022-04-02 13:37:44.563896 False [  144178.490622] 0003 0035 0000012b
2022-04-02 13:37:44.563896 False [  144178.490622] 0003 0036 0000024e
2022-04-02 13:37:44.572509 False [  144178.499123] 0003 0035 0000012c
2022-04-02 13:37:44.572509 False [  144178.499123] 0003 0036 00000250
2022-04-02 13:37:44.581692 False [  144178.508081] 0003 0035 0000012e
2022-04-02 13:37:44.581692 False [  144178.508081] 0003 0036 00000254
2022-04-02 13:37:44.588673 False [  144178.515510] 0003 0035 0000012f
2022-04-02 13:37:44.588673 False [  144178.515510] 0003 0036 00000256
2022-04-02 13:37:44.598017 False [  144178.524277] 0003 0035 00000130
2022-04-02 13:37:44.598017 False [  144178.524277] 0003 0036 0000025a
2022-04-02 13:37:44.607032 False [  144178.532116] 0003 0035 00000132
2022-04-02 13:37:44.607032 False [  144178.532116] 0003 0036 0000025c
2022-04-02 13:37:44.615306 False [  144178.540928] 0003 0035 00000133
2022-04-02 13:37:44.615306 False [  144178.540928] 0003 0036 0000025f
2022-04-02 13:37:44.622014 False [  144178.548846] 0003 0035 00000134
2022-04-02 13:37:44.622014 False [  144178.548846] 0003 0036 00000261
2022-04-02 13:37:44.631854 False [  144178.557335] 0003 0035 00000136
2022-04-02 13:37:44.631854 False [  144178.557335] 0003 0036 00000264
2022-04-02 13:37:44.647780 False [  144178.573757] 0003 0035 00000139
2022-04-02 13:37:44.647780 False [  144178.573757] 0003 0036 00000269
2022-04-02 13:37:44.655592 False [  144178.582084] 0003 0035 0000013a
2022-04-02 13:37:44.655592 False [  144178.582084] 0003 0036 0000026c
2022-04-02 13:37:44.663901 False [  144178.590423] 0003 0035 0000013d
2022-04-02 13:37:44.663901 False [  144178.590423] 0003 0036 0000026f
2022-04-02 13:37:44.671830 False [  144178.598694] 0003 0035 0000013e
2022-04-02 13:37:44.671830 False [  144178.598694] 0003 0036 00000272
2022-04-02 13:37:44.681995 False [  144178.607470] 0003 0035 00000140
2022-04-02 13:37:44.681995 False [  144178.607470] 0003 0036 00000275
2022-04-02 13:37:44.689894 False [  144178.615245] 0003 0035 00000141
2022-04-02 13:37:44.689894 False [  144178.615245] 0003 0036 00000277
2022-04-02 13:37:44.698901 False [  144178.624489] 0003 0035 00000143
2022-04-02 13:37:44.698901 False [  144178.624489] 0003 0036 0000027a
2022-04-02 13:37:44.705392 False [  144178.631947] 0003 0035 00000144
2022-04-02 13:37:44.705392 False [  144178.631947] 0003 0036 0000027e
2022-04-02 13:37:44.714505 False [  144178.640791] 0003 0035 00000146
2022-04-02 13:37:44.714505 False [  144178.640791] 0003 0036 00000280
2022-04-02 13:37:44.721910 False [  144178.648527] 0003 0035 00000148
2022-04-02 13:37:44.721910 False [  144178.648527] 0003 0036 00000284
2022-04-02 13:37:44.730562 False [  144178.657185] 0003 0035 00000149
2022-04-02 13:37:44.730562 False [  144178.657185] 0003 0036 00000287
2022-04-02 13:37:44.740080 False [  144178.665185] 0003 0035 0000014b
2022-04-02 13:37:44.740080 False [  144178.665185] 0003 0036 00000289
2022-04-02 13:37:44.746594 False [  144178.673645] 0003 0035 0000014c
2022-04-02 13:37:44.746594 False [  144178.673645] 0003 0036 0000028c
2022-04-02 13:37:44.755613 False [  144178.681878] 0003 0035 0000014d
2022-04-02 13:37:44.755613 False [  144178.681878] 0003 0036 0000028e
2022-04-02 13:37:44.763950 False [  144178.690531] 0003 0035 0000014f
2022-04-02 13:37:44.763950 False [  144178.690531] 0003 0036 00000291
2022-04-02 13:37:44.771939 False [  144178.698508] 0003 0036 00000293
2022-04-02 13:37:44.780403 False [  144178.707311] 0003 0035 00000151
2022-04-02 13:37:44.780403 False [  144178.707311] 0003 0036 00000295
2022-04-02 13:37:44.788761 False [  144178.714989] 0003 0035 00000152
2022-04-02 13:37:44.788761 False [  144178.714989] 0003 0036 00000298
2022-04-02 13:37:44.797455 False [  144178.723759] 0003 0035 00000153
2022-04-02 13:37:44.797455 False [  144178.723759] 0003 0036 0000029a
2022-04-02 13:37:44.805616 False [  144178.731608] 0003 0035 00000154
2022-04-02 13:37:44.805616 False [  144178.731608] 0003 0036 0000029c
2022-04-02 13:37:44.814129 False [  144178.739998] 0003 0035 00000156
2022-04-02 13:37:44.814129 False [  144178.739998] 0003 0036 0000029e
2022-04-02 13:37:44.822081 False [  144178.748549] 0003 0036 000002a1
