Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.659885543289989 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:39:11.968036 False [  144265.892141] 0003 0036 000001c4
2022-04-02 13:39:12.050643 False [  144265.974386] 0003 0035 000000ed
2022-04-02 13:39:12.058629 False [  144265.982665] 0003 0035 000000ee
2022-04-02 13:39:12.058629 False [  144265.982665] 0003 0036 000001c5
2022-04-02 13:39:12.067618 False [  144265.991144] 0003 0035 000000ef
2022-04-02 13:39:12.067618 False [  144265.991144] 0003 0036 000001c6
2022-04-02 13:39:12.074176 False [  144265.999206] 0003 0035 000000f0
2022-04-02 13:39:12.074176 False [  144265.999206] 0003 0036 000001c8
2022-04-02 13:39:12.082845 False [  144266.007973] 0003 0035 000000f2
2022-04-02 13:39:12.082845 False [  144266.007973] 0003 0036 000001ca
2022-04-02 13:39:12.090951 False [  144266.016108] 0003 0036 000001cb
2022-04-02 13:39:12.100159 False [  144266.024730] 0003 0035 000000f4
2022-04-02 13:39:12.100159 False [  144266.024730] 0003 0036 000001ce
2022-04-02 13:39:12.107348 False [  144266.032456] 0003 0035 000000f5
2022-04-02 13:39:12.107348 False [  144266.032456] 0003 0036 000001cf
2022-04-02 13:39:12.115581 False [  144266.041163] 0003 0035 000000f6
2022-04-02 13:39:12.115581 False [  144266.041163] 0003 0036 000001d2
2022-04-02 13:39:12.132313 False [  144266.057815] 0003 0035 000000f9
2022-04-02 13:39:12.133273 False [  144266.057815] 0003 0036 000001d6
2022-04-02 13:39:12.140356 False [  144266.065667] 0003 0035 000000fa
2022-04-02 13:39:12.140356 False [  144266.065667] 0003 0036 000001d9
2022-04-02 13:39:12.149094 False [  144266.074607] 0003 0035 000000fc
2022-04-02 13:39:12.149094 False [  144266.074607] 0003 0036 000001db
2022-04-02 13:39:12.157526 False [  144266.082315] 0003 0035 000000fd
2022-04-02 13:39:12.157526 False [  144266.082315] 0003 0036 000001df
2022-04-02 13:39:12.165555 False [  144266.090752] 0003 0035 000000ff
2022-04-02 13:39:12.165555 False [  144266.090752] 0003 0036 000001e2
2022-04-02 13:39:12.174159 False [  144266.098896] 0003 0035 00000100
2022-04-02 13:39:12.174159 False [  144266.098896] 0003 0036 000001e4
2022-04-02 13:39:12.182312 False [  144266.107695] 0003 0035 00000101
2022-04-02 13:39:12.182312 False [  144266.107695] 0003 0036 000001e7
2022-04-02 13:39:12.190233 False [  144266.115515] 0003 0035 00000103
2022-04-02 13:39:12.190233 False [  144266.115515] 0003 0036 000001ea
2022-04-02 13:39:12.198950 False [  144266.124313] 0003 0035 00000104
2022-04-02 13:39:12.198950 False [  144266.124313] 0003 0036 000001ec
2022-04-02 13:39:12.216626 False [  144266.140929] 0003 0035 00000106
2022-04-02 13:39:12.216626 False [  144266.140929] 0003 0036 000001ef
2022-04-02 13:39:12.224797 False [  144266.148732] 0003 0035 00000108
2022-04-02 13:39:12.224797 False [  144266.148732] 0003 0036 000001f2
2022-04-02 13:39:12.232231 False [  144266.157174] 0003 0035 00000109
2022-04-02 13:39:12.232231 False [  144266.157174] 0003 0036 000001f5
2022-04-02 13:39:12.240508 False [  144266.165413] 0003 0035 0000010a
2022-04-02 13:39:12.240508 False [  144266.165413] 0003 0036 000001f7
2022-04-02 13:39:12.248767 False [  144266.174131] 0003 0035 0000010b
2022-04-02 13:39:12.248767 False [  144266.174131] 0003 0036 000001f9
2022-04-02 13:39:12.257190 False [  144266.182008] 0003 0035 0000010c
2022-04-02 13:39:12.257190 False [  144266.182008] 0003 0036 000001fb
2022-04-02 13:39:12.275130 False [  144266.198714] 0003 0035 0000010f
2022-04-02 13:39:12.275130 False [  144266.198714] 0003 0036 000001fe
2022-04-02 13:39:12.283363 False [  144266.207823] 0003 0035 00000110
2022-04-02 13:39:12.283363 False [  144266.207823] 0003 0036 00000200
2022-04-02 13:39:12.290219 False [  144266.215468] 0003 0035 00000112
2022-04-02 13:39:12.290562 False [  144266.215468] 0003 0036 00000202
2022-04-02 13:39:12.299035 False [  144266.223796] 0003 0035 00000113
2022-04-02 13:39:12.299035 False [  144266.223796] 0003 0036 00000203
2022-04-02 13:39:12.307228 False [  144266.232077] 0003 0035 00000115
2022-04-02 13:39:12.307228 False [  144266.232077] 0003 0036 00000206
2022-04-02 13:39:12.315596 False [  144266.240851] 0003 0035 00000116
2022-04-02 13:39:12.315596 False [  144266.240851] 0003 0036 00000207
2022-04-02 13:39:12.324406 False [  144266.248588] 0003 0035 00000118
2022-04-02 13:39:12.324406 False [  144266.248588] 0003 0036 00000209
2022-04-02 13:39:12.331369 False [  144266.256946] 0003 0035 0000011a
2022-04-02 13:39:12.331369 False [  144266.256946] 0003 0036 0000020b
2022-04-02 13:39:12.340284 False [  144266.265351] 0003 0035 0000011b
2022-04-02 13:39:12.340284 False [  144266.265351] 0003 0036 0000020d
2022-04-02 13:39:12.348476 False [  144266.273885] 0003 0035 0000011d
2022-04-02 13:39:12.348476 False [  144266.273885] 0003 0036 0000020f
2022-04-02 13:39:12.357253 False [  144266.281935] 0003 0035 0000011e
2022-04-02 13:39:12.357253 False [  144266.281935] 0003 0036 00000211
2022-04-02 13:39:12.364695 False [  144266.290385] 0003 0035 00000120
2022-04-02 13:39:12.364695 False [  144266.290385] 0003 0036 00000213
2022-04-02 13:39:12.383263 False [  144266.307248] 0003 0035 00000122
2022-04-02 13:39:12.383263 False [  144266.307248] 0003 0036 00000217
2022-04-02 13:39:12.391227 False [  144266.315185] 0003 0035 00000124
2022-04-02 13:39:12.391227 False [  144266.315185] 0003 0036 0000021a
2022-04-02 13:39:12.399537 False [  144266.323783] 0003 0035 00000126
2022-04-02 13:39:12.399537 False [  144266.323783] 0003 0036 0000021e
2022-04-02 13:39:12.407277 False [  144266.331596] 0003 0035 00000128
2022-04-02 13:39:12.407277 False [  144266.331596] 0003 0036 00000221
2022-04-02 13:39:12.415723 False [  144266.340403] 0003 0035 0000012a
2022-04-02 13:39:12.415723 False [  144266.340403] 0003 0036 00000224
2022-04-02 13:39:12.422610 False [  144266.348273] 0003 0035 0000012b
2022-04-02 13:39:12.422610 False [  144266.348273] 0003 0036 00000227
2022-04-02 13:39:12.431746 False [  144266.357006] 0003 0035 0000012d
2022-04-02 13:39:12.431746 False [  144266.357006] 0003 0036 0000022a
2022-04-02 13:39:12.439652 False [  144266.364869] 0003 0035 0000012f
2022-04-02 13:39:12.439652 False [  144266.364869] 0003 0036 0000022d
2022-04-02 13:39:12.448091 False [  144266.373566] 0003 0035 00000130
2022-04-02 13:39:12.448091 False [  144266.373566] 0003 0036 0000022f
2022-04-02 13:39:12.465720 False [  144266.390832] 0003 0035 00000133
2022-04-02 13:39:12.465720 False [  144266.390832] 0003 0036 00000233
2022-04-02 13:39:12.474015 False [  144266.398223] 0003 0035 00000135
2022-04-02 13:39:12.474015 False [  144266.398223] 0003 0036 00000236
2022-04-02 13:39:12.482406 False [  144266.407164] 0003 0035 00000137
2022-04-02 13:39:12.482406 False [  144266.407164] 0003 0036 00000239
2022-04-02 13:39:12.489686 False [  144266.414938] 0003 0035 00000139
2022-04-02 13:39:12.489686 False [  144266.414938] 0003 0036 0000023d
2022-04-02 13:39:12.498119 False [  144266.423693] 0003 0035 0000013b
2022-04-02 13:39:12.498119 False [  144266.423693] 0003 0036 0000023f
2022-04-02 13:39:12.506930 False [  144266.431506] 0003 0035 0000013d
2022-04-02 13:39:12.506930 False [  144266.431506] 0003 0036 00000242
2022-04-02 13:39:12.522533 False [  144266.447914] 0003 0035 0000013f
2022-04-02 13:39:12.522533 False [  144266.447914] 0003 0036 00000246
2022-04-02 13:39:12.532104 False [  144266.456757] 0003 0035 00000141
2022-04-02 13:39:12.532104 False [  144266.456757] 0003 0036 00000249
2022-04-02 13:39:12.539736 False [  144266.464563] 0003 0035 00000144
2022-04-02 13:39:12.539736 False [  144266.464563] 0003 0036 0000024d
2022-04-02 13:39:12.547899 False [  144266.473330] 0003 0035 00000146
2022-04-02 13:39:12.547899 False [  144266.473330] 0003 0036 00000250
2022-04-02 13:39:12.555950 False [  144266.481336] 0003 0035 00000148
2022-04-02 13:39:12.555950 False [  144266.481336] 0003 0036 00000253
2022-04-02 13:39:12.564219 False [  144266.489712] 0003 0035 0000014a
2022-04-02 13:39:12.564219 False [  144266.489712] 0003 0036 00000256
2022-04-02 13:39:12.573611 False [  144266.498225] 0003 0035 0000014c
2022-04-02 13:39:12.573611 False [  144266.498225] 0003 0036 00000259
2022-04-02 13:39:12.581588 False [  144266.506471] 0003 0035 0000014d
2022-04-02 13:39:12.581588 False [  144266.506471] 0003 0036 0000025b
2022-04-02 13:39:12.589176 False [  144266.514427] 0003 0035 0000014f
2022-04-02 13:39:12.589176 False [  144266.514427] 0003 0036 0000025e
2022-04-02 13:39:12.598054 False [  144266.522837] 0003 0036 0000025f
2022-04-02 13:39:12.605951 False [  144266.531191] 0003 0035 00000150
2022-04-02 13:39:12.605951 False [  144266.531191] 0003 0036 00000261
2022-04-02 13:39:12.615372 False [  144266.539965] 0003 0035 00000152
2022-04-02 13:39:12.615372 False [  144266.539965] 0003 0036 00000264
2022-04-02 13:39:12.623262 False [  144266.548070] 0003 0035 00000153
2022-04-02 13:39:12.623262 False [  144266.548070] 0003 0036 00000265
2022-04-02 13:39:12.631049 False [  144266.556105] 0003 0035 00000154
