Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.8598711945403295 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:43:24.311236 False [  144518.232155] 0003 0036 000004cb
2022-04-02 13:43:24.392365 False [  144518.312843] 0003 0036 000004cc
2022-04-02 13:43:24.400651 False [  144518.321453] 0003 0036 000004cd
2022-04-02 13:43:24.415945 False [  144518.337918] 0003 0035 00000053
2022-04-02 13:43:24.415945 False [  144518.337918] 0003 0036 000004ce
2022-04-02 13:43:24.423762 False [  144518.346035] 0003 0035 00000054
2022-04-02 13:43:24.433152 False [  144518.354635] 0003 0035 00000055
2022-04-02 13:43:24.433152 False [  144518.354635] 0003 0036 000004cf
2022-04-02 13:43:24.441249 False [  144518.362715] 0003 0035 00000057
2022-04-02 13:43:24.450726 False [  144518.371884] 0003 0035 00000059
2022-04-02 13:43:24.457394 False [  144518.379311] 0003 0035 0000005b
2022-04-02 13:43:24.457394 False [  144518.379311] 0003 0036 000004d0
2022-04-02 13:43:24.465859 False [  144518.388109] 0003 0035 0000005d
2022-04-02 13:43:24.473788 False [  144518.396257] 0003 0035 00000060
2022-04-02 13:43:24.483398 False [  144518.404364] 0003 0035 00000062
2022-04-02 13:43:24.492012 False [  144518.412918] 0003 0035 00000065
2022-04-02 13:43:24.492012 False [  144518.412918] 0003 0036 000004d1
2022-04-02 13:43:24.499675 False [  144518.421141] 0003 0035 00000067
2022-04-02 13:43:24.507829 False [  144518.429344] 0003 0035 0000006b
2022-04-02 13:43:24.516325 False [  144518.437830] 0003 0035 0000006d
2022-04-02 13:43:24.524440 False [  144518.445824] 0003 0035 0000006f
2022-04-02 13:43:24.533570 False [  144518.454683] 0003 0035 00000072
2022-04-02 13:43:24.541239 False [  144518.462741] 0003 0035 00000075
2022-04-02 13:43:24.549712 False [  144518.471094] 0003 0035 00000077
2022-04-02 13:43:24.557889 False [  144518.479050] 0003 0035 00000079
2022-04-02 13:43:24.557889 False [  144518.479050] 0003 0036 000004d2
2022-04-02 13:43:24.565865 False [  144518.487473] 0003 0035 0000007b
2022-04-02 13:43:24.573911 False [  144518.495790] 0003 0035 0000007d
2022-04-02 13:43:24.582066 False [  144518.504097] 0003 0035 00000080
2022-04-02 13:43:24.590340 False [  144518.512527] 0003 0035 00000082
2022-04-02 13:43:24.590340 False [  144518.512527] 0003 0036 000004d3
2022-04-02 13:43:24.600225 False [  144518.521389] 0003 0035 00000084
