Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.1833950819581911 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:47:20.426818 False [  144754.342133] 0003 0036 000002dc
2022-04-02 13:47:20.666952 False [  144754.581325] 0003 0036 000002dd
2022-04-02 13:47:20.671384 False [  144754.589045] 0003 0035 000000e5
2022-04-02 13:47:20.671384 False [  144754.589045] 0003 0036 000002de
2022-04-02 13:47:20.678603 False [  144754.597419] 0003 0035 000000e6
2022-04-02 13:47:20.678603 False [  144754.597419] 0003 0036 000002df
2022-04-02 13:47:20.690389 False [  144754.606031] 0003 0035 000000e8
2022-04-02 13:47:20.695996 False [  144754.614280] 0003 0036 000002e1
2022-04-02 13:47:20.705143 False [  144754.622408] 0003 0035 000000ea
2022-04-02 13:47:20.706142 False [  144754.622408] 0003 0036 000002e2
2022-04-02 13:47:20.712911 False [  144754.630571] 0003 0035 000000eb
2022-04-02 13:47:20.712911 False [  144754.630571] 0003 0036 000002e4
2022-04-02 13:47:20.722977 False [  144754.639303] 0003 0035 000000ec
2022-04-02 13:47:20.722977 False [  144754.639303] 0003 0036 000002e5
2022-04-02 13:47:20.730314 False [  144754.647213] 0003 0035 000000ee
2022-04-02 13:47:20.730314 False [  144754.647213] 0003 0036 000002e7
2022-04-02 13:47:20.738527 False [  144754.655595] 0003 0035 000000ef
2022-04-02 13:47:20.738527 False [  144754.655595] 0003 0036 000002e9
2022-04-02 13:47:20.745963 False [  144754.663876] 0003 0035 000000f1
2022-04-02 13:47:20.745963 False [  144754.663876] 0003 0036 000002ec
2022-04-02 13:47:20.755044 False [  144754.672425] 0003 0035 000000f4
2022-04-02 13:47:20.755044 False [  144754.672425] 0003 0036 000002ef
2022-04-02 13:47:20.763794 False [  144754.680739] 0003 0035 000000f6
2022-04-02 13:47:20.763794 False [  144754.680739] 0003 0036 000002f2
2022-04-02 13:47:20.771726 False [  144754.689064] 0003 0035 000000f8
2022-04-02 13:47:20.771726 False [  144754.689064] 0003 0036 000002f4
2022-04-02 13:47:20.780542 False [  144754.697945] 0003 0035 000000fa
2022-04-02 13:47:20.780542 False [  144754.697945] 0003 0036 000002f7
2022-04-02 13:47:20.787636 False [  144754.705695] 0003 0035 000000fd
2022-04-02 13:47:20.787636 False [  144754.705695] 0003 0036 000002fa
2022-04-02 13:47:20.798204 False [  144754.714068] 0003 0035 000000ff
2022-04-02 13:47:20.798204 False [  144754.714068] 0003 0036 000002fe
2022-04-02 13:47:20.805907 False [  144754.722251] 0003 0035 00000101
2022-04-02 13:47:20.805907 False [  144754.722251] 0003 0036 000002ff
2022-04-02 13:47:20.813129 False [  144754.731194] 0003 0035 00000103
2022-04-02 13:47:20.813129 False [  144754.731194] 0003 0036 00000303
2022-04-02 13:47:20.822673 False [  144754.738831] 0003 0035 00000104
2022-04-02 13:47:20.822673 False [  144754.738831] 0003 0036 00000304
2022-04-02 13:47:20.830426 False [  144754.747312] 0003 0035 00000106
2022-04-02 13:47:20.830426 False [  144754.747312] 0003 0036 00000307
2022-04-02 13:47:20.838214 False [  144754.755437] 0003 0035 00000108
2022-04-02 13:47:20.839210 False [  144754.755437] 0003 0036 0000030a
2022-04-02 13:47:20.845996 False [  144754.764587] 0003 0035 0000010b
2022-04-02 13:47:20.845996 False [  144754.764587] 0003 0036 0000030d
2022-04-02 13:47:20.854927 False [  144754.771897] 0003 0035 0000010c
2022-04-02 13:47:20.854927 False [  144754.771897] 0003 0036 0000030f
2022-04-02 13:47:20.863740 False [  144754.780611] 0003 0035 0000010f
2022-04-02 13:47:20.863740 False [  144754.780611] 0003 0036 00000312
2022-04-02 13:47:20.872004 False [  144754.788686] 0003 0035 00000110
2022-04-02 13:47:20.872004 False [  144754.788686] 0003 0036 00000315
2022-04-02 13:47:20.879477 False [  144754.797175] 0003 0035 00000112
2022-04-02 13:47:20.879477 False [  144754.797175] 0003 0036 00000317
2022-04-02 13:47:20.889159 False [  144754.805344] 0003 0035 00000114
2022-04-02 13:47:20.889159 False [  144754.805344] 0003 0036 0000031a
2022-04-02 13:47:20.895940 False [  144754.813721] 0003 0035 00000116
2022-04-02 13:47:20.895940 False [  144754.813721] 0003 0036 0000031b
2022-04-02 13:47:20.906959 False [  144754.822190] 0003 0035 00000117
2022-04-02 13:47:20.906959 False [  144754.822190] 0003 0036 0000031e
2022-04-02 13:47:20.913811 False [  144754.830220] 0003 0035 00000119
2022-04-02 13:47:20.913811 False [  144754.830220] 0003 0036 0000031f
2022-04-02 13:47:20.922767 False [  144754.838347] 0003 0035 0000011a
2022-04-02 13:47:20.922767 False [  144754.838347] 0003 0036 00000322
2022-04-02 13:47:20.930575 False [  144754.847063] 0003 0035 0000011c
2022-04-02 13:47:20.930575 False [  144754.847063] 0003 0036 00000324
2022-04-02 13:47:20.939548 False [  144754.855273] 0003 0035 0000011d
2022-04-02 13:47:20.939548 False [  144754.855273] 0003 0036 00000326
2022-04-02 13:47:20.945970 False [  144754.863549] 0003 0035 0000011e
2022-04-02 13:47:20.945970 False [  144754.863549] 0003 0036 00000328
2022-04-02 13:47:20.955180 False [  144754.871861] 0003 0035 00000120
2022-04-02 13:47:20.955180 False [  144754.871861] 0003 0036 0000032a
2022-04-02 13:47:20.963769 False [  144754.880344] 0003 0035 00000122
2022-04-02 13:47:20.963769 False [  144754.880344] 0003 0036 0000032c
2022-04-02 13:47:20.971179 False [  144754.888318] 0003 0035 00000124
2022-04-02 13:47:20.971179 False [  144754.888318] 0003 0036 0000032e
2022-04-02 13:47:20.979348 False [  144754.896863] 0003 0035 00000126
2022-04-02 13:47:20.979348 False [  144754.896863] 0003 0036 00000330
2022-04-02 13:47:20.988416 False [  144754.905252] 0003 0035 00000128
2022-04-02 13:47:20.988416 False [  144754.905252] 0003 0036 00000331
2022-04-02 13:47:20.996956 False [  144754.914086] 0003 0035 0000012a
2022-04-02 13:47:20.996956 False [  144754.914086] 0003 0036 00000334
2022-04-02 13:47:21.005466 False [  144754.921782] 0003 0035 0000012b
2022-04-02 13:47:21.005466 False [  144754.921782] 0003 0036 00000335
2022-04-02 13:47:21.012075 False [  144754.929940] 0003 0035 0000012d
2022-04-02 13:47:21.012075 False [  144754.929940] 0003 0036 00000337
2022-04-02 13:47:21.021743 False [  144754.938392] 0003 0035 0000012f
2022-04-02 13:47:21.021743 False [  144754.938392] 0003 0036 00000339
2022-04-02 13:47:21.028193 False [  144754.946996] 0003 0035 00000131
2022-04-02 13:47:21.028193 False [  144754.946996] 0003 0036 0000033b
2022-04-02 13:47:21.038392 False [  144754.955255] 0003 0035 00000133
2022-04-02 13:47:21.038392 False [  144754.955255] 0003 0036 0000033e
2022-04-02 13:47:21.045849 False [  144754.963442] 0003 0035 00000136
2022-04-02 13:47:21.045849 False [  144754.963442] 0003 0036 00000341
2022-04-02 13:47:21.053989 False [  144754.971427] 0003 0035 00000139
2022-04-02 13:47:21.053989 False [  144754.971427] 0003 0036 00000344
2022-04-02 13:47:21.063258 False [  144754.980325] 0003 0035 0000013a
2022-04-02 13:47:21.063258 False [  144754.980325] 0003 0036 00000346
2022-04-02 13:47:21.069576 False [  144754.988097] 0003 0035 0000013d
2022-04-02 13:47:21.069576 False [  144754.988097] 0003 0036 0000034a
2022-04-02 13:47:21.079376 False [  144754.996602] 0003 0035 00000141
2022-04-02 13:47:21.079376 False [  144754.996602] 0003 0036 0000034d
2022-04-02 13:47:21.088032 False [  144755.004793] 0003 0035 00000144
2022-04-02 13:47:21.088032 False [  144755.004793] 0003 0036 00000350
2022-04-02 13:47:21.096951 False [  144755.013477] 0003 0035 00000147
2022-04-02 13:47:21.096951 False [  144755.013477] 0003 0036 00000353
2022-04-02 13:47:21.104246 False [  144755.021467] 0003 0035 0000014a
2022-04-02 13:47:21.104246 False [  144755.021467] 0003 0036 00000357
2022-04-02 13:47:21.114806 False [  144755.029946] 0003 0035 0000014c
2022-04-02 13:47:21.114806 False [  144755.029946] 0003 0036 0000035a
2022-04-02 13:47:21.120306 False [  144755.037967] 0003 0035 0000014f
2022-04-02 13:47:21.120306 False [  144755.037967] 0003 0036 0000035d
2022-04-02 13:47:21.128517 False [  144755.046371] 0003 0035 00000153
2022-04-02 13:47:21.129519 False [  144755.046371] 0003 0036 00000360
2022-04-02 13:47:21.138210 False [  144755.054748] 0003 0035 00000155
2022-04-02 13:47:21.138210 False [  144755.054748] 0003 0036 00000363
2022-04-02 13:47:21.144921 False [  144755.063186] 0003 0035 00000158
2022-04-02 13:47:21.144921 False [  144755.063186] 0003 0036 00000366
2022-04-02 13:47:21.153428 False [  144755.071149] 0003 0035 0000015b
2022-04-02 13:47:21.153428 False [  144755.071149] 0003 0036 00000369
2022-04-02 13:47:21.161229 False [  144755.079883] 0003 0035 0000015d
2022-04-02 13:47:21.161229 False [  144755.079883] 0003 0036 0000036c
2022-04-02 13:47:21.170490 False [  144755.088001] 0003 0035 0000015f
2022-04-02 13:47:21.170490 False [  144755.088001] 0003 0036 0000036e
2022-04-02 13:47:21.179455 False [  144755.096978] 0003 0035 00000161
2022-04-02 13:47:21.179455 False [  144755.096978] 0003 0036 00000370
2022-04-02 13:47:21.186710 False [  144755.104517] 0003 0035 00000164
2022-04-02 13:47:21.186710 False [  144755.104517] 0003 0036 00000373
2022-04-02 13:47:21.195815 False [  144755.113220] 0003 0035 00000165
2022-04-02 13:47:21.195815 False [  144755.113220] 0003 0036 00000375
2022-04-02 13:47:21.203543 False [  144755.121123] 0003 0035 00000168
2022-04-02 13:47:21.203543 False [  144755.121123] 0003 0036 00000378
2022-04-02 13:47:21.211454 False [  144755.129649] 0003 0035 00000169
2022-04-02 13:47:21.211454 False [  144755.129649] 0003 0036 00000379
2022-04-02 13:47:21.220981 False [  144755.138016] 0003 0035 0000016c
2022-04-02 13:47:21.220981 False [  144755.138016] 0003 0036 0000037c
2022-04-02 13:47:21.228531 False [  144755.146274] 0003 0035 0000016f
2022-04-02 13:47:21.228531 False [  144755.146274] 0003 0036 0000037f
2022-04-02 13:47:21.235866 False [  144755.154654] 0003 0035 00000170
2022-04-02 13:47:21.236868 False [  144755.154654] 0003 0036 00000381
2022-04-02 13:47:21.245936 False [  144755.163237] 0003 0035 00000172
2022-04-02 13:47:21.245936 False [  144755.163237] 0003 0036 00000383
2022-04-02 13:47:21.255047 False [  144755.170929] 0003 0035 00000173
2022-04-02 13:47:21.255047 False [  144755.170929] 0003 0036 00000384
2022-04-02 13:47:21.262801 False [  144755.179553] 0003 0035 00000175
2022-04-02 13:47:21.262801 False [  144755.179553] 0003 0036 00000387
2022-04-02 13:47:21.269194 False [  144755.187520] 0003 0035 00000176
2022-04-02 13:47:21.269194 False [  144755.187520] 0003 0036 00000389
2022-04-02 13:47:21.277642 False [  144755.195974] 0003 0035 00000178
2022-04-02 13:47:21.277642 False [  144755.195974] 0003 0036 0000038a
2022-04-02 13:47:21.286939 False [  144755.204349] 0003 0035 0000017a
2022-04-02 13:47:21.286939 False [  144755.204349] 0003 0036 0000038c
2022-04-02 13:47:21.294835 False [  144755.213570] 0003 0035 0000017b
2022-04-02 13:47:21.294835 False [  144755.213570] 0003 0036 0000038e
2022-04-02 13:47:21.303851 False [  144755.220813] 0003 0035 0000017c
2022-04-02 13:47:21.303851 False [  144755.220813] 0003 0036 0000038f
