Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6161247503994876 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:54:34.067764 False [  145187.978974] 0003 0036 000001e2
2022-04-02 13:54:34.236774 False [  145188.144998] 0003 0036 000001e3
2022-04-02 13:54:34.244255 False [  145188.152470] 0003 0036 000001e4
2022-04-02 13:54:34.251125 False [  145188.160905] 0003 0035 00000134
2022-04-02 13:54:34.259339 False [  145188.168964] 0003 0035 00000135
2022-04-02 13:54:34.259339 False [  145188.168964] 0003 0036 000001e6
2022-04-02 13:54:34.269010 False [  145188.177574] 0003 0036 000001e7
2022-04-02 13:54:34.275597 False [  145188.185661] 0003 0035 00000136
2022-04-02 13:54:34.275597 False [  145188.185661] 0003 0036 000001e8
2022-04-02 13:54:34.285247 False [  145188.194276] 0003 0036 000001e9
2022-04-02 13:54:34.291439 False [  145188.202186] 0003 0035 00000137
2022-04-02 13:54:34.291439 False [  145188.202186] 0003 0036 000001ea
2022-04-02 13:54:34.301944 False [  145188.210822] 0003 0035 00000138
2022-04-02 13:54:34.301944 False [  145188.210822] 0003 0036 000001eb
2022-04-02 13:54:34.308008 False [  145188.218815] 0003 0035 00000139
2022-04-02 13:54:34.308008 False [  145188.218815] 0003 0036 000001ec
2022-04-02 13:54:34.316933 False [  145188.227445] 0003 0035 0000013a
2022-04-02 13:54:34.326955 False [  145188.235549] 0003 0036 000001ed
2022-04-02 13:54:34.336115 False [  145188.243985] 0003 0035 0000013b
2022-04-02 13:54:34.336115 False [  145188.243985] 0003 0036 000001ee
2022-04-02 13:54:34.342036 False [  145188.252080] 0003 0035 0000013c
2022-04-02 13:54:34.342036 False [  145188.252080] 0003 0036 000001f0
2022-04-02 13:54:34.352839 False [  145188.261576] 0003 0035 0000013d
2022-04-02 13:54:34.352839 False [  145188.261576] 0003 0036 000001f1
2022-04-02 13:54:34.368066 False [  145188.277334] 0003 0035 0000013e
2022-04-02 13:54:34.374138 False [  145188.285611] 0003 0035 0000013f
2022-04-02 13:54:34.374138 False [  145188.285611] 0003 0036 000001f2
2022-04-02 13:54:34.384239 False [  145188.294062] 0003 0035 00000140
2022-04-02 13:54:34.384239 False [  145188.294062] 0003 0036 000001f3
2022-04-02 13:54:34.392777 False [  145188.302112] 0003 0035 00000141
2022-04-02 13:54:34.392777 False [  145188.302112] 0003 0036 000001f4
2022-04-02 13:54:34.401975 False [  145188.310667] 0003 0036 000001f5
2022-04-02 13:54:34.418318 False [  145188.327275] 0003 0035 00000142
2022-04-02 13:54:34.418318 False [  145188.327275] 0003 0036 000001f6
2022-04-02 13:54:34.434865 False [  145188.343635] 0003 0035 00000143
2022-04-02 13:54:34.434865 False [  145188.343635] 0003 0036 000001f7
2022-04-02 13:54:34.440666 False [  145188.352090] 0003 0035 00000144
2022-04-02 13:54:34.440666 False [  145188.352090] 0003 0036 000001f8
2022-04-02 13:54:34.450773 False [  145188.360705] 0003 0036 000001f9
2022-04-02 13:54:34.478100 False [  145188.386160] 0003 0035 00000145
2022-04-02 13:54:34.484434 False [  145188.393951] 0003 0035 00000146
2022-04-02 13:54:34.484434 False [  145188.393951] 0003 0036 000001fa
2022-04-02 13:54:34.490924 False [  145188.401727] 0003 0036 000001fb
2022-04-02 13:54:34.500713 False [  145188.410432] 0003 0035 00000147
2022-04-02 13:54:34.500713 False [  145188.410432] 0003 0036 000001fc
2022-04-02 13:54:34.519165 False [  145188.426874] 0003 0035 00000148
2022-04-02 13:54:34.519165 False [  145188.426874] 0003 0036 000001fd
2022-04-02 13:54:34.525809 False [  145188.435016] 0003 0036 000001fe
2022-04-02 13:54:34.551982 False [  145188.460480] 0003 0035 00000149
2022-04-02 13:54:34.557766 False [  145188.468273] 0003 0036 000001ff
2022-04-02 13:54:34.575277 False [  145188.484886] 0003 0035 0000014a
2022-04-02 13:54:34.575277 False [  145188.484886] 0003 0036 00000200
2022-04-02 13:54:34.583308 False [  145188.493274] 0003 0036 00000201
2022-04-02 13:54:34.590950 False [  145188.501662] 0003 0035 0000014b
2022-04-02 13:54:34.599870 False [  145188.509857] 0003 0036 00000202
2022-04-02 13:54:34.610837 False [  145188.518094] 0003 0035 0000014c
2022-04-02 13:54:34.625252 False [  145188.536246] 0003 0036 00000203
2022-04-02 13:54:34.632348 False [  145188.543220] 0003 0035 0000014d
2022-04-02 13:54:34.632348 False [  145188.543220] 0003 0036 00000204
2022-04-02 13:54:34.640392 False [  145188.551393] 0003 0035 0000014e
2022-04-02 13:54:34.640392 False [  145188.551393] 0003 0036 00000205
2022-04-02 13:54:34.649313 False [  145188.559893] 0003 0035 0000014f
2022-04-02 13:54:34.650085 False [  145188.559893] 0003 0036 00000206
2022-04-02 13:54:34.667833 False [  145188.576336] 0003 0035 00000150
2022-04-02 13:54:34.667833 False [  145188.576336] 0003 0036 00000207
2022-04-02 13:54:34.675585 False [  145188.584610] 0003 0036 00000208
2022-04-02 13:54:34.683121 False [  145188.592981] 0003 0035 00000151
2022-04-02 13:54:34.683121 False [  145188.592981] 0003 0036 00000209
2022-04-02 13:54:34.690220 False [  145188.601336] 0003 0035 00000152
2022-04-02 13:54:34.690220 False [  145188.601336] 0003 0036 0000020a
2022-04-02 13:54:34.698596 False [  145188.609641] 0003 0035 00000153
2022-04-02 13:54:34.698596 False [  145188.609641] 0003 0036 0000020b
2022-04-02 13:54:34.708869 False [  145188.618055] 0003 0036 0000020c
2022-04-02 13:54:34.716802 False [  145188.626499] 0003 0035 00000154
2022-04-02 13:54:34.716802 False [  145188.626499] 0003 0036 0000020e
2022-04-02 13:54:34.726126 False [  145188.634757] 0003 0035 00000155
2022-04-02 13:54:34.726126 False [  145188.634757] 0003 0036 0000020f
2022-04-02 13:54:34.742054 False [  145188.651068] 0003 0035 00000156
2022-04-02 13:54:34.742054 False [  145188.651068] 0003 0036 00000211
2022-04-02 13:54:34.749134 False [  145188.659602] 0003 0036 00000212
2022-04-02 13:54:34.759198 False [  145188.668293] 0003 0035 00000157
2022-04-02 13:54:34.759198 False [  145188.668293] 0003 0036 00000213
2022-04-02 13:54:34.768111 False [  145188.676451] 0003 0035 00000158
2022-04-02 13:54:34.768111 False [  145188.676451] 0003 0036 00000215
2022-04-02 13:54:34.773992 False [  145188.684522] 0003 0035 00000159
2022-04-02 13:54:34.773992 False [  145188.684522] 0003 0036 00000217
2022-04-02 13:54:34.783188 False [  145188.692890] 0003 0035 0000015a
2022-04-02 13:54:34.783188 False [  145188.692890] 0003 0036 00000219
2022-04-02 13:54:34.790516 False [  145188.700972] 0003 0035 0000015b
2022-04-02 13:54:34.790516 False [  145188.700972] 0003 0036 0000021b
2022-04-02 13:54:34.799462 False [  145188.709406] 0003 0035 0000015c
2022-04-02 13:54:34.799462 False [  145188.709406] 0003 0036 0000021d
2022-04-02 13:54:34.805890 False [  145188.717567] 0003 0035 0000015d
2022-04-02 13:54:34.805890 False [  145188.717567] 0003 0036 0000021e
2022-04-02 13:54:34.816786 False [  145188.726079] 0003 0035 0000015e
2022-04-02 13:54:34.816786 False [  145188.726079] 0003 0036 00000221
2022-04-02 13:54:34.824259 False [  145188.734240] 0003 0035 0000015f
2022-04-02 13:54:34.824259 False [  145188.734240] 0003 0036 00000223
2022-04-02 13:54:34.832708 False [  145188.742718] 0003 0035 00000160
2022-04-02 13:54:34.832708 False [  145188.742718] 0003 0036 00000225
2022-04-02 13:54:34.842114 False [  145188.751493] 0003 0035 00000161
2022-04-02 13:54:34.842114 False [  145188.751493] 0003 0036 00000228
2022-04-02 13:54:34.848778 False [  145188.759505] 0003 0035 00000162
2022-04-02 13:54:34.848778 False [  145188.759505] 0003 0036 00000229
2022-04-02 13:54:34.855913 False [  145188.767478] 0003 0035 00000164
2022-04-02 13:54:34.855913 False [  145188.767478] 0003 0036 0000022c
2022-04-02 13:54:34.865438 False [  145188.775928] 0003 0035 00000165
2022-04-02 13:54:34.865438 False [  145188.775928] 0003 0036 0000022e
2022-04-02 13:54:34.875765 False [  145188.784377] 0003 0035 00000166
2022-04-02 13:54:34.875765 False [  145188.784377] 0003 0036 00000230
2022-04-02 13:54:34.882230 False [  145188.792655] 0003 0035 00000167
2022-04-02 13:54:34.882230 False [  145188.792655] 0003 0036 00000233
2022-04-02 13:54:34.890726 False [  145188.801017] 0003 0035 00000168
2022-04-02 13:54:34.890726 False [  145188.801017] 0003 0036 00000234
2022-04-02 13:54:34.899112 False [  145188.809223] 0003 0035 00000169
2022-04-02 13:54:34.899112 False [  145188.809223] 0003 0036 00000237
2022-04-02 13:54:34.909374 False [  145188.817375] 0003 0035 0000016b
2022-04-02 13:54:34.909374 False [  145188.817375] 0003 0036 00000239
2022-04-02 13:54:34.915047 False [  145188.825777] 0003 0035 0000016c
2022-04-02 13:54:34.915047 False [  145188.825777] 0003 0036 0000023a
2022-04-02 13:54:34.923190 False [  145188.834225] 0003 0036 0000023c
2022-04-02 13:54:34.934039 False [  145188.842410] 0003 0035 0000016d
2022-04-02 13:54:34.934039 False [  145188.842410] 0003 0036 0000023e
2022-04-02 13:54:34.941958 False [  145188.850812] 0003 0035 0000016f
2022-04-02 13:54:34.941958 False [  145188.850812] 0003 0036 0000023f
2022-04-02 13:54:34.948856 False [  145188.859024] 0003 0036 00000240
2022-04-02 13:54:34.956908 False [  145188.867244] 0003 0035 00000170
2022-04-02 13:54:34.956908 False [  145188.867244] 0003 0036 00000242
2022-04-02 13:54:34.964731 False [  145188.875645] 0003 0036 00000243
2022-04-02 13:54:34.974455 False [  145188.884676] 0003 0035 00000171
2022-04-02 13:54:34.974455 False [  145188.884676] 0003 0036 00000244
2022-04-02 13:54:34.983444 False [  145188.892364] 0003 0035 00000172
2022-04-02 13:54:34.983444 False [  145188.892364] 0003 0036 00000246
2022-04-02 13:54:34.990963 False [  145188.900830] 0003 0035 00000173
2022-04-02 13:54:34.990963 False [  145188.900830] 0003 0036 00000248
2022-04-02 13:54:34.998883 False [  145188.908855] 0003 0036 00000249
2022-04-02 13:54:35.006935 False [  145188.917081] 0003 0035 00000174
2022-04-02 13:54:35.006935 False [  145188.917081] 0003 0036 0000024a
2022-04-02 13:54:35.016457 False [  145188.925529] 0003 0036 0000024c
2022-04-02 13:54:35.023981 False [  145188.933669] 0003 0035 00000175
2022-04-02 13:54:35.023981 False [  145188.933669] 0003 0036 0000024d
2022-04-02 13:54:35.032554 False [  145188.942144] 0003 0035 00000176
2022-04-02 13:54:35.032554 False [  145188.942144] 0003 0036 0000024f
2022-04-02 13:54:35.048135 False [  145188.958795] 0003 0035 00000177
2022-04-02 13:54:35.048135 False [  145188.958795] 0003 0036 00000250
2022-04-02 13:54:35.058263 False [  145188.967518] 0003 0035 00000178
2022-04-02 13:54:35.058263 False [  145188.967518] 0003 0036 00000252
2022-04-02 13:54:35.065288 False [  145188.975417] 0003 0035 00000179
2022-04-02 13:54:35.065288 False [  145188.975417] 0003 0036 00000253
2022-04-02 13:54:35.074985 False [  145188.983535] 0003 0035 0000017a
2022-04-02 13:54:35.074985 False [  145188.983535] 0003 0036 00000254
2022-04-02 13:54:35.089964 False [  145189.001484] 0003 0035 0000017b
2022-04-02 13:54:35.089964 False [  145189.001484] 0003 0036 00000256
2022-04-02 13:54:35.097741 False [  145189.008684] 0003 0035 0000017c
2022-04-02 13:54:35.097741 False [  145189.008684] 0003 0036 00000257
2022-04-02 13:54:35.108313 False [  145189.016852] 0003 0035 0000017d
2022-04-02 13:54:35.108313 False [  145189.016852] 0003 0036 00000258
2022-04-02 13:54:35.114695 False [  145189.025201] 0003 0036 00000259
2022-04-02 13:54:35.123603 False [  145189.033633] 0003 0035 0000017e
2022-04-02 13:54:35.123603 False [  145189.033633] 0003 0036 0000025a
2022-04-02 13:54:35.132690 False [  145189.041986] 0003 0036 0000025b
2022-04-02 13:54:35.140710 False [  145189.050286] 0003 0035 0000017f
2022-04-02 13:54:35.140710 False [  145189.050286] 0003 0036 0000025c
2022-04-02 13:54:35.145910 False [  145189.058444] 0003 0036 0000025d
2022-04-02 13:54:35.155898 False [  145189.066925] 0003 0035 00000180
2022-04-02 13:54:35.155898 False [  145189.066925] 0003 0036 0000025e
2022-04-02 13:54:35.163601 False [  145189.075260] 0003 0035 00000181
2022-04-02 13:54:35.163601 False [  145189.075260] 0003 0036 0000025f
2022-04-02 13:54:35.181307 False [  145189.091685] 0003 0036 00000260
2022-04-02 13:54:35.190916 False [  145189.100194] 0003 0036 00000261
2022-04-02 13:54:35.196957 False [  145189.108264] 0003 0035 00000182
2022-04-02 13:54:35.196957 False [  145189.108264] 0003 0036 00000262
2022-04-02 13:54:35.206919 False [  145189.116615] 0003 0036 00000263
2022-04-02 13:54:35.215559 False [  145189.125007] 0003 0035 00000183
2022-04-02 13:54:35.215559 False [  145189.125007] 0003 0036 00000264
2022-04-02 13:54:35.234369 False [  145189.141672] 0003 0035 00000184
2022-04-02 13:54:35.234369 False [  145189.141672] 0003 0036 00000265
2022-04-02 13:54:35.240697 False [  145189.149756] 0003 0036 00000266
2022-04-02 13:54:35.248934 False [  145189.158142] 0003 0035 00000185
2022-04-02 13:54:35.248934 False [  145189.158142] 0003 0036 00000267
2022-04-02 13:54:35.257660 False [  145189.166352] 0003 0036 00000268
2022-04-02 13:54:35.264762 False [  145189.174976] 0003 0035 00000186
2022-04-02 13:54:35.264762 False [  145189.174976] 0003 0036 00000269
2022-04-02 13:54:35.274398 False [  145189.184973] 0003 0035 00000187
2022-04-02 13:54:35.274398 False [  145189.184973] 0003 0036 0000026a
2022-04-02 13:54:35.290806 False [  145189.199726] 0003 0035 00000188
2022-04-02 13:54:35.290806 False [  145189.199726] 0003 0036 0000026b
2022-04-02 13:54:35.308474 False [  145189.216348] 0003 0035 00000189
2022-04-02 13:54:35.308474 False [  145189.216348] 0003 0036 0000026c
2022-04-02 13:54:35.315944 False [  145189.224682] 0003 0036 0000026d
2022-04-02 13:54:35.324022 False [  145189.232831] 0003 0035 0000018a
2022-04-02 13:54:35.324022 False [  145189.232831] 0003 0036 0000026e
2022-04-02 13:54:35.331461 False [  145189.241292] 0003 0035 0000018b
2022-04-02 13:54:35.331461 False [  145189.241292] 0003 0036 0000026f
2022-04-02 13:54:35.339723 False [  145189.249475] 0003 0035 0000018c
2022-04-02 13:54:35.346910 False [  145189.257878] 0003 0036 00000270
2022-04-02 13:54:35.356915 False [  145189.266096] 0003 0036 00000271
2022-04-02 13:54:35.365567 False [  145189.274528] 0003 0035 0000018d
2022-04-02 13:54:35.365567 False [  145189.274528] 0003 0036 00000272
2022-04-02 13:54:35.373264 False [  145189.282717] 0003 0035 0000018e
2022-04-02 13:54:35.373264 False [  145189.282717] 0003 0036 00000273
2022-04-02 13:54:35.382946 False [  145189.291163] 0003 0036 00000274
2022-04-02 13:54:35.389998 False [  145189.299333] 0003 0035 0000018f
2022-04-02 13:54:35.389998 False [  145189.299333] 0003 0036 00000275
2022-04-02 13:54:35.405503 False [  145189.315990] 0003 0036 00000276
2022-04-02 13:54:35.414176 False [  145189.324365] 0003 0036 00000277
2022-04-02 13:54:35.421840 False [  145189.332594] 0003 0035 00000190
2022-04-02 13:54:35.421840 False [  145189.332594] 0003 0036 00000278
2022-04-02 13:54:35.431295 False [  145189.341081] 0003 0036 00000279
2022-04-02 13:54:35.438984 False [  145189.349232] 0003 0035 00000191
2022-04-02 13:54:35.448949 False [  145189.357600] 0003 0035 00000192
2022-04-02 13:54:35.448949 False [  145189.357600] 0003 0036 0000027a
2022-04-02 13:54:35.457102 False [  145189.365845] 0003 0035 00000193
2022-04-02 13:54:35.464882 False [  145189.374255] 0003 0036 0000027b
2022-04-02 13:54:35.472948 False [  145189.382419] 0003 0036 0000027c
2022-04-02 13:54:35.480986 False [  145189.390946] 0003 0035 00000194
2022-04-02 13:54:35.480986 False [  145189.390946] 0003 0036 0000027d
2022-04-02 13:54:35.489332 False [  145189.399061] 0003 0036 0000027e
2022-04-02 13:54:35.495881 False [  145189.407430] 0003 0035 00000195
2022-04-02 13:54:35.495881 False [  145189.407430] 0003 0036 0000027f
2022-04-02 13:54:35.503383 False [  145189.415642] 0003 0035 00000196
2022-04-02 13:54:35.514512 False [  145189.424107] 0003 0036 00000280
2022-04-02 13:54:35.521740 False [  145189.432356] 0003 0035 00000197
2022-04-02 13:54:35.521740 False [  145189.432356] 0003 0036 00000281
2022-04-02 13:54:35.530620 False [  145189.440863] 0003 0036 00000282
2022-04-02 13:54:35.539784 False [  145189.448890] 0003 0036 00000283
2022-04-02 13:54:35.548311 False [  145189.457319] 0003 0035 00000198
2022-04-02 13:54:35.548311 False [  145189.457319] 0003 0036 00000284
2022-04-02 13:54:35.564827 False [  145189.473862] 0003 0035 00000199
2022-04-02 13:54:35.564827 False [  145189.473862] 0003 0036 00000286
2022-04-02 13:54:35.572763 False [  145189.482331] 0003 0035 0000019a
2022-04-02 13:54:35.572763 False [  145189.482331] 0003 0036 00000287
2022-04-02 13:54:35.580975 False [  145189.490771] 0003 0036 00000288
2022-04-02 13:54:35.598873 False [  145189.507226] 0003 0036 00000289
2022-04-02 13:54:35.606564 False [  145189.515400] 0003 0035 0000019b
2022-04-02 13:54:35.606564 False [  145189.515400] 0003 0036 0000028a
2022-04-02 13:54:35.614158 False [  145189.523792] 0003 0035 0000019c
2022-04-02 13:54:35.614158 False [  145189.523792] 0003 0036 0000028b
2022-04-02 13:54:35.623751 False [  145189.532076] 0003 0035 0000019d
2022-04-02 13:54:35.623751 False [  145189.532076] 0003 0036 0000028c
2022-04-02 13:54:35.630961 False [  145189.540501] 0003 0035 0000019e
2022-04-02 13:54:35.630961 False [  145189.540501] 0003 0036 0000028d
2022-04-02 13:54:35.638062 False [  145189.548643] 0003 0036 0000028e
2022-04-02 13:54:35.648207 False [  145189.557052] 0003 0035 0000019f
2022-04-02 13:54:35.648207 False [  145189.557052] 0003 0036 0000028f
2022-04-02 13:54:35.654378 False [  145189.565257] 0003 0035 000001a0
2022-04-02 13:54:35.654378 False [  145189.565257] 0003 0036 00000290
2022-04-02 13:54:35.664131 False [  145189.573667] 0003 0036 00000291
2022-04-02 13:54:35.675101 False [  145189.581834] 0003 0035 000001a1
2022-04-02 13:54:35.680058 False [  145189.590287] 0003 0036 00000292
2022-04-02 13:54:35.685860 False [  145189.598489] 0003 0036 00000293
2022-04-02 13:54:35.698085 False [  145189.606912] 0003 0035 000001a2
2022-04-02 13:54:35.699037 False [  145189.606912] 0003 0036 00000294
2022-04-02 13:54:35.704519 False [  145189.615120] 0003 0036 00000295
2022-04-02 13:54:35.710858 False [  145189.623565] 0003 0035 000001a3
2022-04-02 13:54:35.731927 False [  145189.640235] 0003 0035 000001a4
2022-04-02 13:54:35.731927 False [  145189.640235] 0003 0036 00000296
2022-04-02 13:54:35.738912 False [  145189.648383] 0003 0036 00000297
2022-04-02 13:54:35.747963 False [  145189.656758] 0003 0035 000001a5
2022-04-02 13:54:35.747963 False [  145189.656758] 0003 0036 00000298
2022-04-02 13:54:35.754578 False [  145189.664973] 0003 0036 00000299
2022-04-02 13:54:35.779491 False [  145189.689941] 0003 0035 000001a6
2022-04-02 13:54:35.779491 False [  145189.689941] 0003 0036 0000029a
2022-04-02 13:54:35.785334 False [  145189.698184] 0003 0036 0000029b
2022-04-02 13:54:35.795745 False [  145189.706597] 0003 0035 000001a7
2022-04-02 13:54:35.802957 False [  145189.714819] 0003 0036 0000029c
2022-04-02 13:54:35.814001 False [  145189.723364] 0003 0035 000001a8
2022-04-02 13:54:35.814001 False [  145189.723364] 0003 0036 0000029d
2022-04-02 13:54:35.820508 False [  145189.731466] 0003 0036 0000029e
2022-04-02 13:54:35.848785 False [  145189.756389] 0003 0036 0000029f
2022-04-02 13:54:35.855332 False [  145189.765103] 0003 0035 000001a9
2022-04-02 13:54:35.864121 False [  145189.773094] 0003 0036 000002a0
2022-04-02 13:54:35.881015 False [  145189.789612] 0003 0036 000002a1
2022-04-02 13:54:35.888669 False [  145189.797893] 0003 0035 000001aa
2022-04-02 13:54:35.895912 False [  145189.806396] 0003 0036 000002a2
2022-04-02 13:54:35.931269 False [  145189.839629] 0003 0036 000002a3
2022-04-02 13:54:35.949664 False [  145189.856296] 0003 0036 000002a4
2022-04-02 13:54:35.964015 False [  145189.872773] 0003 0036 000002a5
2022-04-02 13:54:35.981998 False [  145189.889349] 0003 0036 000002a6
2022-04-02 13:54:36.030945 False [  145189.939218] 0003 0036 000002a7
2022-04-02 13:54:36.055974 False [  145189.964129] 0003 0036 000002a8
2022-04-02 13:54:36.084365 False [  145189.989175] 0003 0035 000001ab
2022-04-02 13:54:36.084365 False [  145189.989175] 0003 0036 000002a9
2022-04-02 13:54:36.105360 False [  145190.013993] 0003 0036 000002aa
2022-04-02 13:54:36.138021 False [  145190.047189] 0003 0036 000002ab
2022-04-02 13:54:36.236854 False [  145190.146862] 0003 0035 000001aa
2022-04-02 13:54:36.255972 False [  145190.163714] 0003 0035 000001a9
2022-04-02 13:54:36.261037 False [  145190.171961] 0003 0035 000001a8
2022-04-02 13:54:36.278317 False [  145190.188685] 0003 0035 000001a7
2022-04-02 13:54:36.287890 False [  145190.196833] 0003 0035 000001a5
2022-04-02 13:54:36.287890 False [  145190.196833] 0003 0036 000002aa
2022-04-02 13:54:36.294001 False [  145190.205247] 0003 0035 000001a3
2022-04-02 13:54:36.294001 False [  145190.205247] 0003 0036 000002a9
2022-04-02 13:54:36.302457 False [  145190.213430] 0003 0035 000001a1
2022-04-02 13:54:36.302457 False [  145190.213430] 0003 0036 000002a8
2022-04-02 13:54:36.311409 False [  145190.221848] 0003 0035 0000019e
2022-04-02 13:54:36.311409 False [  145190.221848] 0003 0036 000002a7
2022-04-02 13:54:36.320817 False [  145190.230006] 0003 0035 0000019c
2022-04-02 13:54:36.320817 False [  145190.230006] 0003 0036 000002a6
2022-04-02 13:54:36.329719 False [  145190.238418] 0003 0035 0000019a
2022-04-02 13:54:36.329719 False [  145190.238418] 0003 0036 000002a5
2022-04-02 13:54:36.336958 False [  145190.246638] 0003 0035 00000199
2022-04-02 13:54:36.336958 False [  145190.246638] 0003 0036 000002a3
2022-04-02 13:54:36.344965 False [  145190.255080] 0003 0035 00000197
2022-04-02 13:54:36.344965 False [  145190.255080] 0003 0036 000002a2
2022-04-02 13:54:36.353217 False [  145190.263253] 0003 0035 00000196
2022-04-02 13:54:36.362000 False [  145190.271678] 0003 0035 00000194
2022-04-02 13:54:36.362000 False [  145190.271678] 0003 0036 000002a0
2022-04-02 13:54:36.369469 False [  145190.279862] 0003 0035 00000193
2022-04-02 13:54:36.369469 False [  145190.279862] 0003 0036 0000029f
2022-04-02 13:54:36.378907 False [  145190.288304] 0003 0036 0000029e
2022-04-02 13:54:36.698143 False [  145190.604351] 0003 0035 00000173
2022-04-02 13:54:36.698143 False [  145190.604351] 0003 0036 00000275
2022-04-02 13:54:36.819994 False [  145190.728390] 0003 0036 00000276
2022-04-02 13:54:36.828494 False [  145190.736835] 0003 0036 00000277
2022-04-02 13:54:36.835666 False [  145190.745086] 0003 0035 00000174
2022-04-02 13:54:36.835666 False [  145190.745086] 0003 0036 00000279
2022-04-02 13:54:36.844036 False [  145190.753446] 0003 0035 00000175
2022-04-02 13:54:36.844036 False [  145190.753446] 0003 0036 0000027a
2022-04-02 13:54:36.860932 False [  145190.769994] 0003 0035 00000176
2022-04-02 13:54:36.860932 False [  145190.769994] 0003 0036 0000027b
2022-04-02 13:54:36.869350 False [  145190.778259] 0003 0036 0000027c
2022-04-02 13:54:36.878009 False [  145190.786736] 0003 0036 0000027d
2022-04-02 13:54:36.885510 False [  145190.794897] 0003 0035 00000177
2022-04-02 13:54:36.885510 False [  145190.794897] 0003 0036 0000027e
2022-04-02 13:54:36.892060 False [  145190.803424] 0003 0035 00000178
2022-04-02 13:54:36.892060 False [  145190.803424] 0003 0036 0000027f
2022-04-02 13:54:36.901141 False [  145190.811475] 0003 0035 00000179
2022-04-02 13:54:36.915883 False [  145190.828109] 0003 0035 0000017a
2022-04-02 13:54:36.915883 False [  145190.828109] 0003 0036 00000280
2022-04-02 13:54:36.927909 False [  145190.836622] 0003 0036 00000281
2022-04-02 13:54:36.934201 False [  145190.844749] 0003 0035 0000017b
2022-04-02 13:54:36.934201 False [  145190.844749] 0003 0036 00000282
2022-04-02 13:54:36.943544 False [  145190.853183] 0003 0035 0000017c
2022-04-02 13:54:36.943544 False [  145190.853183] 0003 0036 00000283
2022-04-02 13:54:36.949494 False [  145190.861299] 0003 0035 0000017d
