Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.18936422742587952 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:58:18.569188 False [  145412.472733] 0003 0036 0000012e
2022-04-02 13:58:18.758460 False [  145412.662056] 0003 0035 000000c7
2022-04-02 13:58:18.775030 False [  145412.678524] 0003 0035 000000c9
2022-04-02 13:58:18.781762 False [  145412.686957] 0003 0035 000000cb
2022-04-02 13:58:18.781762 False [  145412.686957] 0003 0036 0000012f
2022-04-02 13:58:18.786243 False [  145412.695201] 0003 0035 000000cc
2022-04-02 13:58:18.796598 False [  145412.703828] 0003 0035 000000ce
2022-04-02 13:58:18.796598 False [  145412.703828] 0003 0036 00000130
2022-04-02 13:58:18.803591 False [  145412.711935] 0003 0035 000000d0
2022-04-02 13:58:18.803591 False [  145412.711935] 0003 0036 00000131
2022-04-02 13:58:18.814899 False [  145412.720404] 0003 0035 000000d2
2022-04-02 13:58:18.814899 False [  145412.720404] 0003 0036 00000132
2022-04-02 13:58:18.825331 False [  145412.728508] 0003 0035 000000d4
2022-04-02 13:58:18.825331 False [  145412.728508] 0003 0036 00000133
2022-04-02 13:58:18.831883 False [  145412.736859] 0003 0035 000000d6
2022-04-02 13:58:18.831883 False [  145412.736859] 0003 0036 00000135
2022-04-02 13:58:18.838443 False [  145412.745107] 0003 0035 000000d7
2022-04-02 13:58:18.849521 False [  145412.753456] 0003 0035 000000d8
2022-04-02 13:58:18.849521 False [  145412.753456] 0003 0036 00000136
2022-04-02 13:58:18.855767 False [  145412.761861] 0003 0035 000000d9
2022-04-02 13:58:18.855767 False [  145412.761861] 0003 0036 00000137
2022-04-02 13:58:18.865103 False [  145412.770153] 0003 0035 000000db
2022-04-02 13:58:18.865103 False [  145412.770153] 0003 0036 00000138
2022-04-02 13:58:18.872235 False [  145412.778302] 0003 0035 000000dd
2022-04-02 13:58:18.872235 False [  145412.778302] 0003 0036 0000013a
2022-04-02 13:58:18.882498 False [  145412.786752] 0003 0035 000000df
2022-04-02 13:58:18.882498 False [  145412.786752] 0003 0036 0000013b
2022-04-02 13:58:18.887467 False [  145412.794940] 0003 0035 000000e1
2022-04-02 13:58:18.887467 False [  145412.794940] 0003 0036 0000013e
2022-04-02 13:58:18.897567 False [  145412.803408] 0003 0035 000000e4
2022-04-02 13:58:18.897567 False [  145412.803408] 0003 0036 00000140
