Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8850851337739059 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:01:32.390569 False [  145606.294044] 0003 0036 000000f4
2022-04-02 14:01:32.570989 False [  145606.468593] 0003 0035 000000e0
2022-04-02 14:01:32.570989 False [  145606.468593] 0003 0036 000000f5
2022-04-02 14:01:32.575608 False [  145606.476182] 0003 0036 000000f6
2022-04-02 14:01:32.584003 False [  145606.484298] 0003 0036 000000f7
2022-04-02 14:01:32.592675 False [  145606.492387] 0003 0035 000000e1
2022-04-02 14:01:32.592675 False [  145606.492387] 0003 0036 000000f8
2022-04-02 14:01:32.605731 False [  145606.500919] 0003 0035 000000e3
2022-04-02 14:01:32.605731 False [  145606.500919] 0003 0036 000000f9
2022-04-02 14:01:32.614719 False [  145606.509053] 0003 0035 000000e4
2022-04-02 14:01:32.614719 False [  145606.509053] 0003 0036 000000fb
2022-04-02 14:01:32.622861 False [  145606.517546] 0003 0035 000000e5
2022-04-02 14:01:32.622861 False [  145606.517546] 0003 0036 000000fc
2022-04-02 14:01:32.628847 False [  145606.525765] 0003 0035 000000e7
2022-04-02 14:01:32.628847 False [  145606.525765] 0003 0036 000000fe
2022-04-02 14:01:32.633133 False [  145606.534117] 0003 0035 000000e8
2022-04-02 14:01:32.633133 False [  145606.534117] 0003 0036 000000ff
2022-04-02 14:01:32.639815 False [  145606.542437] 0003 0035 000000ea
2022-04-02 14:01:32.639815 False [  145606.542437] 0003 0036 00000101
2022-04-02 14:01:32.645831 False [  145606.550697] 0003 0035 000000eb
2022-04-02 14:01:32.645831 False [  145606.550697] 0003 0036 00000103
2022-04-02 14:01:32.655940 False [  145606.558848] 0003 0035 000000ed
2022-04-02 14:01:32.655940 False [  145606.558848] 0003 0036 00000104
2022-04-02 14:01:32.664016 False [  145606.567291] 0003 0035 000000ef
2022-04-02 14:01:32.664016 False [  145606.567291] 0003 0036 00000105
2022-04-02 14:01:32.671726 False [  145606.575499] 0003 0035 000000f0
2022-04-02 14:01:32.671726 False [  145606.575499] 0003 0036 00000107
2022-04-02 14:01:32.678788 False [  145606.583938] 0003 0035 000000f2
2022-04-02 14:01:32.678788 False [  145606.583938] 0003 0036 00000108
2022-04-02 14:01:32.688409 False [  145606.592099] 0003 0035 000000f3
2022-04-02 14:01:32.688409 False [  145606.592099] 0003 0036 00000109
2022-04-02 14:01:32.695933 False [  145606.600754] 0003 0035 000000f4
2022-04-02 14:01:32.695933 False [  145606.600754] 0003 0036 0000010a
2022-04-02 14:01:32.704590 False [  145606.608798] 0003 0035 000000f6
2022-04-02 14:01:32.704590 False [  145606.608798] 0003 0036 0000010c
2022-04-02 14:01:32.714160 False [  145606.617188] 0003 0035 000000f8
2022-04-02 14:01:32.714160 False [  145606.617188] 0003 0036 0000010e
2022-04-02 14:01:32.722287 False [  145606.625832] 0003 0035 000000fa
2022-04-02 14:01:32.722287 False [  145606.625832] 0003 0036 0000010f
2022-04-02 14:01:32.730687 False [  145606.633867] 0003 0035 000000fc
2022-04-02 14:01:32.730687 False [  145606.633867] 0003 0036 00000111
2022-04-02 14:01:32.738930 False [  145606.642025] 0003 0035 000000fe
2022-04-02 14:01:32.738930 False [  145606.642025] 0003 0036 00000113
2022-04-02 14:01:32.747923 False [  145606.650434] 0003 0035 00000101
2022-04-02 14:01:32.747923 False [  145606.650434] 0003 0036 00000115
2022-04-02 14:01:32.754362 False [  145606.659110] 0003 0035 00000103
2022-04-02 14:01:32.754362 False [  145606.659110] 0003 0036 00000118
2022-04-02 14:01:32.765009 False [  145606.667053] 0003 0035 00000105
2022-04-02 14:01:32.765009 False [  145606.667053] 0003 0036 0000011b
2022-04-02 14:01:32.772440 False [  145606.675390] 0003 0035 00000108
2022-04-02 14:01:32.772440 False [  145606.675390] 0003 0036 0000011f
2022-04-02 14:01:32.778650 False [  145606.683696] 0003 0035 0000010b
2022-04-02 14:01:32.778650 False [  145606.683696] 0003 0036 00000123
2022-04-02 14:01:32.789845 False [  145606.691876] 0003 0035 0000010d
2022-04-02 14:01:32.789845 False [  145606.691876] 0003 0036 00000125
2022-04-02 14:01:32.795906 False [  145606.700710] 0003 0035 0000010f
2022-04-02 14:01:32.795906 False [  145606.700710] 0003 0036 00000129
2022-04-02 14:01:32.805688 False [  145606.708528] 0003 0035 00000112
2022-04-02 14:01:32.805688 False [  145606.708528] 0003 0036 0000012b
2022-04-02 14:01:32.814889 False [  145606.716954] 0003 0035 00000114
2022-04-02 14:01:32.814889 False [  145606.716954] 0003 0036 0000012f
2022-04-02 14:01:32.823168 False [  145606.725265] 0003 0035 00000116
2022-04-02 14:01:32.823168 False [  145606.725265] 0003 0036 00000131
2022-04-02 14:01:32.831637 False [  145606.733653] 0003 0035 00000117
2022-04-02 14:01:32.831637 False [  145606.733653] 0003 0036 00000134
2022-04-02 14:01:32.837359 False [  145606.741834] 0003 0035 00000119
