Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.3984237896327107 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:05:58.614100 False [  145872.509770] 0003 0036 00000194
2022-04-02 14:05:58.715910 False [  145872.599978] 0003 0036 00000195
2022-04-02 14:05:58.725232 False [  145872.608507] 0003 0036 00000196
2022-04-02 14:05:58.725232 False [  145872.616842] 0003 0035 0000013c
2022-04-02 14:05:58.725232 False [  145872.616842] 0003 0036 00000198
2022-04-02 14:05:58.735547 False [  145872.625080] 0003 0035 0000013d
2022-04-02 14:05:58.735547 False [  145872.625080] 0003 0036 00000199
2022-04-02 14:05:58.741648 False [  145872.633253] 0003 0036 0000019b
2022-04-02 14:05:58.752376 False [  145872.642104] 0003 0035 0000013e
2022-04-02 14:05:58.752376 False [  145872.642104] 0003 0036 0000019d
2022-04-02 14:05:58.758703 False [  145872.650010] 0003 0035 00000140
2022-04-02 14:05:58.758703 False [  145872.650010] 0003 0036 0000019f
2022-04-02 14:05:58.768000 False [  145872.658342] 0003 0035 00000141
2022-04-02 14:05:58.768000 False [  145872.658342] 0003 0036 000001a0
2022-04-02 14:05:58.774977 False [  145872.666632] 0003 0035 00000143
2022-04-02 14:05:58.774977 False [  145872.666632] 0003 0036 000001a2
2022-04-02 14:05:58.784308 False [  145872.675404] 0003 0035 00000145
2022-04-02 14:05:58.784308 False [  145872.675404] 0003 0036 000001a4
2022-04-02 14:05:58.794042 False [  145872.683257] 0003 0035 00000147
2022-04-02 14:05:58.794042 False [  145872.683257] 0003 0036 000001a6
2022-04-02 14:05:58.800450 False [  145872.691882] 0003 0035 00000149
2022-04-02 14:05:58.800450 False [  145872.691882] 0003 0036 000001a8
2022-04-02 14:05:58.806127 False [  145872.699833] 0003 0035 0000014b
2022-04-02 14:05:58.806127 False [  145872.699833] 0003 0036 000001a9
2022-04-02 14:05:58.809575 False [  145872.708569] 0003 0035 0000014c
2022-04-02 14:05:58.809575 False [  145872.708569] 0003 0036 000001ab
2022-04-02 14:05:58.817808 False [  145872.716487] 0003 0035 0000014d
2022-04-02 14:05:58.817808 False [  145872.716487] 0003 0036 000001ad
2022-04-02 14:05:58.826955 False [  145872.725029] 0003 0035 0000014f
2022-04-02 14:05:58.826955 False [  145872.725029] 0003 0036 000001af
2022-04-02 14:05:58.840627 False [  145872.733144] 0003 0035 00000150
2022-04-02 14:05:58.845080 False [  145872.741608] 0003 0035 00000151
2022-04-02 14:05:58.845080 False [  145872.741608] 0003 0036 000001b1
2022-04-02 14:05:58.859332 False [  145872.750246] 0003 0035 00000153
2022-04-02 14:05:58.859332 False [  145872.750246] 0003 0036 000001b4
2022-04-02 14:05:58.866988 False [  145872.758180] 0003 0035 00000154
2022-04-02 14:05:58.866988 False [  145872.758180] 0003 0036 000001b5
2022-04-02 14:05:58.895090 False [  145872.766321] 0003 0035 00000155
2022-04-02 14:05:58.895090 False [  145872.766321] 0003 0036 000001b7
2022-04-02 14:05:58.895090 False [  145872.774769] 0003 0035 00000156
2022-04-02 14:05:58.895090 False [  145872.774769] 0003 0036 000001b9
