Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.3674502677469232 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:24:29.585157 False [  146992.880412] 0003 0036 000001bc
2022-04-02 14:24:29.730891 False [  146992.963039] 0003 0036 000001bd
2022-04-02 14:24:29.730891 False [  146992.984950] 0003 0036 000001be
2022-04-02 14:24:29.827870 False [  146992.989675] 0003 0036 000001c1
2022-04-02 14:24:29.827870 False [  146993.006548] 0003 0036 000001c3
2022-04-02 14:24:29.827870 False [  146993.017819] 0003 0036 000001c8
2022-04-02 14:24:29.827870 False [  146993.030429] 0003 0036 000001ca
2022-04-02 14:24:29.827870 False [  146993.043556] 0003 0036 000001d1
2022-04-02 14:24:29.934237 False [  146993.057088] 0003 0036 000001d5
2022-04-02 14:24:29.934237 False [  146993.073646] 0003 0036 000001dd
2022-04-02 14:24:29.934237 False [  146993.088257] 0003 0036 000001e4
2022-04-02 14:24:29.934237 False [  146993.098163] 0003 0036 000001ec
2022-04-02 14:24:29.934237 False [  146993.113984] 0003 0036 000001f0
2022-04-02 14:24:29.934237 False [  146993.126672] 0003 0036 000001f9
2022-04-02 14:24:30.030413 False [  146993.139192] 0003 0036 000001fc
2022-04-02 14:24:30.030413 False [  146993.152985] 0003 0036 00000206
2022-04-02 14:24:30.030413 False [  146993.170093] 0003 0036 0000020a
2022-04-02 14:24:30.030413 False [  146993.187763] 0003 0036 0000021b
2022-04-02 14:24:30.030413 False [  146993.202359] 0003 0036 00000220
2022-04-02 14:24:30.030413 False [  146993.216433] 0003 0036 00000224
2022-04-02 14:24:30.030413 False [  146993.230781] 0003 0036 0000022c
2022-04-02 14:24:30.030413 False [  146993.245846] 0003 0036 00000235
2022-04-02 14:24:30.118465 False [  146993.260417] 0003 0036 0000023b
2022-04-02 14:24:30.118465 False [  146993.275930] 0003 0036 0000023f
2022-04-02 14:24:30.118465 False [  146993.292355] 0003 0036 00000245
2022-04-02 14:24:30.118465 False [  146993.306242] 0003 0036 0000024b
2022-04-02 14:24:30.118465 False [  146993.319346] 0003 0036 00000251
2022-04-02 14:24:30.118465 False [  146993.332604] 0003 0036 00000254
2022-04-02 14:24:30.118465 False [  146993.341895] 0003 0036 00000259
2022-04-02 14:24:30.207309 False [  146993.357879] 0003 0036 0000025b
2022-04-02 14:24:30.207309 False [  146993.371746] 0003 0036 00000260
2022-04-02 14:24:30.207309 False [  146993.385291] 0003 0035 000001ff
2022-04-02 14:24:30.207309 False [  146993.385291] 0003 0036 00000264
2022-04-02 14:24:30.207309 False [  146993.393010] 0003 0035 00000200
2022-04-02 14:24:30.207309 False [  146993.393010] 0003 0036 00000267
2022-04-02 14:24:30.208269 False [  146993.403885] 0003 0036 0000026a
2022-04-02 14:24:30.208269 False [  146993.417364] 0003 0035 00000201
2022-04-02 14:24:30.208269 False [  146993.417364] 0003 0036 0000026e
