Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.9919058381522681 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:37:15.449258 False [  147758.730036] 0003 0036 0000032d
2022-04-02 14:37:15.614098 False [  147758.861938] 0003 0035 00000109
2022-04-02 14:37:15.614098 False [  147758.861938] 0003 0036 0000032e
2022-04-02 14:37:15.614098 False [  147758.881871] 0003 0035 0000010b
2022-04-02 14:37:15.614098 False [  147758.881871] 0003 0036 0000032f
2022-04-02 14:37:15.614098 False [  147758.893101] 0003 0035 0000010f
2022-04-02 14:37:15.614098 False [  147758.893101] 0003 0036 00000332
2022-04-02 14:37:15.711234 False [  147758.900453] 0003 0035 00000110
2022-04-02 14:37:15.711234 False [  147758.900453] 0003 0036 00000335
2022-04-02 14:37:15.711234 False [  147758.903339] 0003 0035 00000112
2022-04-02 14:37:15.711234 False [  147758.903339] 0003 0036 00000336
2022-04-02 14:37:15.711234 False [  147758.911683] 0003 0035 00000113
2022-04-02 14:37:15.711234 False [  147758.911683] 0003 0036 00000338
2022-04-02 14:37:15.811410 False [  147758.919833] 0003 0035 00000115
2022-04-02 14:37:15.811410 False [  147758.919833] 0003 0036 0000033a
2022-04-02 14:37:15.811410 False [  147758.934007] 0003 0035 00000116
2022-04-02 14:37:15.811410 False [  147758.934007] 0003 0036 0000033c
2022-04-02 14:37:15.811410 False [  147758.943402] 0003 0035 00000117
2022-04-02 14:37:15.811410 False [  147758.943402] 0003 0036 0000033e
2022-04-02 14:37:15.811410 False [  147758.954281] 0003 0035 00000118
2022-04-02 14:37:15.811410 False [  147758.970478] 0003 0035 0000011a
2022-04-02 14:37:15.811410 False [  147758.970478] 0003 0036 00000341
2022-04-02 14:37:15.811410 False [  147758.978356] 0003 0036 00000344
2022-04-02 14:37:15.811410 False [  147758.993438] 0003 0035 0000011b
2022-04-02 14:37:15.811410 False [  147758.993438] 0003 0036 00000346
2022-04-02 14:37:15.811410 False [  147759.011439] 0003 0035 0000011c
