Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.692117123680261 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:37:43.677898 True [  154986.885968] 0003 0036 00000395
2022-04-02 16:37:43.709199 True [  154986.918018] 0003 0035 000003ff
2022-04-02 16:37:43.709199 True [  154986.918018] 0003 0036 00000394
2022-04-02 16:37:43.725362 True [  154986.934560] 0003 0035 000003fe
2022-04-02 16:37:43.733555 True [  154986.942986] 0003 0035 000003fd
2022-04-02 16:37:43.733555 True [  154986.942986] 0003 0036 00000393
2022-04-02 16:37:43.741670 True [  154986.951232] 0003 0035 000003fa
2022-04-02 16:37:43.741670 True [  154986.951232] 0003 0036 00000390
2022-04-02 16:37:43.750466 True [  154986.959666] 0003 0035 000003f7
2022-04-02 16:37:43.750466 True [  154986.959666] 0003 0036 0000038e
2022-04-02 16:37:43.758970 True [  154986.967961] 0003 0035 000003f3
2022-04-02 16:37:43.758970 True [  154986.967961] 0003 0036 0000038a
2022-04-02 16:37:43.767170 True [  154986.976374] 0003 0035 000003f1
2022-04-02 16:37:43.767170 True [  154986.976374] 0003 0036 00000387
2022-04-02 16:37:43.775298 True [  154986.984491] 0003 0035 000003ee
2022-04-02 16:37:43.775298 True [  154986.984491] 0003 0036 00000384
2022-04-02 16:37:43.783954 True [  154986.993252] 0003 0035 000003eb
2022-04-02 16:37:43.783954 True [  154986.993252] 0003 0036 00000380
2022-04-02 16:37:43.791635 True [  154987.001122] 0003 0035 000003e8
2022-04-02 16:37:43.791635 True [  154987.001122] 0003 0036 0000037c
2022-04-02 16:37:43.800368 True [  154987.009537] 0003 0035 000003e3
2022-04-02 16:37:43.800368 True [  154987.009537] 0003 0036 00000379
2022-04-02 16:37:43.808332 True [  154987.017774] 0003 0035 000003de
2022-04-02 16:37:43.808332 True [  154987.017774] 0003 0036 00000375
2022-04-02 16:37:43.817366 True [  154987.026210] 0003 0035 000003d8
2022-04-02 16:37:43.817366 True [  154987.026210] 0003 0036 00000373
2022-04-02 16:37:43.825364 True [  154987.034480] 0003 0035 000003d2
2022-04-02 16:37:43.825364 True [  154987.034480] 0003 0036 00000370
2022-04-02 16:37:43.834406 True [  154987.043599] 0003 0035 000003cb
2022-04-02 16:37:43.834406 True [  154987.043599] 0003 0036 0000036e
2022-04-02 16:37:43.841681 True [  154987.051098] 0003 0035 000003c7
2022-04-02 16:37:43.850556 True [  154987.059689] 0003 0035 000003c1
2022-04-02 16:37:43.858859 True [  154987.067843] 0003 0035 000003bd
2022-04-02 16:37:43.867824 True [  154987.076839] 0003 0035 000003ba
2022-04-02 16:37:43.874546 True [  154987.084520] 0003 0035 000003b8
2022-04-02 16:37:43.883899 True [  154987.093081] 0003 0035 000003b5
2022-04-02 16:37:43.883899 True [  154987.093081] 0003 0036 0000036f
2022-04-02 16:37:43.891706 True [  154987.101002] 0003 0035 000003b2
2022-04-02 16:37:43.891706 True [  154987.101002] 0003 0036 00000370
2022-04-02 16:37:43.900126 True [  154987.109444] 0003 0035 000003b0
2022-04-02 16:37:43.908360 True [  154987.117611] 0003 0035 000003ae
2022-04-02 16:37:43.908360 True [  154987.117611] 0003 0036 00000371
2022-04-02 16:37:43.916768 True [  154987.126044] 0003 0035 000003ac
2022-04-02 16:37:43.916768 True [  154987.126044] 0003 0036 00000372
2022-04-02 16:37:43.924247 True [  154987.134171] 0003 0035 000003ab
2022-04-02 16:37:43.924247 True [  154987.134171] 0003 0036 00000373
2022-04-02 16:37:43.933825 True [  154987.143027] 0003 0035 000003a9
2022-04-02 16:37:43.933825 True [  154987.143027] 0003 0036 00000374
2022-04-02 16:37:43.940950 True [  154987.150855] 0003 0035 000003a8
2022-04-02 16:37:43.951123 True [  154987.159699] 0003 0035 000003a7
2022-04-02 16:37:43.957469 True [  154987.167481] 0003 0036 00000375
2022-04-02 16:37:43.967014 True [  154987.176154] 0003 0035 000003a6
2022-04-02 16:37:43.975298 True [  154987.184499] 0003 0035 000003a5
2022-04-02 16:37:43.975298 True [  154987.184499] 0003 0036 00000376
2022-04-02 16:37:43.991657 True [  154987.200882] 0003 0035 000003a4
2022-04-02 16:37:44.008982 True [  154987.217420] 0003 0036 00000377
2022-04-02 16:37:44.050587 True [  154987.259515] 0003 0035 000003a3
2022-04-02 16:37:44.091254 True [  154987.300614] 0003 0035 000003a2
2022-04-02 16:37:44.091254 True [  154987.300614] 0003 0036 00000378
2022-04-02 16:37:44.100107 True [  154987.309167] 0003 0035 000003a0
2022-04-02 16:37:44.107763 True [  154987.317136] 0003 0035 0000039f
2022-04-02 16:37:44.107763 True [  154987.317136] 0003 0036 00000379
2022-04-02 16:37:44.115730 True [  154987.325546] 0003 0035 0000039d
2022-04-02 16:37:44.124287 True [  154987.333966] 0003 0035 00000399
2022-04-02 16:37:44.133264 True [  154987.342390] 0003 0035 00000395
2022-04-02 16:37:44.140697 True [  154987.350410] 0003 0035 00000391
2022-04-02 16:37:44.140697 True [  154987.350410] 0003 0036 0000037a
2022-04-02 16:37:44.149789 True [  154987.359138] 0003 0035 0000038c
2022-04-02 16:37:44.158048 True [  154987.366952] 0003 0035 00000387
2022-04-02 16:37:44.166497 True [  154987.375749] 0003 0035 00000381
2022-04-02 16:37:44.166497 True [  154987.375749] 0003 0036 0000037b
2022-04-02 16:37:44.174303 True [  154987.383636] 0003 0035 0000037c
2022-04-02 16:37:44.183468 True [  154987.392577] 0003 0035 00000376
2022-04-02 16:37:44.192055 True [  154987.400311] 0003 0035 00000372
2022-04-02 16:37:44.199626 True [  154987.408795] 0003 0035 0000036e
2022-04-02 16:37:44.207500 True [  154987.417041] 0003 0035 00000369
2022-04-02 16:37:44.216441 True [  154987.425554] 0003 0035 00000365
2022-04-02 16:37:44.224182 True [  154987.433501] 0003 0035 00000361
2022-04-02 16:37:44.224182 True [  154987.433501] 0003 0036 0000037a
2022-04-02 16:37:44.232397 True [  154987.441899] 0003 0035 0000035d
2022-04-02 16:37:44.240825 True [  154987.450401] 0003 0035 00000359
2022-04-02 16:37:44.249582 True [  154987.458720] 0003 0035 00000355
2022-04-02 16:37:44.259634 True [  154987.467088] 0003 0035 00000352
2022-04-02 16:37:44.259634 True [  154987.467088] 0003 0036 00000379
2022-04-02 16:37:44.267369 True [  154987.475363] 0003 0035 0000034e
2022-04-02 16:37:44.275159 True [  154987.483708] 0003 0035 0000034b
2022-04-02 16:37:44.284016 True [  154987.492087] 0003 0035 00000348
2022-04-02 16:37:44.291794 True [  154987.500409] 0003 0035 00000345
2022-04-02 16:37:44.291794 True [  154987.500409] 0003 0036 00000378
2022-04-02 16:37:44.299994 True [  154987.509197] 0003 0035 00000343
2022-04-02 16:37:44.308651 True [  154987.516942] 0003 0035 00000340
2022-04-02 16:37:44.308651 True [  154987.516942] 0003 0036 00000377
2022-04-02 16:37:44.315913 True [  154987.525325] 0003 0035 0000033d
2022-04-02 16:37:44.316973 True [  154987.525325] 0003 0036 00000376
2022-04-02 16:37:44.325339 True [  154987.533551] 0003 0035 0000033b
2022-04-02 16:37:44.325339 True [  154987.533551] 0003 0036 00000375
2022-04-02 16:37:44.332496 True [  154987.541839] 0003 0035 00000339
2022-04-02 16:37:44.340621 True [  154987.549862] 0003 0035 00000337
2022-04-02 16:37:44.348476 True [  154987.558229] 0003 0035 00000335
2022-04-02 16:37:44.349328 True [  154987.558229] 0003 0036 00000374
2022-04-02 16:37:44.358264 True [  154987.566525] 0003 0035 00000334
2022-04-02 16:37:44.366870 True [  154987.575076] 0003 0035 00000332
