Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.012683987576889 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 16:45:23.795791 False [  155446.998435] 0003 0036 00000120
2022-04-02 16:45:23.820920 False [  155447.022312] 0003 0035 000004f8
2022-04-02 16:45:23.820920 False [  155447.022312] 0003 0036 0000011f
2022-04-02 16:45:23.828048 False [  155447.030739] 0003 0035 000004f7
2022-04-02 16:45:23.828048 False [  155447.030739] 0003 0036 0000011e
2022-04-02 16:45:23.836533 False [  155447.038943] 0003 0036 0000011a
2022-04-02 16:45:23.843495 False [  155447.047344] 0003 0035 000004f5
2022-04-02 16:45:23.843495 False [  155447.047344] 0003 0036 00000116
2022-04-02 16:45:23.852234 False [  155447.055543] 0003 0035 000004f4
2022-04-02 16:45:23.852234 False [  155447.055543] 0003 0036 00000113
2022-04-02 16:45:23.861817 False [  155447.064074] 0003 0035 000004f3
2022-04-02 16:45:23.861817 False [  155447.064074] 0003 0036 0000010f
2022-04-02 16:45:23.869635 False [  155447.072312] 0003 0036 0000010d
2022-04-02 16:45:23.878256 False [  155447.080666] 0003 0035 000004f1
2022-04-02 16:45:23.878256 False [  155447.080666] 0003 0036 0000010a
2022-04-02 16:45:23.886133 False [  155447.088764] 0003 0035 000004f0
2022-04-02 16:45:23.886133 False [  155447.088764] 0003 0036 00000108
2022-04-02 16:45:23.893764 False [  155447.097182] 0003 0035 000004ef
2022-04-02 16:45:23.893764 False [  155447.097182] 0003 0036 00000106
2022-04-02 16:45:23.904765 False [  155447.105488] 0003 0035 000004e9
2022-04-02 16:45:23.904765 False [  155447.105488] 0003 0036 00000104
2022-04-02 16:45:23.910943 False [  155447.113829] 0003 0035 000004e5
2022-04-02 16:45:23.918912 False [  155447.122076] 0003 0035 000004da
2022-04-02 16:45:23.918912 False [  155447.122076] 0003 0036 00000103
2022-04-02 16:45:23.928795 False [  155447.130904] 0003 0035 000004d3
2022-04-02 16:45:23.936770 False [  155447.139003] 0003 0035 000004c6
2022-04-02 16:45:23.936770 False [  155447.139003] 0003 0036 00000102
2022-04-02 16:45:23.943846 False [  155447.147501] 0003 0035 000004bd
2022-04-02 16:45:23.953274 False [  155447.155312] 0003 0035 000004ab
2022-04-02 16:45:23.953274 False [  155447.155312] 0003 0036 00000103
2022-04-02 16:45:23.961291 False [  155447.164693] 0003 0035 0000049a
2022-04-02 16:45:23.969545 False [  155447.171954] 0003 0035 0000048f
2022-04-02 16:45:23.969545 False [  155447.171954] 0003 0036 00000104
2022-04-02 16:45:23.978075 False [  155447.180727] 0003 0035 0000047b
2022-04-02 16:45:23.986631 False [  155447.188854] 0003 0035 0000046f
2022-04-02 16:45:23.994804 False [  155447.197229] 0003 0035 0000045a
2022-04-02 16:45:23.994804 False [  155447.197229] 0003 0036 00000106
2022-04-02 16:45:24.003214 False [  155447.205253] 0003 0035 00000446
2022-04-02 16:45:24.003214 False [  155447.205253] 0003 0036 00000107
2022-04-02 16:45:24.011816 False [  155447.213658] 0003 0035 00000434
2022-04-02 16:45:24.011816 False [  155447.213658] 0003 0036 00000109
2022-04-02 16:45:24.020238 False [  155447.221909] 0003 0035 00000422
2022-04-02 16:45:24.020238 False [  155447.221909] 0003 0036 0000010a
2022-04-02 16:45:24.028085 False [  155447.230308] 0003 0035 00000412
2022-04-02 16:45:24.028085 False [  155447.230308] 0003 0036 0000010d
2022-04-02 16:45:24.034961 False [  155447.238596] 0003 0035 00000403
2022-04-02 16:45:24.036403 False [  155447.238596] 0003 0036 0000010f
2022-04-02 16:45:24.044472 False [  155447.247259] 0003 0035 000003f3
2022-04-02 16:45:24.044472 False [  155447.247259] 0003 0036 00000112
2022-04-02 16:45:24.053300 False [  155447.255506] 0003 0035 000003e3
2022-04-02 16:45:24.053300 False [  155447.255506] 0003 0036 00000114
2022-04-02 16:45:24.062145 False [  155447.263879] 0003 0035 000003d9
2022-04-02 16:45:24.062145 False [  155447.263879] 0003 0036 00000116
2022-04-02 16:45:24.070413 False [  155447.271709] 0003 0035 000003c8
2022-04-02 16:45:24.070413 False [  155447.271709] 0003 0036 00000119
2022-04-02 16:45:24.078557 False [  155447.280715] 0003 0035 000003be
2022-04-02 16:45:24.078557 False [  155447.280715] 0003 0036 0000011a
2022-04-02 16:45:24.086515 False [  155447.288311] 0003 0035 000003ac
2022-04-02 16:45:24.086515 False [  155447.288311] 0003 0036 0000011d
2022-04-02 16:45:24.094676 False [  155447.296790] 0003 0035 000003a2
2022-04-02 16:45:24.094676 False [  155447.296790] 0003 0036 0000011f
2022-04-02 16:45:24.102998 False [  155447.305050] 0003 0035 00000392
2022-04-02 16:45:24.102998 False [  155447.305050] 0003 0036 00000121
2022-04-02 16:45:24.110559 False [  155447.313429] 0003 0035 00000389
2022-04-02 16:45:24.110559 False [  155447.313429] 0003 0036 00000123
2022-04-02 16:45:24.119644 False [  155447.321902] 0003 0035 00000379
2022-04-02 16:45:24.119644 False [  155447.321902] 0003 0036 00000124
2022-04-02 16:45:24.126873 False [  155447.329996] 0003 0035 00000370
2022-04-02 16:45:24.128308 False [  155447.329996] 0003 0036 00000125
2022-04-02 16:45:24.136947 False [  155447.338599] 0003 0035 00000362
2022-04-02 16:45:24.136947 False [  155447.338599] 0003 0036 00000127
2022-04-02 16:45:24.146175 False [  155447.347395] 0003 0035 00000359
2022-04-02 16:45:24.146175 False [  155447.347395] 0003 0036 00000129
2022-04-02 16:45:24.153305 False [  155447.354826] 0003 0035 0000034b
2022-04-02 16:45:24.153305 False [  155447.354826] 0003 0036 0000012a
2022-04-02 16:45:24.162089 False [  155447.363489] 0003 0035 00000343
2022-04-02 16:45:24.162089 False [  155447.363489] 0003 0036 0000012b
2022-04-02 16:45:24.169148 False [  155447.371472] 0003 0035 00000337
2022-04-02 16:45:24.178316 False [  155447.380708] 0003 0035 0000032f
2022-04-02 16:45:24.178316 False [  155447.380708] 0003 0036 0000012c
2022-04-02 16:45:24.186333 False [  155447.388124] 0003 0035 00000323
2022-04-02 16:45:24.186333 False [  155447.388124] 0003 0036 0000012d
2022-04-02 16:45:24.193374 False [  155447.396759] 0003 0035 0000031b
2022-04-02 16:45:24.194764 False [  155447.396759] 0003 0036 0000012e
