Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:54:56.681233 True [  156019.874537] 0003 0036 000003fa
2022-04-02 16:54:56.738345 True [  156019.931409] 0003 0036 000003fb
2022-04-02 16:54:56.745296 True [  156019.939822] 0003 0035 000004a2
2022-04-02 16:54:56.754035 True [  156019.948238] 0003 0036 000003fc
2022-04-02 16:54:56.762332 True [  156019.956543] 0003 0035 000004a3
2022-04-02 16:54:56.762332 True [  156019.956543] 0003 0036 000003fd
2022-04-02 16:54:56.778991 True [  156019.973106] 0003 0035 000004a4
2022-04-02 16:54:56.778991 True [  156019.973106] 0003 0036 000003fe
2022-04-02 16:54:56.812210 True [  156020.006644] 0003 0035 000004a5
2022-04-02 16:54:56.830146 True [  156020.023346] 0003 0036 000003ff
2022-04-02 16:54:56.863467 True [  156020.056571] 0003 0036 00000400
2022-04-02 16:54:56.947362 True [  156020.141095] 0003 0035 000004a8
2022-04-02 16:54:56.956332 True [  156020.147672] 0003 0035 000004aa
2022-04-02 16:54:56.962646 True [  156020.156135] 0003 0035 000004ac
2022-04-02 16:54:56.970081 True [  156020.164690] 0003 0035 000004ad
2022-04-02 16:54:56.979169 True [  156020.173487] 0003 0035 000004af
2022-04-02 16:54:56.986366 True [  156020.180957] 0003 0035 000004b0
2022-04-02 16:54:56.995304 True [  156020.189207] 0003 0035 000004b1
2022-04-02 16:54:57.003494 True [  156020.197455] 0003 0035 000004b2
2022-04-02 16:54:57.011234 True [  156020.205948] 0003 0035 000004b3
2022-04-02 16:54:57.037415 True [  156020.230727] 0003 0035 000004b4
2022-04-02 16:54:57.058997 True [  156020.247431] 0003 0035 000004b5
2022-04-02 16:54:57.086942 True [  156020.280610] 0003 0035 000004b6
2022-04-02 16:54:57.695240 True [  156020.888990] 0003 0035 000004b5
2022-04-02 16:54:57.717409 True [  156020.912416] 0003 0035 000004b4
2022-04-02 16:54:57.751266 True [  156020.945460] 0003 0035 000004b3
2022-04-02 16:54:57.820218 True [  156021.012075] 0003 0035 000004b2
2022-04-02 16:54:57.903912 True [  156021.095485] 0003 0035 000004b3
2022-04-02 16:54:57.952923 True [  156021.145369] 0003 0035 000004b4
2022-04-02 16:54:57.983563 True [  156021.178289] 0003 0035 000004b5
2022-04-02 16:54:58.019057 True [  156021.211655] 0003 0035 000004b6
2022-04-02 16:54:58.052955 True [  156021.244698] 0003 0035 000004b7
2022-04-02 16:54:58.086363 True [  156021.277987] 0003 0035 000004b8
2022-04-02 16:54:58.103400 True [  156021.294707] 0003 0035 000004b9
2022-04-02 16:54:58.117881 True [  156021.311277] 0003 0035 000004ba
2022-04-02 16:54:58.117881 True [  156021.311277] 0003 0036 000003ff
2022-04-02 16:54:58.150433 True [  156021.344412] 0003 0035 000004bb
2022-04-02 16:54:58.150433 True [  156021.344412] 0003 0036 000003fe
2022-04-02 16:54:58.168031 True [  156021.361147] 0003 0035 000004bc
2022-04-02 16:54:58.168031 True [  156021.361147] 0003 0036 000003fd
2022-04-02 16:54:58.175285 True [  156021.369440] 0003 0035 000004bd
2022-04-02 16:54:58.184289 True [  156021.377617] 0003 0035 000004be
2022-04-02 16:54:58.184289 True [  156021.377617] 0003 0036 000003fc
2022-04-02 16:54:58.203305 True [  156021.394229] 0003 0036 000003fb
2022-04-02 16:54:58.217709 True [  156021.411295] 0003 0035 000004bf
2022-04-02 16:54:58.232883 True [  156021.427509] 0003 0035 000004c0
2022-04-02 16:54:58.232883 True [  156021.427509] 0003 0036 000003fa
2022-04-02 16:54:58.250268 True [  156021.444135] 0003 0035 000004c1
2022-04-02 16:54:58.266532 True [  156021.460658] 0003 0036 000003f9
2022-04-02 16:54:58.318706 True [  156021.510751] 0003 0035 000004c2
2022-04-02 16:54:58.351142 True [  156021.544078] 0003 0035 000004c3
2022-04-02 16:54:58.385141 True [  156021.577006] 0003 0035 000004c4
2022-04-02 16:54:58.579786 True [  156021.769735] 0003 0035 000004c5
2022-04-02 16:54:58.675488 True [  156021.867935] 0003 0035 000004c6
2022-04-02 16:54:58.825780 True [  156022.017642] 0003 0035 000004c5
2022-04-02 16:54:58.867808 True [  156022.059942] 0003 0035 000004c4
2022-04-02 16:54:58.872744 True [  156022.067511] 0003 0035 000004c3
2022-04-02 16:54:58.891116 True [  156022.084085] 0003 0035 000004c2
2022-04-02 16:54:58.891116 True [  156022.084085] 0003 0036 000003fa
2022-04-02 16:54:58.898214 True [  156022.092421] 0003 0035 000004c1
2022-04-02 16:54:58.906683 True [  156022.101492] 0003 0036 000003fb
2022-04-02 16:54:58.922994 True [  156022.117254] 0003 0035 000004c0
