Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9799148470948775 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:01:53.125976 True [  156436.310770] 0003 0036 000003c2
2022-04-02 17:01:53.132396 True [  156436.319294] 0003 0035 00000480
2022-04-02 17:01:53.132396 True [  156436.319294] 0003 0036 000003bf
2022-04-02 17:01:53.140519 True [  156436.327512] 0003 0035 00000482
2022-04-02 17:01:53.140519 True [  156436.327512] 0003 0036 000003be
2022-04-02 17:01:53.148283 True [  156436.335392] 0003 0035 00000484
2022-04-02 17:01:53.148283 True [  156436.335392] 0003 0036 000003bc
2022-04-02 17:01:54.163486 True [  156437.349914] 0003 0035 00000489
2022-04-02 17:01:54.163486 True [  156437.349914] 0003 0036 000003cd
2022-04-02 17:01:54.298444 True [  156437.482468] 0003 0035 0000048a
2022-04-02 17:01:54.323667 True [  156437.507058] 0003 0035 0000048b
2022-04-02 17:01:54.323667 True [  156437.507058] 0003 0036 000003cc
2022-04-02 17:01:54.327389 True [  156437.515545] 0003 0035 0000048c
2022-04-02 17:01:54.336154 True [  156437.523903] 0003 0036 000003cb
2022-04-02 17:01:54.344287 True [  156437.532821] 0003 0035 0000048e
2022-04-02 17:01:54.344287 True [  156437.532821] 0003 0036 000003c9
2022-04-02 17:01:54.352932 True [  156437.540765] 0003 0035 00000490
2022-04-02 17:01:54.352932 True [  156437.540765] 0003 0036 000003c7
2022-04-02 17:01:54.362348 True [  156437.549015] 0003 0035 00000492
2022-04-02 17:01:54.362348 True [  156437.549015] 0003 0036 000003c5
2022-04-02 17:01:54.370053 True [  156437.557218] 0003 0035 00000493
2022-04-02 17:01:54.370053 True [  156437.557218] 0003 0036 000003c3
2022-04-02 17:01:54.378061 True [  156437.565357] 0003 0035 00000495
2022-04-02 17:01:54.378061 True [  156437.565357] 0003 0036 000003c0
2022-04-02 17:01:54.386739 True [  156437.573722] 0003 0035 00000496
2022-04-02 17:01:54.386739 True [  156437.573722] 0003 0036 000003bf
2022-04-02 17:01:54.404322 True [  156437.590326] 0003 0035 00000497
2022-04-02 17:01:54.404322 True [  156437.590326] 0003 0036 000003bd
2022-04-02 17:01:54.411316 True [  156437.598580] 0003 0035 00000498
2022-04-02 17:01:54.411316 True [  156437.598580] 0003 0036 000003bb
2022-04-02 17:01:54.419444 True [  156437.606762] 0003 0035 00000499
2022-04-02 17:01:54.419444 True [  156437.606762] 0003 0036 000003ba
2022-04-02 17:01:54.428268 True [  156437.615590] 0003 0035 0000049a
2022-04-02 17:01:54.428268 True [  156437.615590] 0003 0036 000003b8
2022-04-02 17:01:54.435852 True [  156437.623741] 0003 0036 000003b7
2022-04-02 17:01:54.444869 True [  156437.632284] 0003 0036 000003b6
2022-04-02 17:01:54.463091 True [  156437.648926] 0003 0035 0000049b
2022-04-02 17:01:54.463091 True [  156437.648926] 0003 0036 000003b5
2022-04-02 17:01:54.494252 True [  156437.681945] 0003 0035 0000049c
