Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.072076463975866 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:06:19.887583 False [  156703.067077] 0003 0036 000003e2
2022-04-02 17:06:19.900184 False [  156703.082829] 0003 0035 00000541
2022-04-02 17:06:19.900184 False [  156703.082829] 0003 0036 000003e6
2022-04-02 17:06:19.908394 False [  156703.091297] 0003 0035 00000542
2022-04-02 17:06:19.908394 False [  156703.091297] 0003 0036 000003e8
2022-04-02 17:06:19.917149 False [  156703.099451] 0003 0035 00000543
2022-04-02 17:06:19.917149 False [  156703.099451] 0003 0036 000003ea
2022-04-02 17:06:19.925299 False [  156703.107887] 0003 0035 00000549
2022-04-02 17:06:19.925299 False [  156703.107887] 0003 0036 000003f3
2022-04-02 17:06:19.932873 False [  156703.116051] 0003 0035 0000054a
2022-04-02 17:06:19.932873 False [  156703.116051] 0003 0036 000003f4
2022-04-02 17:06:19.941404 False [  156703.124576] 0003 0035 0000054e
2022-04-02 17:06:19.941404 False [  156703.124576] 0003 0036 000003f9
2022-04-02 17:06:19.950293 False [  156703.132840] 0003 0035 00000550
2022-04-02 17:06:19.950293 False [  156703.132840] 0003 0036 000003fd
2022-04-02 17:06:19.957331 False [  156703.141124] 0003 0035 00000552
2022-04-02 17:06:19.957331 False [  156703.141124] 0003 0036 000003ff
2022-04-02 17:06:19.966104 False [  156703.149324] 0003 0035 00000553
2022-04-02 17:06:19.966104 False [  156703.149324] 0003 0036 00000401
2022-04-02 17:06:19.975499 False [  156703.157713] 0003 0035 00000554
2022-04-02 17:06:19.975499 False [  156703.157713] 0003 0036 00000402
2022-04-02 17:06:19.984163 False [  156703.165933] 0003 0036 00000403
2022-04-02 17:06:20.001128 False [  156703.182935] 0003 0036 00000404
2022-04-02 17:06:20.178795 False [  156703.357412] 0003 0035 00000557
2022-04-02 17:06:20.184329 False [  156703.365647] 0003 0035 0000055a
2022-04-02 17:06:20.189508 False [  156703.374073] 0003 0035 0000055b
2022-04-02 17:06:20.200519 False [  156703.382411] 0003 0035 00000562
2022-04-02 17:06:20.208592 False [  156703.390863] 0003 0035 00000566
2022-04-02 17:06:20.215956 False [  156703.398831] 0003 0035 00000570
2022-04-02 17:06:20.224608 False [  156703.407808] 0003 0035 00000576
2022-04-02 17:06:20.233208 False [  156703.415392] 0003 0035 00000585
2022-04-02 17:06:20.233208 False [  156703.415392] 0003 0036 00000409
2022-04-02 17:06:20.241480 False [  156703.423880] 0003 0035 0000058d
2022-04-02 17:06:20.241480 False [  156703.423880] 0003 0036 0000040a
2022-04-02 17:06:20.249855 False [  156703.432175] 0003 0035 00000598
2022-04-02 17:06:20.249855 False [  156703.432175] 0003 0036 0000040e
2022-04-02 17:06:20.259389 False [  156703.441263] 0003 0035 000005a0
2022-04-02 17:06:20.259389 False [  156703.441263] 0003 0036 0000040f
2022-04-02 17:06:20.265283 False [  156703.448751] 0003 0035 000005a5
2022-04-02 17:06:20.265283 False [  156703.448751] 0003 0036 00000411
2022-04-02 17:06:20.274075 False [  156703.456997] 0003 0035 000005af
2022-04-02 17:06:20.274075 False [  156703.456997] 0003 0036 00000415
2022-04-02 17:06:20.284280 False [  156703.465190] 0003 0035 000005b6
2022-04-02 17:06:20.284280 False [  156703.465190] 0003 0036 00000418
2022-04-02 17:06:20.291279 False [  156703.473560] 0003 0035 000005bb
2022-04-02 17:06:20.291279 False [  156703.473560] 0003 0036 00000419
2022-04-02 17:06:20.299365 False [  156703.481843] 0003 0035 000005c3
2022-04-02 17:06:20.299365 False [  156703.481843] 0003 0036 0000041d
2022-04-02 17:06:20.306298 False [  156703.490172] 0003 0035 000005c9
2022-04-02 17:06:20.306298 False [  156703.490172] 0003 0036 0000041f
2022-04-02 17:06:20.314246 False [  156703.498521] 0003 0035 000005cd
2022-04-02 17:06:20.314246 False [  156703.498521] 0003 0036 00000421
2022-04-02 17:06:20.323230 False [  156703.507245] 0003 0035 000005d6
2022-04-02 17:06:20.323230 False [  156703.507245] 0003 0036 00000429
2022-04-02 17:06:20.332402 False [  156703.514981] 0003 0035 000005dc
2022-04-02 17:06:20.332402 False [  156703.514981] 0003 0036 0000042d
2022-04-02 17:06:20.340328 False [  156703.523558] 0003 0035 000005e0
2022-04-02 17:06:20.340328 False [  156703.523558] 0003 0036 0000042f
2022-04-02 17:06:20.350098 False [  156703.531708] 0003 0035 000005e3
