Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:20:41.954782 False [  157565.125713] 0003 0036 0000043c
2022-04-02 17:20:42.031840 False [  157565.199234] 0003 0036 0000043b
2022-04-02 17:20:42.047972 False [  157565.215855] 0003 0035 00000553
2022-04-02 17:20:42.062752 False [  157565.232460] 0003 0035 00000554
2022-04-02 17:20:42.082564 False [  157565.249870] 0003 0035 00000555
2022-04-02 17:20:42.100090 False [  157565.267241] 0003 0035 00000556
2022-04-02 17:20:42.114466 False [  157565.283642] 0003 0035 00000557
2022-04-02 17:20:42.173565 False [  157565.341039] 0003 0035 00000558
2022-04-02 17:20:42.205216 False [  157565.373642] 0003 0035 00000559
2022-04-02 17:20:42.321239 False [  157565.491671] 0003 0036 0000043d
2022-04-02 17:20:42.330248 False [  157565.498593] 0003 0036 0000043f
2022-04-02 17:20:42.346259 False [  157565.515223] 0003 0036 00000440
2022-04-02 17:20:42.352624 False [  157565.523227] 0003 0036 00000441
2022-04-02 17:20:42.361554 False [  157565.531824] 0003 0036 00000442
2022-04-02 17:20:42.370346 False [  157565.540094] 0003 0036 00000443
2022-04-02 17:20:42.378741 False [  157565.548332] 0003 0036 00000446
2022-04-02 17:20:42.385483 False [  157565.556507] 0003 0036 00000449
2022-04-02 17:20:42.396470 False [  157565.565226] 0003 0035 00000558
2022-04-02 17:20:42.396470 False [  157565.565226] 0003 0036 0000044b
2022-04-02 17:20:42.403540 False [  157565.573184] 0003 0035 00000557
2022-04-02 17:20:42.403540 False [  157565.573184] 0003 0036 0000044e
2022-04-02 17:20:42.412015 False [  157565.581551] 0003 0035 00000556
2022-04-02 17:20:42.412015 False [  157565.581551] 0003 0036 0000044f
2022-04-02 17:20:42.419369 False [  157565.589791] 0003 0035 00000554
2022-04-02 17:20:42.419369 False [  157565.589791] 0003 0036 00000452
2022-04-02 17:20:42.428471 False [  157565.598200] 0003 0035 00000552
2022-04-02 17:20:42.428471 False [  157565.598200] 0003 0036 00000454
2022-04-02 17:20:42.438944 False [  157565.606395] 0003 0035 00000550
2022-04-02 17:20:42.438944 False [  157565.606395] 0003 0036 00000456
2022-04-02 17:20:42.446455 False [  157565.614840] 0003 0035 0000054d
2022-04-02 17:20:42.446455 False [  157565.614840] 0003 0036 00000458
2022-04-02 17:20:42.452700 False [  157565.623070] 0003 0035 0000054a
2022-04-02 17:20:42.452700 False [  157565.623070] 0003 0036 0000045a
2022-04-02 17:20:42.461036 False [  157565.631437] 0003 0035 00000548
2022-04-02 17:20:42.461036 False [  157565.631437] 0003 0036 0000045b
2022-04-02 17:20:42.470488 False [  157565.639590] 0003 0035 00000545
2022-04-02 17:20:42.470488 False [  157565.639590] 0003 0036 0000045d
2022-04-02 17:20:42.480390 False [  157565.648563] 0003 0035 00000542
2022-04-02 17:20:42.480390 False [  157565.648563] 0003 0036 0000045e
2022-04-02 17:20:42.487494 False [  157565.656271] 0003 0035 00000540
2022-04-02 17:20:42.487494 False [  157565.656271] 0003 0036 0000045f
2022-04-02 17:20:42.497443 False [  157565.665190] 0003 0035 0000053e
2022-04-02 17:20:42.497443 False [  157565.665190] 0003 0036 00000460
2022-04-02 17:20:42.501395 False [  157565.672997] 0003 0035 0000053c
2022-04-02 17:20:42.501395 False [  157565.672997] 0003 0036 00000461
2022-04-02 17:20:42.512860 False [  157565.682217] 0003 0035 0000053b
