Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0747089519444473 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:28:06.941609 False [  158010.098091] 0003 0036 000005a0
2022-04-02 17:28:06.982013 False [  158010.138245] 0003 0035 00000531
2022-04-02 17:28:06.982013 False [  158010.138245] 0003 0036 0000059f
2022-04-02 17:28:06.986398 False [  158010.146652] 0003 0035 00000535
2022-04-02 17:28:06.986398 False [  158010.146652] 0003 0036 0000059b
2022-04-02 17:28:06.991415 False [  158010.154945] 0003 0035 0000053b
2022-04-02 17:28:06.991415 False [  158010.154945] 0003 0036 00000597
2022-04-02 17:28:07.001445 False [  158010.163228] 0003 0035 00000542
2022-04-02 17:28:07.001445 False [  158010.163228] 0003 0036 00000590
2022-04-02 17:28:07.010205 False [  158010.171469] 0003 0035 0000054c
2022-04-02 17:28:07.010205 False [  158010.171469] 0003 0036 0000058a
2022-04-02 17:28:07.017734 False [  158010.179804] 0003 0035 00000557
2022-04-02 17:28:07.017734 False [  158010.179804] 0003 0036 00000580
2022-04-02 17:28:07.023481 False [  158010.188157] 0003 0035 00000562
2022-04-02 17:28:07.023481 False [  158010.188157] 0003 0036 00000578
2022-04-02 17:28:07.034474 False [  158010.196596] 0003 0035 00000570
2022-04-02 17:28:07.034474 False [  158010.196596] 0003 0036 0000056f
2022-04-02 17:28:07.042577 False [  158010.204650] 0003 0035 0000057f
2022-04-02 17:28:07.042577 False [  158010.204650] 0003 0036 00000566
2022-04-02 17:28:07.049826 False [  158010.213035] 0003 0035 0000058f
2022-04-02 17:28:07.049826 False [  158010.213035] 0003 0036 0000055d
2022-04-02 17:28:07.058534 False [  158010.221296] 0003 0035 00000598
2022-04-02 17:28:07.058534 False [  158010.221296] 0003 0036 00000558
2022-04-02 17:28:07.064520 False [  158010.229642] 0003 0035 000005a6
2022-04-02 17:28:07.064520 False [  158010.229642] 0003 0036 00000554
2022-04-02 17:28:07.074518 False [  158010.237846] 0003 0035 000005ae
2022-04-02 17:28:07.074518 False [  158010.237846] 0003 0036 00000551
2022-04-02 17:28:07.084144 False [  158010.246486] 0003 0035 000005b5
2022-04-02 17:28:07.084144 False [  158010.246486] 0003 0036 0000054f
2022-04-02 17:28:07.093149 False [  158010.254648] 0003 0035 000005ba
2022-04-02 17:28:07.093149 False [  158010.254648] 0003 0036 0000054e
2022-04-02 17:28:07.101095 False [  158010.263936] 0003 0035 000005be
2022-04-02 17:28:07.101095 False [  158010.263936] 0003 0036 0000054c
2022-04-02 17:28:07.106739 False [  158010.271624] 0003 0035 000005c0
2022-04-02 17:28:07.117836 False [  158010.279750] 0003 0035 000005c3
2022-04-02 17:28:07.117836 False [  158010.279750] 0003 0036 0000054b
2022-04-02 17:28:07.123655 False [  158010.287764] 0003 0035 000005c4
2022-04-02 17:28:07.123655 False [  158010.287764] 0003 0036 0000054a
