Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:01.277307 True [  158244.430474] 0003 0036 0000046a
2022-04-02 17:32:01.335596 True [  158244.495014] 0003 0036 00000469
2022-04-02 17:32:01.350837 True [  158244.503315] 0003 0036 00000468
2022-04-02 17:32:01.354203 True [  158244.511588] 0003 0036 00000467
2022-04-02 17:32:01.361993 True [  158244.519751] 0003 0036 00000465
2022-04-02 17:32:01.370301 True [  158244.528283] 0003 0036 00000464
2022-04-02 17:32:01.387221 True [  158244.544764] 0003 0036 00000462
2022-04-02 17:32:01.394128 True [  158244.553023] 0003 0035 0000046d
2022-04-02 17:32:01.394128 True [  158244.553023] 0003 0036 00000461
2022-04-02 17:32:01.404121 True [  158244.561397] 0003 0036 00000460
2022-04-02 17:32:01.408321 True [  158244.569542] 0003 0035 0000046e
2022-04-02 17:32:01.408321 True [  158244.569542] 0003 0036 0000045f
2022-04-02 17:32:01.430123 True [  158244.587468] 0003 0036 0000045e
2022-04-02 17:32:01.437401 True [  158244.594720] 0003 0035 0000046f
2022-04-02 17:32:01.437401 True [  158244.594720] 0003 0036 0000045d
2022-04-02 17:32:01.453029 True [  158244.611833] 0003 0036 0000045c
2022-04-02 17:32:01.480281 True [  158244.637126] 0003 0036 0000045b
2022-04-02 17:32:01.494429 True [  158244.652888] 0003 0035 00000470
2022-04-02 17:32:01.518844 True [  158244.670711] 0003 0035 00000471
2022-04-02 17:32:01.518844 True [  158244.670711] 0003 0036 0000045a
2022-04-02 17:32:01.527381 True [  158244.677955] 0003 0035 00000472
2022-04-02 17:32:01.535585 True [  158244.686083] 0003 0035 00000474
2022-04-02 17:32:01.535585 True [  158244.686083] 0003 0036 0000045b
2022-04-02 17:32:01.542357 True [  158244.694524] 0003 0035 00000476
2022-04-02 17:32:01.545806 True [  158244.702647] 0003 0035 00000479
2022-04-02 17:32:01.545806 True [  158244.702647] 0003 0036 0000045c
2022-04-02 17:32:01.552232 True [  158244.711044] 0003 0035 0000047b
2022-04-02 17:32:01.552232 True [  158244.711044] 0003 0036 0000045d
2022-04-02 17:32:01.559200 True [  158244.719288] 0003 0035 0000047e
2022-04-02 17:32:01.559200 True [  158244.719288] 0003 0036 0000045f
2022-04-02 17:32:01.568052 True [  158244.727650] 0003 0035 00000480
2022-04-02 17:32:01.576804 True [  158244.735912] 0003 0035 00000482
2022-04-02 17:32:01.576804 True [  158244.735912] 0003 0036 00000461
2022-04-02 17:32:01.583370 True [  158244.744315] 0003 0035 00000485
2022-04-02 17:32:01.583370 True [  158244.744315] 0003 0036 00000463
2022-04-02 17:32:01.593651 True [  158244.752655] 0003 0035 00000486
2022-04-02 17:32:01.593651 True [  158244.752655] 0003 0036 00000465
2022-04-02 17:32:01.601710 True [  158244.761168] 0003 0035 00000488
2022-04-02 17:32:01.601710 True [  158244.761168] 0003 0036 00000468
2022-04-02 17:32:01.608829 True [  158244.769168] 0003 0035 00000489
2022-04-02 17:32:01.608829 True [  158244.769168] 0003 0036 0000046a
2022-04-02 17:32:01.619973 True [  158244.777612] 0003 0035 0000048b
