Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.07466251257440355 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:35:17.211265 True [  158440.362212] 0003 0036 00000515
2022-04-02 17:35:17.475443 True [  158440.628590] 0003 0035 000004c4
2022-04-02 17:35:17.475443 True [  158440.628590] 0003 0036 00000516
2022-04-02 17:35:17.480782 True [  158440.636117] 0003 0035 000004c2
2022-04-02 17:35:17.480782 True [  158440.636117] 0003 0036 00000519
2022-04-02 17:35:17.488925 True [  158440.644191] 0003 0035 000004bf
2022-04-02 17:35:17.488925 True [  158440.644191] 0003 0036 0000051c
2022-04-02 17:35:17.497113 True [  158440.652141] 0003 0035 000004ba
2022-04-02 17:35:17.497113 True [  158440.652141] 0003 0036 00000520
2022-04-02 17:35:17.504757 True [  158440.660546] 0003 0035 000004b5
2022-04-02 17:35:17.504757 True [  158440.660546] 0003 0036 00000524
2022-04-02 17:35:17.514130 True [  158440.668777] 0003 0035 000004af
2022-04-02 17:35:17.514130 True [  158440.668777] 0003 0036 00000529
2022-04-02 17:35:17.520683 True [  158440.676991] 0003 0035 000004a8
2022-04-02 17:35:17.520683 True [  158440.676991] 0003 0036 0000052c
2022-04-02 17:35:17.538185 True [  158440.685452] 0003 0035 000004a3
2022-04-02 17:35:17.538185 True [  158440.685452] 0003 0036 0000052f
2022-04-02 17:35:17.546876 True [  158440.693673] 0003 0035 000004a0
2022-04-02 17:35:17.546876 True [  158440.693673] 0003 0036 00000531
2022-04-02 17:35:17.560187 True [  158440.702337] 0003 0035 0000049c
2022-04-02 17:35:17.560187 True [  158440.702337] 0003 0036 00000534
2022-04-02 17:35:17.563523 True [  158440.710311] 0003 0035 00000497
2022-04-02 17:35:17.564398 True [  158440.710311] 0003 0036 00000536
2022-04-02 17:35:17.564398 True [  158440.718760] 0003 0035 00000494
2022-04-02 17:35:17.564398 True [  158440.718760] 0003 0036 00000537
2022-04-02 17:35:17.577787 True [  158440.727053] 0003 0035 00000491
2022-04-02 17:35:17.577787 True [  158440.727053] 0003 0036 00000538
2022-04-02 17:35:17.581673 True [  158440.735770] 0003 0035 0000048e
2022-04-02 17:35:17.581673 True [  158440.735770] 0003 0036 00000539
2022-04-02 17:35:17.606000 True [  158440.743521] 0003 0035 0000048c
2022-04-02 17:35:17.623227 True [  158440.751873] 0003 0035 0000048b
2022-04-02 17:35:17.623227 True [  158440.760134] 0003 0035 00000489
2022-04-02 17:35:17.623227 True [  158440.768675] 0003 0035 00000488
2022-04-02 17:35:17.641678 True [  158440.776684] 0003 0035 00000487
2022-04-02 17:35:17.641678 True [  158440.776684] 0003 0036 00000538
2022-04-02 17:35:17.641678 True [  158440.785197] 0003 0035 00000486
2022-04-02 17:35:17.645738 True [  158440.793487] 0003 0035 00000485
2022-04-02 17:35:17.659548 True [  158440.809938] 0003 0035 00000484
2022-04-02 17:35:17.659548 True [  158440.809938] 0003 0036 00000537
2022-04-02 17:35:17.681260 True [  158440.826588] 0003 0035 00000483
2022-04-02 17:35:17.686047 True [  158440.835073] 0003 0035 00000482
2022-04-02 17:35:17.713176 True [  158440.862133] 0003 0035 00000481
