Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.07466251257440355 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:35:30.855461 False [  158454.006399] 0003 0036 000005da
2022-04-02 17:35:31.078555 False [  158454.214925] 0003 0035 00000536
2022-04-02 17:35:31.078555 False [  158454.214925] 0003 0036 000005d9
2022-04-02 17:35:31.078555 False [  158454.221823] 0003 0035 00000535
2022-04-02 17:35:31.092653 False [  158454.230103] 0003 0035 00000534
2022-04-02 17:35:31.106803 False [  158454.246581] 0003 0035 00000533
2022-04-02 17:35:31.106803 False [  158454.246581] 0003 0036 000005d8
2022-04-02 17:35:31.106803 False [  158454.254933] 0003 0035 00000532
2022-04-02 17:35:31.106803 False [  158454.254933] 0003 0036 000005d6
2022-04-02 17:35:31.115295 False [  158454.263205] 0003 0035 00000531
2022-04-02 17:35:31.115295 False [  158454.263205] 0003 0036 000005d4
2022-04-02 17:35:31.134620 False [  158454.271372] 0003 0035 00000530
2022-04-02 17:35:31.134620 False [  158454.271372] 0003 0036 000005d3
2022-04-02 17:35:31.159950 False [  158454.280173] 0003 0036 000005cf
2022-04-02 17:35:31.159950 False [  158454.288272] 0003 0036 000005cc
2022-04-02 17:35:31.159950 False [  158454.296647] 0003 0036 000005c8
2022-04-02 17:35:31.182989 False [  158454.304576] 0003 0036 000005c3
2022-04-02 17:35:31.182989 False [  158454.313150] 0003 0036 000005bd
2022-04-02 17:35:31.182989 False [  158454.321286] 0003 0035 00000531
2022-04-02 17:35:31.182989 False [  158454.321286] 0003 0036 000005b5
2022-04-02 17:35:31.191080 False [  158454.329618] 0003 0035 00000533
2022-04-02 17:35:31.191080 False [  158454.329618] 0003 0036 000005ad
2022-04-02 17:35:31.191080 False [  158454.338173] 0003 0035 00000534
2022-04-02 17:35:31.191080 False [  158454.338173] 0003 0036 000005a8
