Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0635945770633684 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:37:47.023159 False [  158590.167717] 0003 0036 0000058f
2022-04-02 17:37:47.202601 False [  158590.349902] 0003 0035 00000535
2022-04-02 17:37:47.202601 False [  158590.349902] 0003 0036 0000058e
2022-04-02 17:37:47.228253 False [  158590.366692] 0003 0035 00000537
2022-04-02 17:37:47.236319 False [  158590.366692] 0003 0036 0000058d
2022-04-02 17:37:47.236319 False [  158590.374986] 0003 0036 0000058c
2022-04-02 17:37:47.236319 False [  158590.383317] 0003 0035 00000539
2022-04-02 17:37:47.236319 False [  158590.383317] 0003 0036 0000058a
2022-04-02 17:37:47.245133 False [  158590.391932] 0003 0035 0000053a
2022-04-02 17:37:47.254246 False [  158590.391932] 0003 0036 00000588
2022-04-02 17:37:47.254246 False [  158590.400252] 0003 0035 0000053b
2022-04-02 17:37:47.254246 False [  158590.400252] 0003 0036 00000585
2022-04-02 17:37:47.263390 False [  158590.408305] 0003 0036 00000583
2022-04-02 17:37:47.271281 False [  158590.416574] 0003 0035 0000053c
2022-04-02 17:37:47.271281 False [  158590.416574] 0003 0036 00000580
2022-04-02 17:37:47.288296 False [  158590.424912] 0003 0035 0000053e
2022-04-02 17:37:47.288296 False [  158590.424912] 0003 0036 0000057d
2022-04-02 17:37:47.305240 False [  158590.433194] 0003 0036 0000057a
2022-04-02 17:37:47.305240 False [  158590.442242] 0003 0035 0000053f
2022-04-02 17:37:47.305240 False [  158590.442242] 0003 0036 00000577
2022-04-02 17:37:47.330151 False [  158590.450027] 0003 0035 00000540
2022-04-02 17:37:47.330151 False [  158590.450027] 0003 0036 00000574
2022-04-02 17:37:47.330151 False [  158590.458222] 0003 0035 00000541
2022-04-02 17:37:47.330151 False [  158590.458222] 0003 0036 00000570
2022-04-02 17:37:47.370419 False [  158590.466698] 0003 0036 0000056c
2022-04-02 17:37:47.370419 False [  158590.475540] 0003 0036 00000569
2022-04-02 17:37:47.370419 False [  158590.483798] 0003 0035 00000542
2022-04-02 17:37:47.370419 False [  158590.483798] 0003 0036 00000566
2022-04-02 17:37:47.388128 False [  158590.491418] 0003 0036 00000563
2022-04-02 17:37:47.388128 False [  158590.501089] 0003 0036 0000055f
2022-04-02 17:37:47.388128 False [  158590.511389] 0003 0036 0000055d
2022-04-02 17:37:47.388128 False [  158590.521572] 0003 0036 0000055a
2022-04-02 17:37:47.388128 False [  158590.530858] 0003 0036 00000556
2022-04-02 17:37:47.404274 False [  158590.536284] 0003 0036 00000553
2022-04-02 17:37:47.404274 False [  158590.541239] 0003 0035 00000541
2022-04-02 17:37:47.404274 False [  158590.541239] 0003 0036 0000054f
