Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.035265419261927694 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:40:20.243710 False [  158743.389596] 0003 0036 000003d9
2022-04-02 17:40:20.309070 False [  158743.446486] 0003 0035 0000057b
2022-04-02 17:40:20.321943 False [  158743.463099] 0003 0035 0000057a
2022-04-02 17:40:20.321943 False [  158743.463099] 0003 0036 000003db
2022-04-02 17:40:20.345103 False [  158743.472082] 0003 0035 00000578
2022-04-02 17:40:20.345103 False [  158743.472082] 0003 0036 000003dc
2022-04-02 17:40:20.345103 False [  158743.480199] 0003 0035 00000576
2022-04-02 17:40:20.345103 False [  158743.480199] 0003 0036 000003df
2022-04-02 17:40:20.390707 False [  158743.488508] 0003 0035 00000574
2022-04-02 17:40:20.390707 False [  158743.488508] 0003 0036 000003e2
2022-04-02 17:40:20.390707 False [  158743.496480] 0003 0036 000003e3
2022-04-02 17:40:20.444037 False [  158743.504844] 0003 0035 00000573
2022-04-02 17:40:20.444037 False [  158743.504844] 0003 0036 000003e5
2022-04-02 17:40:20.444037 False [  158743.513278] 0003 0035 00000571
2022-04-02 17:40:20.444037 False [  158743.513278] 0003 0036 000003e7
2022-04-02 17:40:20.444037 False [  158743.522412] 0003 0035 00000570
2022-04-02 17:40:20.444037 False [  158743.522412] 0003 0036 000003ea
2022-04-02 17:40:20.444037 False [  158743.531261] 0003 0036 000003ec
2022-04-02 17:40:20.444037 False [  158743.540927] 0003 0035 0000056f
2022-04-02 17:40:20.444037 False [  158743.540927] 0003 0036 000003ee
2022-04-02 17:40:20.444037 False [  158743.548822] 0003 0036 000003ef
2022-04-02 17:40:20.492829 False [  158743.558716] 0003 0035 0000056e
2022-04-02 17:40:20.492829 False [  158743.558716] 0003 0036 000003f2
2022-04-02 17:40:20.492829 False [  158743.567881] 0003 0035 0000056d
2022-04-02 17:40:20.492829 False [  158743.567881] 0003 0036 000003f3
2022-04-02 17:40:20.492829 False [  158743.575180] 0003 0036 000003f5
2022-04-02 17:40:20.492829 False [  158743.585772] 0003 0035 0000056c
2022-04-02 17:40:20.492829 False [  158743.585772] 0003 0036 000003f7
2022-04-02 17:40:20.492829 False [  158743.595772] 0003 0035 0000056b
2022-04-02 17:40:20.493829 False [  158743.595772] 0003 0036 000003f9
2022-04-02 17:40:20.553116 False [  158743.605827] 0003 0036 000003fb
2022-04-02 17:40:20.553116 False [  158743.614924] 0003 0035 0000056a
2022-04-02 17:40:20.553116 False [  158743.614924] 0003 0036 000003fe
2022-04-02 17:40:20.553116 False [  158743.624201] 0003 0035 00000569
2022-04-02 17:40:20.553116 False [  158743.633351] 0003 0036 000003ff
2022-04-02 17:40:20.553116 False [  158743.642715] 0003 0036 00000404
2022-04-02 17:40:20.553116 False [  158743.650982] 0003 0036 00000408
2022-04-02 17:40:20.609056 False [  158743.660138] 0003 0036 0000040a
2022-04-02 17:40:20.609056 False [  158743.670717] 0003 0036 0000040d
2022-04-02 17:40:20.609056 False [  158743.682146] 0003 0036 0000040e
2022-04-02 17:40:20.609056 False [  158743.691982] 0003 0036 00000412
2022-04-02 17:40:20.609056 False [  158743.701525] 0003 0036 00000413
2022-04-02 17:40:20.609056 False [  158743.710978] 0003 0036 00000414
2022-04-02 17:40:20.661850 False [  158743.722694] 0003 0036 00000417
2022-04-02 17:40:20.661850 False [  158743.734108] 0003 0036 0000041c
2022-04-02 17:40:20.661850 False [  158743.744842] 0003 0036 0000041e
2022-04-02 17:40:20.661850 False [  158743.754910] 0003 0036 0000041f
2022-04-02 17:40:20.661850 False [  158743.765287] 0003 0035 00000568
2022-04-02 17:40:20.661850 False [  158743.765287] 0003 0036 00000423
2022-04-02 17:40:20.671484 False [  158743.773873] 0003 0036 00000425
2022-04-02 17:40:20.671484 False [  158743.784225] 0003 0035 00000567
2022-04-02 17:40:20.671484 False [  158743.784225] 0003 0036 00000427
2022-04-02 17:40:20.671484 False [  158743.792966] 0003 0036 00000429
2022-04-02 17:40:20.671484 False [  158743.801631] 0003 0035 00000566
2022-04-02 17:40:20.671484 False [  158743.801631] 0003 0036 0000042d
2022-04-02 17:40:20.671484 False [  158743.810458] 0003 0035 00000565
2022-04-02 17:40:20.671484 False [  158743.810458] 0003 0036 0000042f
2022-04-02 17:40:20.671484 False [  158743.818743] 0003 0035 00000564
2022-04-02 17:40:20.671484 False [  158743.818743] 0003 0036 00000431
2022-04-02 17:40:20.671484 False [  158743.821027] 0003 0035 00000563
2022-04-02 17:40:20.671484 False [  158743.821027] 0003 0036 00000433
2022-04-02 17:40:20.737177 False [  158743.829096] 0003 0035 00000562
2022-04-02 17:40:20.737177 False [  158743.829096] 0003 0036 00000435
2022-04-02 17:40:20.778643 False [  158743.838074] 0003 0035 00000561
2022-04-02 17:40:20.778643 False [  158743.838074] 0003 0036 00000438
2022-04-02 17:40:20.778643 False [  158743.848127] 0003 0035 0000055f
2022-04-02 17:40:20.778643 False [  158743.848127] 0003 0036 0000043a
2022-04-02 17:40:20.778643 False [  158743.858767] 0003 0035 0000055e
2022-04-02 17:40:20.778643 False [  158743.858767] 0003 0036 0000043c
2022-04-02 17:40:20.778643 False [  158743.868601] 0003 0035 0000055d
2022-04-02 17:40:20.778643 False [  158743.868601] 0003 0036 0000043e
2022-04-02 17:40:20.778643 False [  158743.877182] 0003 0035 0000055b
2022-04-02 17:40:20.778643 False [  158743.877182] 0003 0036 0000043f
2022-04-02 17:40:20.778643 False [  158743.885203] 0003 0036 00000440
2022-04-02 17:40:20.778643 False [  158743.895124] 0003 0035 0000055a
2022-04-02 17:40:20.778643 False [  158743.895124] 0003 0036 00000442
2022-04-02 17:40:20.822479 False [  158743.904563] 0003 0035 00000558
2022-04-02 17:40:20.822479 False [  158743.904563] 0003 0036 00000444
2022-04-02 17:40:20.822479 False [  158743.912126] 0003 0035 00000557
2022-04-02 17:40:20.822479 False [  158743.912126] 0003 0036 00000447
2022-04-02 17:40:20.822479 False [  158743.920582] 0003 0035 00000554
2022-04-02 17:40:20.822479 False [  158743.920582] 0003 0036 0000044a
2022-04-02 17:40:20.822479 False [  158743.928744] 0003 0035 00000552
2022-04-02 17:40:20.822479 False [  158743.928744] 0003 0036 0000044b
2022-04-02 17:40:20.874813 False [  158743.937170] 0003 0035 00000550
2022-04-02 17:40:20.874813 False [  158743.937170] 0003 0036 0000044f
2022-04-02 17:40:20.874813 False [  158743.945372] 0003 0035 0000054e
2022-04-02 17:40:20.874813 False [  158743.945372] 0003 0036 00000452
2022-04-02 17:40:20.874813 False [  158743.954600] 0003 0035 0000054d
2022-04-02 17:40:20.874813 False [  158743.954600] 0003 0036 00000455
2022-04-02 17:40:20.874813 False [  158743.963598] 0003 0035 0000054b
2022-04-02 17:40:20.874813 False [  158743.963598] 0003 0036 00000458
2022-04-02 17:40:20.874813 False [  158743.971996] 0003 0035 0000054a
2022-04-02 17:40:20.874813 False [  158743.971996] 0003 0036 0000045a
2022-04-02 17:40:20.875800 False [  158743.980315] 0003 0035 00000549
2022-04-02 17:40:20.875800 False [  158743.980315] 0003 0036 0000045c
2022-04-02 17:40:20.932569 False [  158743.988065] 0003 0035 00000548
2022-04-02 17:40:20.932569 False [  158743.988065] 0003 0036 00000462
2022-04-02 17:40:20.932569 False [  158743.996651] 0003 0035 00000546
