Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6745057391461673 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:43:31.721659 False [  158934.861811] 0003 0036 000004ad
2022-04-02 17:43:32.495810 False [  158935.632909] 0003 0036 000004ac
2022-04-02 17:43:32.536862 False [  158935.665793] 0003 0036 000004ab
2022-04-02 17:43:32.555313 False [  158935.698805] 0003 0036 000004aa
2022-04-02 17:43:32.723460 False [  158935.866019] 0003 0035 0000055c
2022-04-02 17:43:32.752291 False [  158935.891477] 0003 0036 000004a9
2022-04-02 17:43:32.752291 False [  158935.897972] 0003 0035 0000055b
2022-04-02 17:43:32.783053 False [  158935.931787] 0003 0036 000004a8
2022-04-02 17:43:32.801568 False [  158935.948126] 0003 0036 000004a7
2022-04-02 17:43:32.819569 False [  158935.965013] 0003 0035 0000055a
2022-04-02 17:43:32.819569 False [  158935.965013] 0003 0036 000004a6
2022-04-02 17:43:32.833251 False [  158935.981444] 0003 0036 000004a5
2022-04-02 17:43:32.871343 False [  158936.014208] 0003 0036 000004a4
2022-04-02 17:43:32.986284 False [  158936.124394] 0003 0035 00000558
2022-04-02 17:43:32.986284 False [  158936.124394] 0003 0036 000004a3
2022-04-02 17:43:32.986284 False [  158936.130773] 0003 0035 00000557
2022-04-02 17:43:33.014151 False [  158936.157469] 0003 0035 00000554
2022-04-02 17:43:33.024605 False [  158936.163959] 0003 0035 00000553
2022-04-02 17:43:33.060729 False [  158936.172342] 0003 0035 00000551
2022-04-02 17:43:33.060729 False [  158936.172342] 0003 0036 000004a2
2022-04-02 17:43:33.081744 False [  158936.180946] 0003 0035 00000550
2022-04-02 17:43:33.081744 False [  158936.192618] 0003 0035 0000054e
2022-04-02 17:43:33.081744 False [  158936.199938] 0003 0035 0000054d
2022-04-02 17:43:33.081744 False [  158936.216199] 0003 0035 0000054c
2022-04-02 17:43:33.122657 False [  158936.224314] 0003 0035 0000054b
2022-04-02 17:43:33.173599 False [  158936.238746] 0003 0035 00000549
2022-04-02 17:43:33.173599 False [  158936.247176] 0003 0035 00000546
2022-04-02 17:43:33.173599 False [  158936.256160] 0003 0035 00000545
2022-04-02 17:43:33.173599 False [  158936.256160] 0003 0036 000004a1
2022-04-02 17:43:33.173599 False [  158936.265912] 0003 0035 00000544
2022-04-02 17:43:33.212278 False [  158936.277243] 0003 0035 00000542
2022-04-02 17:43:33.212278 False [  158936.288747] 0003 0035 00000541
2022-04-02 17:43:33.212278 False [  158936.288747] 0003 0036 000004a0
2022-04-02 17:43:33.212278 False [  158936.296939] 0003 0035 00000540
2022-04-02 17:43:33.212278 False [  158936.307198] 0003 0035 0000053f
2022-04-02 17:43:33.212278 False [  158936.317455] 0003 0035 0000053e
2022-04-02 17:43:33.229554 False [  158936.330004] 0003 0035 0000053d
2022-04-02 17:43:33.229554 False [  158936.340046] 0003 0035 0000053c
2022-04-02 17:43:33.229554 False [  158936.351713] 0003 0035 0000053b
2022-04-02 17:43:33.232296 False [  158936.371724] 0003 0035 00000539
2022-04-02 17:43:33.249513 False [  158936.388625] 0003 0035 00000538
2022-04-02 17:43:33.265107 False [  158936.404989] 0003 0035 00000537
2022-04-02 17:43:33.297100 False [  158936.421592] 0003 0035 00000536
2022-04-02 17:43:33.300150 False [  158936.431374] 0003 0035 00000535
2022-04-02 17:43:33.300150 False [  158936.441282] 0003 0035 00000534
2022-04-02 17:43:33.343889 False [  158936.455070] 0003 0035 00000533
2022-04-02 17:43:33.348883 False [  158936.464692] 0003 0035 00000532
2022-04-02 17:43:33.348883 False [  158936.475188] 0003 0035 00000531
2022-04-02 17:43:33.348883 False [  158936.488136] 0003 0035 00000530
2022-04-02 17:43:33.378106 False [  158936.513799] 0003 0035 0000052f
2022-04-02 17:43:33.382256 False [  158936.521325] 0003 0035 0000052d
2022-04-02 17:43:33.424028 False [  158936.537891] 0003 0035 0000052c
2022-04-02 17:43:33.447231 False [  158936.547978] 0003 0035 00000529
2022-04-02 17:43:33.447231 False [  158936.558202] 0003 0035 00000528
2022-04-02 17:43:33.447231 False [  158936.567123] 0003 0035 00000525
2022-04-02 17:43:33.447231 False [  158936.579459] 0003 0035 00000523
2022-04-02 17:43:33.492467 False [  158936.590129] 0003 0035 00000522
2022-04-02 17:43:33.497352 False [  158936.604355] 0003 0035 00000521
2022-04-02 17:43:33.497352 False [  158936.613677] 0003 0035 00000520
2022-04-02 17:43:33.497352 False [  158936.624569] 0003 0035 0000051f
2022-04-02 17:43:33.497352 False [  158936.636246] 0003 0035 0000051e
2022-04-02 17:43:33.507604 False [  158936.654313] 0003 0035 0000051b
2022-04-02 17:43:33.507604 False [  158936.654313] 0003 0036 0000049f
2022-04-02 17:43:33.539345 False [  158936.671366] 0003 0035 0000051a
2022-04-02 17:43:33.574289 False [  158936.682596] 0003 0035 00000519
2022-04-02 17:43:33.639245 False [  158936.695701] 0003 0035 00000518
2022-04-02 17:43:33.639245 False [  158936.705235] 0003 0035 00000516
2022-04-02 17:43:33.639245 False [  158936.705235] 0003 0036 0000049e
2022-04-02 17:43:33.639245 False [  158936.715938] 0003 0035 00000514
2022-04-02 17:43:33.639245 False [  158936.728868] 0003 0035 00000511
2022-04-02 17:43:33.686594 False [  158936.740256] 0003 0035 0000050e
2022-04-02 17:43:33.686594 False [  158936.750597] 0003 0035 0000050c
2022-04-02 17:43:33.686594 False [  158936.761415] 0003 0036 0000049d
2022-04-02 17:43:33.686594 False [  158936.772660] 0003 0035 0000050a
2022-04-02 17:43:33.686594 False [  158936.783721] 0003 0035 00000508
2022-04-02 17:43:33.686594 False [  158936.793963] 0003 0035 00000507
2022-04-02 17:43:33.713991 False [  158936.804579] 0003 0035 00000506
2022-04-02 17:43:33.713991 False [  158936.816130] 0003 0035 00000505
2022-04-02 17:43:33.713991 False [  158936.828593] 0003 0035 00000504
2022-04-02 17:43:33.718236 False [  158936.845268] 0003 0035 00000503
