Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.34174130018692 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:01:40.453448 False [  160023.580374] 0003 0036 000009fa
2022-04-02 18:01:43.082624 False [  160026.172589] 0003 0035 00000347
2022-04-02 18:01:43.082624 True [  160026.172589] 0003 0036 0000042b
2022-04-02 18:01:43.109204 True [  160026.180651] 0003 0035 0000033e
2022-04-02 18:01:43.109204 True [  160026.180651] 0003 0036 0000042d
2022-04-02 18:01:43.109204 True [  160026.188070] 0003 0035 0000032c
2022-04-02 18:01:43.109204 True [  160026.188070] 0003 0036 0000042f
2022-04-02 18:01:43.109204 True [  160026.196875] 0003 0035 00000317
2022-04-02 18:01:43.126058 True [  160026.211111] 0003 0035 00000301
2022-04-02 18:01:43.126058 True [  160026.219964] 0003 0035 000002ec
2022-04-02 18:01:43.126058 True [  160026.226907] 0003 0035 000002d4
2022-04-02 18:01:43.126058 True [  160026.226907] 0003 0036 00000432
2022-04-02 18:01:43.126058 True [  160026.229689] 0003 0035 000002b4
2022-04-02 18:01:43.126058 True [  160026.229689] 0003 0036 00000436
2022-04-02 18:01:43.126058 True [  160026.237822] 0003 0035 00000295
2022-04-02 18:01:43.126058 True [  160026.237822] 0003 0036 0000043d
2022-04-02 18:01:43.126058 True [  160026.248777] 0003 0035 00000278
2022-04-02 18:01:43.126058 True [  160026.248777] 0003 0036 00000444
2022-04-02 18:01:44.110353 True [  160027.243813] 0003 0035 00000343
2022-04-02 18:01:44.111351 True [  160027.243813] 0003 0036 000006b5
2022-04-02 18:01:44.266322 True [  160027.316606] 0003 0035 0000034f
2022-04-02 18:01:44.266322 True [  160027.325833] 0003 0035 00000363
2022-04-02 18:01:44.266322 True [  160027.341984] 0003 0035 00000382
2022-04-02 18:01:44.266322 False [  160027.347620] 0003 0035 000003c7
2022-04-02 18:01:44.266322 False [  160027.347620] 0003 0036 000006b3
2022-04-02 18:01:44.272307 False [  160027.354822] 0003 0035 000003eb
2022-04-02 18:01:44.272307 False [  160027.354822] 0003 0036 000006b2
2022-04-02 18:01:44.272307 False [  160027.363987] 0003 0035 00000412
2022-04-02 18:01:44.272307 False [  160027.363987] 0003 0036 000006b0
2022-04-02 18:01:44.272307 False [  160027.374356] 0003 0035 00000439
2022-04-02 18:01:44.272307 False [  160027.374356] 0003 0036 000006af
2022-04-02 18:01:44.272307 False [  160027.388128] 0003 0035 0000045e
2022-04-02 18:01:45.156474 True [  160028.282269] 0003 0035 00000335
2022-04-02 18:01:45.156474 False [  160028.282269] 0003 0036 000009df
2022-04-02 18:01:46.214277 False [  160029.338426] 0003 0035 00000326
2022-04-02 18:01:46.214277 False [  160029.338426] 0003 0036 000009c1
2022-04-02 18:01:46.934538 False [  160030.061500] 0003 0035 00000337
2022-04-02 18:01:46.934538 False [  160030.061500] 0003 0036 000009dd
2022-04-02 18:01:47.477322 False [  160030.602490] 0003 0035 00000348
2022-04-02 18:01:47.477322 False [  160030.602490] 0003 0036 000009d6
2022-04-02 18:01:47.985198 False [  160031.108739] 0003 0035 00000367
2022-04-02 18:01:47.985198 False [  160031.108739] 0003 0036 000009ff
2022-04-02 18:01:48.041126 False [  160031.116207] 0003 0036 000009e2
2022-04-02 18:01:48.041126 False [  160031.124175] 0003 0035 0000036a
2022-04-02 18:01:48.041126 False [  160031.124175] 0003 0036 000009c7
2022-04-02 18:01:48.070598 False [  160031.136689] 0003 0035 0000036e
2022-04-02 18:01:48.070598 False [  160031.136689] 0003 0036 000009b3
2022-04-02 18:01:48.070598 False [  160031.142370] 0003 0035 00000373
2022-04-02 18:01:48.070598 False [  160031.142370] 0003 0036 0000099e
2022-04-02 18:01:48.070598 False [  160031.154123] 0003 0035 00000378
2022-04-02 18:01:48.070598 False [  160031.154123] 0003 0036 0000098b
2022-04-02 18:01:48.070598 False [  160031.164456] 0003 0035 0000037c
2022-04-02 18:01:48.070598 False [  160031.164456] 0003 0036 00000978
2022-04-02 18:01:48.070598 False [  160031.169155] 0003 0035 00000380
2022-04-02 18:01:48.070598 False [  160031.169155] 0003 0036 00000965
2022-04-02 18:01:48.070598 False [  160031.173906] 0003 0035 00000382
2022-04-02 18:01:48.070598 False [  160031.173906] 0003 0036 0000095b
2022-04-02 18:01:48.070598 False [  160031.182061] 0003 0035 00000386
2022-04-02 18:01:48.070598 False [  160031.182061] 0003 0036 00000946
2022-04-02 18:01:48.070598 False [  160031.190235] 0003 0035 00000388
2022-04-02 18:01:48.070598 False [  160031.190235] 0003 0036 00000932
2022-04-02 18:01:48.102942 False [  160031.198752] 0003 0035 0000038b
2022-04-02 18:01:48.102942 False [  160031.198752] 0003 0036 0000091e
2022-04-02 18:01:48.102942 False [  160031.208195] 0003 0035 0000038e
2022-04-02 18:01:48.102942 False [  160031.208195] 0003 0036 0000090b
2022-04-02 18:01:48.136202 False [  160031.215228] 0003 0035 00000392
2022-04-02 18:01:48.136202 False [  160031.215228] 0003 0036 000008f3
2022-04-02 18:01:48.136202 False [  160031.225720] 0003 0035 00000395
2022-04-02 18:01:48.136202 False [  160031.225720] 0003 0036 000008db
2022-04-02 18:01:48.136202 False [  160031.236489] 0003 0035 0000039a
2022-04-02 18:01:48.136202 False [  160031.236489] 0003 0036 000008c2
2022-04-02 18:01:48.136202 False [  160031.242679] 0003 0035 000003a0
2022-04-02 18:01:48.136202 False [  160031.242679] 0003 0036 000008aa
2022-04-02 18:01:48.187936 False [  160031.249678] 0003 0035 000003a5
2022-04-02 18:01:48.187936 False [  160031.249678] 0003 0036 0000088e
2022-04-02 18:01:48.187936 False [  160031.256826] 0003 0035 000003ab
2022-04-02 18:01:48.187936 False [  160031.256826] 0003 0036 00000875
2022-04-02 18:01:48.187936 False [  160031.265260] 0003 0035 000003b0
2022-04-02 18:01:48.187936 False [  160031.265260] 0003 0036 0000085b
2022-04-02 18:01:48.187936 False [  160031.275078] 0003 0035 000003b6
2022-04-02 18:01:48.187936 False [  160031.275078] 0003 0036 00000844
2022-04-02 18:01:48.276218 False [  160031.286402] 0003 0035 000003ba
