Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5565313388964357 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:16:49.172298 True [  160932.207968] 0003 0036 0000063f
2022-04-02 18:16:49.381917 True [  160932.225012] 0003 0035 00000314
2022-04-02 18:16:49.381917 True [  160932.225012] 0003 0036 00000637
2022-04-02 18:16:49.381917 True [  160932.250664] 0003 0035 0000032b
2022-04-02 18:16:49.381917 True [  160932.250664] 0003 0036 0000061e
2022-04-02 18:16:49.381917 True [  160932.270214] 0003 0035 0000032e
2022-04-02 18:16:49.381917 True [  160932.270214] 0003 0036 0000061a
2022-04-02 18:16:49.381917 True [  160932.288858] 0003 0035 0000033a
2022-04-02 18:16:49.381917 True [  160932.288858] 0003 0036 0000060a
2022-04-02 18:16:49.381917 True [  160932.299744] 0003 0035 00000344
2022-04-02 18:16:49.381917 True [  160932.299744] 0003 0036 000005fa
2022-04-02 18:16:49.624821 True [  160932.313953] 0003 0035 0000034b
2022-04-02 18:16:49.624821 True [  160932.313953] 0003 0036 000005ef
2022-04-02 18:16:49.624821 True [  160932.337333] 0003 0035 00000360
2022-04-02 18:16:49.624821 True [  160932.337333] 0003 0036 000005e0
2022-04-02 18:16:49.624821 True [  160932.362952] 0003 0035 00000387
2022-04-02 18:16:49.624821 True [  160932.362952] 0003 0036 000005cb
2022-04-02 18:16:49.624821 True [  160932.386160] 0003 0035 000003a7
2022-04-02 18:16:49.624821 True [  160932.386160] 0003 0036 000005c2
2022-04-02 18:16:49.624821 True [  160932.411957] 0003 0035 000003d4
2022-04-02 18:16:49.624821 True [  160932.411957] 0003 0036 000005ba
2022-04-02 18:16:49.624821 True [  160932.437106] 0003 0035 000003fd
2022-04-02 18:16:49.624821 True [  160932.437106] 0003 0036 000005b3
2022-04-02 18:16:49.624821 True [  160932.458254] 0003 0035 00000410
2022-04-02 18:16:49.624821 True [  160932.458254] 0003 0036 000005ae
2022-04-02 18:16:49.624821 True [  160932.482118] 0003 0035 00000458
2022-04-02 18:16:49.624821 True [  160932.482118] 0003 0036 00000599
2022-04-02 18:16:49.624821 True [  160932.509044] 0003 0035 00000479
2022-04-02 18:16:49.624821 True [  160932.509044] 0003 0036 00000593
2022-04-02 18:16:49.705325 True [  160932.536036] 0003 0035 00000493
2022-04-02 18:16:49.705325 True [  160932.536036] 0003 0036 0000058c
2022-04-02 18:16:49.705325 True [  160932.565802] 0003 0035 000004b5
2022-04-02 18:16:49.705325 True [  160932.565802] 0003 0036 00000582
2022-04-02 18:16:49.705325 True [  160932.592040] 0003 0035 000004e0
2022-04-02 18:16:49.705325 True [  160932.592040] 0003 0036 0000056f
2022-04-02 18:16:49.705325 True [  160932.620266] 0003 0035 000004fb
2022-04-02 18:16:49.705325 True [  160932.620266] 0003 0036 0000055c
2022-04-02 18:16:49.705325 False [  160932.643165] 0003 0035 00000517
2022-04-02 18:16:49.705325 False [  160932.724396] 0003 0036 0000051e
2022-04-02 18:16:49.705325 False [  160932.751749] 0003 0035 00000545
2022-04-02 18:16:49.705325 False [  160932.751749] 0003 0036 00000517
2022-04-02 18:16:49.714084 False [  160932.778455] 0003 0035 00000546
2022-04-02 18:16:49.714084 False [  160932.778455] 0003 0036 00000515
2022-04-02 18:16:49.714084 False [  160932.798075] 0003 0035 00000547
2022-04-02 18:16:49.714084 False [  160932.798075] 0003 0036 00000514
2022-04-02 18:16:49.816067 False [  160932.847684] 0003 0035 00000544
2022-04-02 18:16:49.966238 False [  160932.877474] 0003 0035 0000053e
2022-04-02 18:16:49.966238 False [  160932.897216] 0003 0035 00000536
2022-04-02 18:16:49.966238 False [  160932.897216] 0003 0036 00000517
2022-04-02 18:16:49.966238 False [  160932.903137] 0003 0035 0000052d
2022-04-02 18:16:49.966238 False [  160932.903137] 0003 0036 0000051a
2022-04-02 18:16:49.966238 False [  160932.906070] 0003 0035 0000052a
2022-04-02 18:16:49.966238 False [  160932.906070] 0003 0036 0000051b
2022-04-02 18:16:49.966238 False [  160932.914272] 0003 0035 0000051e
2022-04-02 18:16:49.966238 False [  160932.914272] 0003 0036 0000051f
2022-04-02 18:16:49.966238 False [  160932.930762] 0003 0035 00000517
2022-04-02 18:16:49.966238 False [  160932.930762] 0003 0036 00000522
2022-04-02 18:16:49.966238 False [  160932.943778] 0003 0035 00000513
2022-04-02 18:16:49.966238 False [  160932.943778] 0003 0036 00000524
2022-04-02 18:16:50.098198 True [  160932.964136] 0003 0035 00000500
2022-04-02 18:16:50.098198 True [  160932.964136] 0003 0036 0000052f
2022-04-02 18:16:50.098198 True [  160932.986210] 0003 0035 000004f7
2022-04-02 18:16:50.098198 True [  160932.986210] 0003 0036 00000535
2022-04-02 18:16:50.098198 True [  160932.990334] 0003 0035 000004e9
2022-04-02 18:16:50.098198 True [  160932.990334] 0003 0036 0000053e
2022-04-02 18:16:50.098198 True [  160932.997445] 0003 0035 000004e3
2022-04-02 18:16:50.098198 True [  160932.997445] 0003 0036 00000541
2022-04-02 18:16:50.098198 True [  160933.018314] 0003 0035 000004df
2022-04-02 18:16:50.098198 True [  160933.018314] 0003 0036 00000544
2022-04-02 18:16:50.098198 True [  160933.041938] 0003 0035 000004d4
2022-04-02 18:16:50.098198 True [  160933.041938] 0003 0036 0000054a
2022-04-02 18:16:50.098198 True [  160933.065787] 0003 0035 000004be
2022-04-02 18:16:50.098198 True [  160933.065787] 0003 0036 00000558
2022-04-02 18:16:50.098198 True [  160933.080977] 0003 0035 000004ba
2022-04-02 18:16:50.098198 True [  160933.080977] 0003 0036 00000559
2022-04-02 18:16:50.098198 True [  160933.091624] 0003 0035 000004b0
2022-04-02 18:16:50.098198 True [  160933.091624] 0003 0036 0000055f
2022-04-02 18:16:50.194723 True [  160933.097699] 0003 0035 000004ac
2022-04-02 18:16:50.195723 True [  160933.097699] 0003 0036 00000561
2022-04-02 18:16:50.195723 True [  160933.112989] 0003 0035 000004a8
2022-04-02 18:16:50.195723 True [  160933.112989] 0003 0036 00000564
2022-04-02 18:16:50.195723 True [  160933.131103] 0003 0035 000004a3
2022-04-02 18:16:50.195723 True [  160933.131103] 0003 0036 00000566
2022-04-02 18:16:50.195723 True [  160933.154959] 0003 0035 000004a2
2022-04-02 18:16:50.195723 True [  160933.154959] 0003 0036 0000056a
2022-04-02 18:16:50.195723 True [  160933.176222] 0003 0035 000004a8
2022-04-02 18:16:50.195723 True [  160933.176222] 0003 0036 0000057b
2022-04-02 18:16:50.195723 True [  160933.203875] 0003 0035 000004c4
2022-04-02 18:16:50.195723 True [  160933.203875] 0003 0036 0000059b
2022-04-02 18:16:50.195723 True [  160933.220502] 0003 0035 000004d2
2022-04-02 18:16:50.195723 True [  160933.220502] 0003 0036 000005a9
2022-04-02 18:16:50.195723 True [  160933.225230] 0003 0035 000004e9
2022-04-02 18:16:50.195723 True [  160933.225230] 0003 0036 000005be
2022-04-02 18:16:50.195723 True [  160933.232849] 0003 0035 000004fd
2022-04-02 18:16:50.195723 False [  160933.232849] 0003 0036 000005d2
2022-04-02 18:16:50.321460 False [  160933.238442] 0003 0035 0000050c
2022-04-02 18:16:50.321460 False [  160933.238442] 0003 0036 000005e1
2022-04-02 18:16:50.321460 False [  160933.246642] 0003 0035 0000051a
2022-04-02 18:16:50.321460 False [  160933.246642] 0003 0036 000005ed
2022-04-02 18:16:50.321460 False [  160933.255059] 0003 0035 00000525
2022-04-02 18:16:50.321460 False [  160933.255059] 0003 0036 000005f8
2022-04-02 18:16:50.321460 False [  160933.280554] 0003 0035 00000538
2022-04-02 18:16:50.321460 False [  160933.280554] 0003 0036 00000609
2022-04-02 18:16:50.321460 False [  160933.300741] 0003 0035 00000542
2022-04-02 18:16:50.321460 False [  160933.300741] 0003 0036 0000060f
2022-04-02 18:16:50.321460 False [  160933.323323] 0003 0035 0000054e
2022-04-02 18:16:50.321460 False [  160933.323323] 0003 0036 00000617
2022-04-02 18:16:50.544271 False [  160933.340644] 0003 0035 00000557
2022-04-02 18:16:50.544271 False [  160933.340644] 0003 0036 0000061e
2022-04-02 18:16:50.544271 False [  160933.358070] 0003 0035 0000055d
2022-04-02 18:16:50.544271 False [  160933.358070] 0003 0036 00000622
2022-04-02 18:16:50.544271 False [  160933.375878] 0003 0035 00000560
2022-04-02 18:16:50.544271 False [  160933.375878] 0003 0036 00000624
2022-04-02 18:16:50.544271 False [  160933.405169] 0003 0035 00000566
2022-04-02 18:16:50.544271 False [  160933.405169] 0003 0036 00000623
2022-04-02 18:16:50.544271 False [  160933.422020] 0003 0035 00000569
2022-04-02 18:16:50.544271 False [  160933.422020] 0003 0036 0000061a
2022-04-02 18:16:50.544271 False [  160933.432974] 0003 0035 0000056b
2022-04-02 18:16:50.544271 False [  160933.432974] 0003 0036 0000060f
2022-04-02 18:16:50.544271 False [  160933.439069] 0003 0035 0000056c
2022-04-02 18:16:50.544271 False [  160933.439069] 0003 0036 00000609
2022-04-02 18:16:50.544271 False [  160933.446155] 0003 0036 00000602
2022-04-02 18:16:50.811871 False [  160933.467269] 0003 0035 0000056b
2022-04-02 18:16:50.811871 False [  160933.467269] 0003 0036 000005fd
2022-04-02 18:16:50.811871 False [  160933.489137] 0003 0035 00000566
2022-04-02 18:16:50.811871 False [  160933.489137] 0003 0036 000005d9
2022-04-02 18:16:50.811871 False [  160933.509658] 0003 0036 000005d2
2022-04-02 18:16:50.811871 False [  160933.537318] 0003 0035 00000560
2022-04-02 18:16:50.811871 False [  160933.537318] 0003 0036 000005b4
2022-04-02 18:16:50.811871 False [  160933.566834] 0003 0035 0000055d
2022-04-02 18:16:50.811871 False [  160933.566834] 0003 0036 000005a0
2022-04-02 18:16:50.811871 False [  160933.591522] 0003 0035 0000055b
2022-04-02 18:16:50.811871 False [  160933.591522] 0003 0036 00000588
2022-04-02 18:16:50.811871 False [  160933.618977] 0003 0036 00000582
2022-04-02 18:16:50.811871 False [  160933.647161] 0003 0035 0000055a
2022-04-02 18:16:50.811871 False [  160933.647161] 0003 0036 00000564
2022-04-02 18:16:50.811871 False [  160933.671497] 0003 0036 00000550
2022-04-02 18:16:51.078046 False [  160933.695928] 0003 0036 0000054b
2022-04-02 18:16:51.078046 False [  160933.721175] 0003 0035 0000055c
2022-04-02 18:16:51.078046 False [  160933.721175] 0003 0036 00000531
2022-04-02 18:16:51.078046 False [  160933.743514] 0003 0036 0000052c
2022-04-02 18:16:51.078046 False [  160933.769100] 0003 0035 0000055d
2022-04-02 18:16:51.078046 False [  160933.769100] 0003 0036 0000051a
2022-04-02 18:16:51.078046 False [  160933.793903] 0003 0036 00000508
2022-04-02 18:16:51.078046 False [  160933.824717] 0003 0036 000004f9
2022-04-02 18:16:51.078046 False [  160933.850313] 0003 0036 000004e8
2022-04-02 18:16:51.078046 False [  160933.879545] 0003 0036 000004d9
2022-04-02 18:16:51.078046 False [  160933.911607] 0003 0035 0000055e
2022-04-02 18:16:51.078046 False [  160933.911607] 0003 0036 000004c9
2022-04-02 18:16:51.078046 False [  160933.939086] 0003 0036 000004c0
2022-04-02 18:16:51.216960 False [  160933.968310] 0003 0035 0000055f
2022-04-02 18:16:51.216960 False [  160933.968310] 0003 0036 000004ae
2022-04-02 18:16:51.216960 False [  160933.997106] 0003 0036 000004a3
2022-04-02 18:16:51.216960 False [  160934.026407] 0003 0035 0000055e
2022-04-02 18:16:51.216960 False [  160934.026407] 0003 0036 00000493
2022-04-02 18:16:51.216960 False [  160934.053934] 0003 0035 0000055d
2022-04-02 18:16:51.216960 False [  160934.053934] 0003 0036 0000048b
2022-04-02 18:16:51.216960 False [  160934.077079] 0003 0036 00000489
2022-04-02 18:16:51.216960 False [  160934.103674] 0003 0036 00000483
2022-04-02 18:16:51.216960 False [  160934.131671] 0003 0035 0000055c
2022-04-02 18:16:51.216960 False [  160934.131671] 0003 0036 00000482
2022-04-02 18:16:51.217959 False [  160934.154730] 0003 0035 0000055b
2022-04-02 18:16:51.217959 False [  160934.154730] 0003 0036 00000488
2022-04-02 18:16:51.217959 False [  160934.180589] 0003 0036 00000495
2022-04-02 18:16:51.242565 False [  160934.205457] 0003 0036 000004a9
2022-04-02 18:16:51.242565 False [  160934.233073] 0003 0035 0000055d
2022-04-02 18:16:51.242565 False [  160934.233073] 0003 0036 000004bd
2022-04-02 18:16:51.242565 False [  160934.260517] 0003 0035 0000055f
2022-04-02 18:16:51.242565 False [  160934.260517] 0003 0036 000004d4
2022-04-02 18:16:51.242565 False [  160934.279541] 0003 0035 00000560
2022-04-02 18:16:51.242565 False [  160934.279541] 0003 0036 000004e2
2022-04-02 18:16:51.242565 False [  160934.287697] 0003 0035 00000561
2022-04-02 18:16:51.242565 False [  160934.287697] 0003 0036 000004ef
2022-04-02 18:16:51.242565 False [  160934.293698] 0003 0036 000004f7
2022-04-02 18:16:51.242565 False [  160934.317514] 0003 0036 000004fd
2022-04-02 18:16:51.242565 False [  160934.343684] 0003 0035 00000562
2022-04-02 18:16:51.242565 False [  160934.343684] 0003 0036 00000514
2022-04-02 18:16:51.732555 False [  160934.374987] 0003 0035 00000561
2022-04-02 18:16:51.732555 False [  160934.374987] 0003 0036 0000052f
2022-04-02 18:16:51.732555 False [  160934.397442] 0003 0036 0000053e
2022-04-02 18:16:51.732555 False [  160934.422255] 0003 0036 0000054e
2022-04-02 18:16:51.732555 False [  160934.447614] 0003 0035 00000562
2022-04-02 18:16:51.732555 False [  160934.447614] 0003 0036 00000561
2022-04-02 18:16:51.732555 False [  160934.468635] 0003 0035 00000563
2022-04-02 18:16:51.732555 False [  160934.468635] 0003 0036 00000574
2022-04-02 18:16:51.732555 False [  160934.497489] 0003 0035 00000564
2022-04-02 18:16:51.732555 False [  160934.497489] 0003 0036 0000058a
2022-04-02 18:16:51.732555 False [  160934.523966] 0003 0035 00000565
2022-04-02 18:16:51.732555 False [  160934.523966] 0003 0036 000005a4
2022-04-02 18:16:51.732555 False [  160934.550298] 0003 0035 00000566
2022-04-02 18:16:51.732555 False [  160934.550298] 0003 0036 000005b7
2022-04-02 18:16:51.732555 False [  160934.576126] 0003 0035 00000568
2022-04-02 18:16:51.732555 False [  160934.576126] 0003 0036 000005cf
2022-04-02 18:16:51.732555 False [  160934.605144] 0003 0035 00000569
2022-04-02 18:16:51.732555 False [  160934.605144] 0003 0036 000005eb
2022-04-02 18:16:51.967845 False [  160934.631384] 0003 0035 0000056d
2022-04-02 18:16:51.967845 False [  160934.631384] 0003 0036 00000606
2022-04-02 18:16:51.967845 False [  160934.661485] 0003 0035 0000056f
2022-04-02 18:16:51.967845 False [  160934.661485] 0003 0036 00000618
2022-04-02 18:16:51.967845 False [  160934.685505] 0003 0035 0000056d
2022-04-02 18:16:51.967845 False [  160934.685505] 0003 0036 00000635
2022-04-02 18:16:51.967845 False [  160934.708757] 0003 0036 0000063b
2022-04-02 18:16:51.967845 False [  160934.733739] 0003 0035 0000056c
2022-04-02 18:16:51.967845 False [  160934.733739] 0003 0036 0000064f
2022-04-02 18:16:51.967845 False [  160934.757456] 0003 0035 00000569
2022-04-02 18:16:51.967845 False [  160934.757456] 0003 0036 0000065e
2022-04-02 18:16:51.967845 False [  160934.781855] 0003 0035 00000568
2022-04-02 18:16:51.967845 False [  160934.781855] 0003 0036 0000066e
2022-04-02 18:16:51.967845 False [  160934.807458] 0003 0035 00000566
2022-04-02 18:16:51.967845 False [  160934.807458] 0003 0036 00000678
2022-04-02 18:16:51.967845 False [  160934.835632] 0003 0036 0000067e
2022-04-02 18:16:51.967845 False [  160934.861017] 0003 0035 00000565
2022-04-02 18:16:51.967845 False [  160934.861017] 0003 0036 00000680
2022-04-02 18:16:52.108716 False [  160934.885579] 0003 0035 00000564
2022-04-02 18:16:52.108716 False [  160934.885579] 0003 0036 00000683
2022-04-02 18:16:52.108716 False [  160934.913116] 0003 0035 00000562
2022-04-02 18:16:52.108716 False [  160934.913116] 0003 0036 0000067e
2022-04-02 18:16:52.108716 False [  160934.940684] 0003 0035 0000055f
2022-04-02 18:16:52.108716 False [  160934.940684] 0003 0036 00000678
2022-04-02 18:16:52.108716 False [  160934.962622] 0003 0035 0000055c
2022-04-02 18:16:52.108716 False [  160934.962622] 0003 0036 0000066b
2022-04-02 18:16:52.108716 False [  160934.988102] 0003 0035 00000559
2022-04-02 18:16:52.108716 False [  160934.988102] 0003 0036 0000064e
2022-04-02 18:16:52.108716 False [  160935.007912] 0003 0035 00000558
2022-04-02 18:16:52.108716 False [  160935.007912] 0003 0036 00000646
2022-04-02 18:16:52.108716 False [  160935.036925] 0003 0035 00000557
2022-04-02 18:16:52.108716 False [  160935.036925] 0003 0036 00000630
2022-04-02 18:16:52.108716 False [  160935.065824] 0003 0035 00000556
2022-04-02 18:16:52.108716 False [  160935.065824] 0003 0036 0000060e
2022-04-02 18:16:52.108716 False [  160935.095485] 0003 0035 00000553
2022-04-02 18:16:52.108716 False [  160935.095485] 0003 0036 000005f9
2022-04-02 18:16:52.226654 False [  160935.120611] 0003 0035 00000550
2022-04-02 18:16:52.226654 False [  160935.120611] 0003 0036 000005de
2022-04-02 18:16:52.226654 False [  160935.140379] 0003 0035 0000054d
2022-04-02 18:16:52.226654 False [  160935.140379] 0003 0036 000005cb
2022-04-02 18:16:52.226654 False [  160935.168822] 0003 0035 0000054b
2022-04-02 18:16:52.226654 False [  160935.168822] 0003 0036 000005ad
2022-04-02 18:16:52.226654 False [  160935.182070] 0003 0035 00000549
