Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.2546306936408325 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 18:18:33.720794 False [  161036.810723] 0003 0036 000008d5
2022-04-02 18:18:33.997309 False [  161036.884106] 0003 0036 000008d4
2022-04-02 18:18:34.112452 False [  161036.924099] 0003 0035 000003c0
2022-04-02 18:18:34.112452 False [  161036.924099] 0003 0036 000008d5
2022-04-02 18:18:34.112452 False [  161036.943550] 0003 0035 000003ef
2022-04-02 18:18:34.112452 False [  161036.943550] 0003 0036 000008ee
2022-04-02 18:18:34.112452 False [  161036.970382] 0003 0035 0000040f
2022-04-02 18:18:34.112452 False [  161036.970382] 0003 0036 000008fa
2022-04-02 18:18:34.112452 False [  161036.996931] 0003 0035 00000423
2022-04-02 18:18:34.112452 False [  161036.996931] 0003 0036 000008fc
2022-04-02 18:18:34.112452 False [  161037.025117] 0003 0035 00000438
2022-04-02 18:18:34.112452 False [  161037.025117] 0003 0036 000008f5
2022-04-02 18:18:34.112452 False [  161037.054037] 0003 0035 00000458
2022-04-02 18:18:34.112452 False [  161037.054037] 0003 0036 000008eb
2022-04-02 18:18:34.112452 False [  161037.080289] 0003 0035 0000048b
2022-04-02 18:18:34.112452 False [  161037.080289] 0003 0036 000008de
2022-04-02 18:18:34.112452 False [  161037.102159] 0003 0035 000004b4
2022-04-02 18:18:34.112452 False [  161037.102159] 0003 0036 000008d0
2022-04-02 18:18:34.112452 False [  161037.122936] 0003 0035 000004c0
2022-04-02 18:18:34.112452 False [  161037.122936] 0003 0036 000008cb
2022-04-02 18:18:34.213872 False [  161037.133596] 0003 0035 000004d0
2022-04-02 18:18:34.213872 False [  161037.133596] 0003 0036 000008c4
2022-04-02 18:18:34.213872 False [  161037.141989] 0003 0035 000004d7
2022-04-02 18:18:34.213872 False [  161037.141989] 0003 0036 000008bf
2022-04-02 18:18:34.213872 False [  161037.150053] 0003 0035 000004da
2022-04-02 18:18:34.213872 False [  161037.150053] 0003 0036 000008bd
2022-04-02 18:18:34.213872 False [  161037.163955] 0003 0035 000004dc
2022-04-02 18:18:34.213872 False [  161037.163955] 0003 0036 000008bb
2022-04-02 18:18:34.213872 False [  161037.187522] 0003 0035 000004df
2022-04-02 18:18:34.213872 False [  161037.187522] 0003 0036 000008b9
2022-04-02 18:18:34.213872 False [  161037.212911] 0003 0035 000004cc
2022-04-02 18:18:34.213872 False [  161037.212911] 0003 0036 000008c0
2022-04-02 18:18:34.213872 False [  161037.237680] 0003 0035 0000047e
2022-04-02 18:18:34.213872 False [  161037.237680] 0003 0036 000008d9
2022-04-02 18:18:34.414321 False [  161037.265005] 0003 0035 00000418
2022-04-02 18:18:34.414321 False [  161037.265005] 0003 0036 000008e4
2022-04-02 18:18:34.414321 False [  161037.287230] 0003 0035 0000037b
2022-04-02 18:18:34.414321 False [  161037.287230] 0003 0036 000008db
2022-04-02 18:18:34.414321 False [  161037.311708] 0003 0035 000002c8
2022-04-02 18:18:34.414321 False [  161037.311708] 0003 0036 000008c6
2022-04-02 18:18:34.414321 False [  161037.322733] 0003 0035 0000028f
2022-04-02 18:18:34.414321 False [  161037.322733] 0003 0036 000008c0
2022-04-02 18:18:34.414321 False [  161037.326689] 0003 0035 00000252
2022-04-02 18:18:34.414321 False [  161037.326689] 0003 0036 000008ba
2022-04-02 18:18:34.414321 False [  161037.334535] 0003 0035 0000021b
2022-04-02 18:18:34.414321 False [  161037.334535] 0003 0036 000008b5
2022-04-02 18:18:34.606300 False [  161037.341256] 0003 0035 000001eb
2022-04-02 18:18:34.607300 False [  161037.341256] 0003 0036 000008b0
2022-04-02 18:18:34.607300 False [  161037.366155] 0003 0035 0000019e
2022-04-02 18:18:34.607300 False [  161037.366155] 0003 0036 000008a5
2022-04-02 18:18:34.607300 False [  161037.389224] 0003 0035 0000019c
2022-04-02 18:18:34.607300 False [  161037.414760] 0003 0035 0000018b
2022-04-02 18:18:34.607300 False [  161037.414760] 0003 0036 000008a0
2022-04-02 18:18:34.607300 False [  161037.437583] 0003 0035 0000019f
2022-04-02 18:18:34.607300 False [  161037.437583] 0003 0036 000008a9
2022-04-02 18:18:34.607300 False [  161037.461670] 0003 0035 00000204
2022-04-02 18:18:34.607300 False [  161037.461670] 0003 0036 000008ba
2022-04-02 18:18:34.607300 False [  161037.479060] 0003 0035 00000232
2022-04-02 18:18:34.607300 False [  161037.479060] 0003 0036 000008bf
2022-04-02 18:18:34.607300 False [  161037.503072] 0003 0035 00000303
2022-04-02 18:18:34.607300 False [  161037.503072] 0003 0036 000008c5
2022-04-02 18:18:34.607300 False [  161037.520416] 0003 0035 0000032a
2022-04-02 18:18:34.607300 False [  161037.520416] 0003 0036 000008c1
2022-04-02 18:18:34.607300 False [  161037.540243] 0003 0035 0000037f
2022-04-02 18:18:34.607300 False [  161037.540243] 0003 0036 000008b2
2022-04-02 18:18:34.869576 False [  161037.556514] 0003 0035 000003c9
2022-04-02 18:18:34.869576 False [  161037.556514] 0003 0036 000008a4
2022-04-02 18:18:34.869576 False [  161037.559116] 0003 0035 0000040c
2022-04-02 18:18:34.869576 False [  161037.559116] 0003 0036 0000089a
2022-04-02 18:18:34.869576 False [  161037.565558] 0003 0035 00000428
2022-04-02 18:18:34.869576 False [  161037.565558] 0003 0036 00000897
2022-04-02 18:18:34.869576 False [  161037.574031] 0003 0035 0000043c
2022-04-02 18:18:34.869576 False [  161037.574031] 0003 0036 00000898
2022-04-02 18:18:34.869576 False [  161037.598193] 0003 0035 00000449
2022-04-02 18:18:34.869576 False [  161037.598193] 0003 0036 0000089a
2022-04-02 18:18:34.869576 False [  161037.621395] 0003 0035 00000451
2022-04-02 18:18:34.869576 False [  161037.648697] 0003 0035 00000438
2022-04-02 18:18:34.869576 False [  161037.648697] 0003 0036 000008ac
2022-04-02 18:18:34.869576 False [  161037.676553] 0003 0035 000003c3
2022-04-02 18:18:34.869576 False [  161037.676553] 0003 0036 000008bc
2022-04-02 18:18:34.869576 False [  161037.706554] 0003 0035 00000335
2022-04-02 18:18:34.869576 False [  161037.706554] 0003 0036 000008a1
2022-04-02 18:18:34.869576 False [  161037.732421] 0003 0035 000002c7
2022-04-02 18:18:34.869576 False [  161037.732421] 0003 0036 0000087f
2022-04-02 18:18:35.144925 False [  161037.760649] 0003 0035 000002a4
2022-04-02 18:18:35.144925 False [  161037.760649] 0003 0036 00000877
2022-04-02 18:18:35.144925 False [  161037.790721] 0003 0035 0000029e
2022-04-02 18:18:35.144925 False [  161037.790721] 0003 0036 00000875
2022-04-02 18:18:35.144925 False [  161037.822259] 0003 0035 000002cf
2022-04-02 18:18:35.144925 False [  161037.822259] 0003 0036 00000876
2022-04-02 18:18:35.144925 False [  161037.854561] 0003 0035 00000347
2022-04-02 18:18:35.144925 False [  161037.854561] 0003 0036 00000877
2022-04-02 18:18:35.144925 False [  161037.877763] 0003 0035 000003db
2022-04-02 18:18:35.144925 False [  161037.877763] 0003 0036 00000874
2022-04-02 18:18:35.144925 False [  161037.905039] 0003 0035 0000040b
2022-04-02 18:18:35.144925 False [  161037.905039] 0003 0036 0000086d
2022-04-02 18:18:35.144925 False [  161037.919729] 0003 0035 0000040f
2022-04-02 18:18:35.144925 False [  161037.919729] 0003 0036 0000086b
2022-04-02 18:18:35.144925 False [  161037.941344] 0003 0035 0000040b
2022-04-02 18:18:35.144925 False [  161037.941344] 0003 0036 00000869
2022-04-02 18:18:35.144925 False [  161037.966890] 0003 0035 000003cb
2022-04-02 18:18:35.144925 False [  161037.966890] 0003 0036 00000864
2022-04-02 18:18:35.144925 False [  161037.994940] 0003 0035 00000354
2022-04-02 18:18:35.144925 False [  161037.994940] 0003 0036 00000856
2022-04-02 18:18:35.235988 False [  161038.026199] 0003 0035 000002dc
2022-04-02 18:18:35.236985 False [  161038.026199] 0003 0036 0000084f
2022-04-02 18:18:35.236985 False [  161038.055263] 0003 0035 000002c5
2022-04-02 18:18:35.236985 False [  161038.055263] 0003 0036 0000084e
2022-04-02 18:18:35.236985 False [  161038.081417] 0003 0035 000002d8
2022-04-02 18:18:35.236985 False [  161038.107232] 0003 0035 00000377
2022-04-02 18:18:35.236985 False [  161038.107232] 0003 0036 0000084a
2022-04-02 18:18:35.236985 False [  161038.136190] 0003 0035 000003e6
2022-04-02 18:18:35.236985 False [  161038.136190] 0003 0036 00000847
2022-04-02 18:18:35.236985 False [  161038.164902] 0003 0035 00000417
2022-04-02 18:18:35.236985 False [  161038.164902] 0003 0036 00000843
2022-04-02 18:18:35.236985 False [  161038.189889] 0003 0035 0000041c
2022-04-02 18:18:35.236985 False [  161038.189889] 0003 0036 0000083f
2022-04-02 18:18:35.236985 False [  161038.217210] 0003 0035 000003cf
2022-04-02 18:18:35.236985 False [  161038.217210] 0003 0036 00000824
2022-04-02 18:18:35.236985 False [  161038.245275] 0003 0035 0000034e
2022-04-02 18:18:35.236985 False [  161038.245275] 0003 0036 00000809
2022-04-02 18:18:35.236985 False [  161038.270790] 0003 0035 000002e0
2022-04-02 18:18:35.236985 False [  161038.270790] 0003 0036 000007f8
2022-04-02 18:18:35.242969 False [  161038.298014] 0003 0035 000002d2
2022-04-02 18:18:35.242969 False [  161038.298014] 0003 0036 000007f6
2022-04-02 18:18:35.242969 False [  161038.328428] 0003 0035 000002d4
2022-04-02 18:18:35.404722 False [  161038.375216] 0003 0035 00000353
