Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6857856942090075 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:19:51.143386 False [  161114.180973] 0003 0036 0000048c
2022-04-02 18:19:51.411164 False [  161114.213430] 0003 0036 0000048b
2022-04-02 18:19:51.411164 False [  161114.245591] 0003 0035 00000093
2022-04-02 18:19:51.411164 False [  161114.245591] 0003 0036 0000048a
2022-04-02 18:19:51.411164 False [  161114.268031] 0003 0035 00000097
2022-04-02 18:19:51.411164 False [  161114.268031] 0003 0036 00000485
2022-04-02 18:19:51.532587 False [  161114.288554] 0003 0035 00000099
2022-04-02 18:19:51.532587 False [  161114.288554] 0003 0036 00000482
2022-04-02 18:19:51.532587 False [  161114.317093] 0003 0035 0000009c
2022-04-02 18:19:51.532587 False [  161114.317093] 0003 0036 0000047e
2022-04-02 18:19:51.532587 False [  161114.344985] 0003 0035 0000009e
2022-04-02 18:19:51.532587 False [  161114.344985] 0003 0036 0000047d
2022-04-02 18:19:51.532587 False [  161114.376626] 0003 0035 000000a0
2022-04-02 18:19:51.532587 False [  161114.376626] 0003 0036 0000047a
2022-04-02 18:19:51.532587 False [  161114.397757] 0003 0036 00000476
2022-04-02 18:19:51.532587 False [  161114.429262] 0003 0036 00000475
2022-04-02 18:19:51.532587 False [  161114.464989] 0003 0036 00000473
2022-04-02 18:19:51.532587 False [  161114.499664] 0003 0036 00000472
2022-04-02 18:19:51.532587 False [  161114.534059] 0003 0035 0000009f
2022-04-02 18:19:51.532587 False [  161114.534059] 0003 0036 00000473
2022-04-02 18:19:51.757536 False [  161114.563769] 0003 0035 00000099
2022-04-02 18:19:51.757536 False [  161114.563769] 0003 0036 0000047f
2022-04-02 18:19:51.757536 False [  161114.593577] 0003 0035 00000098
2022-04-02 18:19:51.757536 False [  161114.593577] 0003 0036 0000049a
2022-04-02 18:19:51.757536 False [  161114.610802] 0003 0035 00000099
2022-04-02 18:19:51.757536 False [  161114.610802] 0003 0036 000004a4
2022-04-02 18:19:51.757536 False [  161114.615231] 0003 0035 0000009a
2022-04-02 18:19:51.757536 False [  161114.615231] 0003 0036 000004b9
2022-04-02 18:19:51.757536 False [  161114.621527] 0003 0035 0000009b
2022-04-02 18:19:51.757536 False [  161114.621527] 0003 0036 000004c2
2022-04-02 18:19:51.757536 False [  161114.629465] 0003 0035 0000009c
2022-04-02 18:19:51.757536 False [  161114.629465] 0003 0036 000004ca
2022-04-02 18:19:51.996365 False [  161114.657064] 0003 0035 0000009d
2022-04-02 18:19:51.996365 False [  161114.657064] 0003 0036 000004e4
2022-04-02 18:19:51.996365 False [  161114.680881] 0003 0035 0000009e
2022-04-02 18:19:51.996365 False [  161114.680881] 0003 0036 000004f9
2022-04-02 18:19:51.996365 False [  161114.694283] 0003 0036 000004ff
2022-04-02 18:19:51.996365 False [  161114.718252] 0003 0036 00000508
2022-04-02 18:19:51.996365 False [  161114.738969] 0003 0036 0000050a
2022-04-02 18:19:51.996365 False [  161114.766922] 0003 0036 00000500
2022-04-02 18:19:51.996365 False [  161114.793631] 0003 0035 000000a0
2022-04-02 18:19:51.996365 False [  161114.793631] 0003 0036 000004d8
2022-04-02 18:19:51.996365 False [  161114.819602] 0003 0035 000000a4
2022-04-02 18:19:51.996365 False [  161114.819602] 0003 0036 000004a3
2022-04-02 18:19:51.996365 False [  161114.833211] 0003 0035 000000a7
