Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.882655844763039 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 13:50:53.823062 False [  230085.187400] 0003 0036 000009ff
2022-04-06 13:50:53.828437 False [  230085.195044] 0003 0035 00000418
2022-04-06 13:50:53.828437 False [  230085.195044] 0003 0036 000009c6
2022-04-06 13:50:53.836333 False [  230085.203063] 0003 0035 00000417
2022-04-06 13:50:53.836333 False [  230085.203063] 0003 0036 00000999
2022-04-06 13:50:53.845148 False [  230085.211605] 0003 0036 00000960
2022-04-06 13:50:53.853893 False [  230085.219828] 0003 0035 00000418
2022-04-06 13:50:53.853893 False [  230085.219828] 0003 0036 00000927
2022-04-06 13:50:53.861772 False [  230085.228273] 0003 0036 000008e7
2022-04-06 13:50:53.869722 False [  230085.236391] 0003 0035 00000419
2022-04-06 13:50:53.870762 False [  230085.236391] 0003 0036 000008af
2022-04-06 13:50:53.878474 False [  230085.244776] 0003 0035 0000041a
2022-04-06 13:50:53.878474 False [  230085.244776] 0003 0036 00000876
2022-04-06 13:50:53.886611 False [  230085.253120] 0003 0036 00000840
2022-04-06 13:50:53.895780 False [  230085.261473] 0003 0035 0000041b
2022-04-06 13:50:53.895780 False [  230085.261473] 0003 0036 00000809
2022-04-06 13:50:53.903132 False [  230085.269578] 0003 0035 0000041d
2022-04-06 13:50:53.903132 False [  230085.269578] 0003 0036 000007ca
2022-04-06 13:50:53.910872 False [  230085.278092] 0003 0035 0000041e
2022-04-06 13:50:53.910872 False [  230085.278092] 0003 0036 0000077e
2022-04-06 13:50:53.919255 False [  230085.286328] 0003 0035 00000422
2022-04-06 13:50:53.919255 False [  230085.286328] 0003 0036 0000072c
2022-04-06 13:50:53.928497 False [  230085.294689] 0003 0035 0000042b
2022-04-06 13:50:53.928497 False [  230085.294689] 0003 0036 000006bb
2022-04-06 13:50:53.936181 False [  230085.302843] 0003 0035 00000434
2022-04-06 13:50:53.936181 True [  230085.302843] 0003 0036 00000662
2022-04-06 13:50:53.944983 True [  230085.311294] 0003 0035 0000043c
2022-04-06 13:50:53.946046 True [  230085.311294] 0003 0036 0000060f
2022-04-06 13:50:53.952918 True [  230085.319465] 0003 0035 00000445
2022-04-06 13:50:53.952918 True [  230085.319465] 0003 0036 000005cc
2022-04-06 13:50:53.960930 True [  230085.327874] 0003 0035 0000044b
2022-04-06 13:50:53.960930 True [  230085.327874] 0003 0036 000005a4
2022-04-06 13:50:53.969765 True [  230085.336055] 0003 0035 00000453
2022-04-06 13:50:53.969765 True [  230085.336055] 0003 0036 00000561
2022-04-06 13:50:53.978635 True [  230085.345514] 0003 0035 0000045d
2022-04-06 13:50:53.978635 True [  230085.345514] 0003 0036 00000505
2022-04-06 13:50:53.985970 True [  230085.352805] 0003 0035 0000046b
2022-04-06 13:50:53.985970 True [  230085.352805] 0003 0036 000004a8
2022-04-06 13:50:53.993925 True [  230085.361139] 0003 0035 0000047f
2022-04-06 13:50:53.993925 True [  230085.361139] 0003 0036 0000042f
2022-04-06 13:50:54.002757 True [  230085.369313] 0003 0035 0000048d
2022-04-06 13:50:54.002757 False [  230085.369313] 0003 0036 000003d5
2022-04-06 13:50:54.010275 False [  230085.377724] 0003 0035 0000049a
2022-04-06 13:50:54.011159 False [  230085.377724] 0003 0036 00000381
2022-04-06 13:50:54.018785 False [  230085.385885] 0003 0035 000004a6
2022-04-06 13:50:54.018785 False [  230085.385885] 0003 0036 00000341
2022-04-06 13:50:54.026955 False [  230085.394298] 0003 0035 000004b2
2022-04-06 13:50:54.026955 False [  230085.394298] 0003 0036 00000301
2022-04-06 13:50:54.035350 False [  230085.402504] 0003 0035 000004ba
2022-04-06 13:50:54.035350 False [  230085.402504] 0003 0036 000002be
2022-04-06 13:50:54.044339 False [  230085.411028] 0003 0035 000004c8
2022-04-06 13:50:54.044339 False [  230085.411028] 0003 0036 00000266
2022-04-06 13:50:54.053296 False [  230085.419351] 0003 0035 000004e2
2022-04-06 13:50:54.053296 False [  230085.419351] 0003 0036 000001dc
2022-04-06 13:50:54.062287 False [  230085.427558] 0003 0035 00000501
2022-04-06 13:50:54.062287 False [  230085.427558] 0003 0036 0000014c
2022-04-06 13:50:54.069020 False [  230085.435729] 0003 0035 00000514
2022-04-06 13:50:54.069020 False [  230085.435729] 0003 0036 000000f1
2022-04-06 13:50:54.077380 False [  230085.444164] 0003 0035 0000052a
2022-04-06 13:50:54.077380 False [  230085.444164] 0003 0036 000000a9
2022-04-06 13:50:54.085547 False [  230085.452326] 0003 0035 0000053c
2022-04-06 13:50:54.085547 False [  230085.452326] 0003 0036 00000064
2022-04-06 13:50:54.095467 False [  230085.461769] 0003 0035 0000054d
2022-04-06 13:50:54.095467 False [  230085.461769] 0003 0036 00000039
2022-04-06 13:50:54.977943 False [  230086.343816] 0003 0035 000003d4
2022-04-06 13:50:54.977943 False [  230086.343816] 0003 0036 000006b4
2022-04-06 13:50:55.457770 True [  230086.824460] 0003 0035 00000340
2022-04-06 13:50:55.458709 False [  230086.824460] 0003 0036 000007e8
2022-04-06 13:50:55.982989 False [  230087.349086] 0003 0035 000003d4
2022-04-06 13:50:55.982989 False [  230087.349086] 0003 0036 00000787
2022-04-06 13:50:56.274781 False [  230087.639485] 0003 0035 00000296
2022-04-06 13:50:56.274781 False [  230087.639485] 0003 0036 00000759
2022-04-06 13:50:56.479182 False [  230087.845733] 0003 0035 0000027f
2022-04-06 13:50:56.479182 True [  230087.845733] 0003 0036 000006a7
2022-04-06 13:50:56.620839 True [  230087.987008] 0003 0035 00000285
2022-04-06 13:50:56.620839 True [  230087.987008] 0003 0036 000006b3
2022-04-06 13:50:56.937984 True [  230088.303038] 0003 0035 000003ac
2022-04-06 13:50:56.937984 False [  230088.303038] 0003 0036 00000881
2022-04-06 13:50:57.945013 False [  230089.308161] 0003 0035 000005b1
2022-04-06 13:50:57.945013 False [  230089.308161] 0003 0036 000004fc
2022-04-06 13:50:57.961678 False [  230089.324658] 0003 0035 000005ae
2022-04-06 13:50:57.961678 False [  230089.324658] 0003 0036 000004f9
2022-04-06 13:50:57.966550 False [  230089.333081] 0003 0035 000005aa
2022-04-06 13:50:57.966550 False [  230089.333081] 0003 0036 000004f3
2022-04-06 13:50:57.974528 False [  230089.341244] 0003 0035 000005a6
2022-04-06 13:50:57.974528 False [  230089.341244] 0003 0036 000004ee
2022-04-06 13:50:57.984185 False [  230089.350072] 0003 0035 000005a2
2022-04-06 13:50:57.984185 False [  230089.350072] 0003 0036 000004e7
