Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8397956257209316 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:13:00.914253 False [     173.343444] 0003 0036 00000243
2022-04-06 14:13:01.043583 False [     173.474423] 0003 0036 00000244
2022-04-06 14:13:01.068913 False [     173.499477] 0003 0036 00000245
2022-04-06 14:13:01.085351 False [     173.516069] 0003 0036 00000246
2022-04-06 14:13:01.093762 False [     173.524515] 0003 0035 000004ef
2022-04-06 14:13:01.093762 False [     173.524515] 0003 0036 00000247
2022-04-06 14:13:01.110734 False [     173.541172] 0003 0035 000004ee
2022-04-06 14:13:01.110734 False [     173.541172] 0003 0036 00000248
2022-04-06 14:13:01.118010 False [     173.549405] 0003 0035 000004ed
2022-04-06 14:13:01.118968 False [     173.549405] 0003 0036 00000249
2022-04-06 14:13:01.126761 False [     173.557880] 0003 0035 000004ec
2022-04-06 14:13:01.135565 False [     173.566120] 0003 0035 000004eb
2022-04-06 14:13:01.135565 False [     173.566120] 0003 0036 0000024a
2022-04-06 14:13:01.143248 False [     173.574473] 0003 0035 000004e9
2022-04-06 14:13:01.143248 False [     173.574473] 0003 0036 0000024b
2022-04-06 14:13:01.153928 False [     173.582740] 0003 0035 000004e7
2022-04-06 14:13:01.153928 False [     173.582740] 0003 0036 0000024d
2022-04-06 14:13:01.160018 False [     173.591164] 0003 0035 000004e5
2022-04-06 14:13:01.161501 False [     173.591164] 0003 0036 0000024f
2022-04-06 14:13:01.169014 False [     173.599416] 0003 0035 000004e3
2022-04-06 14:13:01.177074 False [     173.607842] 0003 0035 000004e1
2022-04-06 14:13:01.178142 False [     173.607842] 0003 0036 00000251
2022-04-06 14:13:01.187871 False [     173.616073] 0003 0035 000004de
2022-04-06 14:13:01.187871 False [     173.616073] 0003 0036 00000252
2022-04-06 14:13:01.194583 False [     173.624613] 0003 0035 000004dc
2022-04-06 14:13:01.194583 False [     173.624613] 0003 0036 00000254
2022-04-06 14:13:01.202862 False [     173.632946] 0003 0035 000004da
2022-04-06 14:13:01.210257 False [     173.641224] 0003 0035 000004d8
2022-04-06 14:13:01.210674 False [     173.641224] 0003 0036 00000256
2022-04-06 14:13:01.219349 False [     173.649383] 0003 0035 000004d6
2022-04-06 14:13:01.219349 False [     173.649383] 0003 0036 00000258
2022-04-06 14:13:01.227568 False [     173.657860] 0003 0035 000004d3
2022-04-06 14:13:01.227568 False [     173.657860] 0003 0036 00000259
2022-04-06 14:13:01.236215 False [     173.666087] 0003 0035 000004d0
2022-04-06 14:13:01.236215 False [     173.666087] 0003 0036 0000025a
2022-04-06 14:13:01.245878 False [     173.674541] 0003 0035 000004cd
2022-04-06 14:13:01.245878 False [     173.674541] 0003 0036 0000025c
2022-04-06 14:13:01.252277 False [     173.682771] 0003 0035 000004c9
2022-04-06 14:13:01.252277 False [     173.682771] 0003 0036 0000025f
2022-04-06 14:13:01.261164 False [     173.691224] 0003 0035 000004c6
2022-04-06 14:13:01.261164 False [     173.691224] 0003 0036 00000260
2022-04-06 14:13:01.268910 False [     173.699444] 0003 0035 000004c3
2022-04-06 14:13:01.269875 False [     173.699444] 0003 0036 00000263
2022-04-06 14:13:01.277093 False [     173.707875] 0003 0035 000004bf
2022-04-06 14:13:01.278085 False [     173.707875] 0003 0036 00000265
2022-04-06 14:13:01.286421 False [     173.716146] 0003 0035 000004bc
2022-04-06 14:13:01.286421 False [     173.716146] 0003 0036 00000267
2022-04-06 14:13:01.294696 False [     173.724549] 0003 0035 000004b9
2022-04-06 14:13:01.294696 False [     173.724549] 0003 0036 00000269
2022-04-06 14:13:01.303333 False [     173.732918] 0003 0035 000004b7
2022-04-06 14:13:01.303333 False [     173.732918] 0003 0036 0000026b
2022-04-06 14:13:01.310081 False [     173.741237] 0003 0035 000004b3
2022-04-06 14:13:01.310081 False [     173.741237] 0003 0036 0000026d
2022-04-06 14:13:01.319331 False [     173.749550] 0003 0035 000004b0
2022-04-06 14:13:01.319331 False [     173.749550] 0003 0036 0000026f
2022-04-06 14:13:01.327890 False [     173.757907] 0003 0035 000004ae
2022-04-06 14:13:01.327890 False [     173.757907] 0003 0036 00000272
2022-04-06 14:13:01.336231 False [     173.766116] 0003 0035 000004ab
2022-04-06 14:13:01.336231 False [     173.766116] 0003 0036 00000275
2022-04-06 14:13:01.344817 False [     173.774552] 0003 0035 000004a8
2022-04-06 14:13:01.344817 False [     173.774552] 0003 0036 00000277
2022-04-06 14:13:01.352775 False [     173.782800] 0003 0035 000004a4
2022-04-06 14:13:01.353726 False [     173.782800] 0003 0036 0000027a
2022-04-06 14:13:01.361407 False [     173.791234] 0003 0035 000004a1
2022-04-06 14:13:01.361407 False [     173.791234] 0003 0036 0000027c
2022-04-06 14:13:01.369332 False [     173.799518] 0003 0035 0000049d
2022-04-06 14:13:01.369332 False [     173.799518] 0003 0036 0000027f
2022-04-06 14:13:01.378215 False [     173.807948] 0003 0035 00000499
2022-04-06 14:13:01.378215 False [     173.807948] 0003 0036 00000281
2022-04-06 14:13:01.386620 False [     173.816303] 0003 0035 00000495
2022-04-06 14:13:01.386620 False [     173.816303] 0003 0036 00000284
2022-04-06 14:13:01.394900 False [     173.824615] 0003 0035 00000491
2022-04-06 14:13:01.394900 False [     173.824615] 0003 0036 00000286
2022-04-06 14:13:01.402947 False [     173.832812] 0003 0035 0000048e
2022-04-06 14:13:01.402947 False [     173.832812] 0003 0036 00000288
2022-04-06 14:13:01.411271 False [     173.841237] 0003 0035 0000048b
2022-04-06 14:13:01.411271 False [     173.841237] 0003 0036 0000028a
2022-04-06 14:13:01.418396 False [     173.849535] 0003 0035 00000488
2022-04-06 14:13:01.421400 False [     173.849535] 0003 0036 0000028c
2022-04-06 14:13:01.427728 False [     173.857934] 0003 0035 00000485
2022-04-06 14:13:01.427728 False [     173.857934] 0003 0036 0000028d
2022-04-06 14:13:01.436323 False [     173.866177] 0003 0035 00000482
2022-04-06 14:13:01.436323 False [     173.866177] 0003 0036 0000028f
2022-04-06 14:13:01.445001 False [     173.874692] 0003 0035 00000480
2022-04-06 14:13:01.445001 False [     173.874692] 0003 0036 00000290
2022-04-06 14:13:01.453009 False [     173.882875] 0003 0035 0000047c
2022-04-06 14:13:01.453009 False [     173.882875] 0003 0036 00000291
2022-04-06 14:13:01.461165 False [     173.891257] 0003 0035 0000047a
2022-04-06 14:13:01.461165 False [     173.891257] 0003 0036 00000293
2022-04-06 14:13:01.469236 False [     173.899500] 0003 0035 00000476
2022-04-06 14:13:01.469850 False [     173.899500] 0003 0036 00000294
2022-04-06 14:13:01.477586 False [     173.907956] 0003 0035 00000473
2022-04-06 14:13:01.477586 False [     173.907956] 0003 0036 00000295
2022-04-06 14:13:01.485273 False [     173.916191] 0003 0035 00000471
2022-04-06 14:13:01.486272 False [     173.916191] 0003 0036 00000296
2022-04-06 14:13:01.493887 False [     173.924588] 0003 0035 0000046f
2022-04-06 14:13:01.502063 False [     173.932903] 0003 0035 0000046a
2022-04-06 14:13:01.503088 False [     173.932903] 0003 0036 00000297
2022-04-06 14:13:01.511480 False [     173.941292] 0003 0035 00000466
2022-04-06 14:13:01.511480 False [     173.941292] 0003 0036 00000298
2022-04-06 14:13:01.519315 False [     173.949538] 0003 0035 00000463
2022-04-06 14:13:01.519315 False [     173.949538] 0003 0036 00000299
2022-04-06 14:13:01.528726 False [     173.957978] 0003 0035 00000461
2022-04-06 14:13:01.536032 False [     173.966126] 0003 0035 0000045f
2022-04-06 14:13:01.544882 False [     173.974667] 0003 0035 0000045a
