Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.2150439775844488 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:25:12.150555 True [     904.567055] 0003 0036 0000041d
2022-04-06 14:25:12.255963 True [     904.673226] 0003 0035 0000031c
2022-04-06 14:25:12.269691 True [     904.689775] 0003 0035 0000031d
2022-04-06 14:25:12.278700 True [     904.698075] 0003 0035 0000031f
2022-04-06 14:25:12.287691 True [     904.706457] 0003 0035 00000321
2022-04-06 14:25:12.295004 True [     904.714650] 0003 0035 00000323
2022-04-06 14:25:12.303630 True [     904.723084] 0003 0035 00000326
2022-04-06 14:25:12.312063 True [     904.731437] 0003 0035 00000328
2022-04-06 14:25:12.321314 True [     904.739890] 0003 0035 0000032b
2022-04-06 14:25:12.321314 True [     904.739890] 0003 0036 0000041c
2022-04-06 14:25:12.328792 True [     904.747979] 0003 0035 0000032e
2022-04-06 14:25:12.337358 True [     904.756516] 0003 0035 00000330
2022-04-06 14:25:12.344413 True [     904.764811] 0003 0035 00000332
2022-04-06 14:25:12.344413 True [     904.764811] 0003 0036 0000041b
2022-04-06 14:25:12.353488 True [     904.773126] 0003 0035 00000335
2022-04-06 14:25:12.365526 True [     904.781367] 0003 0035 00000337
2022-04-06 14:25:12.365526 True [     904.781367] 0003 0036 0000041a
2022-04-06 14:25:12.374735 True [     904.789891] 0003 0035 00000339
2022-04-06 14:25:12.379759 True [     904.798087] 0003 0035 0000033c
2022-04-06 14:25:12.379759 True [     904.798087] 0003 0036 00000419
2022-04-06 14:25:12.387731 True [     904.806516] 0003 0035 0000033e
2022-04-06 14:25:12.396187 True [     904.814676] 0003 0035 00000340
2022-04-06 14:25:12.403744 True [     904.823192] 0003 0035 00000342
2022-04-06 14:25:12.414852 True [     904.831340] 0003 0035 00000343
2022-04-06 14:25:12.414852 True [     904.831340] 0003 0036 00000418
2022-04-06 14:25:12.421307 True [     904.839794] 0003 0035 00000345
2022-04-06 14:25:12.428085 True [     904.848038] 0003 0035 00000347
2022-04-06 14:25:12.428085 True [     904.848038] 0003 0036 00000417
2022-04-06 14:25:12.437352 True [     904.856572] 0003 0035 00000348
2022-04-06 14:25:12.445882 True [     904.864853] 0003 0035 0000034a
2022-04-06 14:25:12.454465 True [     904.873291] 0003 0035 0000034b
2022-04-06 14:25:12.462880 True [     904.881482] 0003 0035 0000034e
2022-04-06 14:25:12.462880 True [     904.881482] 0003 0036 00000416
2022-04-06 14:25:12.470329 True [     904.889891] 0003 0035 0000034f
2022-04-06 14:25:12.479305 True [     904.898161] 0003 0035 00000351
2022-04-06 14:25:12.479305 True [     904.898161] 0003 0036 00000415
2022-04-06 14:25:12.486288 True [     904.906565] 0003 0035 00000352
2022-04-06 14:25:12.496260 True [     904.914857] 0003 0035 00000353
2022-04-06 14:25:12.504238 True [     904.923303] 0003 0035 00000355
2022-04-06 14:25:12.504238 True [     904.923303] 0003 0036 00000414
2022-04-06 14:25:12.514211 True [     904.931448] 0003 0035 00000356
2022-04-06 14:25:12.521192 True [     904.939910] 0003 0035 00000357
2022-04-06 14:25:12.529172 True [     904.948110] 0003 0035 00000359
2022-04-06 14:25:12.546322 True [     904.964814] 0003 0035 0000035b
2022-04-06 14:25:12.554300 True [     904.973272] 0003 0035 0000035c
2022-04-06 14:25:12.563276 True [     904.981547] 0003 0035 0000035d
2022-04-06 14:25:12.572708 True [     904.989952] 0003 0035 0000035e
2022-04-06 14:25:12.578782 True [     904.998222] 0003 0035 0000035f
2022-04-06 14:25:12.587301 True [     905.006571] 0003 0035 00000360
2022-04-06 14:25:12.605031 True [     905.023315] 0003 0035 00000361
2022-04-06 14:25:12.612807 True [     905.031536] 0003 0035 00000362
2022-04-06 14:25:12.619919 True [     905.039991] 0003 0035 00000363
2022-04-06 14:25:12.637501 True [     905.056618] 0003 0035 00000364
2022-04-06 14:25:12.654441 True [     905.073390] 0003 0035 00000365
2022-04-06 14:25:12.671177 True [     905.090037] 0003 0035 00000366
2022-04-06 14:25:12.687457 True [     905.106711] 0003 0035 00000367
2022-04-06 14:25:12.728484 True [     905.148336] 0003 0035 00000368
2022-04-06 14:25:12.762215 True [     905.181683] 0003 0035 00000369
2022-04-06 14:25:12.798940 True [     905.215036] 0003 0035 0000036a
2022-04-06 14:25:12.830020 True [     905.248279] 0003 0035 0000036b
2022-04-06 14:25:12.929506 True [     905.348343] 0003 0035 0000036c
2022-04-06 14:25:12.946290 True [     905.364998] 0003 0035 0000036d
2022-04-06 14:25:12.955279 True [     905.373424] 0003 0035 0000036e
2022-04-06 14:25:12.955279 True [     905.373424] 0003 0036 00000415
2022-04-06 14:25:12.971944 True [     905.390078] 0003 0035 0000036f
2022-04-06 14:25:12.971944 True [     905.390078] 0003 0036 00000416
2022-04-06 14:25:12.979562 True [     905.398312] 0003 0035 00000370
2022-04-06 14:25:12.987795 True [     905.407009] 0003 0035 00000371
2022-04-06 14:25:12.987795 True [     905.407009] 0003 0036 00000417
2022-04-06 14:25:12.997536 True [     905.414973] 0003 0035 00000372
2022-04-06 14:25:13.004115 True [     905.423412] 0003 0035 00000373
2022-04-06 14:25:13.004115 True [     905.423412] 0003 0036 00000418
2022-04-06 14:25:13.013689 True [     905.431660] 0003 0035 00000374
2022-04-06 14:25:13.021678 True [     905.440113] 0003 0035 00000375
2022-04-06 14:25:13.021678 True [     905.440113] 0003 0036 00000419
2022-04-06 14:25:13.029837 True [     905.448348] 0003 0035 00000376
2022-04-06 14:25:13.037823 True [     905.456785] 0003 0035 00000378
2022-04-06 14:25:13.046585 True [     905.465006] 0003 0035 00000379
2022-04-06 14:25:13.054372 True [     905.473443] 0003 0035 0000037a
2022-04-06 14:25:13.063109 True [     905.481636] 0003 0035 0000037c
2022-04-06 14:25:13.069932 True [     905.490045] 0003 0035 0000037d
2022-04-06 14:25:13.079156 True [     905.498286] 0003 0035 0000037f
2022-04-06 14:25:13.087721 True [     905.506737] 0003 0035 00000380
2022-04-06 14:25:13.097520 True [     905.514990] 0003 0035 00000382
2022-04-06 14:25:13.104434 True [     905.523404] 0003 0035 00000384
2022-04-06 14:25:13.111633 True [     905.531620] 0003 0035 00000386
2022-04-06 14:25:13.120678 True [     905.540096] 0003 0035 00000387
2022-04-06 14:25:13.129611 True [     905.548348] 0003 0035 00000389
2022-04-06 14:25:13.136878 True [     905.556768] 0003 0035 0000038b
2022-04-06 14:25:13.146234 True [     905.565151] 0003 0035 0000038c
2022-04-06 14:25:13.154582 True [     905.573412] 0003 0035 0000038e
2022-04-06 14:25:13.171633 True [     905.590051] 0003 0035 00000390
2022-04-06 14:25:13.179158 True [     905.598304] 0003 0035 00000392
2022-04-06 14:25:13.197138 True [     905.615009] 0003 0035 00000394
2022-04-06 14:25:13.204939 True [     905.623429] 0003 0035 00000395
2022-04-06 14:25:13.222791 True [     905.640077] 0003 0035 00000396
2022-04-06 14:25:13.229737 True [     905.648321] 0003 0035 00000397
2022-04-06 14:25:13.238768 True [     905.656813] 0003 0035 00000398
2022-04-06 14:25:13.245466 True [     905.664985] 0003 0035 00000399
2022-04-06 14:25:13.254522 True [     905.673422] 0003 0035 0000039a
2022-04-06 14:25:13.254522 True [     905.673422] 0003 0036 00000418
2022-04-06 14:25:13.262005 True [     905.681745] 0003 0035 0000039c
2022-04-06 14:25:13.270644 True [     905.690039] 0003 0035 0000039d
2022-04-06 14:25:13.281234 True [     905.699343] 0003 0035 0000039f
2022-04-06 14:25:13.281234 True [     905.699343] 0003 0036 00000417
2022-04-06 14:25:13.287533 True [     905.706783] 0003 0035 000003a0
2022-04-06 14:25:13.287533 True [     905.706783] 0003 0036 00000416
2022-04-06 14:25:13.296098 True [     905.715067] 0003 0035 000003a2
2022-04-06 14:25:13.296098 True [     905.715067] 0003 0036 00000415
2022-04-06 14:25:13.304627 True [     905.723434] 0003 0035 000003a4
2022-04-06 14:25:13.312883 True [     905.731724] 0003 0035 000003a5
2022-04-06 14:25:13.312883 True [     905.731724] 0003 0036 00000414
2022-04-06 14:25:13.320735 True [     905.740127] 0003 0035 000003a7
2022-04-06 14:25:13.329694 True [     905.748355] 0003 0035 000003a8
2022-04-06 14:25:13.329694 True [     905.748355] 0003 0036 00000413
2022-04-06 14:25:13.336982 True [     905.756809] 0003 0035 000003a9
2022-04-06 14:25:13.336982 True [     905.756809] 0003 0036 00000412
2022-04-06 14:25:13.347884 True [     905.764988] 0003 0035 000003ab
2022-04-06 14:25:13.347884 True [     905.764988] 0003 0036 00000411
2022-04-06 14:25:13.355728 True [     905.773426] 0003 0035 000003ac
2022-04-06 14:25:13.355728 True [     905.773426] 0003 0036 00000410
2022-04-06 14:25:13.363587 True [     905.781631] 0003 0035 000003ae
2022-04-06 14:25:13.363587 True [     905.781631] 0003 0036 0000040f
2022-04-06 14:25:13.371378 True [     905.790211] 0003 0035 000003af
2022-04-06 14:25:13.371378 True [     905.790211] 0003 0036 0000040e
2022-04-06 14:25:13.379786 True [     905.798353] 0003 0035 000003b1
2022-04-06 14:25:13.379786 True [     905.798353] 0003 0036 0000040d
2022-04-06 14:25:13.389309 True [     905.806790] 0003 0035 000003b2
2022-04-06 14:25:13.389309 True [     905.806790] 0003 0036 0000040c
2022-04-06 14:25:13.395853 True [     905.815171] 0003 0035 000003b4
2022-04-06 14:25:13.395853 True [     905.815171] 0003 0036 0000040a
2022-04-06 14:25:13.403898 True [     905.823391] 0003 0035 000003b6
2022-04-06 14:25:13.403898 True [     905.823391] 0003 0036 00000409
2022-04-06 14:25:13.411636 True [     905.831699] 0003 0035 000003b8
2022-04-06 14:25:13.411636 True [     905.831699] 0003 0036 00000407
2022-04-06 14:25:13.421280 True [     905.840167] 0003 0035 000003b9
2022-04-06 14:25:13.421280 True [     905.840167] 0003 0036 00000406
2022-04-06 14:25:13.429166 True [     905.848331] 0003 0035 000003bc
2022-04-06 14:25:13.429166 True [     905.848331] 0003 0036 00000404
2022-04-06 14:25:13.438154 True [     905.856759] 0003 0035 000003bd
2022-04-06 14:25:13.438154 True [     905.856759] 0003 0036 00000403
2022-04-06 14:25:13.446288 True [     905.865054] 0003 0035 000003bf
2022-04-06 14:25:13.446288 True [     905.865054] 0003 0036 00000402
2022-04-06 14:25:13.454427 True [     905.873432] 0003 0035 000003c0
2022-04-06 14:25:13.454427 True [     905.873432] 0003 0036 00000400
2022-04-06 14:25:13.462631 True [     905.881744] 0003 0035 000003c2
2022-04-06 14:25:13.462631 True [     905.881744] 0003 0036 000003fe
2022-04-06 14:25:13.470681 True [     905.890109] 0003 0035 000003c4
2022-04-06 14:25:13.470681 True [     905.890109] 0003 0036 000003fd
2022-04-06 14:25:13.479787 True [     905.898351] 0003 0035 000003c5
2022-04-06 14:25:13.479787 True [     905.898351] 0003 0036 000003fb
2022-04-06 14:25:13.487208 True [     905.906772] 0003 0035 000003c7
2022-04-06 14:25:13.487208 True [     905.906772] 0003 0036 000003f9
2022-04-06 14:25:13.495918 True [     905.915030] 0003 0035 000003c8
2022-04-06 14:25:13.495918 True [     905.915030] 0003 0036 000003f8
2022-04-06 14:25:13.504276 True [     905.923436] 0003 0035 000003c9
2022-04-06 14:25:13.504276 True [     905.923436] 0003 0036 000003f6
2022-04-06 14:25:13.512963 True [     905.931616] 0003 0035 000003cb
2022-04-06 14:25:13.512963 True [     905.931616] 0003 0036 000003f4
2022-04-06 14:25:13.520997 True [     905.940146] 0003 0035 000003cc
2022-04-06 14:25:13.520997 True [     905.940146] 0003 0036 000003f3
2022-04-06 14:25:13.531127 True [     905.948331] 0003 0035 000003cd
2022-04-06 14:25:13.531127 True [     905.948331] 0003 0036 000003f1
2022-04-06 14:25:13.537145 True [     905.956781] 0003 0035 000003ce
2022-04-06 14:25:13.537145 True [     905.956781] 0003 0036 000003ef
2022-04-06 14:25:13.546392 True [     905.965026] 0003 0035 000003cf
2022-04-06 14:25:13.555860 True [     905.973427] 0003 0035 000003d0
2022-04-06 14:25:13.555860 True [     905.973427] 0003 0036 000003ed
2022-04-06 14:25:13.564256 True [     905.981644] 0003 0035 000003d1
2022-04-06 14:25:13.564256 True [     905.981644] 0003 0036 000003eb
2022-04-06 14:25:13.571045 True [     905.990112] 0003 0035 000003d2
2022-04-06 14:25:13.578826 True [     905.998367] 0003 0036 000003e9
2022-04-06 14:25:13.587764 True [     906.006731] 0003 0035 000003d3
2022-04-06 14:25:13.587764 True [     906.006731] 0003 0036 000003e6
2022-04-06 14:25:13.596626 True [     906.014968] 0003 0035 000003d4
2022-04-06 14:25:13.596626 True [     906.014968] 0003 0036 000003e5
2022-04-06 14:25:13.604078 True [     906.023418] 0003 0035 000003d5
2022-04-06 14:25:13.604078 True [     906.023418] 0003 0036 000003e3
2022-04-06 14:25:13.611636 True [     906.031649] 0003 0036 000003e2
2022-04-06 14:25:13.622131 True [     906.040110] 0003 0035 000003d6
2022-04-06 14:25:13.622131 True [     906.040110] 0003 0036 000003e0
2022-04-06 14:25:13.630926 True [     906.048392] 0003 0036 000003de
2022-04-06 14:25:13.637773 True [     906.056802] 0003 0036 000003dd
2022-04-06 14:25:13.646122 True [     906.065003] 0003 0036 000003dc
2022-04-06 14:25:13.655003 True [     906.073461] 0003 0036 000003da
2022-04-06 14:25:13.663045 True [     906.081657] 0003 0036 000003d9
2022-04-06 14:25:13.671083 True [     906.090196] 0003 0036 000003d7
2022-04-06 14:25:13.679614 True [     906.098356] 0003 0036 000003d5
2022-04-06 14:25:13.687679 True [     906.106756] 0003 0036 000003d4
2022-04-06 14:25:13.695472 True [     906.114981] 0003 0036 000003d2
2022-04-06 14:25:13.705050 True [     906.123437] 0003 0036 000003d1
2022-04-06 14:25:13.711646 True [     906.131621] 0003 0035 000003d5
2022-04-06 14:25:13.711646 True [     906.131621] 0003 0036 000003cf
2022-04-06 14:25:13.721514 True [     906.140106] 0003 0036 000003cc
2022-04-06 14:25:13.738099 True [     906.156780] 0003 0035 000003d4
2022-04-06 14:25:13.738099 True [     906.156780] 0003 0036 000003ca
2022-04-06 14:25:13.747170 True [     906.164997] 0003 0035 000003d2
2022-04-06 14:25:13.747170 True [     906.164997] 0003 0036 000003c8
2022-04-06 14:25:13.755468 True [     906.173476] 0003 0036 000003c6
2022-04-06 14:25:13.762621 True [     906.181775] 0003 0035 000003d1
2022-04-06 14:25:13.762621 True [     906.181775] 0003 0036 000003c4
2022-04-06 14:25:13.770929 True [     906.190138] 0003 0035 000003d0
2022-04-06 14:25:13.770929 True [     906.190138] 0003 0036 000003c2
2022-04-06 14:25:13.779698 True [     906.198353] 0003 0035 000003cf
2022-04-06 14:25:13.779698 True [     906.198353] 0003 0036 000003c0
2022-04-06 14:25:13.787164 True [     906.206837] 0003 0035 000003ce
2022-04-06 14:25:13.787164 True [     906.206837] 0003 0036 000003bf
2022-04-06 14:25:13.797780 True [     906.216050] 0003 0035 000003cc
2022-04-06 14:25:13.797780 True [     906.216050] 0003 0036 000003bd
2022-04-06 14:25:13.804506 True [     906.223454] 0003 0035 000003cb
2022-04-06 14:25:13.804506 True [     906.223454] 0003 0036 000003bb
2022-04-06 14:25:13.812768 True [     906.231667] 0003 0035 000003ca
2022-04-06 14:25:13.812768 True [     906.231667] 0003 0036 000003ba
2022-04-06 14:25:13.819769 True [     906.240101] 0003 0035 000003c8
2022-04-06 14:25:13.819769 True [     906.240101] 0003 0036 000003b8
2022-04-06 14:25:13.829249 True [     906.248351] 0003 0035 000003c7
2022-04-06 14:25:13.829249 True [     906.248351] 0003 0036 000003b6
2022-04-06 14:25:13.837781 True [     906.256783] 0003 0035 000003c5
2022-04-06 14:25:13.837781 True [     906.256783] 0003 0036 000003b5
2022-04-06 14:25:13.846259 True [     906.264994] 0003 0035 000003c4
2022-04-06 14:25:13.846259 True [     906.264994] 0003 0036 000003b3
2022-04-06 14:25:13.854507 True [     906.273430] 0003 0035 000003c2
2022-04-06 14:25:13.854507 True [     906.273430] 0003 0036 000003b1
2022-04-06 14:25:13.863000 True [     906.281644] 0003 0035 000003c0
2022-04-06 14:25:13.863000 True [     906.281644] 0003 0036 000003b0
2022-04-06 14:25:13.871290 True [     906.290068] 0003 0035 000003bf
2022-04-06 14:25:13.871290 True [     906.290068] 0003 0036 000003af
2022-04-06 14:25:13.881165 True [     906.298369] 0003 0035 000003bd
2022-04-06 14:25:13.881165 True [     906.298369] 0003 0036 000003ad
2022-04-06 14:25:13.897714 True [     906.314994] 0003 0035 000003bc
2022-04-06 14:25:13.897714 True [     906.314994] 0003 0036 000003ac
2022-04-06 14:25:13.904881 True [     906.323404] 0003 0035 000003ba
2022-04-06 14:25:13.904881 True [     906.323404] 0003 0036 000003aa
2022-04-06 14:25:13.913219 True [     906.331685] 0003 0035 000003b9
2022-04-06 14:25:13.921928 True [     906.340144] 0003 0035 000003b8
2022-04-06 14:25:13.921928 True [     906.340144] 0003 0036 000003a8
2022-04-06 14:25:13.929262 True [     906.348393] 0003 0035 000003b6
2022-04-06 14:25:13.929262 True [     906.348393] 0003 0036 000003a6
2022-04-06 14:25:13.937445 True [     906.356833] 0003 0035 000003b5
2022-04-06 14:25:13.937445 True [     906.356833] 0003 0036 000003a5
2022-04-06 14:25:13.945864 True [     906.365005] 0003 0035 000003b4
