Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.14700834812125765 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:46:49.513506 True [    1943.056677] 0003 0036 000003bf
2022-04-06 14:46:49.518036 True [    1943.062498] 0003 0035 000003f6
2022-04-06 14:46:49.518036 True [    1943.062498] 0003 0036 000003c2
2022-04-06 14:46:49.525139 True [    1943.070901] 0003 0035 000003f3
2022-04-06 14:46:49.525139 True [    1943.070901] 0003 0036 000003c4
2022-04-06 14:46:49.534111 True [    1943.079154] 0003 0035 000003f1
2022-04-06 14:46:49.534111 True [    1943.079154] 0003 0036 000003c6
2022-04-06 14:46:49.542593 True [    1943.087512] 0003 0035 000003ef
2022-04-06 14:46:49.542593 True [    1943.087512] 0003 0036 000003c7
2022-04-06 14:46:49.550684 True [    1943.095783] 0003 0035 000003ee
2022-04-06 14:46:49.550684 True [    1943.095783] 0003 0036 000003c8
2022-04-06 14:46:49.558367 True [    1943.104133] 0003 0035 000003ed
2022-04-06 14:46:49.567277 True [    1943.112309] 0003 0035 000003ec
2022-04-06 14:46:49.567277 True [    1943.112309] 0003 0036 000003c9
2022-04-06 14:46:49.575035 True [    1943.120799] 0003 0035 000003eb
2022-04-06 14:46:49.584371 True [    1943.128919] 0003 0036 000003ca
2022-04-06 14:46:49.600691 True [    1943.145531] 0003 0035 000003ea
2022-04-06 14:46:49.608368 True [    1943.154035] 0003 0036 000003cb
2022-04-06 14:46:49.753031 True [    1943.297064] 0003 0035 000003ec
2022-04-06 14:46:49.753031 True [    1943.297064] 0003 0036 000003cc
2022-04-06 14:46:49.758265 True [    1943.303620] 0003 0035 000003ee
2022-04-06 14:46:49.766205 True [    1943.311921] 0003 0035 000003ef
2022-04-06 14:46:49.775035 True [    1943.320664] 0003 0035 000003f1
2022-04-06 14:46:49.775035 True [    1943.320664] 0003 0036 000003cd
2022-04-06 14:46:49.783995 True [    1943.328552] 0003 0035 000003f2
2022-04-06 14:46:49.793102 True [    1943.337927] 0003 0035 000003f3
2022-04-06 14:46:49.793102 True [    1943.337927] 0003 0036 000003ce
2022-04-06 14:46:49.800679 True [    1943.344964] 0003 0035 000003f4
2022-04-06 14:46:49.817386 True [    1943.361966] 0003 0035 000003f5
2022-04-06 14:46:49.824904 True [    1943.370020] 0003 0035 000003f6
2022-04-06 14:46:49.824904 True [    1943.370020] 0003 0036 000003cf
2022-04-06 14:46:49.877458 True [    1943.421840] 0003 0035 000003f7
2022-04-06 14:46:49.968649 True [    1943.513115] 0003 0036 000003cd
2022-04-06 14:46:49.974930 True [    1943.519991] 0003 0035 000003f8
2022-04-06 14:46:49.974930 True [    1943.519991] 0003 0036 000003cc
2022-04-06 14:46:49.982975 True [    1943.527983] 0003 0036 000003ca
2022-04-06 14:46:49.991738 True [    1943.536681] 0003 0036 000003c8
2022-04-06 14:46:50.008261 True [    1943.553261] 0003 0035 000003f9
2022-04-06 14:46:50.008261 True [    1943.553261] 0003 0036 000003c7
2022-04-06 14:46:50.016538 True [    1943.561231] 0003 0036 000003c6
2022-04-06 14:46:50.024839 True [    1943.569504] 0003 0036 000003c5
2022-04-06 14:46:50.032388 True [    1943.577644] 0003 0036 000003c4
2022-04-06 14:46:50.065528 True [    1943.610831] 0003 0036 000003c3
2022-04-06 14:46:50.091708 True [    1943.636493] 0003 0036 000003c2
2022-04-06 14:46:50.116390 True [    1943.660980] 0003 0036 000003bf
2022-04-06 14:46:50.126043 True [    1943.670663] 0003 0036 000003bd
2022-04-06 14:46:50.132498 True [    1943.677343] 0003 0036 000003bb
2022-04-06 14:46:50.142785 True [    1943.687137] 0003 0036 000003ba
2022-04-06 14:46:50.149941 True [    1943.694755] 0003 0036 000003b8
2022-04-06 14:46:50.158482 True [    1943.703319] 0003 0036 000003b7
2022-04-06 14:46:50.165638 True [    1943.710742] 0003 0036 000003b6
2022-04-06 14:46:50.175645 True [    1943.720545] 0003 0036 000003b5
2022-04-06 14:46:50.194849 True [    1943.737312] 0003 0036 000003b4
2022-04-06 14:46:50.198141 True [    1943.743905] 0003 0036 000003b3
