Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6441488082621192 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:48:30.419946 True [    2043.962034] 0003 0036 0000061f
2022-04-06 14:48:30.431990 True [    2043.974634] 0003 0035 00000380
2022-04-06 14:48:30.431990 True [    2043.974634] 0003 0036 00000667
2022-04-06 14:48:30.439954 True [    2043.983085] 0003 0035 00000381
2022-04-06 14:48:30.439954 True [    2043.983085] 0003 0036 0000066a
2022-04-06 14:48:30.481588 True [    2044.024526] 0003 0036 00000669
2022-04-06 14:48:30.507308 True [    2044.049542] 0003 0036 00000668
2022-04-06 14:48:30.515234 True [    2044.057723] 0003 0036 00000667
2022-04-06 14:48:30.530354 True [    2044.074416] 0003 0035 00000380
2022-04-06 14:48:30.539338 True [    2044.082815] 0003 0036 00000666
2022-04-06 14:48:30.557319 True [    2044.100953] 0003 0036 00000665
2022-04-06 14:48:30.563903 True [    2044.107591] 0003 0036 00000664
2022-04-06 14:48:30.581341 True [    2044.124196] 0003 0036 00000663
2022-04-06 14:48:30.615397 True [    2044.157847] 0003 0035 0000037f
2022-04-06 14:48:30.615397 True [    2044.157847] 0003 0036 00000662
2022-04-06 14:48:30.665454 True [    2044.208164] 0003 0036 00000661
2022-04-06 14:48:30.691223 True [    2044.233747] 0003 0036 00000660
2022-04-06 14:48:30.696967 True [    2044.240736] 0003 0036 0000065e
2022-04-06 14:48:30.707484 True [    2044.250430] 0003 0035 0000037e
2022-04-06 14:48:30.714474 True [    2044.257816] 0003 0036 0000065d
2022-04-06 14:48:30.722847 True [    2044.266347] 0003 0036 0000065c
2022-04-06 14:48:30.730236 True [    2044.273802] 0003 0036 0000065a
2022-04-06 14:48:30.738077 True [    2044.282239] 0003 0035 0000037d
2022-04-06 14:48:30.748098 True [    2044.290398] 0003 0036 00000658
2022-04-06 14:48:30.756074 True [    2044.299460] 0003 0036 00000657
2022-04-06 14:48:30.764079 True [    2044.307010] 0003 0036 00000655
2022-04-06 14:48:30.772186 True [    2044.315457] 0003 0035 0000037c
2022-04-06 14:48:30.772186 True [    2044.315457] 0003 0036 00000652
2022-04-06 14:48:30.780523 True [    2044.324070] 0003 0036 00000650
2022-04-06 14:48:30.790018 True [    2044.333235] 0003 0036 0000064d
