Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7129622096586834 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:58:46.167826 True [    2659.695902] 0003 0036 0000044b
2022-04-06 14:58:46.286046 True [    2659.817935] 0003 0036 0000044c
2022-04-06 14:58:46.418782 True [    2659.952549] 0003 0035 000003e7
2022-04-06 14:58:46.425632 True [    2659.959423] 0003 0035 000003e9
2022-04-06 14:58:46.435159 True [    2659.967518] 0003 0035 000003eb
2022-04-06 14:58:46.442954 True [    2659.977157] 0003 0035 000003ed
2022-04-06 14:58:46.442954 True [    2659.977157] 0003 0036 0000044b
2022-04-06 14:58:46.451409 True [    2659.984185] 0003 0035 000003ef
2022-04-06 14:58:46.451409 True [    2659.984185] 0003 0036 0000044a
2022-04-06 14:58:46.459280 True [    2659.992888] 0003 0035 000003f2
2022-04-06 14:58:46.468569 True [    2660.000978] 0003 0035 000003f3
2022-04-06 14:58:46.468569 True [    2660.000978] 0003 0036 00000449
2022-04-06 14:58:46.477718 True [    2660.009613] 0003 0035 000003f6
2022-04-06 14:58:46.477718 True [    2660.009613] 0003 0036 00000448
2022-04-06 14:58:46.485330 True [    2660.017390] 0003 0035 000003f8
2022-04-06 14:58:46.485330 True [    2660.017390] 0003 0036 00000446
2022-04-06 14:58:46.493088 True [    2660.027210] 0003 0035 000003f9
2022-04-06 14:58:46.493088 True [    2660.027210] 0003 0036 00000444
2022-04-06 14:58:46.501877 True [    2660.034037] 0003 0035 000003fc
2022-04-06 14:58:46.510849 True [    2660.044186] 0003 0035 000003fe
2022-04-06 14:58:46.510849 True [    2660.044186] 0003 0036 00000442
2022-04-06 14:58:46.516833 True [    2660.050679] 0003 0035 00000401
2022-04-06 14:58:46.516833 True [    2660.050679] 0003 0036 00000440
2022-04-06 14:58:46.527790 True [    2660.060623] 0003 0035 00000403
2022-04-06 14:58:46.527790 True [    2660.060623] 0003 0036 0000043e
2022-04-06 14:58:46.535179 True [    2660.067537] 0003 0035 00000405
2022-04-06 14:58:46.535179 True [    2660.067537] 0003 0036 0000043c
2022-04-06 14:58:46.545405 True [    2660.076886] 0003 0035 00000408
2022-04-06 14:58:46.545405 True [    2660.076886] 0003 0036 0000043a
2022-04-06 14:58:46.552661 True [    2660.083943] 0003 0035 0000040b
2022-04-06 14:58:46.552661 True [    2660.083943] 0003 0036 00000438
2022-04-06 14:58:46.559303 True [    2660.093699] 0003 0035 0000040e
2022-04-06 14:58:46.559303 True [    2660.093699] 0003 0036 00000435
2022-04-06 14:58:46.568214 True [    2660.100691] 0003 0035 00000410
2022-04-06 14:58:46.568214 True [    2660.100691] 0003 0036 00000433
2022-04-06 14:58:46.575937 True [    2660.109556] 0003 0035 00000413
2022-04-06 14:58:46.575937 True [    2660.109556] 0003 0036 0000042f
2022-04-06 14:58:46.583371 True [    2660.117221] 0003 0035 00000416
2022-04-06 14:58:46.583371 True [    2660.117221] 0003 0036 0000042d
2022-04-06 14:58:46.594828 True [    2660.126862] 0003 0035 00000418
2022-04-06 14:58:46.594828 True [    2660.126862] 0003 0036 0000042a
