Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.422351992080007 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:01:01.989746 True [    2795.516445] 0003 0036 0000038a
2022-04-06 15:01:02.083876 True [    2795.613744] 0003 0035 000003d5
2022-04-06 15:01:02.091391 True [    2795.622263] 0003 0035 000003d3
2022-04-06 15:01:02.091391 True [    2795.622263] 0003 0036 0000038b
2022-04-06 15:01:02.100634 True [    2795.630469] 0003 0035 000003d2
2022-04-06 15:01:02.109172 True [    2795.639082] 0003 0035 000003d0
2022-04-06 15:01:02.125771 True [    2795.655729] 0003 0035 000003ce
2022-04-06 15:01:02.125771 True [    2795.655729] 0003 0036 0000038c
2022-04-06 15:01:02.133771 True [    2795.663815] 0003 0035 000003cb
2022-04-06 15:01:02.142493 True [    2795.673315] 0003 0035 000003c8
2022-04-06 15:01:02.142493 True [    2795.673315] 0003 0036 0000038d
2022-04-06 15:01:02.151837 True [    2795.680443] 0003 0035 000003c6
2022-04-06 15:01:02.159818 True [    2795.689566] 0003 0035 000003c4
2022-04-06 15:01:02.167947 True [    2795.697029] 0003 0035 000003c1
2022-04-06 15:01:02.167947 True [    2795.697029] 0003 0036 0000038e
2022-04-06 15:01:02.176885 True [    2795.706184] 0003 0035 000003bf
2022-04-06 15:01:02.184821 True [    2795.714002] 0003 0035 000003bd
2022-04-06 15:01:02.191563 True [    2795.722128] 0003 0035 000003ba
2022-04-06 15:01:02.211644 True [    2795.740334] 0003 0035 000003b8
2022-04-06 15:01:02.217018 True [    2795.747229] 0003 0035 000003b5
2022-04-06 15:01:02.226789 True [    2795.755333] 0003 0035 000003b2
2022-04-06 15:01:02.233230 True [    2795.763546] 0003 0035 000003b0
2022-04-06 15:01:02.233230 True [    2795.763546] 0003 0036 0000038d
2022-04-06 15:01:02.243138 True [    2795.772732] 0003 0035 000003ae
2022-04-06 15:01:02.249794 True [    2795.780661] 0003 0035 000003ad
2022-04-06 15:01:02.258965 True [    2795.789324] 0003 0035 000003ac
2022-04-06 15:01:02.267876 True [    2795.796962] 0003 0035 000003ab
2022-04-06 15:01:02.277204 True [    2795.805552] 0003 0035 000003aa
2022-04-06 15:01:02.283796 True [    2795.813471] 0003 0035 000003a9
2022-04-06 15:01:02.291848 True [    2795.822181] 0003 0035 000003a7
2022-04-06 15:01:02.309274 True [    2795.839769] 0003 0035 000003a6
2022-04-06 15:01:02.316426 True [    2795.846754] 0003 0035 000003a5
2022-04-06 15:01:02.325379 True [    2795.855469] 0003 0035 000003a4
