Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.1731876586609449 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 15:03:12.526151 True [    2926.051702] 0003 0036 000004cf
2022-04-06 15:03:13.212184 True [    2926.741822] 0003 0035 0000030a
2022-04-06 15:03:13.212184 True [    2926.741822] 0003 0036 000004ca
2022-04-06 15:03:13.220548 True [    2926.748744] 0003 0035 0000030b
2022-04-06 15:03:13.220548 True [    2926.748744] 0003 0036 000004c7
2022-04-06 15:03:13.229607 True [    2926.756865] 0003 0035 0000030c
2022-04-06 15:03:13.229607 True [    2926.756865] 0003 0036 000004c4
2022-04-06 15:03:13.239625 True [    2926.765612] 0003 0035 0000030d
2022-04-06 15:03:13.239625 True [    2926.765612] 0003 0036 000004c3
2022-04-06 15:03:13.245923 True [    2926.773400] 0003 0035 00000312
2022-04-06 15:03:13.245923 True [    2926.773400] 0003 0036 000004bf
2022-04-06 15:03:13.252745 True [    2926.782119] 0003 0035 00000316
2022-04-06 15:03:13.252745 True [    2926.782119] 0003 0036 000004bb
2022-04-06 15:03:13.261176 True [    2926.790026] 0003 0035 0000031f
2022-04-06 15:03:13.261176 True [    2926.790026] 0003 0036 000004b6
2022-04-06 15:03:13.273549 True [    2926.798763] 0003 0035 00000324
2022-04-06 15:03:13.273549 True [    2926.798763] 0003 0036 000004b4
2022-04-06 15:03:13.279799 True [    2926.806662] 0003 0035 00000328
2022-04-06 15:03:13.279799 True [    2926.806662] 0003 0036 000004b1
2022-04-06 15:03:13.286426 True [    2926.815039] 0003 0035 00000330
2022-04-06 15:03:13.286426 True [    2926.815039] 0003 0036 000004ac
2022-04-06 15:03:13.295052 True [    2926.823479] 0003 0035 00000335
2022-04-06 15:03:13.295052 True [    2926.823479] 0003 0036 000004a9
2022-04-06 15:03:13.306090 True [    2926.833131] 0003 0035 00000347
2022-04-06 15:03:13.306090 True [    2926.833131] 0003 0036 0000049e
2022-04-06 15:03:13.310201 True [    2926.839922] 0003 0035 00000351
2022-04-06 15:03:13.310201 True [    2926.839922] 0003 0036 00000498
2022-04-06 15:03:13.322153 True [    2926.848550] 0003 0035 00000355
2022-04-06 15:03:13.322153 True [    2926.848550] 0003 0036 00000495
2022-04-06 15:03:13.328928 True [    2926.856603] 0003 0035 00000360
2022-04-06 15:03:13.328928 True [    2926.856603] 0003 0036 0000048b
2022-04-06 15:03:13.337330 True [    2926.864951] 0003 0035 00000365
2022-04-06 15:03:13.337330 True [    2926.864951] 0003 0036 00000486
2022-04-06 15:03:13.345897 True [    2926.873119] 0003 0035 00000369
2022-04-06 15:03:13.345897 True [    2926.873119] 0003 0036 00000482
2022-04-06 15:03:13.353503 True [    2926.881571] 0003 0035 00000372
2022-04-06 15:03:13.353503 True [    2926.881571] 0003 0036 0000047c
2022-04-06 15:03:13.360085 True [    2926.889747] 0003 0035 00000377
2022-04-06 15:03:13.360085 True [    2926.889747] 0003 0036 00000477
2022-04-06 15:03:13.369703 True [    2926.898442] 0003 0035 00000381
2022-04-06 15:03:13.369703 True [    2926.898442] 0003 0036 0000046f
2022-04-06 15:03:13.377223 True [    2926.906600] 0003 0035 00000387
2022-04-06 15:03:13.377223 True [    2926.906600] 0003 0036 0000046a
2022-04-06 15:03:13.387181 True [    2926.915600] 0003 0035 0000038b
2022-04-06 15:03:13.387181 True [    2926.915600] 0003 0036 00000467
2022-04-06 15:03:13.394748 True [    2926.923362] 0003 0035 0000038e
2022-04-06 15:03:13.394748 True [    2926.923362] 0003 0036 00000465
2022-04-06 15:03:13.405435 True [    2926.932846] 0003 0035 00000392
2022-04-06 15:03:13.405435 True [    2926.932846] 0003 0036 0000045f
2022-04-06 15:03:13.410611 True [    2926.939607] 0003 0035 00000395
2022-04-06 15:03:13.410611 True [    2926.939607] 0003 0036 0000045a
2022-04-06 15:03:13.421709 True [    2926.948702] 0003 0035 00000398
2022-04-06 15:03:13.421709 True [    2926.948702] 0003 0036 00000456
2022-04-06 15:03:13.429596 True [    2926.956296] 0003 0035 00000399
2022-04-06 15:03:13.429596 True [    2926.956296] 0003 0036 00000455
2022-04-06 15:03:13.436347 True [    2926.964960] 0003 0035 0000039b
2022-04-06 15:03:13.436347 True [    2926.964960] 0003 0036 00000453
2022-04-06 15:03:13.443467 True [    2926.973082] 0003 0035 0000039c
2022-04-06 15:03:13.443467 True [    2926.973082] 0003 0036 00000451
2022-04-06 15:03:13.451650 True [    2926.981770] 0003 0035 0000039d
2022-04-06 15:03:13.451650 True [    2926.981770] 0003 0036 00000450
2022-04-06 15:03:13.469587 True [    2926.999077] 0003 0036 0000044f
2022-04-06 15:03:13.477908 True [    2927.006079] 0003 0035 0000039e
2022-04-06 15:03:13.477908 True [    2927.006079] 0003 0036 0000044c
2022-04-06 15:03:13.487659 True [    2927.014861] 0003 0035 0000039f
2022-04-06 15:03:13.487659 True [    2927.014861] 0003 0036 0000044a
2022-04-06 15:03:13.495514 True [    2927.022724] 0003 0035 000003a0
2022-04-06 15:03:13.495514 True [    2927.022724] 0003 0036 00000447
2022-04-06 15:03:13.502905 True [    2927.031137] 0003 0036 00000445
2022-04-06 15:03:13.511678 True [    2927.039562] 0003 0035 000003a1
2022-04-06 15:03:13.511678 True [    2927.039562] 0003 0036 00000444
