Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.873664095982306 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:07:46.664526 True [    3200.187550] 0003 0036 00000588
2022-04-06 15:07:46.713983 True [    3200.234813] 0003 0035 0000022a
2022-04-06 15:07:46.720450 True [    3200.243154] 0003 0035 0000022e
2022-04-06 15:07:46.728483 True [    3200.251730] 0003 0035 00000234
2022-04-06 15:07:46.728483 True [    3200.251730] 0003 0036 00000587
2022-04-06 15:07:46.736117 True [    3200.259711] 0003 0035 0000023c
2022-04-06 15:07:46.736117 True [    3200.259711] 0003 0036 00000585
2022-04-06 15:07:46.743102 True [    3200.268144] 0003 0035 00000245
2022-04-06 15:07:46.743102 True [    3200.268144] 0003 0036 00000580
2022-04-06 15:07:46.753900 True [    3200.276346] 0003 0035 0000024e
2022-04-06 15:07:46.753900 True [    3200.276346] 0003 0036 0000057b
2022-04-06 15:07:46.759654 True [    3200.284736] 0003 0035 00000257
2022-04-06 15:07:46.759654 True [    3200.284736] 0003 0036 00000576
2022-04-06 15:07:46.768477 True [    3200.292880] 0003 0035 0000025e
2022-04-06 15:07:46.768477 True [    3200.292880] 0003 0036 00000573
2022-04-06 15:07:46.778761 True [    3200.301342] 0003 0035 00000265
2022-04-06 15:07:46.778761 True [    3200.301342] 0003 0036 0000056e
2022-04-06 15:07:46.787851 True [    3200.309902] 0003 0035 0000026c
2022-04-06 15:07:46.787851 True [    3200.309902] 0003 0036 0000056a
2022-04-06 15:07:46.803924 True [    3200.326211] 0003 0035 00000276
2022-04-06 15:07:46.803924 True [    3200.326211] 0003 0036 00000564
2022-04-06 15:07:46.812767 True [    3200.334842] 0003 0035 0000027f
2022-04-06 15:07:46.812767 True [    3200.334842] 0003 0036 0000055f
2022-04-06 15:07:46.818768 True [    3200.342910] 0003 0035 00000286
2022-04-06 15:07:46.818768 True [    3200.342910] 0003 0036 0000055b
