Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.1032237792101471 
        wm_size = [1600 2560] 
        stim_amp = 6 
        baseline_stim = 4
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 14:28:50.110752 False [    7039.171009] 0003 0036 0000096b
2022-04-07 14:28:50.131553 False [    7039.195463] 0003 0035 00000463
2022-04-07 14:28:50.131553 False [    7039.195463] 0003 0036 00000962
2022-04-07 14:28:50.605524 False [    7039.669035] 0003 0035 00000354
2022-04-07 14:28:50.605524 False [    7039.669035] 0003 0036 0000094a
2022-04-07 14:28:50.705462 False [    7039.768685] 0003 0035 00000356
2022-04-07 14:28:50.705462 False [    7039.768685] 0003 0036 00000949
2022-04-07 14:28:51.189283 False [    7040.252981] 0003 0035 000002df
2022-04-07 14:28:51.189283 False [    7040.252981] 0003 0036 000009f4
2022-04-07 14:28:51.203811 False [    7040.268140] 0003 0035 000002dd
2022-04-07 14:28:51.203811 False [    7040.268140] 0003 0036 000009ec
2022-04-07 14:28:51.211621 False [    7040.275755] 0003 0035 000002dc
2022-04-07 14:28:51.211621 False [    7040.275755] 0003 0036 000009e3
2022-04-07 14:28:51.219123 False [    7040.283676] 0003 0035 000002db
2022-04-07 14:28:51.219123 False [    7040.283676] 0003 0036 000009d7
2022-04-07 14:28:51.228095 False [    7040.291965] 0003 0035 000002da
2022-04-07 14:28:51.229136 False [    7040.291965] 0003 0036 000009c9
2022-04-07 14:28:51.236086 False [    7040.300439] 0003 0036 000009c3
2022-04-07 14:28:51.244467 False [    7040.308612] 0003 0035 000002db
2022-04-07 14:28:51.244467 False [    7040.308612] 0003 0036 000009b0
2022-04-07 14:28:51.252093 False [    7040.317048] 0003 0035 000002dd
2022-04-07 14:28:51.252093 False [    7040.317048] 0003 0036 00000999
2022-04-07 14:28:51.260796 False [    7040.325335] 0003 0035 000002e0
2022-04-07 14:28:51.260796 False [    7040.325335] 0003 0036 00000982
2022-04-07 14:28:51.269172 False [    7040.333561] 0003 0035 000002e5
