Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.1200821656494728 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:27:17.895711 False [   17167.234176] 0003 0036 000001dd
2022-04-07 18:27:17.909185 False [   17167.249974] 0003 0036 000001df
2022-04-07 18:27:17.918097 False [   17167.258465] 0003 0036 000001e2
2022-04-07 18:27:17.925790 False [   17167.266655] 0003 0035 000004f7
2022-04-07 18:27:17.926805 False [   17167.266655] 0003 0036 000001ec
2022-04-07 18:27:17.935128 False [   17167.275048] 0003 0035 000004f8
2022-04-07 18:27:17.935128 False [   17167.275048] 0003 0036 000001f2
2022-04-07 18:27:17.943952 False [   17167.283513] 0003 0035 000004fb
2022-04-07 18:27:17.943952 False [   17167.283513] 0003 0036 000001fd
2022-04-07 18:27:17.951841 False [   17167.291739] 0003 0035 000004fc
2022-04-07 18:27:17.951841 False [   17167.291739] 0003 0036 00000203
2022-04-07 18:27:17.961125 False [   17167.299937] 0003 0035 000004fd
2022-04-07 18:27:17.961125 False [   17167.299937] 0003 0036 00000208
2022-04-07 18:27:17.967992 False [   17167.308360] 0003 0035 00000500
2022-04-07 18:27:17.967992 False [   17167.308360] 0003 0036 00000213
2022-04-07 18:27:17.976802 False [   17167.316599] 0003 0035 00000502
2022-04-07 18:27:17.976802 False [   17167.316599] 0003 0036 0000021a
2022-04-07 18:27:17.985128 False [   17167.324983] 0003 0035 00000505
2022-04-07 18:27:17.985128 False [   17167.324983] 0003 0036 00000224
2022-04-07 18:27:17.993472 False [   17167.333176] 0003 0035 00000506
2022-04-07 18:27:17.993472 False [   17167.333176] 0003 0036 0000022b
2022-04-07 18:27:18.002298 False [   17167.341713] 0003 0035 00000509
2022-04-07 18:27:18.002298 False [   17167.341713] 0003 0036 00000237
2022-04-07 18:27:18.011132 False [   17167.349856] 0003 0035 0000050c
2022-04-07 18:27:18.011132 False [   17167.349856] 0003 0036 0000023f
2022-04-07 18:27:18.018884 False [   17167.358243] 0003 0035 0000050f
2022-04-07 18:27:18.018884 False [   17167.358243] 0003 0036 0000024f
2022-04-07 18:27:18.027178 False [   17167.366497] 0003 0035 00000511
2022-04-07 18:27:18.027178 False [   17167.366497] 0003 0036 00000258
2022-04-07 18:27:18.035188 False [   17167.374853] 0003 0035 00000514
2022-04-07 18:27:18.035188 False [   17167.374853] 0003 0036 00000269
2022-04-07 18:27:18.045322 False [   17167.383114] 0003 0035 00000516
2022-04-07 18:27:18.045322 False [   17167.383114] 0003 0036 0000027a
2022-04-07 18:27:18.051913 False [   17167.391499] 0003 0035 00000517
2022-04-07 18:27:18.051913 False [   17167.391499] 0003 0036 0000028a
2022-04-07 18:27:18.060137 False [   17167.399798] 0003 0036 00000295
2022-04-07 18:27:18.068253 False [   17167.408122] 0003 0035 00000519
2022-04-07 18:27:18.068253 False [   17167.408122] 0003 0036 000002aa
2022-04-07 18:27:18.076822 False [   17167.416325] 0003 0035 0000051a
2022-04-07 18:27:18.076822 False [   17167.416325] 0003 0036 000002be
2022-04-07 18:27:18.085128 False [   17167.424730] 0003 0035 0000051b
2022-04-07 18:27:18.085128 False [   17167.424730] 0003 0036 000002d1
2022-04-07 18:27:18.093463 False [   17167.432908] 0003 0035 0000051c
2022-04-07 18:27:18.093463 False [   17167.432908] 0003 0036 000002e4
2022-04-07 18:27:18.101796 False [   17167.441376] 0003 0035 0000051d
2022-04-07 18:27:18.101796 False [   17167.441376] 0003 0036 000002f6
2022-04-07 18:27:18.111128 False [   17167.449547] 0003 0035 0000051e
2022-04-07 18:27:18.111128 False [   17167.449547] 0003 0036 0000030a
2022-04-07 18:27:18.118092 False [   17167.457958] 0003 0035 0000051f
2022-04-07 18:27:18.119098 False [   17167.457958] 0003 0036 0000031f
2022-04-07 18:27:18.126802 False [   17167.466300] 0003 0035 00000521
2022-04-07 18:27:18.126802 False [   17167.466300] 0003 0036 00000333
2022-04-07 18:27:18.135323 False [   17167.474686] 0003 0035 00000522
2022-04-07 18:27:18.135323 False [   17167.474686] 0003 0036 00000349
2022-04-07 18:27:18.143463 False [   17167.482793] 0003 0035 00000523
2022-04-07 18:27:18.143463 False [   17167.482793] 0003 0036 0000035e
2022-04-07 18:27:18.152559 False [   17167.491267] 0003 0035 00000524
2022-04-07 18:27:18.152559 False [   17167.491267] 0003 0036 00000374
2022-04-07 18:27:18.160137 False [   17167.499484] 0003 0036 0000038a
2022-04-07 18:27:18.169108 False [   17167.507834] 0003 0035 00000525
2022-04-07 18:27:18.169108 False [   17167.507834] 0003 0036 0000039f
2022-04-07 18:27:18.176601 False [   17167.516071] 0003 0036 000003b5
2022-04-07 18:27:18.185274 False [   17167.524590] 0003 0036 000003c9
2022-04-07 18:27:18.192239 False [   17167.532659] 0003 0036 000003de
2022-04-07 18:27:18.201165 False [   17167.541092] 0003 0036 000003f3
2022-04-07 18:27:18.209116 False [   17167.549281] 0003 0036 00000406
2022-04-07 18:27:18.218099 False [   17167.557693] 0003 0036 0000041b
2022-04-07 18:27:18.226959 False [   17167.565951] 0003 0036 00000428
2022-04-07 18:27:18.233941 False [   17167.574402] 0003 0036 00000440
2022-04-07 18:27:18.243130 False [   17167.582523] 0003 0036 00000457
2022-04-07 18:27:18.250963 False [   17167.591042] 0003 0036 0000046c
2022-04-07 18:27:18.259461 False [   17167.599281] 0003 0035 00000524
2022-04-07 18:27:18.259461 False [   17167.599281] 0003 0036 00000481
2022-04-07 18:27:18.268098 False [   17167.607608] 0003 0035 00000523
2022-04-07 18:27:18.268098 False [   17167.607608] 0003 0036 00000494
2022-04-07 18:27:18.276894 False [   17167.615941] 0003 0036 000004a7
2022-04-07 18:27:18.284868 False [   17167.624279] 0003 0036 000004bc
2022-04-07 18:27:18.293156 False [   17167.632457] 0003 0036 000004cf
2022-04-07 18:27:18.301322 False [   17167.640828] 0003 0036 000004e1
2022-04-07 18:27:18.310013 False [   17167.649123] 0003 0036 000004f7
2022-04-07 18:27:18.319154 False [   17167.658563] 0003 0036 0000050b
2022-04-07 18:27:18.326662 False [   17167.666172] 0003 0036 0000051e
2022-04-07 18:27:18.334863 False [   17167.674152] 0003 0036 00000531
2022-04-07 18:27:18.344471 False [   17167.682298] 0003 0035 00000524
2022-04-07 18:27:18.344471 False [   17167.682298] 0003 0036 00000544
2022-04-07 18:27:18.353738 False [   17167.690758] 0003 0036 00000556
2022-04-07 18:27:18.359139 False [   17167.698917] 0003 0036 00000569
2022-04-07 18:27:18.368094 False [   17167.707468] 0003 0036 00000574
2022-04-07 18:27:18.375912 False [   17167.715613] 0003 0036 0000058a
2022-04-07 18:27:18.385431 False [   17167.723995] 0003 0036 0000059e
2022-04-07 18:27:18.392890 False [   17167.732418] 0003 0036 000005a9
2022-04-07 18:27:18.401653 False [   17167.740731] 0003 0035 00000525
2022-04-07 18:27:18.401653 False [   17167.740731] 0003 0036 000005b9
2022-04-07 18:27:18.409103 False [   17167.748849] 0003 0036 000005ca
2022-04-07 18:27:18.417098 False [   17167.757287] 0003 0036 000005d5
2022-04-07 18:27:18.426080 False [   17167.765435] 0003 0036 000005e5
2022-04-07 18:27:18.434184 False [   17167.773926] 0003 0035 00000524
2022-04-07 18:27:18.434184 False [   17167.773926] 0003 0036 000005f7
2022-04-07 18:27:18.442360 False [   17167.782055] 0003 0036 00000602
2022-04-07 18:27:18.450792 False [   17167.790472] 0003 0036 00000611
2022-04-07 18:27:18.460650 False [   17167.798761] 0003 0036 0000061b
2022-04-07 18:27:18.466483 False [   17167.807150] 0003 0035 00000523
2022-04-07 18:27:18.466483 False [   17167.807150] 0003 0036 0000062e
2022-04-07 18:27:18.476169 False [   17167.815290] 0003 0036 0000063a
2022-04-07 18:27:18.484472 False [   17167.823744] 0003 0035 00000522
2022-04-07 18:27:18.484472 False [   17167.823744] 0003 0036 00000647
2022-04-07 18:27:18.492486 False [   17167.831967] 0003 0036 00000650
2022-04-07 18:27:18.501270 False [   17167.840489] 0003 0035 00000521
2022-04-07 18:27:18.501270 False [   17167.840489] 0003 0036 00000661
2022-04-07 18:27:18.509144 False [   17167.848591] 0003 0035 00000520
