Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.978599830169037 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 18:34:57.823385 False [   17627.150909] 0003 0036 000000c9
2022-04-07 18:34:57.866710 False [   17627.200116] 0003 0036 000000cb
2022-04-07 18:34:57.875018 False [   17627.208417] 0003 0036 000000cd
2022-04-07 18:34:57.883541 False [   17627.216707] 0003 0036 000000cf
2022-04-07 18:34:57.892015 False [   17627.224883] 0003 0036 000000d2
2022-04-07 18:34:57.900641 False [   17627.233338] 0003 0036 000000d7
2022-04-07 18:34:57.908911 False [   17627.241524] 0003 0036 000000de
2022-04-07 18:34:57.917790 False [   17627.249972] 0003 0035 00000543
2022-04-07 18:34:57.917790 False [   17627.249972] 0003 0036 000000e7
2022-04-07 18:34:57.925452 False [   17627.258145] 0003 0036 000000f1
2022-04-07 18:34:57.935059 False [   17627.267226] 0003 0035 00000542
2022-04-07 18:34:57.935059 False [   17627.267226] 0003 0036 000000fe
2022-04-07 18:34:57.942460 False [   17627.275066] 0003 0035 00000540
2022-04-07 18:34:57.942460 False [   17627.275066] 0003 0036 0000010d
2022-04-07 18:34:57.951829 False [   17627.284121] 0003 0035 0000053e
2022-04-07 18:34:57.951829 False [   17627.284121] 0003 0036 0000011d
2022-04-07 18:34:57.960175 False [   17627.291436] 0003 0035 0000053c
2022-04-07 18:34:57.960175 False [   17627.291436] 0003 0036 0000012d
2022-04-07 18:34:57.969212 False [   17627.300713] 0003 0035 0000053b
2022-04-07 18:34:57.969212 False [   17627.300713] 0003 0036 0000013e
2022-04-07 18:34:57.976724 False [   17627.308368] 0003 0035 00000538
2022-04-07 18:34:57.976724 False [   17627.308368] 0003 0036 0000014f
2022-04-07 18:34:57.987037 False [   17627.317394] 0003 0035 00000536
2022-04-07 18:34:57.987037 False [   17627.317394] 0003 0036 00000161
2022-04-07 18:34:57.991875 False [   17627.324778] 0003 0035 00000534
2022-04-07 18:34:57.991875 False [   17627.324778] 0003 0036 00000171
2022-04-07 18:34:57.999786 False [   17627.333753] 0003 0035 00000533
2022-04-07 18:34:57.999786 False [   17627.333753] 0003 0036 00000182
2022-04-07 18:34:58.008964 False [   17627.341658] 0003 0035 00000532
2022-04-07 18:34:58.008964 False [   17627.341658] 0003 0036 00000192
2022-04-07 18:34:58.017225 False [   17627.349710] 0003 0035 00000530
2022-04-07 18:34:58.017225 False [   17627.349710] 0003 0036 000001a2
2022-04-07 18:34:58.024829 False [   17627.358224] 0003 0036 000001b2
2022-04-07 18:34:58.033895 False [   17627.367049] 0003 0036 000001c3
2022-04-07 18:34:58.041205 False [   17627.374591] 0003 0035 0000052f
2022-04-07 18:34:58.041205 False [   17627.374591] 0003 0036 000001d4
2022-04-07 18:34:58.050024 False [   17627.383698] 0003 0036 000001e4
2022-04-07 18:34:58.058808 False [   17627.391218] 0003 0035 00000530
2022-04-07 18:34:58.058808 False [   17627.391218] 0003 0036 000001f5
2022-04-07 18:34:58.067060 False [   17627.400186] 0003 0036 00000206
2022-04-07 18:34:58.074067 False [   17627.407784] 0003 0036 00000217
2022-04-07 18:34:58.082302 False [   17627.416196] 0003 0036 00000229
2022-04-07 18:34:58.091678 False [   17627.424413] 0003 0035 00000531
2022-04-07 18:34:58.091678 False [   17627.424413] 0003 0036 0000023a
2022-04-07 18:34:58.099556 False [   17627.433600] 0003 0035 00000532
2022-04-07 18:34:58.099556 False [   17627.433600] 0003 0036 0000024c
2022-04-07 18:34:58.108660 False [   17627.441322] 0003 0035 00000533
2022-04-07 18:34:58.108660 False [   17627.441322] 0003 0036 0000025d
2022-04-07 18:34:58.116777 False [   17627.449723] 0003 0035 00000534
2022-04-07 18:34:58.116777 False [   17627.449723] 0003 0036 00000271
2022-04-07 18:34:58.125905 False [   17627.457759] 0003 0036 00000284
2022-04-07 18:34:58.134751 False [   17627.467304] 0003 0035 00000535
2022-04-07 18:34:58.134751 False [   17627.467304] 0003 0036 00000297
2022-04-07 18:34:58.140695 False [   17627.474322] 0003 0035 00000536
2022-04-07 18:34:58.140695 False [   17627.474322] 0003 0036 000002aa
2022-04-07 18:34:58.150137 False [   17627.483574] 0003 0036 000002be
2022-04-07 18:34:58.158137 False [   17627.491165] 0003 0035 00000537
2022-04-07 18:34:58.158137 False [   17627.491165] 0003 0036 000002d3
2022-04-07 18:34:58.167085 False [   17627.500242] 0003 0036 000002e8
2022-04-07 18:34:58.175503 False [   17627.508191] 0003 0036 000002fb
2022-04-07 18:34:58.185004 False [   17627.517104] 0003 0036 00000310
2022-04-07 18:34:58.191547 False [   17627.524329] 0003 0036 00000324
2022-04-07 18:34:58.200403 False [   17627.533776] 0003 0036 00000337
2022-04-07 18:34:58.209143 False [   17627.540983] 0003 0035 00000536
