Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.840082097153223 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:38:36.093847 False [   17845.419915] 0003 0036 000000d9
2022-04-07 18:38:36.149151 False [   17845.477547] 0003 0035 0000056a
2022-04-07 18:38:36.150151 False [   17845.477547] 0003 0036 000000da
2022-04-07 18:38:36.156983 False [   17845.485812] 0003 0035 0000056c
2022-04-07 18:38:36.156983 False [   17845.485812] 0003 0036 000000dd
2022-04-07 18:38:36.166087 False [   17845.494155] 0003 0035 0000056d
2022-04-07 18:38:36.166087 False [   17845.494155] 0003 0036 000000df
2022-04-07 18:38:36.173609 False [   17845.502330] 0003 0035 0000056e
2022-04-07 18:38:36.173609 False [   17845.502330] 0003 0036 000000e2
2022-04-07 18:38:36.179802 False [   17845.510782] 0003 0035 0000056f
2022-04-07 18:38:36.179802 False [   17845.510782] 0003 0036 000000e5
2022-04-07 18:38:36.189788 False [   17845.518949] 0003 0035 00000570
2022-04-07 18:38:36.189788 False [   17845.518949] 0003 0036 000000e9
2022-04-07 18:38:36.199078 False [   17845.527403] 0003 0035 00000571
2022-04-07 18:38:36.199078 False [   17845.527403] 0003 0036 000000ee
2022-04-07 18:38:36.206473 False [   17845.535610] 0003 0035 00000573
2022-04-07 18:38:36.206473 False [   17845.535610] 0003 0036 000000f3
2022-04-07 18:38:36.214807 False [   17845.544395] 0003 0035 00000574
2022-04-07 18:38:36.214807 False [   17845.544395] 0003 0036 000000f9
2022-04-07 18:38:36.224964 False [   17845.552301] 0003 0035 00000575
2022-04-07 18:38:36.224964 False [   17845.552301] 0003 0036 00000100
2022-04-07 18:38:36.234151 False [   17845.561516] 0003 0035 00000577
2022-04-07 18:38:36.234151 False [   17845.561516] 0003 0036 00000109
2022-04-07 18:38:36.240480 False [   17845.568847] 0003 0035 00000578
2022-04-07 18:38:36.240480 False [   17845.568847] 0003 0036 00000112
2022-04-07 18:38:36.248954 False [   17845.577419] 0003 0035 00000579
2022-04-07 18:38:36.248954 False [   17845.577419] 0003 0036 0000011b
2022-04-07 18:38:36.256509 False [   17845.585408] 0003 0035 0000057a
2022-04-07 18:38:36.256509 False [   17845.585408] 0003 0036 00000124
2022-04-07 18:38:36.265960 False [   17845.594194] 0003 0035 0000057b
2022-04-07 18:38:36.265960 False [   17845.594194] 0003 0036 0000012e
2022-04-07 18:38:36.274349 False [   17845.602320] 0003 0036 00000139
2022-04-07 18:38:36.283114 False [   17845.611778] 0003 0036 00000145
2022-04-07 18:38:36.290159 False [   17845.618858] 0003 0036 00000151
2022-04-07 18:38:36.299802 False [   17845.628563] 0003 0036 0000015e
2022-04-07 18:38:36.305269 False [   17845.635304] 0003 0036 0000016b
2022-04-07 18:38:36.315944 False [   17845.644967] 0003 0036 00000178
2022-04-07 18:38:36.324485 False [   17845.652269] 0003 0036 00000186
2022-04-07 18:38:36.333895 False [   17845.661728] 0003 0035 0000057a
2022-04-07 18:38:36.333895 False [   17845.661728] 0003 0036 00000194
2022-04-07 18:38:36.341836 False [   17845.668775] 0003 0035 00000578
2022-04-07 18:38:36.341836 False [   17845.668775] 0003 0036 000001a2
2022-04-07 18:38:36.348839 False [   17845.677749] 0003 0036 000001b0
2022-04-07 18:38:36.356920 False [   17845.685191] 0003 0035 00000577
2022-04-07 18:38:36.356920 False [   17845.685191] 0003 0036 000001be
2022-04-07 18:38:36.364986 False [   17845.694445] 0003 0036 000001cc
2022-04-07 18:38:36.371649 False [   17845.701966] 0003 0035 00000576
2022-04-07 18:38:36.371649 False [   17845.701966] 0003 0036 000001da
2022-04-07 18:38:36.380135 False [   17845.710529] 0003 0036 000001e7
2022-04-07 18:38:36.390699 False [   17845.718650] 0003 0035 00000575
2022-04-07 18:38:36.390699 False [   17845.718650] 0003 0036 000001f4
2022-04-07 18:38:36.397078 False [   17845.727234] 0003 0035 00000574
2022-04-07 18:38:36.397078 False [   17845.727234] 0003 0036 00000202
2022-04-07 18:38:36.407156 False [   17845.735271] 0003 0036 0000020f
2022-04-07 18:38:36.414564 False [   17845.743905] 0003 0036 0000021c
2022-04-07 18:38:36.422916 False [   17845.751956] 0003 0035 00000573
2022-04-07 18:38:36.422916 False [   17845.751956] 0003 0036 00000229
2022-04-07 18:38:36.429480 False [   17845.760453] 0003 0036 00000236
2022-04-07 18:38:36.438706 False [   17845.768693] 0003 0035 00000572
2022-04-07 18:38:36.438706 False [   17845.768693] 0003 0036 00000244
2022-04-07 18:38:36.447011 False [   17845.777539] 0003 0036 00000251
2022-04-07 18:38:36.456305 False [   17845.785017] 0003 0036 0000025e
2022-04-07 18:38:36.463108 False [   17845.793690] 0003 0036 0000026c
2022-04-07 18:38:36.472750 False [   17845.801609] 0003 0036 0000027a
2022-04-07 18:38:36.480426 False [   17845.809994] 0003 0036 00000288
