Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.0293531747692906 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 18:39:43.171333 False [   17912.497421] 0003 0036 0000009d
2022-04-07 18:39:43.191700 False [   17912.519608] 0003 0036 0000009f
2022-04-07 18:39:43.201133 False [   17912.527873] 0003 0036 000000a0
2022-04-07 18:39:43.207219 False [   17912.536308] 0003 0036 000000a2
2022-04-07 18:39:43.217044 False [   17912.544416] 0003 0036 000000a9
2022-04-07 18:39:43.226174 False [   17912.552880] 0003 0036 000000af
2022-04-07 18:39:43.233728 False [   17912.561034] 0003 0036 000000b3
2022-04-07 18:39:43.242715 False [   17912.569506] 0003 0035 000005a8
2022-04-07 18:39:43.242715 False [   17912.569506] 0003 0036 000000be
2022-04-07 18:39:43.251023 False [   17912.577655] 0003 0035 000005a9
2022-04-07 18:39:43.251023 False [   17912.577655] 0003 0036 000000c5
2022-04-07 18:39:43.257776 False [   17912.586129] 0003 0035 000005aa
2022-04-07 18:39:43.257776 False [   17912.586129] 0003 0036 000000ca
2022-04-07 18:39:43.266248 False [   17912.594432] 0003 0035 000005ad
2022-04-07 18:39:43.266248 False [   17912.594432] 0003 0036 000000d6
2022-04-07 18:39:43.274773 False [   17912.602736] 0003 0035 000005b0
2022-04-07 18:39:43.274773 False [   17912.602736] 0003 0036 000000de
2022-04-07 18:39:43.283532 False [   17912.610886] 0003 0035 000005b3
2022-04-07 18:39:43.283532 False [   17912.610886] 0003 0036 000000ea
2022-04-07 18:39:43.290257 False [   17912.619685] 0003 0035 000005b5
2022-04-07 18:39:43.290257 False [   17912.619685] 0003 0036 000000f2
2022-04-07 18:39:43.298075 False [   17912.627528] 0003 0035 000005b9
2022-04-07 18:39:43.299075 False [   17912.627528] 0003 0036 000000fd
2022-04-07 18:39:43.308346 False [   17912.636705] 0003 0035 000005bb
2022-04-07 18:39:43.308346 False [   17912.636705] 0003 0036 00000104
2022-04-07 18:39:43.316099 False [   17912.644368] 0003 0035 000005be
2022-04-07 18:39:43.316099 False [   17912.644368] 0003 0036 00000112
2022-04-07 18:39:43.323955 False [   17912.653281] 0003 0035 000005bf
2022-04-07 18:39:43.323955 False [   17912.653281] 0003 0036 0000011a
2022-04-07 18:39:43.334490 False [   17912.660982] 0003 0035 000005c1
2022-04-07 18:39:43.334490 False [   17912.660982] 0003 0036 0000012a
2022-04-07 18:39:43.340548 False [   17912.669605] 0003 0035 000005c2
2022-04-07 18:39:43.340548 False [   17912.669605] 0003 0036 00000133
2022-04-07 18:39:43.350229 False [   17912.677618] 0003 0035 000005c3
2022-04-07 18:39:43.350229 False [   17912.677618] 0003 0036 00000143
2022-04-07 18:39:43.358643 False [   17912.686641] 0003 0036 0000014c
2022-04-07 18:39:43.367093 False [   17912.694016] 0003 0036 0000015f
2022-04-07 18:39:43.375072 False [   17912.702708] 0003 0035 000005c2
2022-04-07 18:39:43.375072 False [   17912.702708] 0003 0036 0000016b
2022-04-07 18:39:43.382762 False [   17912.710731] 0003 0035 000005c1
2022-04-07 18:39:43.382762 False [   17912.710731] 0003 0036 0000017d
2022-04-07 18:39:43.390246 False [   17912.719507] 0003 0035 000005c0
2022-04-07 18:39:43.390246 False [   17912.719507] 0003 0036 0000018e
2022-04-07 18:39:43.399234 False [   17912.727347] 0003 0036 00000199
2022-04-07 18:39:43.408490 False [   17912.736989] 0003 0035 000005bf
2022-04-07 18:39:43.409487 False [   17912.736989] 0003 0036 000001ab
2022-04-07 18:39:43.417070 False [   17912.743888] 0003 0036 000001b6
2022-04-07 18:39:43.424842 False [   17912.752747] 0003 0035 000005be
2022-04-07 18:39:43.424842 False [   17912.752747] 0003 0036 000001c9
2022-04-07 18:39:43.433565 False [   17912.760802] 0003 0036 000001d5
2022-04-07 18:39:43.441449 False [   17912.769148] 0003 0035 000005bd
2022-04-07 18:39:43.441449 False [   17912.769148] 0003 0036 000001e5
2022-04-07 18:39:43.448291 False [   17912.777388] 0003 0035 000005bc
2022-04-07 18:39:43.448291 False [   17912.777388] 0003 0036 000001f0
2022-04-07 18:39:43.457398 False [   17912.786919] 0003 0035 000005bb
2022-04-07 18:39:43.457398 False [   17912.786919] 0003 0036 00000202
2022-04-07 18:39:43.465239 False [   17912.793853] 0003 0036 0000020d
2022-04-07 18:39:43.474116 False [   17912.802195] 0003 0036 0000021c
2022-04-07 18:39:43.482787 False [   17912.810429] 0003 0036 00000226
2022-04-07 18:39:43.490382 False [   17912.819754] 0003 0035 000005ba
2022-04-07 18:39:43.490382 False [   17912.819754] 0003 0036 00000239
2022-04-07 18:39:43.500303 False [   17912.827284] 0003 0036 00000244
2022-04-07 18:39:43.505673 False [   17912.835868] 0003 0036 00000254
2022-04-07 18:39:43.515996 False [   17912.843732] 0003 0036 0000025f
2022-04-07 18:39:43.525800 False [   17912.853284] 0003 0035 000005bb
2022-04-07 18:39:43.525800 False [   17912.853284] 0003 0036 00000275
2022-04-07 18:39:43.531769 False [   17912.860571] 0003 0036 00000283
2022-04-07 18:39:43.541650 False [   17912.870112] 0003 0035 000005bc
2022-04-07 18:39:43.541650 False [   17912.870112] 0003 0036 00000295
2022-04-07 18:39:43.549550 False [   17912.877048] 0003 0035 000005be
2022-04-07 18:39:43.549550 False [   17912.877048] 0003 0036 000002a6
2022-04-07 18:39:43.559925 False [   17912.886544] 0003 0035 000005bf
2022-04-07 18:39:43.559925 False [   17912.886544] 0003 0036 000002b6
2022-04-07 18:39:43.567349 False [   17912.893839] 0003 0035 000005c0
2022-04-07 18:39:43.567349 False [   17912.893839] 0003 0036 000002c1
2022-04-07 18:39:43.574926 False [   17912.902176] 0003 0035 000005c2
2022-04-07 18:39:43.574926 False [   17912.902176] 0003 0036 000002d6
2022-04-07 18:39:43.582457 False [   17912.910330] 0003 0035 000005c3
2022-04-07 18:39:43.582457 False [   17912.910330] 0003 0036 000002ea
2022-04-07 18:39:43.589569 False [   17912.919050] 0003 0036 000002fd
2022-04-07 18:39:43.600565 False [   17912.926803] 0003 0036 0000030e
2022-04-07 18:39:43.606600 False [   17912.935137] 0003 0035 000005c4
2022-04-07 18:39:43.606600 False [   17912.935137] 0003 0036 00000320
