Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.4163548765100455 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:43:38.138984 False [   18147.458208] 0003 0036 000001ad
2022-04-07 18:43:38.150144 False [   18147.474233] 0003 0035 000004d1
2022-04-07 18:43:38.150144 False [   18147.474233] 0003 0036 000001b2
2022-04-07 18:43:38.157015 False [   18147.482755] 0003 0035 000004d0
2022-04-07 18:43:38.157015 False [   18147.482755] 0003 0036 000001b6
2022-04-07 18:43:38.166415 False [   18147.490958] 0003 0036 000001c4
2022-04-07 18:43:38.173994 False [   18147.499354] 0003 0035 000004cf
2022-04-07 18:43:38.173994 False [   18147.499354] 0003 0036 000001cf
2022-04-07 18:43:38.183241 False [   18147.507552] 0003 0035 000004cd
2022-04-07 18:43:38.183241 False [   18147.507552] 0003 0036 000001de
2022-04-07 18:43:38.191801 False [   18147.516050] 0003 0036 000001e8
2022-04-07 18:43:38.200713 False [   18147.524233] 0003 0035 000004cc
2022-04-07 18:43:38.200713 False [   18147.524233] 0003 0036 000001f8
2022-04-07 18:43:38.210864 False [   18147.532736] 0003 0035 000004cb
2022-04-07 18:43:38.210864 False [   18147.532736] 0003 0036 00000202
2022-04-07 18:43:38.217091 False [   18147.540880] 0003 0035 000004c9
2022-04-07 18:43:38.217091 False [   18147.540880] 0003 0036 00000213
2022-04-07 18:43:38.224440 False [   18147.549398] 0003 0036 0000021e
2022-04-07 18:43:38.233020 False [   18147.557538] 0003 0035 000004c7
2022-04-07 18:43:38.233020 False [   18147.557538] 0003 0036 00000233
2022-04-07 18:43:38.241017 False [   18147.565954] 0003 0035 000004c6
2022-04-07 18:43:38.241017 False [   18147.565954] 0003 0036 00000247
2022-04-07 18:43:38.248131 False [   18147.574053] 0003 0035 000004c5
2022-04-07 18:43:38.248131 False [   18147.574053] 0003 0036 0000025a
2022-04-07 18:43:38.257036 False [   18147.582476] 0003 0036 0000026d
2022-04-07 18:43:38.265167 False [   18147.590730] 0003 0036 00000282
2022-04-07 18:43:38.277076 False [   18147.601121] 0003 0035 000004c4
2022-04-07 18:43:38.277076 False [   18147.601121] 0003 0036 00000297
2022-04-07 18:43:38.283308 False [   18147.607590] 0003 0036 000002ae
2022-04-07 18:43:38.291005 False [   18147.616542] 0003 0035 000004c5
2022-04-07 18:43:38.291005 False [   18147.616542] 0003 0036 000002c6
2022-04-07 18:43:38.299136 False [   18147.624043] 0003 0036 000002df
2022-04-07 18:43:38.306948 False [   18147.632843] 0003 0036 000002f7
2022-04-07 18:43:38.317191 False [   18147.640668] 0003 0036 00000311
2022-04-07 18:43:38.325822 False [   18147.649292] 0003 0035 000004c4
2022-04-07 18:43:38.325822 False [   18147.649292] 0003 0036 0000032c
