Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.012688321241467 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 18:55:25.454368 False [   18854.767235] 0003 0036 000000d7
2022-04-07 18:55:25.600587 False [   18854.907264] 0003 0035 000005b2
2022-04-07 18:55:25.608887 False [   18854.915095] 0003 0035 000005b1
2022-04-07 18:55:25.608887 False [   18854.915095] 0003 0036 000000d9
2022-04-07 18:55:25.617145 False [   18854.923198] 0003 0035 000005ad
2022-04-07 18:55:25.625722 False [   18854.931617] 0003 0035 000005a8
2022-04-07 18:55:25.625722 False [   18854.931617] 0003 0036 000000db
2022-04-07 18:55:25.630017 False [   18854.939993] 0003 0035 000005a0
2022-04-07 18:55:25.630017 False [   18854.939993] 0003 0036 000000dd
2022-04-07 18:55:25.635987 False [   18854.948286] 0003 0035 00000597
2022-04-07 18:55:25.635987 False [   18854.948286] 0003 0036 000000de
2022-04-07 18:55:25.641232 False [   18854.956468] 0003 0035 0000058c
2022-04-07 18:55:25.641232 False [   18854.956468] 0003 0036 000000e0
2022-04-07 18:55:25.653396 False [   18854.964817] 0003 0035 0000057f
2022-04-07 18:55:25.653396 False [   18854.964817] 0003 0036 000000e2
2022-04-07 18:55:25.662448 False [   18854.973020] 0003 0035 00000570
2022-04-07 18:55:25.662448 False [   18854.973020] 0003 0036 000000e4
2022-04-07 18:55:25.667435 False [   18854.981575] 0003 0035 00000561
2022-04-07 18:55:25.667435 False [   18854.981575] 0003 0036 000000e5
2022-04-07 18:55:25.678326 False [   18854.989615] 0003 0035 00000552
2022-04-07 18:55:25.678326 False [   18854.989615] 0003 0036 000000e7
2022-04-07 18:55:25.686539 False [   18854.998091] 0003 0035 00000542
2022-04-07 18:55:25.686539 False [   18854.998091] 0003 0036 000000e9
2022-04-07 18:55:25.692812 False [   18855.006326] 0003 0035 00000533
2022-04-07 18:55:25.692812 False [   18855.006326] 0003 0036 000000eb
2022-04-07 18:55:25.705456 False [   18855.014876] 0003 0035 00000522
2022-04-07 18:55:25.705456 False [   18855.014876] 0003 0036 000000ed
2022-04-07 18:55:25.711440 False [   18855.023022] 0003 0035 00000512
2022-04-07 18:55:25.711440 False [   18855.023022] 0003 0036 000000ef
2022-04-07 18:55:25.718453 False [   18855.031420] 0003 0035 00000500
2022-04-07 18:55:25.718453 False [   18855.031420] 0003 0036 000000f2
2022-04-07 18:55:25.724625 False [   18855.039580] 0003 0035 000004ef
2022-04-07 18:55:25.724625 False [   18855.039580] 0003 0036 000000f4
2022-04-07 18:55:25.736458 False [   18855.048049] 0003 0035 000004db
2022-04-07 18:55:25.736458 False [   18855.048049] 0003 0036 000000f6
2022-04-07 18:55:25.744160 False [   18855.056350] 0003 0035 000004c8
2022-04-07 18:55:25.744160 False [   18855.056350] 0003 0036 000000f8
2022-04-07 18:55:25.752439 False [   18855.064659] 0003 0035 000004b3
2022-04-07 18:55:25.752439 False [   18855.064659] 0003 0036 000000f9
2022-04-07 18:55:25.759186 False [   18855.072990] 0003 0035 0000049e
2022-04-07 18:55:25.759186 False [   18855.072990] 0003 0036 000000fb
