Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.3362259462033432 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:06:12.226595 False [   19501.528654] 0003 0036 000000ee
2022-04-07 19:06:12.339228 False [   19501.642629] 0003 0036 000000ef
2022-04-07 19:06:12.354766 False [   19501.650997] 0003 0035 00000553
2022-04-07 19:06:12.355757 False [   19501.650997] 0003 0036 000000f0
2022-04-07 19:06:12.365258 False [   19501.659290] 0003 0035 00000554
2022-04-07 19:06:12.365258 False [   19501.659290] 0003 0036 000000f2
2022-04-07 19:06:12.379105 False [   19501.667496] 0003 0035 00000555
2022-04-07 19:06:12.379105 False [   19501.667496] 0003 0036 000000f5
2022-04-07 19:06:12.389229 False [   19501.676002] 0003 0035 00000557
2022-04-07 19:06:12.389229 False [   19501.676002] 0003 0036 000000fa
2022-04-07 19:06:12.389229 False [   19501.684094] 0003 0035 0000055a
2022-04-07 19:06:12.389229 False [   19501.684094] 0003 0036 00000100
2022-04-07 19:06:12.398946 False [   19501.692595] 0003 0035 0000055d
2022-04-07 19:06:12.398946 False [   19501.692595] 0003 0036 00000108
2022-04-07 19:06:12.411334 False [   19501.700744] 0003 0035 00000560
2022-04-07 19:06:12.411334 False [   19501.700744] 0003 0036 00000110
2022-04-07 19:06:12.419248 False [   19501.709507] 0003 0035 00000563
2022-04-07 19:06:12.419248 False [   19501.709507] 0003 0036 0000011a
2022-04-07 19:06:12.419248 False [   19501.717503] 0003 0035 00000566
2022-04-07 19:06:12.419248 False [   19501.717503] 0003 0036 00000123
2022-04-07 19:06:12.428581 False [   19501.725808] 0003 0035 00000569
2022-04-07 19:06:12.428581 False [   19501.725808] 0003 0036 0000012d
2022-04-07 19:06:12.431575 False [   19501.733915] 0003 0035 0000056c
2022-04-07 19:06:12.431575 False [   19501.733915] 0003 0036 00000137
2022-04-07 19:06:12.438094 False [   19501.742356] 0003 0035 0000056e
2022-04-07 19:06:12.438094 False [   19501.742356] 0003 0036 00000142
2022-04-07 19:06:12.448642 False [   19501.750555] 0003 0035 00000570
2022-04-07 19:06:12.448642 False [   19501.750555] 0003 0036 0000014e
2022-04-07 19:06:12.453756 False [   19501.759034] 0003 0035 00000573
2022-04-07 19:06:12.453756 False [   19501.759034] 0003 0036 0000015b
2022-04-07 19:06:12.462094 False [   19501.767218] 0003 0035 00000574
2022-04-07 19:06:12.462094 False [   19501.767218] 0003 0036 00000167
2022-04-07 19:06:12.471071 False [   19501.775694] 0003 0035 00000576
2022-04-07 19:06:12.471071 False [   19501.775694] 0003 0036 00000174
2022-04-07 19:06:12.480903 False [   19501.783829] 0003 0035 00000578
