Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.408553276708556 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:10:34.399040 False [   19763.697616] 0003 0036 000001ad
2022-04-07 19:10:34.488083 False [   19763.778220] 0003 0036 000001ae
2022-04-07 19:10:34.492466 False [   19763.789520] 0003 0035 0000057d
2022-04-07 19:10:34.492466 False [   19763.789520] 0003 0036 000001af
2022-04-07 19:10:34.514029 False [   19763.803068] 0003 0036 000001b2
2022-04-07 19:10:34.538137 False [   19763.811627] 0003 0035 0000057c
2022-04-07 19:10:34.538137 False [   19763.811627] 0003 0036 000001b4
2022-04-07 19:10:34.538137 False [   19763.819703] 0003 0035 0000057b
2022-04-07 19:10:34.538137 False [   19763.819703] 0003 0036 000001b7
2022-04-07 19:10:34.552321 False [   19763.828097] 0003 0036 000001ba
2022-04-07 19:10:34.552321 False [   19763.837363] 0003 0035 0000057a
2022-04-07 19:10:34.552321 False [   19763.837363] 0003 0036 000001bd
2022-04-07 19:10:34.552321 False [   19763.844830] 0003 0035 00000578
2022-04-07 19:10:34.552321 False [   19763.844830] 0003 0036 000001c0
2022-04-07 19:10:34.560673 False [   19763.853051] 0003 0035 00000577
2022-04-07 19:10:34.560673 False [   19763.853051] 0003 0036 000001c4
2022-04-07 19:10:34.563354 False [   19763.861381] 0003 0035 00000575
2022-04-07 19:10:34.563354 False [   19763.861381] 0003 0036 000001c9
2022-04-07 19:10:34.586187 False [   19763.869559] 0003 0035 00000574
2022-04-07 19:10:34.586187 False [   19763.869559] 0003 0036 000001cc
2022-04-07 19:10:34.604170 False [   19763.877969] 0003 0035 00000571
2022-04-07 19:10:34.604170 False [   19763.877969] 0003 0036 000001d0
2022-04-07 19:10:34.604170 False [   19763.886133] 0003 0035 0000056f
2022-04-07 19:10:34.604170 False [   19763.886133] 0003 0036 000001d5
2022-04-07 19:10:34.612577 False [   19763.894765] 0003 0035 0000056d
2022-04-07 19:10:34.612577 False [   19763.894765] 0003 0036 000001da
2022-04-07 19:10:34.612577 False [   19763.902848] 0003 0035 00000569
2022-04-07 19:10:34.612577 False [   19763.902848] 0003 0036 000001df
2022-04-07 19:10:34.630040 False [   19763.911379] 0003 0035 00000566
2022-04-07 19:10:34.630040 False [   19763.911379] 0003 0036 000001e5
2022-04-07 19:10:34.674107 False [   19763.919496] 0003 0035 00000562
2022-04-07 19:10:34.674107 False [   19763.919496] 0003 0036 000001eb
2022-04-07 19:10:34.674107 False [   19763.927823] 0003 0035 00000560
2022-04-07 19:10:34.674107 False [   19763.927823] 0003 0036 000001ef
2022-04-07 19:10:34.674107 False [   19763.936114] 0003 0035 0000055d
2022-04-07 19:10:34.674107 False [   19763.936114] 0003 0036 000001f3
2022-04-07 19:10:34.714690 False [   19763.944566] 0003 0035 0000055a
2022-04-07 19:10:34.714690 False [   19763.944566] 0003 0036 000001f9
2022-04-07 19:10:34.714690 False [   19763.952846] 0003 0035 00000557
2022-04-07 19:10:34.715686 False [   19763.952846] 0003 0036 000001fe
2022-04-07 19:10:34.715686 False [   19763.961837] 0003 0035 00000553
2022-04-07 19:10:34.715686 False [   19763.961837] 0003 0036 00000203
2022-04-07 19:10:34.715686 False [   19763.971125] 0003 0035 00000550
2022-04-07 19:10:34.715686 False [   19763.971125] 0003 0036 00000209
2022-04-07 19:10:34.804996 False [   19763.979734] 0003 0035 0000054c
2022-04-07 19:10:34.804996 False [   19763.979734] 0003 0036 00000210
2022-04-07 19:10:34.804996 False [   19763.987842] 0003 0035 00000548
2022-04-07 19:10:34.804996 False [   19763.987842] 0003 0036 00000217
2022-04-07 19:10:34.804996 False [   19763.994393] 0003 0035 00000544
2022-04-07 19:10:34.804996 False [   19763.994393] 0003 0036 0000021f
2022-04-07 19:10:34.806001 False [   19764.003735] 0003 0035 00000540
2022-04-07 19:10:34.806001 False [   19764.003735] 0003 0036 00000227
2022-04-07 19:10:34.806001 False [   19764.011786] 0003 0035 0000053b
2022-04-07 19:10:34.806001 False [   19764.011786] 0003 0036 00000230
2022-04-07 19:10:34.806001 False [   19764.019927] 0003 0035 00000537
2022-04-07 19:10:34.806001 False [   19764.019927] 0003 0036 00000239
2022-04-07 19:10:34.831423 False [   19764.027623] 0003 0035 00000533
2022-04-07 19:10:34.831423 False [   19764.027623] 0003 0036 00000243
2022-04-07 19:10:34.831423 False [   19764.035886] 0003 0035 0000052e
2022-04-07 19:10:34.831423 False [   19764.035886] 0003 0036 0000024c
2022-04-07 19:10:34.831423 False [   19764.044551] 0003 0035 00000529
2022-04-07 19:10:34.831423 False [   19764.044551] 0003 0036 00000257
2022-04-07 19:10:34.831423 False [   19764.053821] 0003 0035 00000525
2022-04-07 19:10:34.831423 False [   19764.053821] 0003 0036 00000261
2022-04-07 19:10:34.831423 False [   19764.061950] 0003 0035 0000051f
2022-04-07 19:10:34.831423 False [   19764.061950] 0003 0036 0000026e
2022-04-07 19:10:34.831423 False [   19764.070146] 0003 0035 00000519
2022-04-07 19:10:34.831423 False [   19764.070146] 0003 0036 0000027a
2022-04-07 19:10:34.831423 False [   19764.078485] 0003 0035 00000513
2022-04-07 19:10:34.831423 False [   19764.078485] 0003 0036 00000286
2022-04-07 19:10:34.831423 False [   19764.086770] 0003 0035 0000050c
2022-04-07 19:10:34.831423 False [   19764.086770] 0003 0036 00000292
2022-04-07 19:10:34.831423 False [   19764.095118] 0003 0035 00000505
2022-04-07 19:10:34.831423 False [   19764.095118] 0003 0036 0000029e
2022-04-07 19:10:34.831423 False [   19764.102807] 0003 0035 000004fe
2022-04-07 19:10:34.831423 False [   19764.102807] 0003 0036 000002ab
2022-04-07 19:10:34.832382 False [   19764.110737] 0003 0035 000004f8
2022-04-07 19:10:34.832382 False [   19764.110737] 0003 0036 000002b8
2022-04-07 19:10:34.863950 False [   19764.118894] 0003 0035 000004f2
2022-04-07 19:10:34.863950 False [   19764.118894] 0003 0036 000002c4
2022-04-07 19:10:34.863950 False [   19764.127385] 0003 0035 000004eb
2022-04-07 19:10:34.863950 False [   19764.127385] 0003 0036 000002d3
2022-04-07 19:10:34.863950 False [   19764.135622] 0003 0035 000004e4
2022-04-07 19:10:34.863950 False [   19764.135622] 0003 0036 000002df
2022-04-07 19:10:34.905210 False [   19764.144700] 0003 0035 000004dc
2022-04-07 19:10:34.905210 False [   19764.144700] 0003 0036 000002ed
2022-04-07 19:10:34.906219 False [   19764.152339] 0003 0035 000004d5
2022-04-07 19:10:34.906219 False [   19764.152339] 0003 0036 000002f9
2022-04-07 19:10:34.906219 False [   19764.160654] 0003 0035 000004cd
2022-04-07 19:10:34.906219 False [   19764.160654] 0003 0036 00000306
2022-04-07 19:10:34.906219 False [   19764.168959] 0003 0035 000004c6
2022-04-07 19:10:34.906219 False [   19764.168959] 0003 0036 00000312
2022-04-07 19:10:34.906219 False [   19764.177373] 0003 0035 000004bf
2022-04-07 19:10:34.906219 False [   19764.177373] 0003 0036 0000031e
2022-04-07 19:10:34.906219 False [   19764.185839] 0003 0035 000004b9
2022-04-07 19:10:34.906219 False [   19764.185839] 0003 0036 00000328
2022-04-07 19:10:34.929134 False [   19764.193890] 0003 0035 000004b2
2022-04-07 19:10:34.929134 False [   19764.193890] 0003 0036 00000332
2022-04-07 19:10:34.929134 False [   19764.202679] 0003 0035 000004ab
2022-04-07 19:10:34.929134 False [   19764.202679] 0003 0036 0000033d
2022-04-07 19:10:34.929134 False [   19764.210506] 0003 0035 000004a4
2022-04-07 19:10:34.929134 False [   19764.210506] 0003 0036 00000346
2022-04-07 19:10:34.946287 False [   19764.218756] 0003 0035 0000049e
2022-04-07 19:10:34.946287 False [   19764.218756] 0003 0036 0000034f
2022-04-07 19:10:34.946287 False [   19764.227264] 0003 0035 00000497
2022-04-07 19:10:34.946287 False [   19764.227264] 0003 0036 00000359
2022-04-07 19:10:34.946287 False [   19764.235327] 0003 0035 00000491
2022-04-07 19:10:34.946287 False [   19764.235327] 0003 0036 00000360
2022-04-07 19:10:34.962500 False [   19764.243806] 0003 0035 0000048c
2022-04-07 19:10:34.962500 False [   19764.243806] 0003 0036 00000368
2022-04-07 19:10:34.962500 False [   19764.251996] 0003 0035 00000488
2022-04-07 19:10:34.962500 False [   19764.251996] 0003 0036 0000036e
2022-04-07 19:10:35.002996 False [   19764.260575] 0003 0035 00000484
2022-04-07 19:10:35.002996 False [   19764.260575] 0003 0036 00000374
2022-04-07 19:10:35.002996 False [   19764.268574] 0003 0035 00000480
2022-04-07 19:10:35.002996 False [   19764.268574] 0003 0036 00000379
2022-04-07 19:10:35.054018 False [   19764.277074] 0003 0035 0000047b
2022-04-07 19:10:35.054018 False [   19764.277074] 0003 0036 0000037f
2022-04-07 19:10:35.054018 False [   19764.285252] 0003 0035 00000478
2022-04-07 19:10:35.054018 False [   19764.285252] 0003 0036 00000383
2022-04-07 19:10:35.054018 False [   19764.293713] 0003 0035 00000474
2022-04-07 19:10:35.054018 False [   19764.293713] 0003 0036 00000388
2022-04-07 19:10:35.055020 False [   19764.301827] 0003 0035 00000471
2022-04-07 19:10:35.055020 False [   19764.301827] 0003 0036 0000038c
2022-04-07 19:10:35.055020 False [   19764.310369] 0003 0035 0000046e
2022-04-07 19:10:35.055020 False [   19764.310369] 0003 0036 00000390
2022-04-07 19:10:35.120520 False [   19764.318523] 0003 0035 0000046b
2022-04-07 19:10:35.120520 False [   19764.318523] 0003 0036 00000394
2022-04-07 19:10:35.120520 False [   19764.327105] 0003 0035 00000468
2022-04-07 19:10:35.120520 False [   19764.327105] 0003 0036 00000397
2022-04-07 19:10:35.120520 False [   19764.335448] 0003 0035 00000466
2022-04-07 19:10:35.120520 False [   19764.335448] 0003 0036 0000039a
2022-04-07 19:10:35.120520 False [   19764.343670] 0003 0035 00000465
2022-04-07 19:10:35.120520 False [   19764.343670] 0003 0036 0000039c
2022-04-07 19:10:35.120520 False [   19764.352152] 0003 0035 00000464
2022-04-07 19:10:35.120520 False [   19764.352152] 0003 0036 0000039d
2022-04-07 19:10:35.120520 False [   19764.360364] 0003 0035 00000463
2022-04-07 19:10:35.120520 False [   19764.360364] 0003 0036 0000039e
2022-04-07 19:10:35.120520 False [   19764.368604] 0003 0035 00000462
2022-04-07 19:10:35.120520 False [   19764.368604] 0003 0036 0000039f
2022-04-07 19:10:35.120520 False [   19764.376780] 0003 0035 00000461
2022-04-07 19:10:35.120520 False [   19764.376780] 0003 0036 000003a0
2022-04-07 19:10:35.120520 False [   19764.385254] 0003 0036 000003a1
2022-04-07 19:10:35.171334 False [   19764.393903] 0003 0035 00000460
2022-04-07 19:10:35.172383 True [   19764.393903] 0003 0036 000003a2
2022-04-07 19:10:35.172383 True [   19764.401606] 0003 0035 0000045f
2022-04-07 19:10:35.173376 True [   19764.443447] 0003 0036 000003ae
2022-04-07 19:10:35.173376 True [   19764.451550] 0003 0035 00000458
2022-04-07 19:10:35.173376 True [   19764.451550] 0003 0036 000003b0
2022-04-07 19:10:35.214319 True [   19764.460156] 0003 0035 00000456
2022-04-07 19:10:35.214319 True [   19764.460156] 0003 0036 000003b3
2022-04-07 19:10:35.214319 True [   19764.469094] 0003 0035 00000455
2022-04-07 19:10:35.215320 True [   19764.469094] 0003 0036 000003b5
2022-04-07 19:10:35.215320 True [   19764.477560] 0003 0035 00000453
2022-04-07 19:10:35.215320 True [   19764.477560] 0003 0036 000003b7
2022-04-07 19:10:35.255373 True [   19764.486112] 0003 0035 00000452
2022-04-07 19:10:35.255373 True [   19764.486112] 0003 0036 000003ba
2022-04-07 19:10:35.255373 True [   19764.494069] 0003 0035 00000450
2022-04-07 19:10:35.255373 True [   19764.494069] 0003 0036 000003bb
2022-04-07 19:10:35.255373 True [   19764.503012] 0003 0035 0000044e
2022-04-07 19:10:35.255373 True [   19764.503012] 0003 0036 000003be
2022-04-07 19:10:35.255373 True [   19764.510726] 0003 0035 0000044c
2022-04-07 19:10:35.255373 True [   19764.510726] 0003 0036 000003c0
2022-04-07 19:10:35.255373 True [   19764.518713] 0003 0035 0000044b
2022-04-07 19:10:35.255373 True [   19764.518713] 0003 0036 000003c3
2022-04-07 19:10:35.312097 True [   19764.526451] 0003 0035 00000448
2022-04-07 19:10:35.312097 True [   19764.526451] 0003 0036 000003c5
2022-04-07 19:10:35.312097 True [   19764.534739] 0003 0035 00000447
2022-04-07 19:10:35.312097 True [   19764.534739] 0003 0036 000003c7
2022-04-07 19:10:35.312097 True [   19764.543632] 0003 0035 00000445
2022-04-07 19:10:35.312097 True [   19764.543632] 0003 0036 000003c8
