Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.5705167541907326 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:11:39.923173 False [   19829.210698] 0003 0036 00000179
2022-04-07 19:11:39.978020 False [   19829.241468] 0003 0035 00000513
2022-04-07 19:11:39.978020 False [   19829.241468] 0003 0036 0000017c
2022-04-07 19:11:40.031356 False [   19829.250037] 0003 0035 00000514
2022-04-07 19:11:40.031356 False [   19829.250037] 0003 0036 00000180
2022-04-07 19:11:40.031356 False [   19829.258489] 0003 0036 00000186
2022-04-07 19:11:40.031356 False [   19829.272478] 0003 0035 00000516
2022-04-07 19:11:40.031356 False [   19829.272478] 0003 0036 0000018e
2022-04-07 19:11:40.031356 False [   19829.282153] 0003 0035 00000517
2022-04-07 19:11:40.031356 False [   19829.282153] 0003 0036 00000195
2022-04-07 19:11:40.080171 False [   19829.290519] 0003 0035 00000519
2022-04-07 19:11:40.080171 False [   19829.290519] 0003 0036 0000019e
2022-04-07 19:11:40.080171 False [   19829.300189] 0003 0035 0000051b
2022-04-07 19:11:40.080171 False [   19829.300189] 0003 0036 000001a7
2022-04-07 19:11:40.080171 False [   19829.310039] 0003 0035 0000051e
2022-04-07 19:11:40.080171 False [   19829.310039] 0003 0036 000001b4
2022-04-07 19:11:40.080171 False [   19829.319280] 0003 0035 00000520
2022-04-07 19:11:40.080171 False [   19829.319280] 0003 0036 000001bc
2022-04-07 19:11:40.080171 False [   19829.325950] 0003 0035 00000522
2022-04-07 19:11:40.080171 False [   19829.325950] 0003 0036 000001c4
2022-04-07 19:11:40.080171 False [   19829.335689] 0003 0035 00000524
2022-04-07 19:11:40.080171 False [   19829.335689] 0003 0036 000001cf
2022-04-07 19:11:40.134768 False [   19829.343772] 0003 0035 00000525
2022-04-07 19:11:40.134768 False [   19829.343772] 0003 0036 000001d9
2022-04-07 19:11:40.134768 False [   19829.351946] 0003 0035 00000527
2022-04-07 19:11:40.134768 False [   19829.351946] 0003 0036 000001e3
2022-04-07 19:11:40.134768 False [   19829.361666] 0003 0035 00000529
2022-04-07 19:11:40.134768 False [   19829.361666] 0003 0036 000001ec
2022-04-07 19:11:40.134768 False [   19829.368953] 0003 0035 0000052a
2022-04-07 19:11:40.134768 False [   19829.368953] 0003 0036 000001f7
2022-04-07 19:11:40.134768 False [   19829.375787] 0003 0035 0000052c
2022-04-07 19:11:40.134768 False [   19829.375787] 0003 0036 00000202
2022-04-07 19:11:40.209290 False [   19829.385510] 0003 0035 0000052d
