Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.996124118433864 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 19:14:39.075953 False [   20008.366336] 0003 0036 00000183
2022-04-07 19:14:39.109791 False [   20008.397104] 0003 0036 00000184
2022-04-07 19:14:39.137104 False [   20008.405464] 0003 0035 00000545
2022-04-07 19:14:39.137104 False [   20008.405464] 0003 0036 00000187
2022-04-07 19:14:39.137104 False [   20008.413886] 0003 0035 00000546
2022-04-07 19:14:39.137104 False [   20008.413886] 0003 0036 0000018b
2022-04-07 19:14:39.194211 False [   20008.422299] 0003 0035 00000547
2022-04-07 19:14:39.194211 False [   20008.422299] 0003 0036 00000190
2022-04-07 19:14:39.194211 False [   20008.430557] 0003 0035 00000548
2022-04-07 19:14:39.194211 False [   20008.430557] 0003 0036 00000197
2022-04-07 19:14:39.194211 False [   20008.439217] 0003 0035 00000549
2022-04-07 19:14:39.194211 False [   20008.439217] 0003 0036 0000019e
2022-04-07 19:14:39.247779 False [   20008.449123] 0003 0035 0000054b
2022-04-07 19:14:39.247779 False [   20008.449123] 0003 0036 000001a5
2022-04-07 19:14:39.248782 False [   20008.457971] 0003 0035 0000054c
2022-04-07 19:14:39.248782 False [   20008.457971] 0003 0036 000001aa
2022-04-07 19:14:39.248782 False [   20008.468135] 0003 0035 0000054d
2022-04-07 19:14:39.248782 False [   20008.468135] 0003 0036 000001b0
2022-04-07 19:14:39.248782 False [   20008.476132] 0003 0035 0000054e
2022-04-07 19:14:39.248782 False [   20008.476132] 0003 0036 000001b8
2022-04-07 19:14:39.248782 False [   20008.486376] 0003 0035 0000054f
2022-04-07 19:14:39.248782 False [   20008.486376] 0003 0036 000001c0
2022-04-07 19:14:39.248782 False [   20008.496402] 0003 0035 00000550
2022-04-07 19:14:39.248782 False [   20008.496402] 0003 0036 000001c9
2022-04-07 19:14:39.322783 False [   20008.508322] 0003 0035 00000551
2022-04-07 19:14:39.322783 False [   20008.508322] 0003 0036 000001d4
2022-04-07 19:14:39.322783 False [   20008.518045] 0003 0035 00000554
2022-04-07 19:14:39.322783 False [   20008.518045] 0003 0036 000001e9
2022-04-07 19:14:39.322783 False [   20008.525066] 0003 0036 000001f5
2022-04-07 19:14:39.322783 False [   20008.533106] 0003 0035 00000556
2022-04-07 19:14:39.322783 False [   20008.533106] 0003 0036 00000202
2022-04-07 19:14:39.322783 False [   20008.541124] 0003 0036 0000020f
2022-04-07 19:14:39.322783 False [   20008.550591] 0003 0035 00000557
2022-04-07 19:14:39.322783 False [   20008.550591] 0003 0036 0000021c
2022-04-07 19:14:39.374517 False [   20008.559387] 0003 0036 0000022a
2022-04-07 19:14:39.374517 False [   20008.569703] 0003 0036 00000239
2022-04-07 19:14:39.374517 False [   20008.581046] 0003 0036 00000248
2022-04-07 19:14:39.374517 False [   20008.591876] 0003 0036 0000026c
2022-04-07 19:14:39.374517 False [   20008.604350] 0003 0035 00000555
2022-04-07 19:14:39.374517 False [   20008.604350] 0003 0036 00000280
2022-04-07 19:14:39.374517 False [   20008.614522] 0003 0035 00000554
2022-04-07 19:14:39.374517 False [   20008.614522] 0003 0036 00000294
2022-04-07 19:14:39.374517 False [   20008.625806] 0003 0035 00000552
2022-04-07 19:14:39.374517 False [   20008.625806] 0003 0036 000002bd
2022-04-07 19:14:39.385008 False [   20008.636360] 0003 0035 00000550
2022-04-07 19:14:39.385008 False [   20008.636360] 0003 0036 000002d4
2022-04-07 19:14:39.385008 False [   20008.646084] 0003 0035 0000054f
2022-04-07 19:14:39.385008 False [   20008.646084] 0003 0036 000002eb
2022-04-07 19:14:39.385008 False [   20008.657456] 0003 0035 0000054d
2022-04-07 19:14:39.385008 False [   20008.657456] 0003 0036 00000304
2022-04-07 19:14:39.385008 False [   20008.666304] 0003 0035 0000054b
2022-04-07 19:14:39.385008 False [   20008.666304] 0003 0036 00000333
2022-04-07 19:14:39.385008 False [   20008.671619] 0003 0035 0000054a
2022-04-07 19:14:39.385008 False [   20008.671619] 0003 0036 0000034a
2022-04-07 19:14:39.426924 False [   20008.679867] 0003 0035 00000549
2022-04-07 19:14:39.426924 False [   20008.679867] 0003 0036 00000362
2022-04-07 19:14:39.497460 False [   20008.688475] 0003 0036 00000379
2022-04-07 19:14:39.497460 False [   20008.696436] 0003 0036 0000038f
2022-04-07 19:14:39.497460 False [   20008.707131] 0003 0036 000003a6
2022-04-07 19:14:39.497460 False [   20008.716854] 0003 0036 000003bd
2022-04-07 19:14:39.497460 False [   20008.729175] 0003 0036 000003d4
2022-04-07 19:14:39.553786 False [   20008.739896] 0003 0036 000003e9
2022-04-07 19:14:39.553786 False [   20008.750560] 0003 0036 00000414
2022-04-07 19:14:39.553786 False [   20008.762363] 0003 0036 00000429
2022-04-07 19:14:39.553786 False [   20008.774130] 0003 0036 00000442
2022-04-07 19:14:39.553786 False [   20008.784974] 0003 0035 00000547
2022-04-07 19:14:39.553786 False [   20008.784974] 0003 0036 00000471
2022-04-07 19:14:39.553786 False [   20008.791896] 0003 0035 00000546
2022-04-07 19:14:39.553786 False [   20008.791896] 0003 0036 00000487
2022-04-07 19:14:39.553786 False [   20008.796340] 0003 0036 0000049e
2022-04-07 19:14:39.607279 False [   20008.804586] 0003 0035 00000544
2022-04-07 19:14:39.607279 False [   20008.804586] 0003 0036 000004b7
2022-04-07 19:14:39.607279 False [   20008.813012] 0003 0035 00000543
2022-04-07 19:14:39.607279 False [   20008.813012] 0003 0036 000004cf
2022-04-07 19:14:39.607279 False [   20008.823985] 0003 0035 00000542
2022-04-07 19:14:39.607279 True [   20008.823985] 0003 0036 000004e9
2022-04-07 19:14:39.607279 True [   20008.834726] 0003 0035 0000053e
2022-04-07 19:14:39.607279 True [   20008.845267] 0003 0036 00000520
2022-04-07 19:14:39.607279 True [   20008.855868] 0003 0035 0000053b
2022-04-07 19:14:39.607279 True [   20008.855868] 0003 0036 00000539
2022-04-07 19:14:39.677103 True [   20008.865339] 0003 0035 00000537
2022-04-07 19:14:39.677103 False [   20008.865339] 0003 0036 0000056f
2022-04-07 19:14:39.677103 True [   20008.875239] 0003 0035 00000535
2022-04-07 19:14:39.677103 False [   20008.875239] 0003 0036 0000058c
2022-04-07 19:14:39.677103 False [   20008.880607] 0003 0035 00000533
