Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.8831367290300849 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:17:51.988639 False [   20201.274262] 0003 0036 000000f3
2022-04-07 19:17:52.034730 False [   20201.288696] 0003 0035 00000509
2022-04-07 19:17:52.034730 False [   20201.288696] 0003 0036 000000f5
2022-04-07 19:17:52.117809 False [   20201.297018] 0003 0036 000000f7
2022-04-07 19:17:52.117809 False [   20201.311998] 0003 0036 000000f9
2022-04-07 19:17:52.117809 False [   20201.323868] 0003 0035 00000506
2022-04-07 19:17:52.117809 False [   20201.323868] 0003 0036 00000104
2022-04-07 19:17:52.117809 False [   20201.332219] 0003 0035 00000503
2022-04-07 19:17:52.117809 False [   20201.332219] 0003 0036 00000116
2022-04-07 19:17:52.195607 False [   20201.345299] 0003 0035 00000502
2022-04-07 19:17:52.195607 False [   20201.345299] 0003 0036 0000011f
2022-04-07 19:17:52.195607 False [   20201.358812] 0003 0035 00000500
2022-04-07 19:17:52.195607 False [   20201.358812] 0003 0036 0000012b
2022-04-07 19:17:52.195607 False [   20201.374072] 0003 0035 000004fe
2022-04-07 19:17:52.195607 False [   20201.374072] 0003 0036 00000144
2022-04-07 19:17:52.195607 False [   20201.386938] 0003 0035 000004fd
2022-04-07 19:17:52.195607 False [   20201.386938] 0003 0036 00000160
2022-04-07 19:17:52.195607 False [   20201.398261] 0003 0035 000004fc
2022-04-07 19:17:52.195607 False [   20201.398261] 0003 0036 0000016b
2022-04-07 19:17:52.195607 False [   20201.408480] 0003 0035 000004fb
2022-04-07 19:17:52.195607 False [   20201.408480] 0003 0036 0000018b
2022-04-07 19:17:52.195607 False [   20201.417852] 0003 0036 0000019f
2022-04-07 19:17:52.267766 False [   20201.430508] 0003 0035 000004fc
2022-04-07 19:17:52.267766 False [   20201.430508] 0003 0036 000001b3
2022-04-07 19:17:52.267766 False [   20201.442963] 0003 0035 000004fe
2022-04-07 19:17:52.267766 False [   20201.442963] 0003 0036 000001d7
2022-04-07 19:17:52.267766 False [   20201.455235] 0003 0036 000001ea
2022-04-07 19:17:52.267766 False [   20201.470074] 0003 0035 00000502
2022-04-07 19:17:52.267766 False [   20201.470074] 0003 0036 0000020e
2022-04-07 19:17:52.267766 False [   20201.481265] 0003 0035 00000505
2022-04-07 19:17:52.267766 False [   20201.481265] 0003 0036 00000220
2022-04-07 19:17:52.267766 False [   20201.495584] 0003 0035 00000508
2022-04-07 19:17:52.267766 False [   20201.495584] 0003 0036 00000246
2022-04-07 19:17:52.325749 False [   20201.507922] 0003 0035 00000509
2022-04-07 19:17:52.325749 False [   20201.507922] 0003 0036 0000025a
2022-04-07 19:17:52.325749 False [   20201.521966] 0003 0035 0000050c
2022-04-07 19:17:52.325749 False [   20201.521966] 0003 0036 00000288
2022-04-07 19:17:52.325749 False [   20201.533692] 0003 0035 0000050e
2022-04-07 19:17:52.325749 False [   20201.533692] 0003 0036 000002b5
2022-04-07 19:17:52.325749 False [   20201.547390] 0003 0036 000002cd
2022-04-07 19:17:52.325749 False [   20201.561152] 0003 0035 0000050c
2022-04-07 19:17:52.325749 False [   20201.561152] 0003 0036 00000303
2022-04-07 19:17:52.325749 False [   20201.565016] 0003 0035 0000050b
2022-04-07 19:17:52.325749 False [   20201.565016] 0003 0036 0000031f
2022-04-07 19:17:52.422416 False [   20201.571275] 0003 0035 00000509
2022-04-07 19:17:52.422416 False [   20201.571275] 0003 0036 00000339
2022-04-07 19:17:52.422416 False [   20201.581714] 0003 0035 00000508
2022-04-07 19:17:52.422416 False [   20201.581714] 0003 0036 00000356
2022-04-07 19:17:52.422416 False [   20201.592553] 0003 0035 00000507
2022-04-07 19:17:52.422416 False [   20201.592553] 0003 0036 00000371
2022-04-07 19:17:52.422416 False [   20201.603135] 0003 0035 00000505
2022-04-07 19:17:52.422416 False [   20201.603135] 0003 0036 0000038d
2022-04-07 19:17:52.422416 False [   20201.610595] 0003 0035 00000504
2022-04-07 19:17:52.422416 False [   20201.610595] 0003 0036 000003a9
2022-04-07 19:17:52.422416 False [   20201.614531] 0003 0035 00000502
2022-04-07 19:17:52.422416 False [   20201.614531] 0003 0036 000003c4
2022-04-07 19:17:52.422416 False [   20201.625681] 0003 0036 000003de
2022-04-07 19:17:52.506225 False [   20201.639862] 0003 0035 00000500
2022-04-07 19:17:52.506225 False [   20201.639862] 0003 0036 000003f8
2022-04-07 19:17:52.506225 False [   20201.654748] 0003 0035 000004fe
2022-04-07 19:17:52.506225 True [   20201.654748] 0003 0036 0000042c
2022-04-07 19:17:52.506225 True [   20201.669008] 0003 0035 000004fb
2022-04-07 19:17:52.506225 True [   20201.697065] 0003 0036 000004b2
2022-04-07 19:17:52.506225 True [   20201.709037] 0003 0035 000004f6
2022-04-07 19:17:52.506225 False [   20201.709037] 0003 0036 000004ea
2022-04-07 19:17:52.580858 False [   20201.722395] 0003 0035 000004f4
2022-04-07 19:17:52.581855 False [   20201.760340] 0003 0036 000005a4
2022-04-07 19:17:52.581855 False [   20201.773968] 0003 0035 000004e9
2022-04-07 19:17:52.581855 False [   20201.773968] 0003 0036 000005c2
2022-04-07 19:17:52.581855 False [   20201.787050] 0003 0035 000004e3
2022-04-07 19:17:52.581855 False [   20201.787050] 0003 0036 000005fe
2022-04-07 19:17:52.581855 False [   20201.799532] 0003 0035 000004df
2022-04-07 19:17:52.581855 False [   20201.799532] 0003 0036 0000061a
2022-04-07 19:17:52.642844 False [   20201.809572] 0003 0035 000004d9
2022-04-07 19:17:52.642844 False [   20201.809572] 0003 0036 00000651
2022-04-07 19:17:52.642844 False [   20201.818026] 0003 0035 000004d7
2022-04-07 19:17:52.642844 False [   20201.818026] 0003 0036 0000066b
2022-04-07 19:17:52.642844 False [   20201.829603] 0003 0035 000004d5
2022-04-07 19:17:52.642844 False [   20201.829603] 0003 0036 00000684
2022-04-07 19:17:52.642844 False [   20201.842468] 0003 0035 000004d3
2022-04-07 19:17:52.642844 False [   20201.842468] 0003 0036 000006af
2022-04-07 19:17:52.642844 False [   20201.854967] 0003 0035 000004d1
2022-04-07 19:17:52.642844 False [   20201.854967] 0003 0036 000006c8
2022-04-07 19:17:52.642844 False [   20201.866079] 0003 0035 000004cf
2022-04-07 19:17:52.642844 False [   20201.866079] 0003 0036 000006f4
2022-04-07 19:17:52.642844 False [   20201.880285] 0003 0035 000004cd
2022-04-07 19:17:52.642844 False [   20201.880285] 0003 0036 00000708
2022-04-07 19:17:52.716494 False [   20201.893309] 0003 0035 000004cb
2022-04-07 19:17:52.716494 False [   20201.893309] 0003 0036 00000733
2022-04-07 19:17:52.716494 False [   20201.906513] 0003 0035 000004c9
2022-04-07 19:17:52.716494 False [   20201.906513] 0003 0036 00000749
2022-04-07 19:17:52.716494 False [   20201.918933] 0003 0035 000004c8
2022-04-07 19:17:52.716494 False [   20201.918933] 0003 0036 00000772
2022-04-07 19:17:52.716494 False [   20201.921707] 0003 0035 000004c7
2022-04-07 19:17:52.716494 False [   20201.921707] 0003 0036 00000788
2022-04-07 19:17:52.716494 False [   20201.928787] 0003 0035 000004c6
2022-04-07 19:17:52.716494 False [   20201.928787] 0003 0036 0000079c
2022-04-07 19:17:52.716494 False [   20201.941638] 0003 0035 000004c5
2022-04-07 19:17:52.716494 False [   20201.941638] 0003 0036 000007af
2022-04-07 19:17:52.789636 False [   20201.952126] 0003 0036 000007c4
2022-04-07 19:17:52.789636 False [   20201.965107] 0003 0035 000004c4
2022-04-07 19:17:52.789636 False [   20201.965107] 0003 0036 000007d9
2022-04-07 19:17:52.789636 False [   20201.976787] 0003 0035 000004c2
2022-04-07 19:17:52.789636 False [   20201.976787] 0003 0036 000007fe
2022-04-07 19:17:52.789636 False [   20201.989002] 0003 0036 00000809
2022-04-07 19:17:52.789636 False [   20202.003332] 0003 0035 000004c1
2022-04-07 19:17:52.789636 False [   20202.003332] 0003 0036 00000831
2022-04-07 19:17:52.789636 False [   20202.015945] 0003 0035 000004c0
2022-04-07 19:17:52.789636 False [   20202.015945] 0003 0036 0000084b
2022-04-07 19:17:52.853491 False [   20202.025511] 0003 0035 000004bf
2022-04-07 19:17:52.853491 False [   20202.025511] 0003 0036 00000854
2022-04-07 19:17:52.853491 False [   20202.029904] 0003 0035 000004be
2022-04-07 19:17:52.853491 False [   20202.029904] 0003 0036 00000867
2022-04-07 19:17:52.853491 False [   20202.037688] 0003 0036 00000872
2022-04-07 19:17:52.853491 False [   20202.050084] 0003 0036 0000087f
2022-04-07 19:17:52.853491 False [   20202.062353] 0003 0036 00000887
2022-04-07 19:17:52.853491 False [   20202.076500] 0003 0035 000004bc
2022-04-07 19:17:52.853491 False [   20202.076500] 0003 0036 0000089f
2022-04-07 19:17:52.853491 False [   20202.088627] 0003 0035 000004bb
2022-04-07 19:17:52.853491 False [   20202.088627] 0003 0036 000008a9
2022-04-07 19:17:52.866530 False [   20202.101019] 0003 0035 000004ba
2022-04-07 19:17:52.866530 False [   20202.101019] 0003 0036 000008ba
2022-04-07 19:17:52.866530 False [   20202.108948] 0003 0036 000008c1
2022-04-07 19:17:52.866530 False [   20202.120512] 0003 0035 000004b9
2022-04-07 19:17:52.866530 False [   20202.120512] 0003 0036 000008c6
2022-04-07 19:17:52.866530 False [   20202.130859] 0003 0035 000004b7
2022-04-07 19:17:52.866530 False [   20202.130859] 0003 0036 000008d6
2022-04-07 19:17:52.866530 False [   20202.142119] 0003 0036 000008db
2022-04-07 19:17:52.866530 False [   20202.148521] 0003 0035 000004b6
2022-04-07 19:17:52.866530 False [   20202.148521] 0003 0036 000008df
2022-04-07 19:17:52.866530 False [   20202.153045] 0003 0035 000004b5
2022-04-07 19:17:52.866530 False [   20202.153045] 0003 0036 000008e6
2022-04-07 19:17:52.907284 False [   20202.161415] 0003 0036 000008eb
2022-04-07 19:17:53.005648 False [   20202.169829] 0003 0035 000004b4
2022-04-07 19:17:53.005648 False [   20202.169829] 0003 0036 000008ef
2022-04-07 19:17:53.005648 False [   20202.182111] 0003 0036 000008f1
2022-04-07 19:17:53.005648 False [   20202.194679] 0003 0035 000004b3
2022-04-07 19:17:53.005648 False [   20202.194679] 0003 0036 000008f4
2022-04-07 19:17:53.035182 False [   20202.206489] 0003 0036 000008f6
2022-04-07 19:17:53.035182 False [   20202.218835] 0003 0036 000008f8
2022-04-07 19:17:53.035182 False [   20202.233427] 0003 0036 000008fb
2022-04-07 19:17:53.035182 False [   20202.248359] 0003 0036 00000900
2022-04-07 19:17:53.035182 False [   20202.262718] 0003 0035 000004b2
2022-04-07 19:17:53.035182 False [   20202.262718] 0003 0036 00000904
2022-04-07 19:17:53.035182 False [   20202.276127] 0003 0036 00000906
2022-04-07 19:17:53.035182 False [   20202.290425] 0003 0036 00000907
2022-04-07 19:17:53.035182 False [   20202.305086] 0003 0036 00000909
2022-04-07 19:17:53.040673 False [   20202.319203] 0003 0036 0000090a
2022-04-07 19:17:53.064079 False [   20202.345356] 0003 0036 0000090b
2022-04-07 19:17:53.100264 False [   20202.369172] 0003 0036 0000090a
2022-04-07 19:17:53.157088 False [   20202.385618] 0003 0036 00000907
2022-04-07 19:17:53.157088 False [   20202.395187] 0003 0035 000004b3
2022-04-07 19:17:53.157088 False [   20202.395187] 0003 0036 00000904
2022-04-07 19:17:53.197155 False [   20202.402304] 0003 0036 000008ff
2022-04-07 19:17:53.197155 False [   20202.417352] 0003 0035 000004b5
2022-04-07 19:17:53.197155 False [   20202.417352] 0003 0036 000008f9
2022-04-07 19:17:53.197155 False [   20202.428843] 0003 0035 000004b6
2022-04-07 19:17:53.197155 False [   20202.428843] 0003 0036 000008f0
2022-04-07 19:17:53.197155 False [   20202.438213] 0003 0035 000004b9
2022-04-07 19:17:53.197155 False [   20202.438213] 0003 0036 000008dd
2022-04-07 19:17:53.197155 False [   20202.450538] 0003 0035 000004ba
2022-04-07 19:17:53.197155 False [   20202.450538] 0003 0036 000008d3
2022-04-07 19:17:53.197155 False [   20202.453908] 0003 0035 000004bc
2022-04-07 19:17:53.197155 False [   20202.453908] 0003 0036 000008c9
2022-04-07 19:17:53.265802 False [   20202.460700] 0003 0035 000004be
2022-04-07 19:17:53.265802 False [   20202.460700] 0003 0036 000008bd
2022-04-07 19:17:53.265802 False [   20202.472703] 0003 0035 000004bf
2022-04-07 19:17:53.265802 False [   20202.472703] 0003 0036 000008b0
2022-04-07 19:17:53.265802 False [   20202.484171] 0003 0035 000004c1
2022-04-07 19:17:53.265802 False [   20202.484171] 0003 0036 000008a3
2022-04-07 19:17:53.265802 False [   20202.496893] 0003 0035 000004c3
2022-04-07 19:17:53.265802 False [   20202.496893] 0003 0036 00000895
2022-04-07 19:17:53.349527 False [   20202.509755] 0003 0035 000004c6
2022-04-07 19:17:53.350034 False [   20202.509755] 0003 0036 00000879
2022-04-07 19:17:53.350034 False [   20202.516553] 0003 0035 000004c8
2022-04-07 19:17:53.350034 False [   20202.516553] 0003 0036 0000086a
2022-04-07 19:17:53.350034 False [   20202.526825] 0003 0035 000004c9
2022-04-07 19:17:53.350034 False [   20202.526825] 0003 0036 0000085a
2022-04-07 19:17:53.350034 False [   20202.538361] 0003 0035 000004ca
2022-04-07 19:17:53.350034 False [   20202.538361] 0003 0036 0000084a
2022-04-07 19:17:53.350034 False [   20202.551020] 0003 0035 000004cd
2022-04-07 19:17:53.350034 False [   20202.551020] 0003 0036 0000082a
2022-04-07 19:17:53.350034 False [   20202.559463] 0003 0035 000004ce
2022-04-07 19:17:53.350034 False [   20202.559463] 0003 0036 0000081a
2022-04-07 19:17:53.350034 False [   20202.565458] 0003 0035 000004cf
2022-04-07 19:17:53.350034 False [   20202.565458] 0003 0036 00000809
2022-04-07 19:17:53.409596 False [   20202.575309] 0003 0035 000004d0
2022-04-07 19:17:53.409596 False [   20202.575309] 0003 0036 000007f7
2022-04-07 19:17:53.409596 False [   20202.585096] 0003 0036 000007e4
2022-04-07 19:17:53.409596 False [   20202.596400] 0003 0035 000004d3
2022-04-07 19:17:53.409596 False [   20202.596400] 0003 0036 000007bc
2022-04-07 19:17:53.409596 False [   20202.609853] 0003 0035 000004d4
2022-04-07 19:17:53.409596 False [   20202.609853] 0003 0036 000007a8
2022-04-07 19:17:53.409596 False [   20202.623154] 0003 0035 000004d7
2022-04-07 19:17:53.409596 False [   20202.623154] 0003 0036 0000077d
2022-04-07 19:17:53.409596 False [   20202.637325] 0003 0035 000004d8
2022-04-07 19:17:53.409596 False [   20202.637325] 0003 0036 00000765
2022-04-07 19:17:53.409596 False [   20202.649937] 0003 0035 000004dc
2022-04-07 19:17:53.409596 False [   20202.649937] 0003 0036 00000736
2022-04-07 19:17:53.409596 False [   20202.655895] 0003 0035 000004de
2022-04-07 19:17:53.409596 False [   20202.655895] 0003 0036 0000071e
2022-04-07 19:17:53.409596 False [   20202.659977] 0003 0035 000004e1
2022-04-07 19:17:53.409596 False [   20202.659977] 0003 0036 00000707
