Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.1548132804826836 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:18:52.654355 False [   20261.941867] 0003 0036 000000ed
2022-04-07 19:18:52.791501 False [   20262.015363] 0003 0036 000000ee
2022-04-07 19:18:52.791501 False [   20262.034689] 0003 0035 00000538
2022-04-07 19:18:52.791501 False [   20262.034689] 0003 0036 000000f0
2022-04-07 19:18:52.791501 False [   20262.041692] 0003 0035 0000053b
2022-04-07 19:18:52.791501 False [   20262.041692] 0003 0036 000000f9
2022-04-07 19:18:52.791501 False [   20262.049918] 0003 0035 0000053c
2022-04-07 19:18:52.791501 False [   20262.049918] 0003 0036 000000ff
2022-04-07 19:18:52.876852 False [   20262.057158] 0003 0035 0000053e
2022-04-07 19:18:52.876852 False [   20262.057158] 0003 0036 00000105
2022-04-07 19:18:52.876852 False [   20262.069572] 0003 0035 00000540
2022-04-07 19:18:52.876852 False [   20262.069572] 0003 0036 0000010e
2022-04-07 19:18:52.876852 False [   20262.081839] 0003 0035 00000542
2022-04-07 19:18:52.876852 False [   20262.081839] 0003 0036 00000117
2022-04-07 19:18:52.876852 False [   20262.091112] 0003 0035 00000543
2022-04-07 19:18:52.876852 False [   20262.091112] 0003 0036 00000124
2022-04-07 19:18:52.961869 False [   20262.101684] 0003 0036 0000012d
2022-04-07 19:18:52.961869 False [   20262.115533] 0003 0035 00000544
2022-04-07 19:18:52.961869 False [   20262.115533] 0003 0036 00000139
2022-04-07 19:18:52.961869 False [   20262.129305] 0003 0036 00000151
2022-04-07 19:18:52.961869 False [   20262.145680] 0003 0036 0000015e
2022-04-07 19:18:52.961869 False [   20262.160706] 0003 0036 0000017b
2022-04-07 19:18:52.961869 False [   20262.175923] 0003 0035 00000543
2022-04-07 19:18:52.961869 False [   20262.175923] 0003 0036 0000019a
2022-04-07 19:18:53.043283 False [   20262.189572] 0003 0036 000001ba
2022-04-07 19:18:53.043283 False [   20262.200742] 0003 0036 000001cc
2022-04-07 19:18:53.043283 False [   20262.210077] 0003 0035 00000542
2022-04-07 19:18:53.043283 False [   20262.210077] 0003 0036 000001f0
2022-04-07 19:18:53.043283 False [   20262.217501] 0003 0036 00000202
2022-04-07 19:18:53.043283 False [   20262.223498] 0003 0035 00000541
2022-04-07 19:18:53.043283 False [   20262.223498] 0003 0036 00000215
2022-04-07 19:18:53.043283 False [   20262.234157] 0003 0035 00000540
2022-04-07 19:18:53.043283 False [   20262.234157] 0003 0036 00000229
2022-04-07 19:18:53.043283 False [   20262.248453] 0003 0035 0000053e
2022-04-07 19:18:53.043283 False [   20262.248453] 0003 0036 0000023f
2022-04-07 19:18:53.043283 False [   20262.260503] 0003 0035 0000053b
2022-04-07 19:18:53.043283 False [   20262.260503] 0003 0036 0000026c
2022-04-07 19:18:53.120663 False [   20262.272473] 0003 0035 00000538
2022-04-07 19:18:53.120663 False [   20262.272473] 0003 0036 00000284
2022-04-07 19:18:53.120663 False [   20262.283188] 0003 0035 00000536
2022-04-07 19:18:53.120663 False [   20262.283188] 0003 0036 0000029c
2022-04-07 19:18:53.120663 False [   20262.296345] 0003 0035 00000530
2022-04-07 19:18:53.120663 False [   20262.296345] 0003 0036 000002d0
2022-04-07 19:18:53.120663 False [   20262.308430] 0003 0035 0000052d
2022-04-07 19:18:53.120663 False [   20262.308430] 0003 0036 000002ec
2022-04-07 19:18:53.120663 False [   20262.320161] 0003 0035 00000525
2022-04-07 19:18:53.120663 False [   20262.320161] 0003 0036 00000326
2022-04-07 19:18:53.120663 False [   20262.330950] 0003 0035 00000521
2022-04-07 19:18:53.120663 False [   20262.330950] 0003 0036 00000342
2022-04-07 19:18:53.120663 False [   20262.342811] 0003 0035 0000051d
2022-04-07 19:18:53.120663 False [   20262.342811] 0003 0036 0000035e
2022-04-07 19:18:53.120663 False [   20262.349654] 0003 0035 00000516
2022-04-07 19:18:53.120663 False [   20262.349654] 0003 0036 00000397
2022-04-07 19:18:53.211986 False [   20262.356339] 0003 0035 00000513
2022-04-07 19:18:53.211986 False [   20262.356339] 0003 0036 000003af
2022-04-07 19:18:53.211986 False [   20262.364723] 0003 0035 00000510
2022-04-07 19:18:53.211986 False [   20262.364723] 0003 0036 000003c9
2022-04-07 19:18:53.211986 False [   20262.378548] 0003 0035 0000050e
2022-04-07 19:18:53.211986 False [   20262.378548] 0003 0036 000003e2
2022-04-07 19:18:53.211986 False [   20262.391879] 0003 0035 0000050b
2022-04-07 19:18:53.211986 False [   20262.391879] 0003 0036 000003fb
2022-04-07 19:18:53.211986 False [   20262.406397] 0003 0035 00000508
2022-04-07 19:18:53.211986 True [   20262.406397] 0003 0036 0000042b
2022-04-07 19:18:53.211986 True [   20262.420235] 0003 0035 00000505
2022-04-07 19:18:53.211986 True [   20262.420235] 0003 0036 0000045f
2022-04-07 19:18:53.302364 True [   20262.431490] 0003 0036 00000478
2022-04-07 19:18:53.303305 True [   20262.443376] 0003 0035 00000502
2022-04-07 19:18:53.303305 True [   20262.443376] 0003 0036 000004a8
2022-04-07 19:18:53.303305 True [   20262.456357] 0003 0036 000004bf
2022-04-07 19:18:53.303305 True [   20262.470509] 0003 0035 00000501
2022-04-07 19:18:53.303305 True [   20262.470509] 0003 0036 000004f5
2022-04-07 19:18:53.303305 True [   20262.485566] 0003 0035 00000500
2022-04-07 19:18:53.303305 True [   20262.485566] 0003 0036 0000050f
2022-04-07 19:18:53.303305 True [   20262.498725] 0003 0036 00000543
2022-04-07 19:18:53.303305 True [   20262.511020] 0003 0036 0000057a
2022-04-07 19:18:53.391789 True [   20262.523445] 0003 0036 00000596
2022-04-07 19:18:53.391789 True [   20262.536490] 0003 0035 000004fe
2022-04-07 19:18:53.391789 True [   20262.536490] 0003 0036 000005cd
2022-04-07 19:18:53.391789 True [   20262.550921] 0003 0036 000005e6
2022-04-07 19:18:53.391789 True [   20262.568121] 0003 0035 000004fb
2022-04-07 19:18:53.391789 False [   20262.568121] 0003 0036 00000616
2022-04-07 19:18:53.391789 False [   20262.581913] 0003 0035 000004fa
2022-04-07 19:18:53.391789 False [   20262.593058] 0003 0036 00000671
2022-04-07 19:18:53.391789 False [   20262.601059] 0003 0035 000004f6
2022-04-07 19:18:53.391789 False [   20262.601059] 0003 0036 00000687
2022-04-07 19:18:53.431117 False [   20262.605716] 0003 0035 000004f4
2022-04-07 19:18:53.431117 False [   20262.605716] 0003 0036 0000069b
2022-04-07 19:18:53.431117 False [   20262.618033] 0003 0035 000004f3
2022-04-07 19:18:53.431117 False [   20262.618033] 0003 0036 000006af
2022-04-07 19:18:53.431117 False [   20262.630663] 0003 0035 000004f1
2022-04-07 19:18:53.431117 False [   20262.630663] 0003 0036 000006c7
2022-04-07 19:18:53.431117 False [   20262.645426] 0003 0035 000004ef
2022-04-07 19:18:53.431117 False [   20262.645426] 0003 0036 000006ee
2022-04-07 19:18:53.431117 False [   20262.661468] 0003 0035 000004ed
2022-04-07 19:18:53.431117 False [   20262.661468] 0003 0036 00000702
2022-04-07 19:18:53.431117 False [   20262.675797] 0003 0035 000004ea
2022-04-07 19:18:53.431117 False [   20262.675797] 0003 0036 0000072a
2022-04-07 19:18:53.431117 False [   20262.690957] 0003 0035 000004e7
2022-04-07 19:18:53.431117 False [   20262.690957] 0003 0036 00000752
2022-04-07 19:18:53.528100 False [   20262.703866] 0003 0035 000004e4
2022-04-07 19:18:53.528100 False [   20262.703866] 0003 0036 00000777
2022-04-07 19:18:53.528100 False [   20262.714991] 0003 0035 000004e2
2022-04-07 19:18:53.528100 False [   20262.714991] 0003 0036 0000078a
2022-04-07 19:18:53.528100 False [   20262.722151] 0003 0035 000004e0
2022-04-07 19:18:53.528100 False [   20262.722151] 0003 0036 000007ad
2022-04-07 19:18:53.528100 False [   20262.730226] 0003 0035 000004de
2022-04-07 19:18:53.528100 False [   20262.730226] 0003 0036 000007be
2022-04-07 19:18:53.619008 False [   20262.743283] 0003 0036 000007ce
2022-04-07 19:18:53.619008 False [   20262.757072] 0003 0035 000004dd
2022-04-07 19:18:53.619008 False [   20262.757072] 0003 0036 000007de
2022-04-07 19:18:53.619008 False [   20262.769487] 0003 0035 000004dc
2022-04-07 19:18:53.619008 False [   20262.769487] 0003 0036 000007f9
2022-04-07 19:18:53.619008 False [   20262.782826] 0003 0036 00000805
2022-04-07 19:18:53.619008 False [   20262.796709] 0003 0035 000004db
2022-04-07 19:18:53.619008 False [   20262.796709] 0003 0036 00000820
2022-04-07 19:18:53.619008 False [   20262.811323] 0003 0036 00000836
2022-04-07 19:18:53.620003 False [   20262.827308] 0003 0035 000004da
2022-04-07 19:18:53.620003 False [   20262.827308] 0003 0036 00000840
2022-04-07 19:18:53.709966 False [   20262.840520] 0003 0036 00000854
2022-04-07 19:18:53.709966 False [   20262.855864] 0003 0036 00000862
2022-04-07 19:18:53.709966 False [   20262.872126] 0003 0036 0000086e
2022-04-07 19:18:53.709966 False [   20262.887173] 0003 0036 00000879
2022-04-07 19:18:53.709966 False [   20262.902786] 0003 0036 0000087d
2022-04-07 19:18:53.709966 False [   20262.917796] 0003 0036 00000886
2022-04-07 19:18:53.719069 False [   20262.932531] 0003 0036 0000088e
2022-04-07 19:18:53.719069 False [   20262.947518] 0003 0036 00000894
2022-04-07 19:18:53.719069 False [   20262.958174] 0003 0036 00000898
2022-04-07 19:18:53.719069 False [   20262.974550] 0003 0035 000004db
2022-04-07 19:18:53.719069 False [   20262.974550] 0003 0036 0000089a
2022-04-07 19:18:53.719069 False [   20262.986300] 0003 0035 000004da
2022-04-07 19:18:53.719069 False [   20262.986300] 0003 0036 0000089b
2022-04-07 19:18:54.048092 False [   20263.339089] 0003 0035 0000050c
2022-04-07 19:18:54.048092 False [   20263.339089] 0003 0036 000006fd
2022-04-07 19:18:54.135602 False [   20263.353802] 0003 0035 00000509
2022-04-07 19:18:54.135602 False [   20263.353802] 0003 0036 00000701
2022-04-07 19:18:54.140702 False [   20263.369520] 0003 0035 00000505
2022-04-07 19:18:54.140702 False [   20263.369520] 0003 0036 00000703
2022-04-07 19:18:54.140702 False [   20263.381786] 0003 0035 00000503
2022-04-07 19:18:54.140702 False [   20263.381786] 0003 0036 00000706
2022-04-07 19:18:54.140702 False [   20263.394675] 0003 0035 00000501
2022-04-07 19:18:54.140702 False [   20263.394675] 0003 0036 00000709
2022-04-07 19:18:54.140702 False [   20263.406976] 0003 0035 000004ff
2022-04-07 19:18:54.140702 False [   20263.406976] 0003 0036 0000070b
2022-04-07 19:18:54.140702 False [   20263.419809] 0003 0035 000004fe
2022-04-07 19:18:54.210709 False [   20263.444827] 0003 0035 000004fa
2022-04-07 19:18:54.210709 False [   20263.444827] 0003 0036 00000708
2022-04-07 19:18:54.210709 False [   20263.456522] 0003 0035 000004f7
2022-04-07 19:18:54.301381 False [   20263.456522] 0003 0036 00000706
2022-04-07 19:18:54.301381 False [   20263.466518] 0003 0035 000004f6
2022-04-07 19:18:54.301381 False [   20263.466518] 0003 0036 000006ff
2022-04-07 19:18:54.301381 False [   20263.478069] 0003 0035 000004f4
2022-04-07 19:18:54.301381 False [   20263.478069] 0003 0036 000006fa
2022-04-07 19:18:54.301381 False [   20263.486416] 0003 0035 000004f3
2022-04-07 19:18:54.301381 False [   20263.486416] 0003 0036 000006ed
2022-04-07 19:18:54.302430 False [   20263.497445] 0003 0035 000004f4
2022-04-07 19:18:54.302430 False [   20263.497445] 0003 0036 000006e2
2022-04-07 19:18:54.302430 False [   20263.509486] 0003 0036 000006da
2022-04-07 19:18:54.403204 False [   20263.526779] 0003 0035 000004f6
2022-04-07 19:18:54.403204 False [   20263.526779] 0003 0036 000006cd
