SensType,FigShape,Answer,PeakStim,BaseStim,Stimulation,SpentTime
a,Pentagon,Pentagon,10,0,10,54.24183654785156
s,Circle,Square,10,0,10,62.31636762619019
s,Circle,Circle,10,0,10,79.34550738334656
s,Circle,Circle,10,0,10,81.43835926055908
s,Pentagon,Square,10,0,10,68.66679620742798
s,Square,Circle,10,0,10,44.57258915901184
s,Pentagon,Circle,10,0,10,44.21826934814453
a,Pentagon,Circle,10,0,10,50.13462233543396
s,Square,Square,10,0,10,42.713501930236816
a,Square,Square,10,0,10,84.36168670654297
a,Pentagon,Pentagon,10,0,10,38.68712377548218
a,Circle,Square,10,0,10,36.44800162315369
s,Circle,Circle,10,0,10,72.22659587860107
a,Circle,Circle,10,0,10,44.844892740249634
s,Square,Square,10,0,10,41.4568727016449
s,Pentagon,Circle,10,0,10,68.51527261734009
a,Square,Pentagon,10,0,10,47.50711989402771
a,Square,Pentagon,10,0,10,74.03136324882507
a,Circle,Square,10,0,10,110.73608160018921
a,Circle,Pentagon,10,0,10,46.220149755477905
s,Pentagon,Circle,10,0,10,59.72083020210266
a,Pentagon,Pentagon,10,0,10,66.67668223381042
s,Square,Pentagon,10,0,10,110.73120951652527
a,Square,Circle,10,0,10,21.53055715560913
