SensType,FigShape,Answer,PeakStim,BaseStim,Stimulation,SpentTime
s,Pentagon,Pentagon,10,0,10,142.60664248466492
a,Circle,Square,10,0,10,117.95156002044678
s,Square,Square,10,0,10,187.01860213279724
s,Pentagon,Square,10,0,10,188.67402744293213
s,Square,Square,10,0,10,64.27195811271667
a,Circle,Circle,10,0,10,45.998899936676025
a,Square,Square,10,0,10,67.59895896911621
a,Pentagon,Pentagon,10,0,10,90.62207317352295
a,Circle,Square,10,0,10,90.19143104553223
s,Square,Square,10,0,10,98.77761340141296
a,Circle,Pentagon,10,0,10,59.73131275177002
a,Square,Square,10,0,10,52.97533559799194
a,Pentagon,Pentagon,10,0,10,97.68758821487427
s,Pentagon,Square,10,0,10,115.52172923088074
a,Pentagon,Pentagon,10,0,10,55.291810035705566
s,Circle,Circle,10,0,10,54.611839056015015
a,Pentagon,Pentagon,10,0,10,54.51714825630188
a,Square,Square,10,0,10,69.94965744018555
s,Circle,Pentagon,10,0,10,68.35218071937561
s,Square,Square,10,0,10,91.04903316497803
a,Square,Square,10,0,10,64.03264355659485
s,Pentagon,Square,10,0,10,85.7184567451477
s,Circle,Square,10,0,10,100.15280985832214
s,Circle,Circle,10,0,10,63.97535157203674
