SensType,FigShape,Answer,PeakStim,BaseStim,Stimulation,SpentTime
s,Circle,Square,7,0,7,56.556681632995605
a,Circle,Square,7,0,7,18.909467220306396
a,Pentagon,Pentagon,7,0,7,125.56758308410645
s,Circle,Pentagon,7,0,7,90.0626699924469
s,Circle,Circle,7,0,7,33.34437274932861
a,Circle,Pentagon,7,0,7,44.728286266326904
a,Pentagon,Square,7,0,7,37.3308744430542
s,Square,Square,7,0,7,28.811675310134888
a,Square,Pentagon,7,0,7,88.70405268669128
s,Pentagon,Pentagon,7,0,7,62.279155254364014
a,Circle,Circle,7,0,7,91.2178807258606
a,Circle,Square,7,0,7,55.76040077209473
s,Square,Pentagon,7,0,7,43.708691358566284
s,Circle,Pentagon,7,0,7,67.19241333007812
s,Pentagon,Circle,7,0,7,77.44478678703308
s,Square,Square,7,0,7,120.0572726726532
a,Square,Pentagon,7,0,7,88.73115348815918
a,Pentagon,Pentagon,7,0,7,89.24194002151489
s,Square,Circle,7,0,7,70.14165544509888
s,Pentagon,Square,7,0,7,55.85888910293579
a,Square,Circle,7,0,7,66.83911943435669
s,Pentagon,Circle,7,0,7,50.01874923706055
a,Square,Square,7,0,7,109.19453930854797
a,Pentagon,Square,7,0,7,37.51762771606445
